Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,343,-9279,13312,-2238,245,3463,-848,95,43,43,0,0,0,0,0,0,0,0
879,351,-9276,13312,-2250,286,3468,-812,142,21,24,0,0,0,0,0,0,0,0
14324,360,-9278,13308,-2263,301,3469,-840,153,7,-10,0,0,0,0,0,0,0,0
29361,354,-9286,13305,-2252,257,3461,-902,4,19,-54,0,0,0,0,0,0,0,0
51830,340,-9293,13303,-2230,278,3447,-886,-87,16,-44,0,0,0,0,0,0,0,0
67443,340,-9293,13303,-2230,278,3447,-886,-87,16,-44,57,39,39,38,31,37,58,67
74460,339,-9293,13304,-2228,288,3451,-846,1,14,-9,57,39,39,38,31,37,58,67
90682,339,-9293,13304,-2228,288,3451,-846,1,14,-9,49,36,38,35,32,35,50,62
92388,337,-9298,13301,-2222,293,3479,-848,35,-4,-27,49,36,38,35,32,35,50,62
113152,337,-9298,13301,-2222,293,3479,-848,35,-4,-27,53,36,39,33,28,35,54,58
114862,332,-9307,13299,-2204,278,3512,-842,-20,-20,-44,53,36,39,33,28,35,54,58
127435,332,-9307,13299,-2204,278,3512,-842,-20,-20,-44,45,35,36,31,27,35,47,55
134428,328,-9312,13299,-2179,259,3489,-819,-65,-35,-20,45,35,36,31,27,35,47,55
150635,328,-9312,13299,-2179,259,3489,-819,-65,-35,-20,43,37,38,32,28,32,44,56
152347,327,-9314,13302,-2152,261,3495,-804,-75,-64,5,43,37,38,32,28,32,44,56
173130,327,-9314,13302,-2152,261,3495,-804,-75,-64,5,47,36,38,29,30,32,51,56
174892,326,-9315,13306,-2127,286,3480,-789,-71,-68,10,47,36,38,29,30,32,51,56
187513,326,-9315,13306,-2127,286,3480,-789,-71,-68,10,48,36,35,28,30,32,51,57
194455,325,-9314,13309,-2111,280,3478,-805,-37,-37,18,48,36,35,28,30,32,51,57
210674,325,-9314,13309,-2111,280,3478,-805,-37,-37,18,42,38,36,29,32,34,48,63
212449,327,-9311,13312,-2104,267,3458,-844,7,-12,25,42,38,36,29,32,34,48,63
233171,327,-9311,13312,-2104,267,3458,-844,7,-12,25,53,40,37,34,32,37,49,81
234887,330,-9311,13313,-2093,241,3504,-838,18,-23,5,53,40,37,34,32,37,49,81
247420,330,-9311,13313,-2093,241,3504,-838,18,-23,5,57,66,37,38,33,39,53,83
254361,337,-9314,13313,-2080,249,3487,-817,7,-55,-4,57,66,37,38,33,39,53,83
270617,337,-9314,13313,-2080,249,3487,-817,7,-55,-4,63,129,52,70,39,52,60,93
272361,343,-9315,13315,-2067,299,3481,-862,2,-76,11,63,129,52,70,39,52,60,93
