Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2302,13507,-8913,-1118,181,5019,-796,27,-40,30,0,0,0,0,0,0,0,0
7495,2321,13501,-8917,-1123,203,5037,-795,13,-24,32,0,0,0,0,0,0,0,0
30037,2339,13494,-8922,-1130,185,5016,-799,-5,-20,37,0,0,0,0,0,0,0,0
45059,2353,13487,-8928,-1134,177,4990,-802,6,-19,40,0,0,0,0,0,0,0,0
68853,2367,13481,-8932,-1143,159,5024,-790,14,-30,30,0,0,0,0,0,0,0,0
69625,2367,13481,-8932,-1143,159,5024,-790,14,-30,30,27,86,56,93,53,28,33,41
91380,2386,13474,-8936,-1156,175,5037,-797,-26,-45,32,27,86,56,93,53,28,33,41
92173,2386,13474,-8936,-1156,175,5037,-797,-26,-45,32,26,98,59,102,55,30,32,35
105052,2404,13467,-8940,-1170,163,5033,-783,-28,-43,31,26,98,59,102,55,30,32,35
113134,2404,13467,-8940,-1170,163,5033,-783,-28,-43,31,28,97,56,103,55,27,30,35
128858,2420,13461,-8944,-1179,174,5027,-795,-8,-32,30,28,97,56,103,55,27,30,35
129633,2420,13461,-8944,-1179,174,5027,-795,-8,-32,30,27,102,53,115,56,28,29,29
151312,2433,13456,-8947,-1185,182,5020,-782,8,-23,20,27,102,53,115,56,28,29,29
152118,2433,13456,-8947,-1185,182,5020,-782,8,-23,20,29,98,52,116,51,28,28,25
164972,2449,13450,-8949,-1199,167,5025,-782,-28,-51,13,29,98,52,116,51,28,28,25
173174,2449,13450,-8949,-1199,167,5025,-782,-28,-51,13,28,100,54,140,79,31,26,27
188843,2469,13444,-8951,-1217,172,5042,-766,-59,-59,18,28,100,54,140,79,31,26,27
189661,2469,13444,-8951,-1217,172,5042,-766,-59,-59,18,30,106,51,326,130,36,29,33
211344,2496,13436,-8952,-1244,178,5030,-754,-125,-80,5,30,106,51,326,130,36,29,33
212104,2496,13436,-8952,-1244,178,5030,-754,-125,-80,5,35,107,50,562,203,57,37,38
224970,2527,13426,-8952,-1281,148,5018,-750,-194,-103,6,35,107,50,562,203,57,37,38
233165,2527,13426,-8952,-1281,148,5018,-750,-194,-103,6,42,179,56,772,214,65,43,40
248854,2562,13417,-8950,-1324,155,5015,-700,-231,-120,-11,42,179,56,772,214,65,43,40
249704,2562,13417,-8950,-1324,155,5015,-700,-231,-120,-11,81,285,85,932,514,197,111,88
271744,2612,13403,-8947,-1386,169,5014,-692,-375,-180,-15,81,285,85,932,514,197,111,88
272555,2612,13403,-8947,-1386,169,5014,-692,-375,-180,-15,118,367,104,1113,773,244,150,121
295194,2684,13382,-8938,-1505,124,4960,-641,-698,-355,-62,118,367,104,1113,773,244,150,121
296825,2684,13382,-8938,-1505,124,4960,-641,-698,-355,-62,147,456,154,1223,863,297,188,166
302819,2302,13507,-8913,-1118,181,5019,-796,27,-40,30,147,456,154,1223,863,297,188,166
303640,2321,13501,-8917,-1123,203,5037,-795,13,-24,32,147,456,154,1223,863,297,188,166
304519,2339,13494,-8922,-1130,185,5016,-799,-5,-20,37,147,456,154,1223,863,297,188,166
305331,2353,13487,-8928,-1134,177,4990,-802,6,-19,40,147,456,154,1223,863,297,188,166
310136,2353,13487,-8928,-1134,177,4990,-802,6,-19,40,27,86,56,93,53,28,33,41
318624,2386,13474,-8936,-1156,175,5037,-797,-26,-45,32,27,86,56,93,53,28,33,41
319392,2386,13474,-8936,-1156,175,5037,-797,-26,-45,32,26,98,59,102,55,30,32,35
341073,2404,13467,-8940,-1170,163,5033,-783,-28,-43,31,26,98,59,102,55,30,32,35
341874,2404,13467,-8940,-1170,163,5033,-783,-28,-43,31,28,97,56,103,55,27,30,35
363545,2420,13461,-8944,-1179,174,5027,-795,-8,-32,30,28,97,56,103,55,27,30,35
364362,2420,13461,-8944,-1179,174,5027,-795,-8,-32,30,27,102,53,115,56,28,29,29
386136,2433,13456,-8947,-1185,182,5020,-782,8,-23,20,27,102,53,115,56,28,29,29
386968,2433,13456,-8947,-1185,182,5020,-782,8,-23,20,29,98,52,116,51,28,28,25
408551,2449,13450,-8949,-1199,167,5025,-782,-28,-51,13,29,98,52,116,51,28,28,25
409370,2449,13450,-8949,-1199,167,5025,-782,-28,-51,13,28,100,54,140,79,31,26,27
431045,2469,13444,-8951,-1217,172,5042,-766,-59,-59,18,28,100,54,140,79,31,26,27
431838,2469,13444,-8951,-1217,172,5042,-766,-59,-59,18,30,106,51,326,130,36,29,33
453611,2496,13436,-8952,-1244,178,5030,-754,-125,-80,5,30,106,51,326,130,36,29,33
454393,2496,13436,-8952,-1244,178,5030,-754,-125,-80,5,35,107,50,562,203,57,37,38
476079,2527,13426,-8952,-1281,148,5018,-750,-194,-103,6,35,107,50,562,203,57,37,38
476878,2527,13426,-8952,-1281,148,5018,-750,-194,-103,6,42,179,56,772,214,65,43,40
498593,2562,13417,-8950,-1324,155,5015,-700,-231,-120,-11,42,179,56,772,214,65,43,40
499393,2562,13417,-8950,-1324,155,5015,-700,-231,-120,-11,81,285,85,932,514,197,111,88
521096,2612,13403,-8947,-1386,169,5014,-692,-375,-180,-15,81,285,85,932,514,197,111,88
521872,2612,13403,-8947,-1386,169,5014,-692,-375,-180,-15,118,367,104,1113,773,244,150,121
543541,2684,13382,-8938,-1505,124,4960,-641,-698,-355,-62,118,367,104,1113,773,244,150,121
544368,2684,13382,-8938,-1505,124,4960,-641,-698,-355,-62,147,456,154,1223,863,297,188,166
566145,2808,13357,-8915,-1627,187,5016,-648,-959,-233,-101,147,456,154,1223,863,297,188,166
566967,2808,13357,-8915,-1627,187,5016,-648,-959,-233,-101,210,482,260,1331,1036,567,234,218
588599,2958,13338,-8866,-1781,93,5075,-747,-1218,-235,-241,210,482,260,1331,1036,567,234,218
589369,2958,13338,-8866,-1781,93,5075,-747,-1218,-235,-241,517,516,342,1369,1161,644,278,277
611058,3107,13331,-8771,-2031,-145,5166,-540,-1468,-519,-538,517,516,342,1369,1161,644,278,277
611847,3107,13331,-8771,-2031,-145,5166,-540,-1468,-519,-538,711,592,359,1377,1117,703,307,326
633611,3328,13244,-8776,-2220,49,5798,-711,-1602,-272,227,711,592,359,1377,1117,703,307,326
634396,3328,13244,-8776,-2220,49,5798,-711,-1602,-272,227,758,666,398,1320,1077,813,388,321
656043,3377,13231,-8768,-2256,869,4161,-280,-794,-442,-229,758,666,398,1320,1077,813,388,321
656871,3377,13231,-8768,-2256,869,4161,-280,-794,-442,-229,812,799,472,1271,1104,882,574,400
678545,3300,13267,-8751,-2220,-8,5336,-739,501,-18,-200,812,799,472,1271,1104,882,574,400
679383,3300,13267,-8751,-2220,-8,5336,-739,501,-18,-200,898,874,466,1228,1000,827,576,438
701061,3359,13234,-8754,-2317,-70,4609,-490,-880,-272,61,898,874,466,1228,1000,827,576,438
701870,3359,13234,-8754,-2317,-70,4609,-490,-880,-272,61,805,896,437,1177,983,920,593,424
723545,3303,13245,-8765,-2293,163,4498,-406,36,-153,-50,805,896,437,1177,983,920,593,424
724409,3303,13245,-8765,-2293,163,4498,-406,36,-153,-50,658,834,457,1204,1027,958,592,406
746120,3173,13262,-8820,-2167,235,5315,-633,1082,7,175,658,834,457,1204,1027,958,592,406
746967,3173,13262,-8820,-2167,235,5315,-633,1082,7,175,666,764,434,1193,961,944,547,416
768569,3144,13268,-8825,-2155,48,5529,-590,363,-65,-23,666,764,434,1193,961,944,547,416
