Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-8490,474,13978,-867,3844,3390,-218,205,-69,-102,0,0,0,0,0,0,0,0
7528,-8479,440,13981,-928,3771,3242,-238,325,-95,-94,0,0,0,0,0,0,0,0
15054,-8466,397,13984,-1026,3799,3057,-368,504,-54,-106,0,0,0,0,0,0,0,0
30022,-8447,312,13986,-1173,3773,2891,-351,820,-104,-220,0,0,0,0,0,0,0,0
52502,-8436,229,13978,-1348,3720,2648,-407,908,3,-231,0,0,0,0,0,0,0,0
67497,-8436,229,13978,-1348,3720,2648,-407,908,3,-231,148,385,112,355,350,81,72,102
76576,-8416,148,13969,-1563,3607,2513,-370,1087,-23,-143,148,385,112,355,350,81,72,102
91342,-8416,148,13969,-1563,3607,2513,-370,1087,-23,-143,185,464,137,376,389,108,82,110
93115,-8384,67,13957,-1826,3725,2587,-470,1367,-52,98,185,464,137,376,389,108,82,110
113798,-8384,67,13957,-1826,3725,2587,-470,1367,-52,98,187,481,139,292,367,106,82,110
115549,-8367,22,13930,-2090,3963,2895,-446,1388,17,501,187,481,139,292,367,106,82,110
136346,-8367,22,13930,-2090,3963,2895,-446,1388,17,501,230,531,140,259,343,109,86,156
138101,-8363,49,13892,-2349,4034,2794,-357,1169,113,844,230,531,140,259,343,109,86,156
151321,-8363,49,13892,-2349,4034,2794,-357,1169,113,844,223,552,142,256,416,134,100,256
153099,-8368,147,13850,-2563,4063,2740,-354,779,230,1091,223,552,142,256,416,134,100,256
173848,-8368,147,13850,-2563,4063,2740,-354,779,230,1091,242,567,149,236,378,132,97,281
175551,-8370,320,13808,-2757,4105,2680,-239,483,230,1438,242,567,149,236,378,132,97,281
196325,-8370,320,13808,-2757,4105,2680,-239,483,230,1438,255,585,165,212,351,113,94,292
198074,-8343,560,13773,-2971,4057,2736,-121,361,155,1815,255,585,165,212,351,113,94,292
210610,-8343,560,13773,-2971,4057,2736,-121,361,155,1815,261,630,174,265,402,122,100,300
217649,-8270,865,13745,-3219,4084,2522,-64,324,-34,2269,261,630,174,265,402,122,100,300
233813,-8270,865,13745,-3219,4084,2522,-64,324,-34,2269,293,621,200,327,565,173,130,322
235590,-8154,1193,13721,-3501,4177,2614,-141,416,-237,2563,293,621,200,327,565,173,130,322
256328,-8154,1193,13721,-3501,4177,2614,-141,416,-237,2563,294,607,194,321,528,158,127,310
258121,-8013,1554,13695,-3774,4212,2805,-165,304,-305,2781,294,607,194,321,528,158,127,310
