Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,13622,4251,6882,4173,2380,5007,-2090,109,-189,-15,0,0,0,0,0,0,0,0
788,13633,4273,6857,4157,2368,5019,-2089,91,-199,-3,0,0,0,0,0,0,0,0
14354,13647,4288,6828,4143,2357,5030,-2075,38,-211,-10,0,0,0,0,0,0,0,0
29332,13664,4295,6795,4133,2342,5012,-2080,-16,-218,-2,0,0,0,0,0,0,0,0
51804,13681,4301,6764,4123,2348,4955,-2092,-16,-210,-12,0,0,0,0,0,0,0,0
67447,13681,4301,6764,4123,2348,4955,-2092,-16,-210,-12,63,74,42,31,45,41,207,38
74391,13694,4310,6738,4111,2343,4953,-2087,11,-182,-18,63,74,42,31,45,41,207,38
90654,13694,4310,6738,4111,2343,4953,-2087,11,-182,-18,62,82,43,30,46,41,190,40
92372,13705,4319,6717,4100,2343,4970,-2082,20,-152,-16,62,82,43,30,46,41,190,40
113170,13705,4319,6717,4100,2343,4970,-2082,20,-152,-16,64,78,44,32,57,42,212,42
114850,13714,4323,6699,4095,2341,5003,-2094,-7,-119,1,64,78,44,32,57,42,212,42
127426,13714,4323,6699,4095,2341,5003,-2094,-7,-119,1,63,80,44,30,56,39,214,44
134398,13723,4325,6682,4091,2349,4972,-2098,-19,-109,-4,63,80,44,30,56,39,214,44
150589,13723,4325,6682,4091,2349,4972,-2098,-19,-109,-4,72,80,52,31,65,40,322,47
152304,13728,4331,6673,4083,2348,4961,-2084,26,-74,-14,72,80,52,31,65,40,322,47
173124,13728,4331,6673,4083,2348,4961,-2084,26,-74,-14,75,87,49,32,64,42,338,48
174849,13730,4335,6668,4078,2336,4978,-2106,22,-44,-14,75,87,49,32,64,42,338,48
187559,13730,4335,6668,4078,2336,4978,-2106,22,-44,-14,73,80,52,30,70,47,342,48
194396,13731,4338,6666,4075,2349,4969,-2092,13,-19,-6,73,80,52,30,70,47,342,48
210664,13731,4338,6666,4075,2349,4969,-2092,13,-19,-6,68,82,51,31,63,45,344,47
212329,13728,4340,6671,4075,2378,4947,-2075,24,27,2,68,82,51,31,63,45,344,47
233123,13728,4340,6671,4075,2378,4947,-2075,24,27,2,67,89,52,33,67,46,354,48
234863,13718,4347,6688,4074,2364,4933,-2082,71,93,0,67,89,52,33,67,46,354,48
247406,13718,4347,6688,4074,2364,4933,-2082,71,93,0,64,201,82,34,66,48,270,45
254373,13703,4353,6712,4078,2387,4963,-2071,77,145,15,64,201,82,34,66,48,270,45
270618,13703,4353,6712,4078,2387,4963,-2071,77,145,15,52,308,215,93,64,47,261,40
272336,13680,4369,6747,4082,2388,4902,-2068,146,197,35,52,308,215,93,64,47,261,40
293099,13680,4369,6747,4082,2388,4902,-2068,146,197,35,61,381,470,200,85,48,251,37
294794,13649,4429,6778,4070,2310,4876,-2163,398,116,80,61,381,470,200,85,48,251,37
307411,13649,4429,6778,4070,2310,4876,-2163,398,116,80,77,470,704,362,134,56,252,38
314365,13624,4512,6792,4039,2320,4848,-2369,516,-42,61,77,470,704,362,134,56,252,38
330626,13624,4512,6792,4039,2320,4848,-2369,516,-42,61,91,591,821,586,260,60,227,34
332335,13632,4543,6782,3993,2087,5155,-2448,221,-175,-138,91,591,821,586,260,60,227,34
353108,13632,4543,6782,3993,2087,5155,-2448,221,-175,-138,99,603,987,667,297,61,232,34
354832,13693,4482,6711,3972,1731,5076,-2494,-427,-424,-214,99,603,987,667,297,61,232,34
367474,13693,4482,6711,3972,1731,5076,-2494,-427,-424,-214,142,669,1170,782,354,75,250,40
374374,13756,4397,6626,3992,1873,4689,-2112,-655,-396,-58,142,669,1170,782,354,75,250,40
390691,13756,4397,6626,3992,1873,4689,-2112,-655,-396,-58,149,754,1169,885,388,75,278,41
392370,13766,4314,6636,4033,2629,4533,-1791,-483,199,-22,149,754,1169,885,388,75,278,41
413097,13766,4314,6636,4033,2629,4533,-1791,-483,199,-22,160,845,1108,919,455,84,309,42
414826,13688,4299,6808,4025,2889,4656,-1537,300,992,-219,160,845,1108,919,455,84,309,42
428152,13688,4299,6808,4025,2889,4656,-1537,300,992,-219,191,986,1108,899,515,93,341,44
438817,13547,4387,7065,3965,2792,4531,-1857,1108,1321,-260,191,986,1108,899,515,93,341,44
450615,13547,4387,7065,3965,2792,4531,-1857,1108,1321,-260,263,1235,1192,992,626,120,426,48
452337,13381,4558,7298,3915,2740,4839,-2198,1479,1172,55,263,1235,1192,992,626,120,426,48
473106,13381,4558,7298,3915,2740,4839,-2198,1479,1172,55,264,1365,1117,983,649,127,457,50
474826,13271,4689,7437,3872,2712,5323,-2458,1060,667,59,264,1365,1117,983,649,127,457,50
487444,13271,4689,7437,3872,2712,5323,-2458,1060,667,59,291,1439,1132,980,700,148,485,55
494370,13236,4690,7486,3895,2523,5298,-2254,65,343,77,291,1439,1132,980,700,148,485,55
510618,13236,4690,7486,3895,2523,5298,-2254,65,343,77,294,1494,1157,998,671,155,549,63
512370,13227,4640,7500,3960,2425,5070,-2158,-358,256,157,294,1494,1157,998,671,155,549,63
533102,13227,4640,7500,3960,2425,5070,-2158,-358,256,157,282,1569,1157,963,613,160,578,66
534821,13225,4628,7511,3961,2464,4873,-2122,-40,73,-44,282,1569,1157,963,613,160,578,66
547422,13225,4628,7511,3961,2464,4873,-2122,-40,73,-44,216,1450,977,941,517,148,620,70
554396,13221,4656,7510,3939,2411,4944,-2115,189,-66,-22,216,1450,977,941,517,148,620,70
570589,13221,4656,7510,3939,2411,4944,-2115,189,-66,-22,201,1336,930,940,465,140,625,70
572314,13232,4676,7486,3927,2442,4999,-2076,72,-182,21,201,1336,930,940,465,140,625,70
593154,13232,4676,7486,3927,2442,4999,-2076,72,-182,21,163,1262,886,873,386,117,595,68
594830,13256,4662,7443,3944,2308,4908,-2050,-205,-211,78,163,1262,886,873,386,117,595,68
607428,13256,4662,7443,3944,2308,4908,-2050,-205,-211,78,144,1135,822,842,381,100,532,59
614392,13278,4642,7397,3979,2347,4874,-2102,-275,-186,150,144,1135,822,842,381,100,532,59
630581,13278,4642,7397,3979,2347,4874,-2102,-275,-186,150,130,880,828,840,346,84,490,57
632322,13298,4621,7359,4008,2459,4793,-2073,-251,-144,110,130,880,828,840,346,84,490,57
653146,13298,4621,7359,4008,2459,4793,-2073,-251,-144,110,133,855,839,873,322,71,356,49
654857,13306,4617,7342,4017,2490,4796,-2087,-80,-80,43,133,855,839,873,322,71,356,49
666705,13306,4617,7342,4017,2490,4796,-2087,-80,-80,43,127,862,806,848,322,64,320,47
675858,13313,4619,7335,4003,2435,4867,-2150,26,-75,-56,127,862,806,848,322,64,320,47
690609,13313,4619,7335,4003,2435,4867,-2150,26,-75,-56,121,852,769,826,302,73,331,46
692358,13324,4606,7322,4005,2427,4834,-2137,-100,-65,-19,121,852,769,826,302,73,331,46
713077,13324,4606,7322,4005,2427,4834,-2137,-100,-65,-19,117,824,777,784,270,75,295,45
714795,13332,4589,7315,4012,2542,4809,-2144,-118,-19,-9,117,824,777,784,270,75,295,45
726730,13332,4589,7315,4012,2542,4809,-2144,-118,-19,-9,109,781,696,745,265,68,276,42
