Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2146,-7019,-14591,1300,1415,2786,-1730,251,-264,-25,0,0,0,0,0,0,0,0
813,2263,-7002,-14579,1326,1707,2452,-367,-86,-174,11,0,0,0,0,0,0,0,0
1629,2397,-6972,-14571,1333,1798,2650,-2092,236,86,-63,0,0,0,0,0,0,0,0
21063,2506,-6959,-14559,1337,1803,2460,-835,-122,-118,21,0,0,0,0,0,0,0,0
43651,2621,-6941,-14545,1360,1622,2543,-1085,87,0,-8,0,0,0,0,0,0,0,0
58623,2732,-6920,-14532,1388,1585,2456,-1034,66,7,-34,0,0,0,0,0,0,0,0
66706,2732,-6920,-14532,1388,1585,2456,-1034,66,7,-34,120,73,51,61,36,64,285,310
82407,2840,-6898,-14518,1422,1574,2471,-1055,124,4,-34,120,73,51,61,36,64,285,310
83223,2840,-6898,-14518,1422,1574,2471,-1055,124,4,-34,139,73,54,56,42,68,293,316
104877,2936,-6875,-14507,1458,1508,2513,-1075,146,-10,-40,139,73,54,56,42,68,293,316
105720,2936,-6875,-14507,1458,1508,2513,-1075,146,-10,-40,151,73,59,62,45,67,289,289
118584,3086,-6853,-14485,1465,1805,2352,-678,-1,161,-43,151,73,59,62,45,67,289,289
126713,3086,-6853,-14485,1465,1805,2352,-678,-1,161,-43,156,84,56,63,44,64,348,321
142434,3209,-6845,-14459,1491,1301,2234,-618,-36,262,-44,156,84,56,63,44,64,348,321
143258,3209,-6845,-14459,1491,1301,2234,-618,-36,262,-44,165,91,54,62,45,68,378,347
164925,3300,-6823,-14447,1519,1665,2576,-430,59,-119,-12,165,91,54,62,45,68,378,347
165733,3300,-6823,-14447,1519,1665,2576,-430,59,-119,-12,172,92,54,64,50,76,460,375
178602,3440,-6784,-14433,1507,2386,2669,-545,72,-113,-16,172,92,54,64,50,76,460,375
186758,3440,-6784,-14433,1507,2386,2669,-545,72,-113,-16,162,92,52,63,47,84,462,394
202437,3593,-6747,-14414,1501,2517,2637,-348,95,-117,17,162,92,52,63,47,84,462,394
203265,3593,-6747,-14414,1501,2517,2637,-348,95,-117,17,150,94,50,78,47,85,455,403
