Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-116,12907,1909,9908,2222,5130,-2118,5,33,-44,0,0,0,0,0,0,0,0
788,-113,12902,1914,9913,2224,5113,-2110,-1,32,-37,0,0,0,0,0,0,0,0
14243,-111,12898,1922,9918,2229,5115,-2111,15,34,-44,0,0,0,0,0,0,0,0
36746,-112,12891,1936,9923,2225,5111,-2104,49,46,-63,0,0,0,0,0,0,0,0
59278,-115,12883,1955,9930,2223,5131,-2107,71,60,-80,0,0,0,0,0,0,0,0
67339,-115,12883,1955,9930,2223,5131,-2107,71,60,-80,44,35,28,35,25,29,67,60
74315,-116,12873,1978,9939,2224,5124,-2101,75,70,-108,44,35,28,35,25,29,67,60
89849,-116,12873,1978,9939,2224,5124,-2101,75,70,-108,44,36,29,34,27,29,68,61
96857,-116,12861,2000,9950,2216,5109,-2103,71,89,-107,44,36,29,34,27,29,68,61
112389,-116,12861,2000,9950,2216,5109,-2103,71,89,-107,44,36,31,35,26,30,70,52
119341,-118,12846,2023,9964,2197,5118,-2131,72,112,-103,44,36,31,35,26,30,70,52
127367,-118,12846,2023,9964,2197,5118,-2131,72,112,-103,53,40,39,41,26,31,69,52
134357,-119,12828,2046,9982,2169,5115,-2127,73,137,-114,53,40,39,41,26,31,69,52
149864,-119,12828,2046,9982,2169,5115,-2127,73,137,-114,51,39,46,42,25,29,49,49
156841,-120,12807,2074,10003,2137,5085,-2131,88,164,-131,51,39,46,42,25,29,49,49
172386,-120,12807,2074,10003,2137,5085,-2131,88,164,-131,55,47,47,36,24,30,51,52
179340,-123,12782,2104,10029,2120,5047,-2152,95,202,-145,55,47,47,36,24,30,51,52
187311,-123,12782,2104,10029,2120,5047,-2152,95,202,-145,58,51,50,40,23,33,55,54
194356,-132,12752,2139,10060,2144,5030,-2173,138,238,-140,58,51,50,40,23,33,55,54
209889,-132,12752,2139,10060,2144,5030,-2173,138,238,-140,55,50,51,45,24,42,72,57
216863,-146,12719,2181,10092,2179,5031,-2210,183,262,-164,55,50,51,45,24,42,72,57
232371,-146,12719,2181,10092,2179,5031,-2210,183,262,-164,59,51,50,43,27,51,99,78
239364,-162,12682,2237,10127,2178,4941,-2232,238,287,-214,59,51,50,43,27,51,99,78
247394,-162,12682,2237,10127,2178,4941,-2232,238,287,-214,72,53,44,42,32,62,125,104
254340,-198,12647,2299,10155,2182,4856,-2292,351,268,-178,72,53,44,42,32,62,125,104
269879,-198,12647,2299,10155,2182,4856,-2292,351,268,-178,73,48,45,40,32,64,134,107
276853,-267,12630,2348,10164,2193,4857,-2376,463,146,14,73,48,45,40,32,64,134,107
292376,-267,12630,2348,10164,2193,4857,-2376,463,146,14,99,49,41,43,34,77,163,122
299313,-382,12654,2344,10131,2216,4979,-2439,502,-131,440,99,49,41,43,34,77,163,122
307360,-382,12654,2344,10131,2216,4979,-2439,502,-131,440,120,63,45,51,52,146,346,178
314341,-554,12734,2235,10048,2349,5255,-2421,423,-486,1138,120,63,45,51,52,146,346,178
329891,-554,12734,2235,10048,2349,5255,-2421,423,-486,1138,121,62,44,59,96,182,455,192
336826,-767,12856,1960,9935,2574,5649,-2234,49,-695,2042,121,62,44,59,96,182,455,192
352336,-767,12856,1960,9935,2574,5649,-2234,49,-695,2042,124,70,65,89,191,244,538,214
359291,-911,13001,1428,9824,2526,5836,-2137,-1141,-746,2954,124,70,65,89,191,244,538,214
367355,-911,13001,1428,9824,2526,5836,-2137,-1141,-746,2954,128,86,78,150,315,422,648,259
374323,-900,13168,648,9684,2188,5733,-2271,-2649,-947,3554,128,86,78,150,315,422,648,259
389864,-900,13168,648,9684,2188,5733,-2271,-2649,-947,3554,139,133,121,174,385,516,727,299
396822,-800,13347,-257,9464,1970,5555,-2463,-3457,-1323,3850,139,133,121,174,385,516,727,299
412353,-800,13347,-257,9464,1970,5555,-2463,-3457,-1323,3850,127,134,131,215,430,541,732,290
419313,-635,13512,-1210,9163,1653,5285,-2684,-3911,-1636,3889,127,134,131,215,430,541,732,290
427377,-635,13512,-1210,9163,1653,5285,-2684,-3911,-1636,3889,124,138,134,240,466,567,704,288
434338,-499,13665,-2120,8771,1506,4862,-2705,-3678,-2039,3802,124,138,134,240,466,567,704,288
449887,-499,13665,-2120,8771,1506,4862,-2705,-3678,-2039,3802,122,142,135,238,451,568,731,300
456856,-469,13797,-2997,8298,1873,4745,-2467,-3137,-2436,3996,122,142,135,238,451,568,731,300
472367,-469,13797,-2997,8298,1873,4745,-2467,-3137,-2436,3996,128,137,137,214,391,487,732,343
479320,-560,13889,-3836,7778,2548,4743,-2014,-2504,-2677,4211,128,137,137,214,391,487,732,343
487338,-560,13889,-3836,7778,2548,4743,-2014,-2504,-2677,4211,106,94,103,202,334,402,711,340
494326,-689,13934,-4602,7253,2962,4943,-1619,-1911,-2539,4245,106,94,103,202,334,402,711,340
509840,-689,13934,-4602,7253,2962,4943,-1619,-1911,-2539,4245,106,94,91,156,273,352,664,333
516766,-796,13925,-5277,6786,2991,5184,-1327,-1657,-2185,3864,106,94,91,156,273,352,664,333
532311,-796,13925,-5277,6786,2991,5184,-1327,-1657,-2185,3864,103,98,90,113,191,296,644,329
539285,-799,13889,-5836,6389,2963,5366,-1179,-1721,-1682,3105,103,98,90,113,191,296,644,329
547355,-799,13889,-5836,6389,2963,5366,-1179,-1721,-1682,3105,104,91,86,101,154,254,553,307
554331,-796,13830,-6260,6110,2944,5499,-1167,-1481,-1073,2200,104,91,86,101,154,254,553,307
569837,-796,13830,-6260,6110,2944,5499,-1167,-1481,-1073,2200,96,93,80,87,114,182,427,226
576789,-780,13780,-6519,5952,2897,5542,-1178,-940,-537,1339,96,93,80,87,114,182,427,226
592323,-780,13780,-6519,5952,2897,5542,-1178,-940,-537,1339,90,97,80,72,81,181,399,188
599370,-765,13734,-6658,5906,2822,5580,-1279,-444,-55,737,90,97,80,72,81,181,399,188
607313,-765,13734,-6658,5906,2822,5580,-1279,-444,-55,737,88,91,82,76,91,185,406,193
614291,-763,13690,-6717,5942,2710,5654,-1487,-39,280,362,88,91,82,76,91,185,406,193
629825,-763,13690,-6717,5942,2710,5654,-1487,-39,280,362,92,82,81,76,111,193,411,199
636814,-788,13658,-6709,6022,2670,5832,-1631,328,382,66,92,82,81,76,111,193,411,199
652408,-788,13658,-6709,6022,2670,5832,-1631,328,382,66,86,83,68,72,109,184,398,185
659363,-822,13644,-6651,6111,2676,5873,-1695,482,348,-192,86,83,68,72,109,184,398,185
666663,-822,13644,-6651,6111,2676,5873,-1695,482,348,-192,83,73,63,65,105,188,398,176
675815,-824,13648,-6580,6178,2707,5801,-1731,308,279,-358,83,73,63,65,105,188,398,176
689892,-824,13648,-6580,6178,2707,5801,-1731,308,279,-358,75,61,63,62,99,156,316,159
696857,-796,13666,-6505,6223,2671,5744,-1706,127,211,-460,75,61,63,62,99,156,316,159
712361,-796,13666,-6505,6223,2671,5744,-1706,127,211,-460,73,59,60,66,99,148,257,153
719337,-763,13691,-6429,6251,2668,5654,-1725,63,130,-487,73,59,60,66,99,148,257,153
735544,-763,13691,-6429,6251,2668,5654,-1725,63,130,-487,66,55,55,61,75,133,218,142
737273,-730,13717,-6353,6274,2658,5531,-1743,50,106,-488,66,55,55,61,75,133,218,142
749881,-730,13717,-6353,6274,2658,5531,-1743,50,106,-488,63,47,56,68,73,133,217,141
756796,-707,13742,-6277,6300,2637,5532,-1727,102,96,-465,63,47,56,68,73,133,217,141
772341,-707,13742,-6277,6300,2637,5532,-1727,102,96,-465,57,46,50,72,77,122,199,134
779316,-707,13763,-6200,6330,2584,5575,-1710,226,78,-415,57,46,50,72,77,122,199,134
795539,-707,13763,-6200,6330,2584,5575,-1710,226,78,-415,58,52,47,73,80,119,211,137
797288,-725,13780,-6129,6359,2554,5641,-1673,295,44,-339,58,52,47,73,80,119,211,137
