Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-1182,6245,14092,5424,1481,6182,160,36,-340,689,0,0,0,0,0,0,0,0
7514,-1184,6341,14021,5496,1528,6205,172,-12,-308,619,0,0,0,0,0,0,0,0
14953,-1181,6421,13954,5573,1522,6251,170,-27,-282,540,0,0,0,0,0,0,0,0
37923,-1171,6489,13892,5651,1518,6281,175,-34,-279,464,0,0,0,0,0,0,0,0
52481,-1155,6551,13827,5743,1554,6279,198,-124,-271,419,0,0,0,0,0,0,0,0
68092,-1155,6551,13827,5743,1554,6279,198,-124,-271,419,29,41,54,79,37,28,28,23
75124,-1142,6610,13761,5836,1602,6250,194,-152,-261,385,29,41,54,79,37,28,28,23
90633,-1142,6610,13761,5836,1602,6250,194,-152,-261,385,29,42,60,96,47,29,27,27
97575,-1131,6663,13698,5925,1642,6215,185,-153,-251,341,29,42,60,96,47,29,27,27
113780,-1131,6663,13698,5925,1642,6215,185,-153,-251,341,32,45,60,92,49,29,29,30
115519,-1125,6707,13642,6003,1676,6213,166,-93,-238,284,32,45,60,92,49,29,29,30
128093,-1125,6707,13642,6003,1676,6213,166,-93,-238,284,32,46,63,99,55,34,29,29
135046,-1118,6741,13595,6074,1675,6219,143,-54,-225,221,32,46,63,99,55,34,29,29
166293,-1118,6741,13595,6074,1675,6219,143,-54,-225,221,35,44,58,104,56,32,28,29
168072,-1112,6766,13554,6138,1661,6241,152,-4,-214,178,35,44,58,104,56,32,28,29
175234,-1112,6766,13554,6138,1661,6241,152,-4,-214,178,35,44,67,112,58,32,27,27
190227,-1102,6791,13517,6194,1650,6270,162,35,-237,172,35,44,67,112,58,32,27,27
191110,-1102,6791,13517,6194,1650,6270,162,35,-237,172,33,49,94,118,59,30,29,25
204047,-1087,6816,13485,6239,1663,6308,168,93,-294,165,33,49,94,118,59,30,29,25
212695,-1087,6816,13485,6239,1663,6308,168,93,-294,165,32,65,119,148,65,30,28,24
225098,-1078,6845,13456,6272,1749,6291,131,147,-320,154,32,65,119,148,65,30,28,24
233794,-1078,6845,13456,6272,1749,6291,131,147,-320,154,34,73,128,212,89,33,26,24
235525,-1078,6873,13429,6299,1856,6304,86,181,-319,140,34,73,128,212,89,33,26,24
248072,-1078,6873,13429,6299,1856,6304,86,181,-319,140,35,96,175,348,145,52,33,26
255070,-1095,6889,13425,6287,1940,6380,-43,449,-319,77,35,96,175,348,145,52,33,26
270581,-1095,6889,13425,6287,1940,6380,-43,449,-319,77,49,115,193,428,227,86,50,35
277518,-1118,6904,13427,6262,2010,6352,-305,449,-286,56,49,115,193,428,227,86,50,35
293771,-1118,6904,13427,6262,2010,6352,-305,449,-286,56,58,123,266,638,324,107,64,42
295519,-1156,6917,13395,6309,2094,6575,-199,199,-80,160,58,123,266,638,324,107,64,42
308108,-1156,6917,13395,6309,2094,6575,-199,199,-80,160,67,140,316,743,391,118,74,53
315098,-1230,6956,13359,6329,2066,6603,-102,429,-25,415,67,140,316,743,391,118,74,53
330592,-1230,6956,13359,6329,2066,6603,-102,429,-25,415,71,142,352,849,453,129,82,64
337582,-1321,7049,13292,6349,2053,6289,37,301,-68,720,71,142,352,849,453,129,82,64
353809,-1321,7049,13292,6349,2053,6289,37,301,-68,720,71,134,378,869,471,141,87,67
355546,-1431,7147,13247,6309,2124,6208,-40,626,-138,752,71,134,378,869,471,141,87,67
368077,-1431,7147,13247,6309,2124,6208,-40,626,-138,752,269,172,380,874,460,141,132,185
375088,-1610,7196,13239,6227,2340,6561,-230,1189,136,673,269,172,380,874,460,141,132,185
390587,-1610,7196,13239,6227,2340,6561,-230,1189,136,673,495,327,367,754,406,168,194,334
397537,-1875,7169,13211,6242,2390,7153,-398,1156,1001,718,495,327,367,754,406,168,194,334
413798,-1875,7169,13211,6242,2390,7153,-398,1156,1001,718,635,443,340,651,355,202,426,527
415563,-2325,7131,13083,6402,2210,7778,-472,321,2554,1138,635,443,340,651,355,202,426,527
428094,-2325,7131,13083,6402,2210,7778,-472,321,2554,1138,772,472,315,497,301,299,575,612
435071,-3043,7029,12817,6743,1947,7646,-419,-109,4510,1673,772,472,315,497,301,299,575,612
450634,-3043,7029,12817,6743,1947,7646,-419,-109,4510,1673,908,570,305,387,262,308,592,766
457522,-3938,6796,12428,7229,1662,6781,215,-536,6076,1639,908,570,305,387,262,308,592,766
473768,-3938,6796,12428,7229,1662,6781,215,-536,6076,1639,922,594,317,304,240,333,647,825
475496,-4832,6492,12028,7631,1998,5734,669,-176,6040,1371,922,594,317,304,240,333,647,825
488084,-4832,6492,12028,7631,1998,5734,669,-176,6040,1371,882,558,285,255,231,339,667,840
495084,-5531,6119,11709,7955,2651,5169,-150,-64,5200,442,882,558,285,255,231,339,667,840
510602,-5531,6119,11709,7955,2651,5169,-150,-64,5200,442,815,596,309,319,246,335,575,762
517521,-5996,5662,11628,8075,3910,6418,-1737,1137,3504,-622,815,596,309,319,246,335,575,762
533772,-5996,5662,11628,8075,3910,6418,-1737,1137,3504,-622,705,602,302,305,230,252,443,718
535520,-6321,5286,11469,8306,3498,7753,-1909,43,3104,-763,705,602,302,305,230,252,443,718
548070,-6321,5286,11469,8306,3498,7753,-1909,43,3104,-763,552,516,257,289,221,241,455,584
555073,-6576,5357,10849,8875,1044,6812,424,-3723,3316,1162,552,516,257,289,221,241,455,584
570601,-6576,5357,10849,8875,1044,6812,424,-3723,3316,1162,482,480,224,270,213,237,402,486
577570,-6056,4827,10611,9790,-4870,4186,-1065,-3885,1893,-5177,482,480,224,270,213,237,402,486
593773,-6056,4827,10611,9790,-4870,4186,-1065,-3885,1893,-5177,390,451,205,262,226,254,412,413
