Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,5766,5922,-11532,8193,4010,4781,-610,31,-5,-12,0,0,0,0,0,0,0,0
808,5766,5927,-11527,8197,3990,4764,-626,39,2,-21,0,0,0,0,0,0,0,0
21761,5765,5934,-11520,8202,3981,4772,-622,55,1,-29,0,0,0,0,0,0,0,0
44306,5764,5940,-11515,8206,3969,4792,-624,45,-5,-27,0,0,0,0,0,0,0,0
59288,5763,5946,-11510,8209,4005,4832,-663,37,-6,-24,0,0,0,0,0,0,0,0
67376,5763,5946,-11510,8209,4005,4832,-663,37,-6,-24,22,24,20,27,30,32,44,33
81749,5764,5951,-11507,8208,4077,4902,-773,11,-5,-30,22,24,20,27,30,32,44,33
89910,5764,5951,-11507,8208,4077,4902,-773,11,-5,-30,24,31,25,28,31,31,45,42
104236,5783,5968,-11513,8174,4097,4976,-861,-154,-57,-177,24,31,25,28,31,31,45,42
112450,5783,5968,-11513,8174,4097,4976,-861,-154,-57,-177,26,27,24,22,32,28,51,44
128134,5814,5985,-11525,8122,3998,4986,-864,-270,-55,-235,26,27,24,22,32,28,51,44
128984,5814,5985,-11525,8122,3998,4986,-864,-270,-55,-235,29,28,22,26,30,31,49,45
141794,5834,6012,-11530,8081,3968,4862,-830,-158,-87,-232,29,28,22,26,30,31,49,45
149929,5834,6012,-11530,8081,3968,4862,-830,-158,-87,-232,42,32,32,26,33,32,49,59
164262,5826,6070,-11534,8038,3917,5075,-851,-48,-292,-283,42,32,32,26,33,32,49,59
172388,5826,6070,-11534,8038,3917,5075,-851,-48,-292,-283,55,47,84,33,30,32,56,87
188093,5830,6145,-11557,7944,4018,5337,-1200,-296,-428,-446,55,47,84,33,30,32,56,87
188872,5830,6145,-11557,7944,4018,5337,-1200,-296,-428,-446,76,72,99,38,37,34,61,127
201854,5838,6247,-11577,7830,3853,5412,-1332,-319,-528,-612,76,72,99,38,37,34,61,127
209884,5838,6247,-11577,7830,3853,5412,-1332,-319,-528,-612,113,130,105,40,37,39,57,135
224259,5846,6438,-11564,7685,3797,5397,-1571,-173,-763,-1092,113,130,105,40,37,39,57,135
232386,5846,6438,-11564,7685,3797,5397,-1571,-173,-763,-1092,134,156,122,42,43,54,60,161
249559,5851,6708,-11523,7510,3742,5668,-1830,-57,-993,-1520,134,156,122,42,43,54,60,161
251178,5766,5922,-11532,8193,4010,4781,-610,31,-5,-12,134,156,122,42,43,54,60,161
251998,5766,5927,-11527,8197,3990,4764,-626,39,2,-21,134,156,122,42,43,54,60,161
256992,5765,5934,-11520,8202,3981,4772,-622,55,1,-29,134,156,122,42,43,54,60,161
257789,5764,5940,-11515,8206,3969,4792,-624,45,-5,-27,134,156,122,42,43,54,60,161
258633,5763,5946,-11510,8209,4005,4832,-663,37,-6,-24,134,156,122,42,43,54,60,161
259450,5763,5946,-11510,8209,4005,4832,-663,37,-6,-24,22,24,20,27,30,32,44,33
264472,5763,5946,-11510,8209,4005,4832,-663,37,-6,-24,24,31,25,28,31,31,45,42
280352,5783,5968,-11513,8174,4097,4976,-861,-154,-57,-177,24,31,25,28,31,31,45,42
281134,5783,5968,-11513,8174,4097,4976,-861,-154,-57,-177,26,27,24,22,32,28,51,44
302819,5814,5985,-11525,8122,3998,4986,-864,-270,-55,-235,26,27,24,22,32,28,51,44
303608,5814,5985,-11525,8122,3998,4986,-864,-270,-55,-235,29,28,22,26,30,31,49,45
325333,5834,6012,-11530,8081,3968,4862,-830,-158,-87,-232,29,28,22,26,30,31,49,45
326150,5834,6012,-11530,8081,3968,4862,-830,-158,-87,-232,42,32,32,26,33,32,49,59
347786,5826,6070,-11534,8038,3917,5075,-851,-48,-292,-283,42,32,32,26,33,32,49,59
348613,5826,6070,-11534,8038,3917,5075,-851,-48,-292,-283,55,47,84,33,30,32,56,87
370388,5830,6145,-11557,7944,4018,5337,-1200,-296,-428,-446,55,47,84,33,30,32,56,87
371158,5830,6145,-11557,7944,4018,5337,-1200,-296,-428,-446,76,72,99,38,37,34,61,127
392838,5838,6247,-11577,7830,3853,5412,-1332,-319,-528,-612,76,72,99,38,37,34,61,127
393634,5838,6247,-11577,7830,3853,5412,-1332,-319,-528,-612,113,130,105,40,37,39,57,135
415352,5846,6438,-11564,7685,3797,5397,-1571,-173,-763,-1092,113,130,105,40,37,39,57,135
416108,5846,6438,-11564,7685,3797,5397,-1571,-173,-763,-1092,134,156,122,42,43,54,60,161
437834,5851,6708,-11523,7510,3742,5668,-1830,-57,-993,-1520,134,156,122,42,43,54,60,161
438656,5851,6708,-11523,7510,3742,5668,-1830,-57,-993,-1520,139,168,136,52,42,58,64,168
460352,5824,7071,-11444,7318,3610,5906,-1708,231,-1318,-1928,139,168,136,52,42,58,64,168
461156,5824,7071,-11444,7318,3610,5906,-1708,231,-1318,-1928,158,189,118,51,43,59,65,167
482814,5796,7504,-11326,7088,3575,6183,-1669,327,-1517,-2364,158,189,118,51,43,59,65,167
483752,5796,7504,-11326,7088,3575,6183,-1669,327,-1517,-2364,153,183,128,52,49,75,79,153
505372,5767,8004,-11163,6818,3611,6424,-1565,411,-1691,-2820,153,183,128,52,49,75,79,153
506148,5767,8004,-11163,6818,3611,6424,-1565,411,-1691,-2820,132,157,143,59,56,78,92,160
527814,5727,8571,-10934,6527,3695,6550,-1489,653,-1817,-3269,132,157,143,59,56,78,92,160
528609,5727,8571,-10934,6527,3695,6550,-1489,653,-1817,-3269,114,137,165,56,59,83,108,164
529466,5727,8571,-10934,6527,3695,6550,-1489,653,-1817,-3269,132,157,143,59,56,78,92,160
534434,5727,8571,-10934,6527,3695,6550,-1489,653,-1817,-3269,114,137,165,56,59,83,108,164
550327,5666,9190,-10635,6226,3659,6722,-1315,932,-1906,-3643,114,137,165,56,59,83,108,164
551135,5666,9190,-10635,6226,3659,6722,-1315,932,-1906,-3643,106,123,162,50,63,110,116,220
572800,5581,9832,-10273,5923,3701,6643,-1255,1178,-1929,-3879,106,123,162,50,63,110,116,220
573630,5581,9832,-10273,5923,3701,6643,-1255,1178,-1929,-3879,68,82,162,49,62,169,116,220
595313,5474,10467,-9867,5616,3720,6531,-1191,1315,-1922,-3966,68,82,162,49,62,169,116,220
596109,5474,10467,-9867,5616,3720,6531,-1191,1315,-1922,-3966,62,76,147,50,56,204,121,226
617877,5360,11065,-9438,5309,3731,6545,-1034,1319,-1828,-3911,62,76,147,50,56,204,121,226
618664,5360,11065,-9438,5309,3731,6545,-1034,1319,-1828,-3911,54,53,133,41,48,219,117,219
640309,5237,11620,-8987,5022,3708,6451,-942,1374,-1662,-3797,54,53,133,41,48,219,117,219
641134,5237,11620,-8987,5022,3708,6451,-942,1374,-1662,-3797,48,38,102,44,44,222,117,206
662782,5106,12123,-8525,4766,3645,6141,-912,1424,-1453,-3614,48,38,102,44,44,222,117,206
663584,5106,12123,-8525,4766,3645,6141,-912,1424,-1453,-3614,50,32,107,45,47,222,124,145
685361,4985,12575,-8049,4544,3460,5838,-938,1513,-1240,-3393,50,32,107,45,47,222,124,145
686141,4985,12575,-8049,4544,3460,5838,-938,1513,-1240,-3393,48,31,137,48,54,190,142,157
707858,4833,12975,-7584,4380,3331,5664,-1018,1676,-1006,-3084,48,31,137,48,54,190,142,157
708632,4833,12975,-7584,4380,3331,5664,-1018,1676,-1006,-3084,44,31,138,46,58,154,141,134
730293,4676,13317,-7148,4258,3225,5555,-1050,1655,-801,-2749,44,31,138,46,58,154,141,134
731102,4676,13317,-7148,4258,3225,5555,-1050,1655,-801,-2749,46,32,135,46,60,154,144,150
752809,4509,13608,-6743,4177,3159,5490,-1061,1664,-621,-2414,46,32,135,46,60,154,144,150
753665,4509,13608,-6743,4177,3159,5490,-1061,1664,-621,-2414,46,31,124,42,58,148,139,139
775327,4337,13851,-6376,4136,3055,5399,-1142,1644,-428,-2068,46,31,124,42,58,148,139,139
776114,4337,13851,-6376,4136,3055,5399,-1142,1644,-428,-2068,36,31,111,41,49,136,165,138
797870,4145,14045,-6067,4144,3017,5185,-1351,1669,-248,-1604,36,31,111,41,49,136,165,138
798688,4145,14045,-6067,4144,3017,5185,-1351,1669,-248,-1604,42,33,59,43,58,159,223,134
820311,3940,14189,-5825,4200,2976,4871,-1562,1584,-144,-1184,42,33,59,43,58,159,223,134
821162,3940,14189,-5825,4200,2976,4871,-1562,1584,-144,-1184,45,34,52,42,51,153,224,134
842825,3714,14307,-5648,4247,2852,4814,-1678,1535,-218,-780,45,34,52,42,51,153,224,134
843612,3714,14307,-5648,4247,2852,4814,-1678,1535,-218,-780,44,37,48,41,51,132,242,129
865362,3454,14384,-5587,4285,3010,4692,-2139,1415,-365,-113,44,37,48,41,51,132,242,129
866135,3454,14384,-5587,4285,3010,4692,-2139,1415,-365,-113,52,38,44,41,52,138,261,144
887818,3198,14431,-5619,4284,3259,4333,-2419,1268,-598,441,52,38,44,41,52,138,261,144
888608,3198,14431,-5619,4284,3259,4333,-2419,1268,-598,441,61,41,33,38,58,146,280,144
910296,2949,14460,-5719,4233,3267,4102,-2488,1011,-882,744,61,41,33,38,58,146,280,144
911083,2949,14460,-5719,4233,3267,4102,-2488,1011,-882,744,69,43,35,32,49,110,278,170
932834,2747,14450,-5932,4109,3056,4197,-2508,436,-1207,1240,69,43,35,32,49,110,278,170
933634,2747,14450,-5932,4109,3056,4197,-2508,436,-1207,1240,77,48,36,28,54,116,305,203
955356,2531,14380,-6311,3925,2854,4276,-2635,99,-1605,2140,77,48,36,28,54,116,305,203
956110,2531,14380,-6311,3925,2854,4276,-2635,99,-1605,2140,98,48,37,27,53,125,312,238
977777,2403,14221,-6908,3562,2639,4485,-2532,-1079,-2384,3146,98,48,37,27,53,125,312,238
978583,2403,14221,-6908,3562,2639,4485,-2532,-1079,-2384,3146,144,73,47,33,63,178,509,403
1000311,2357,13948,-7697,3012,2568,4590,-2371,-2228,-3164,4098,144,73,47,33,63,178,509,403
1001140,2357,13948,-7697,3012,2568,4590,-2371,-2228,-3164,4098,180,82,51,33,73,213,543,489
1022819,2463,13536,-8609,2243,2508,5290,-2240,-3699,-3808,4756,180,82,51,33,73,213,543,489
1023639,2463,13536,-8609,2243,2508,5290,-2240,-3699,-3808,4756,197,86,52,31,74,246,573,517
1045369,2584,12980,-9555,1407,2056,5816,-3118,-4223,-3893,5228,197,86,52,31,74,246,573,517
