Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3594,9344,-3421,12509,4028,4833,-525,182,-57,50,0,0,0,0,0,0,0,0
7489,3541,9367,-3361,12523,3993,4807,-457,468,-46,21,0,0,0,0,0,0,0,0
22476,3465,9399,-3280,12542,3972,4804,-410,655,-66,53,0,0,0,0,0,0,0,0
44978,3381,9431,-3201,12562,4021,4813,-352,664,-71,93,0,0,0,0,0,0,0,0
59945,3308,9455,-3131,12581,4043,4858,-309,585,-45,83,0,0,0,0,0,0,0,0
68112,3308,9455,-3131,12581,4043,4858,-309,585,-45,83,28,26,24,27,79,95,86,24
82471,3250,9475,-3070,12596,4026,4890,-312,487,-30,47,28,26,24,27,79,95,86,24
90629,3250,9475,-3070,12596,4026,4890,-312,487,-30,47,26,25,23,30,83,92,57,25
104972,3213,9491,-3025,12604,4011,4867,-290,336,-32,5,26,25,23,30,83,92,57,25
113107,3213,9491,-3025,12604,4011,4867,-290,336,-32,5,24,23,26,31,85,90,55,27
120044,3186,9508,-2991,12606,4011,4830,-312,258,-55,-7,24,23,26,31,85,90,55,27
128093,3186,9508,-2991,12606,4011,4830,-312,258,-55,-7,26,23,24,32,91,69,57,26
142497,3164,9526,-2969,12603,4022,4772,-295,180,-86,2,26,23,24,32,91,69,57,26
150623,3164,9526,-2969,12603,4022,4772,-295,180,-86,2,26,24,25,29,94,70,55,27
164984,3139,9544,-2953,12600,4020,4790,-307,164,-97,29,26,24,25,29,94,70,55,27
173070,3139,9544,-2953,12600,4020,4790,-307,164,-97,29,21,26,25,30,84,73,54,28
190249,3119,9562,-2938,12594,3985,4780,-311,142,-102,14,21,26,25,30,84,73,54,28
191068,3119,9562,-2938,12594,3985,4780,-311,142,-102,14,21,27,25,29,79,71,63,27
204084,3106,9580,-2928,12586,3971,4780,-330,99,-107,-1,21,27,25,29,79,71,63,27
212671,3106,9580,-2928,12586,3971,4780,-330,99,-107,-1,27,27,23,29,93,83,68,26
225074,3097,9597,-2924,12577,4008,4787,-347,54,-106,-5,27,27,23,29,93,83,68,26
233071,3097,9597,-2924,12577,4008,4787,-347,54,-106,-5,27,26,24,39,82,86,61,24
240027,3086,9611,-2916,12570,4024,4777,-354,76,-85,0,27,26,24,39,82,86,61,24
248096,3086,9611,-2916,12570,4024,4777,-354,76,-85,0,27,26,23,40,84,82,61,27
262473,3073,9625,-2903,12566,3980,4794,-373,112,-73,-2,27,26,23,40,84,82,61,27
270599,3073,9625,-2903,12566,3980,4794,-373,112,-73,-2,26,23,24,40,79,78,61,26
277558,3056,9640,-2889,12561,3991,4821,-408,126,-86,3,26,23,24,40,79,78,61,26
288553,3594,9344,-3421,12509,4028,4833,-525,182,-57,50,26,23,24,40,79,78,61,26
289345,3541,9367,-3361,12523,3993,4807,-457,468,-46,21,26,23,24,40,79,78,61,26
290213,3465,9399,-3280,12542,3972,4804,-410,655,-66,53,26,23,24,40,79,78,61,26
295152,3381,9431,-3201,12562,4021,4813,-352,664,-71,93,26,23,24,40,79,78,61,26
295956,3308,9455,-3131,12581,4043,4858,-309,585,-45,83,26,23,24,40,79,78,61,26
296775,3308,9455,-3131,12581,4043,4858,-309,585,-45,83,28,26,24,27,79,95,86,24
297721,3308,9455,-3131,12581,4043,4858,-309,585,-45,83,26,25,23,30,83,92,57,25
318496,3213,9491,-3025,12604,4011,4867,-290,336,-32,5,26,25,23,30,83,92,57,25
319358,3213,9491,-3025,12604,4011,4867,-290,336,-32,5,24,23,26,31,85,90,55,27
341053,3186,9508,-2991,12606,4011,4830,-312,258,-55,-7,24,23,26,31,85,90,55,27
