Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-3188,5539,12306,8726,2189,6316,435,350,31,117,0,0,0,0,0,0,0,0
7548,-3217,5548,12339,8661,2201,6331,423,416,-44,169,0,0,0,0,0,0,0,0
15039,-3245,5565,12371,8594,2235,6303,392,406,-83,187,0,0,0,0,0,0,0,0
37517,-3267,5586,12399,8532,2252,6306,412,383,-122,190,0,0,0,0,0,0,0,0
60039,-3282,5609,12430,8466,2258,6324,378,392,-167,196,0,0,0,0,0,0,0,0
68125,-3282,5609,12430,8466,2258,6324,378,392,-167,196,37,58,79,76,50,34,29,43
75081,-3288,5638,12456,8406,2249,6359,379,354,-206,217,37,58,79,76,50,34,29,43
90632,-3288,5638,12456,8406,2249,6359,379,354,-206,217,35,54,77,95,57,34,25,30
97592,-3286,5673,12477,8352,2250,6372,371,301,-251,237,35,54,77,95,57,34,25,30
113155,-3286,5673,12477,8352,2250,6372,371,301,-251,237,30,52,87,101,58,29,25,34
120124,-3272,5716,12495,8302,2254,6387,340,253,-316,242,30,52,87,101,58,29,25,34
128101,-3272,5716,12495,8302,2254,6387,340,253,-316,242,28,49,83,99,60,29,26,30
135080,-3245,5766,12505,8262,2282,6357,288,135,-355,223,28,49,83,99,60,29,26,30
150708,-3245,5766,12505,8262,2282,6357,288,135,-355,223,27,45,74,97,63,31,25,30
157658,-3208,5823,12500,8244,2318,6361,305,-16,-378,222,27,45,74,97,63,31,25,30
173175,-3208,5823,12500,8244,2318,6361,305,-16,-378,222,26,42,79,126,60,29,27,30
180171,-3174,5888,12491,8225,2360,6321,286,-27,-395,244,26,42,79,126,60,29,27,30
188122,-3174,5888,12491,8225,2360,6321,286,-27,-395,244,27,46,96,166,74,30,28,26
195143,-3147,5947,12490,8194,2375,6296,278,63,-387,223,27,46,96,166,74,30,28,26
210675,-3147,5947,12490,8194,2375,6296,278,63,-387,223,32,41,96,181,74,35,28,20
217629,-3122,6007,12490,8160,2393,6233,224,57,-380,213,32,41,96,181,74,35,28,20
233167,-3122,6007,12490,8160,2393,6233,224,57,-380,213,34,43,103,200,80,35,31,24
240135,-3101,6064,12487,8130,2445,6255,211,53,-353,207,34,43,103,200,80,35,31,24
248167,-3101,6064,12487,8130,2445,6255,211,53,-353,207,39,45,103,198,78,37,31,26
255131,-3088,6115,12489,8094,2479,6283,216,127,-341,205,39,45,103,198,78,37,31,26
270662,-3088,6115,12489,8094,2479,6283,216,127,-341,205,43,49,105,225,77,39,48,45
277605,-3084,6163,12484,8067,2518,6289,210,106,-281,218,43,49,105,225,77,39,48,45
293161,-3084,6163,12484,8067,2518,6289,210,106,-281,218,51,46,86,194,67,67,65,63
300111,-3090,6200,12481,8040,2581,6357,139,142,-205,201,51,46,86,194,67,67,65,63
308153,-3090,6200,12481,8040,2581,6357,139,142,-205,201,54,51,74,186,117,102,95,85
315105,-3105,6225,12477,8021,2656,6401,86,136,-108,168,54,51,74,186,117,102,95,85
330633,-3105,6225,12477,8021,2656,6401,86,136,-108,168,79,56,103,244,134,176,122,129
337605,-3138,6239,12449,8041,2759,6321,77,-77,88,123,79,56,103,244,134,176,122,129
353805,-3138,6239,12449,8041,2759,6321,77,-77,88,123,141,85,125,272,241,438,147,212
360120,-3194,6238,12387,8114,2835,6286,138,-330,361,112,141,85,125,272,241,438,147,212
367477,-3194,6238,12387,8114,2835,6286,138,-330,361,112,171,110,152,368,363,521,277,271
376581,-3264,6213,12271,8281,2903,6213,293,-824,718,13,171,110,152,368,363,521,277,271
398897,-3264,6213,12271,8281,2903,6213,293,-824,718,13,223,227,367,554,574,631,365,315
400575,-3337,6156,12132,8497,2753,6246,847,-896,824,-54,223,227,367,554,574,631,365,315
415247,-3337,6156,12132,8497,2753,6246,847,-896,824,-54,367,358,545,695,742,804,462,397
427611,-3399,6035,12064,8654,2556,6376,232,-622,1075,-331,367,358,545,695,742,804,462,397
436974,-3399,6035,12064,8654,2556,6376,232,-622,1075,-331,445,497,740,772,778,852,524,434
439529,-3406,5839,11970,8913,2391,6820,-32,-1214,1498,-671,445,497,740,772,778,852,524,434
450633,-3406,5839,11970,8913,2391,6820,-32,-1214,1498,-671,441,556,863,873,831,851,537,438
457603,-3475,5775,11816,9131,2055,5333,490,-1382,1230,-226,441,556,863,873,831,851,537,438
473154,-3475,5775,11816,9131,2055,5333,490,-1382,1230,-226,454,636,929,913,895,886,558,454
480109,-3505,5649,11823,9189,1636,5525,514,-198,820,-509,454,636,929,913,895,886,558,454
496335,-3505,5649,11823,9189,1636,5525,514,-198,820,-509,465,617,884,849,842,940,544,467
498082,-3496,5485,11980,9087,1620,6068,441,951,307,-685,465,617,884,849,842,940,544,467
510635,-3496,5485,11980,9087,1620,6068,441,951,307,-685,424,591,842,813,812,876,500,428
517557,-3525,5393,12137,8921,1939,6264,421,1257,48,-246,424,591,842,813,812,876,500,428
533128,-3525,5393,12137,8921,1939,6264,421,1257,48,-246,405,510,725,828,863,878,448,435
540032,-3530,5346,12289,8738,2003,6278,344,1216,-230,-120,405,510,725,828,863,878,448,435
556304,-3530,5346,12289,8738,2003,6278,344,1216,-230,-120,419,475,613,734,802,814,458,425
558055,-3522,5298,12446,8546,2041,6253,299,1263,-326,-193,419,475,613,734,802,814,458,425
570654,-3522,5298,12446,8546,2041,6253,299,1263,-326,-193,437,430,612,679,695,749,377,404
577581,-3506,5252,12590,8368,2082,6399,156,1163,-318,-158,437,430,612,679,695,749,377,404
593129,-3506,5252,12590,8368,2082,6399,156,1163,-318,-158,422,425,603,648,631,597,338,383
600085,-3476,5223,12689,8249,2081,6547,144,786,-280,-73,422,425,603,648,631,597,338,383
616366,-3476,5223,12689,8249,2081,6547,144,786,-280,-73,385,378,560,573,510,535,319,384
618125,-3443,5209,12740,8193,2161,6560,123,366,-193,-28,385,378,560,573,510,535,319,384
630629,-3443,5209,12740,8193,2161,6560,123,366,-193,-28,369,363,530,439,432,496,347,389
637583,-3418,5212,12750,8186,2246,6509,132,24,-97,21,369,363,530,439,432,496,347,389
653126,-3418,5212,12750,8186,2246,6509,132,24,-97,21,393,333,537,504,444,470,324,375
660084,-3389,5232,12741,8199,2282,6437,102,-175,-103,58,393,333,537,504,444,470,324,375
676325,-3389,5232,12741,8199,2282,6437,102,-175,-103,58,363,240,436,468,467,491,349,365
678055,-3361,5263,12728,8210,2295,6365,170,-176,-159,85,363,240,436,468,467,491,349,365
690665,-3361,5263,12728,8210,2295,6365,170,-176,-159,85,350,267,501,475,512,533,361,362
697653,-3340,5299,12723,8203,2312,6280,284,-43,-233,94,350,267,501,475,512,533,361,362
713157,-3340,5299,12723,8203,2312,6280,284,-43,-233,94,364,281,507,481,534,585,378,353
720131,-3339,5335,12735,8162,2437,6340,297,217,-262,142,364,281,507,481,534,585,378,353
736313,-3339,5335,12735,8162,2437,6340,297,217,-262,142,318,270,501,486,481,550,349,298
738031,-3354,5372,12746,8115,2522,6503,257,299,-218,235,318,270,501,486,481,550,349,298
750609,-3354,5372,12746,8115,2522,6503,257,299,-218,235,289,294,488,425,513,654,374,304
757580,-3371,5411,12740,8091,2545,6608,238,185,-153,305,289,294,488,425,513,654,374,304
773115,-3371,5411,12740,8091,2545,6608,238,185,-153,305,300,342,521,395,502,653,384,297
780108,-3375,5457,12695,8129,2519,6703,287,-195,-72,342,300,342,521,395,502,653,384,297
