Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-23,9187,11143,7735,1904,6340,278,-3,-52,80,0,0,0,0,0,0,0,0
783,-18,9183,11112,7785,1957,6320,313,-76,-32,60,0,0,0,0,0,0,0,0
21848,-23,9175,11082,7837,1957,6288,294,-72,29,55,0,0,0,0,0,0,0,0
44304,-24,9163,11059,7884,1909,6293,267,-69,43,34,0,0,0,0,0,0,0,0
59266,-21,9153,11038,7925,1900,6303,279,-56,12,24,0,0,0,0,0,0,0,0
67443,-21,9153,11038,7925,1900,6303,279,-56,12,24,104,76,134,312,104,194,60,190
81850,-13,9141,11014,7971,1910,6343,299,-87,7,18,104,76,134,312,104,194,60,190
89920,-13,9141,11014,7971,1910,6343,299,-87,7,18,104,76,142,342,109,216,62,190
104348,-4,9129,10988,8021,1927,6340,300,-118,22,26,104,76,142,342,109,216,62,190
112430,-4,9129,10988,8021,1927,6340,300,-118,22,26,103,73,120,253,95,217,60,152
119374,-1,9118,10963,8068,1926,6294,292,-113,42,19,103,73,120,253,95,217,60,152
127432,-1,9118,10963,8068,1926,6294,292,-113,42,19,98,64,109,228,84,220,54,145
141851,2,9105,10941,8111,1909,6278,302,-99,42,3,98,64,109,228,84,220,54,145
149912,2,9105,10941,8111,1909,6278,302,-99,42,3,87,51,106,232,99,221,50,136
164328,4,9090,10924,8152,1902,6279,304,-81,52,-8,87,51,106,232,99,221,50,136
172394,4,9090,10924,8152,1902,6279,304,-81,52,-8,100,60,115,229,118,195,48,116
179373,6,9074,10907,8191,1899,6306,312,-71,59,-9,100,60,115,229,118,195,48,116
187418,6,9074,10907,8191,1899,6306,312,-71,59,-9,100,64,123,203,128,185,46,108
201822,2,9059,10888,8234,1913,6307,295,-87,97,12,100,64,123,203,128,185,46,108
209914,2,9059,10888,8234,1913,6307,295,-87,97,12,95,67,125,180,145,189,51,158
224325,3,9041,10867,8280,1888,6294,303,-135,106,2,95,67,125,180,145,189,51,158
232422,3,9041,10867,8280,1888,6294,303,-135,106,2,117,69,129,178,152,181,53,193
239382,10,9026,10851,8318,1857,6272,309,-118,66,-14,117,69,129,178,152,181,53,193
247421,10,9026,10851,8318,1857,6272,309,-118,66,-14,118,68,124,172,150,176,47,193
261804,13,9012,10837,8352,1873,6278,325,-78,59,-16,118,68,124,172,150,176,47,193
269936,13,9012,10837,8352,1873,6278,325,-78,59,-16,104,65,122,183,149,152,46,191
284281,10,8997,10826,8381,1900,6294,322,-41,71,-9,104,65,122,183,149,152,46,191
292426,10,8997,10826,8381,1900,6294,322,-41,71,-9,106,63,114,222,161,162,48,198
299452,3,8982,10815,8412,1894,6275,320,-48,97,-2,106,63,114,222,161,162,48,198
307395,3,8982,10815,8412,1894,6275,320,-48,97,-2,106,72,106,246,157,188,54,173
321777,-2,8967,10807,8438,1865,6291,322,-27,86,-10,106,72,106,246,157,188,54,173
329936,-2,8967,10807,8438,1865,6291,322,-27,86,-10,85,72,101,251,163,216,79,143
344272,-6,8953,10801,8461,1879,6296,325,-13,64,-9,85,72,101,251,163,216,79,143
352455,-6,8953,10801,8461,1879,6296,325,-13,64,-9,89,73,105,255,197,220,86,148
359397,-10,8942,10791,8485,1880,6290,317,-41,71,8,89,73,105,255,197,220,86,148
367424,-10,8942,10791,8485,1880,6290,317,-41,71,8,89,80,128,287,190,223,85,146
381796,-20,8929,10785,8506,1899,6281,342,6,84,-2,89,80,128,287,190,223,85,146
390011,-20,8929,10785,8506,1899,6281,342,6,84,-2,104,94,192,329,177,217,93,159
404281,-33,8911,10781,8530,1898,6276,328,-3,121,-16,104,94,192,329,177,217,93,159
412450,-33,8911,10781,8530,1898,6276,328,-3,121,-16,109,111,247,409,174,193,105,186
419425,-40,8893,10780,8551,1845,6322,337,10,104,-12,109,111,247,409,174,193,105,186
427445,-40,8893,10780,8551,1845,6322,337,10,104,-12,106,111,250,420,162,181,89,179
441772,-46,8879,10774,8573,1893,6321,326,-19,94,-2,106,111,250,420,162,181,89,179
457397,-46,8879,10774,8573,1893,6321,326,-19,94,-2,107,120,254,421,109,208,94,179
464366,-59,8862,10767,8599,1941,6287,381,-9,108,-15,107,120,254,421,109,208,94,179
472449,-59,8862,10767,8599,1941,6287,381,-9,108,-15,108,163,330,520,135,231,104,190
479384,-85,8841,10780,8604,1860,6264,347,147,136,-30,108,163,330,520,135,231,104,190
487433,-85,8841,10780,8604,1860,6264,347,147,136,-30,127,185,384,663,197,239,105,247
501772,-103,8834,10810,8574,1708,6348,376,340,-10,32,127,185,384,663,197,239,105,247
509923,-103,8834,10810,8574,1708,6348,376,340,-10,32,126,178,367,632,196,312,106,238
524302,-119,8847,10820,8547,1936,6395,211,221,-75,99,126,178,367,632,196,312,106,238
532436,-119,8847,10820,8547,1936,6395,211,221,-75,99,124,180,380,683,227,331,104,240
539391,-126,8842,10787,8593,2059,6249,383,-184,85,35,124,180,380,683,227,331,104,240
546752,-126,8842,10787,8593,2059,6249,383,-184,85,35,120,175,379,685,246,393,105,248
561880,-134,8820,10794,8607,1872,6253,278,14,123,-66,120,175,379,685,246,393,105,248
569944,-134,8820,10794,8607,1872,6253,278,14,123,-66,129,135,309,608,230,384,112,276
584254,-124,8800,10799,8621,1772,6287,269,-45,82,-64,129,135,309,608,230,384,112,276
592444,-124,8800,10799,8621,1772,6287,269,-45,82,-64,108,90,197,413,186,390,116,260
599382,-113,8792,10792,8639,1814,6302,337,-70,26,2,108,90,197,413,186,390,116,260
614895,-113,8792,10792,8639,1814,6302,337,-70,26,2,109,80,177,392,190,347,105,262
621895,-109,8787,10780,8658,1919,6283,325,-85,25,-2,109,80,177,392,190,347,105,262
629921,-109,8787,10780,8658,1919,6283,325,-85,25,-2,108,86,138,276,160,321,107,257
644298,-95,8777,10774,8677,1876,6267,328,-105,17,-58,108,86,138,276,160,321,107,257
652440,-95,8777,10774,8677,1876,6267,328,-105,17,-58,111,84,139,277,134,220,100,246
659398,-74,8766,10773,8689,1800,6322,335,-67,-12,-51,111,84,139,277,134,220,100,246
674908,-74,8766,10773,8689,1800,6322,335,-67,-12,-51,108,81,133,259,133,217,83,218
681872,-60,8768,10766,8696,1834,6321,323,-59,-45,17,108,81,133,259,133,217,83,218
689923,-60,8768,10766,8696,1834,6321,323,-59,-45,17,106,79,114,232,121,191,67,182
704309,-51,8772,10758,8701,1864,6330,367,-19,-56,35,106,79,114,232,121,191,67,182
712431,-51,8772,10758,8701,1864,6330,367,-19,-56,35,110,75,101,231,107,167,68,158
719370,-51,8780,10753,8699,1919,6278,327,19,-58,28,110,75,101,231,107,167,68,158
734942,-51,8780,10753,8699,1919,6278,327,19,-58,28,125,71,108,240,96,144,64,164
742392,-44,8785,10751,8697,1855,6281,343,8,-63,10,125,71,108,240,96,144,64,164
749918,-44,8785,10751,8697,1855,6281,343,8,-63,10,128,69,100,226,83,145,62,162
764339,-37,8789,10753,8691,1846,6302,316,28,-67,10,128,69,100,226,83,145,62,162
772405,-37,8789,10753,8691,1846,6302,316,28,-67,10,119,68,95,220,72,146,57,145
779374,-33,8794,10748,8692,1888,6293,325,-2,-48,25,119,68,95,220,72,146,57,145
794884,-33,8794,10748,8692,1888,6293,325,-2,-48,25,113,66,96,225,78,166,54,143
801860,-29,8798,10745,8692,1875,6300,307,1,-40,16,113,66,96,225,78,166,54,143
809917,-29,8798,10745,8692,1875,6300,307,1,-40,16,102,66,87,201,90,177,39,139
833134,-23,8801,10740,8695,1884,6286,308,-26,-38,9,102,66,87,201,90,177,39,139
833965,-23,8801,10740,8695,1884,6286,308,-26,-38,9,91,57,80,201,94,182,38,141
839399,-18,8801,10736,8699,1884,6276,317,-24,-25,-7,91,57,80,201,94,182,38,141
854937,-18,8801,10736,8699,1884,6276,317,-24,-25,-7,87,57,89,233,97,187,39,137
861880,-15,8798,10733,8707,1881,6266,345,-25,-2,-21,87,57,89,233,97,187,39,137
869932,-15,8798,10733,8707,1881,6266,345,-25,-2,-21,102,58,91,235,102,186,39,150
884274,-17,8791,10737,8708,1875,6266,292,18,21,-36,102,58,91,235,102,186,39,150
892442,-17,8791,10737,8708,1875,6266,292,18,21,-36,99,58,93,224,91,173,60,143
899372,-14,8784,10740,8712,1865,6282,309,-1,13,-40,99,58,93,224,91,173,60,143
914922,-14,8784,10740,8712,1865,6282,309,-1,13,-40,96,59,94,217,80,168,60,151
921884,-10,8775,10745,8715,1855,6302,311,5,15,-52,96,59,94,217,80,168,60,151
929897,-10,8775,10745,8715,1855,6302,311,5,15,-52,87,59,97,204,72,166,59,140
944294,-5,8767,10748,8720,1866,6287,310,-9,10,-52,87,59,97,204,72,166,59,140
952386,-5,8767,10748,8720,1866,6287,310,-9,10,-52,80,64,91,170,71,160,60,138
959371,-1,8758,10748,8728,1874,6287,316,-28,22,-53,80,64,91,170,71,160,60,138
974919,-1,8758,10748,8728,1874,6287,316,-28,22,-53,87,62,85,150,69,147,60,165
981849,0,8748,10752,8733,1865,6271,327,0,27,-57,87,62,85,150,69,147,60,165
997379,0,8748,10752,8733,1865,6271,327,0,27,-57,93,60,81,148,63,155,39,162
1004347,2,8739,10758,8735,1863,6303,330,23,16,-56,93,60,81,148,63,155,39,162
1011742,2,8739,10758,8735,1863,6303,330,23,16,-56,93,61,86,165,62,142,47,156
1020894,0,8731,10762,8738,1881,6282,324,17,22,-52,93,61,86,165,62,142,47,156
