Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,11411,10013,-5974,1503,1314,5387,1360,53,27,24,0,0,0,0,0,0,0,0
663,11384,10027,-5996,1524,1323,5360,1362,42,27,36,0,0,0,0,0,0,0,0
14221,11357,10042,-6018,1540,1302,5387,1349,41,13,39,0,0,0,0,0,0,0,0
36778,11334,10057,-6035,1549,1287,5427,1355,19,9,12,0,0,0,0,0,0,0,0
59214,11310,10072,-6052,1557,1285,5413,1352,18,5,5,0,0,0,0,0,0,0,0
67384,11310,10072,-6052,1557,1285,5413,1352,18,5,5,47,66,220,210,136,161,144,238
74361,11306,10075,-6056,1558,1294,5415,1378,0,-6,12,47,66,220,210,136,161,144,238
89892,11306,10075,-6056,1558,1294,5415,1378,0,-6,12,47,68,271,200,137,161,142,243
96825,11301,10078,-6060,1560,1305,5415,1363,-5,-12,8,47,68,271,200,137,161,142,243
112370,11301,10078,-6060,1560,1305,5415,1363,-5,-12,8,44,58,238,172,127,169,143,213
119324,11280,10090,-6077,1561,1272,5421,1364,-9,-18,-6,44,58,238,172,127,169,143,213
127400,11280,10090,-6077,1561,1272,5421,1364,-9,-18,-6,39,60,246,172,129,166,143,218
134364,11261,10101,-6094,1561,1300,5414,1382,-5,-27,-20,39,60,246,172,129,166,143,218
149847,11261,10101,-6094,1561,1300,5414,1382,-5,-27,-20,48,65,267,169,119,142,106,210
156822,11244,10109,-6112,1564,1321,5399,1375,-24,-15,-12,48,65,267,169,119,142,106,210
172373,11244,10109,-6112,1564,1321,5399,1375,-24,-15,-12,47,61,274,175,128,138,106,238
179325,11229,10115,-6128,1568,1308,5394,1384,-30,-4,-7,47,61,274,175,128,138,106,238
187345,11229,10115,-6128,1568,1308,5394,1384,-30,-4,-7,48,56,222,161,129,124,89,220
194324,11225,10117,-6132,1570,1275,5384,1384,-5,-9,-12,48,56,222,161,129,124,89,220
209891,11225,10117,-6132,1570,1275,5384,1384,-5,-9,-12,53,57,217,196,118,128,94,235
216834,11221,10119,-6136,1571,1299,5400,1385,7,-6,-12,53,57,217,196,118,128,94,235
240531,11221,10119,-6136,1571,1299,5400,1385,7,-6,-12,56,53,207,186,120,147,99,309
242273,11207,10127,-6147,1575,1307,5411,1396,-14,5,-21,56,53,207,186,120,147,99,309
