Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,13657,5817,3117,6192,2073,5555,-1845,-10,-11,-21,0,0,0,0,0,0,0,0
801,13658,5817,3118,6189,2075,5539,-1847,3,-1,-19,0,0,0,0,0,0,0,0
14341,13658,5817,3118,6189,2069,5564,-1845,5,6,-6,0,0,0,0,0,0,0,0
36863,13657,5819,3120,6189,2078,5573,-1848,16,6,-4,0,0,0,0,0,0,0,0
51816,13657,5819,3120,6189,2073,5573,-1829,6,14,0,0,0,0,0,0,0,0,0
67451,13657,5819,3120,6189,2073,5573,-1829,6,14,0,55,35,32,45,30,39,57,35
74396,13657,5819,3120,6189,2071,5551,-1840,-5,12,-2,55,35,32,45,30,39,57,35
81794,13657,5819,3120,6189,2071,5551,-1840,-5,12,-2,58,39,32,44,31,38,58,35
96972,13657,5817,3123,6190,2077,5555,-1826,-6,18,1,58,39,32,44,31,38,58,35
104902,13657,5817,3123,6190,2077,5555,-1826,-6,18,1,59,40,32,40,31,38,57,36
111982,13655,5818,3127,6191,2070,5561,-1841,22,22,-1,59,40,32,40,31,38,57,36
127455,13655,5818,3127,6191,2070,5561,-1841,22,22,-1,60,39,34,35,32,35,47,36
134392,13652,5821,3132,6191,2071,5576,-1848,28,17,0,60,39,34,35,32,35,47,36
149980,13652,5821,3132,6191,2071,5576,-1848,28,17,0,77,42,29,35,33,39,43,35
156902,13651,5821,3135,6192,2067,5574,-1845,7,18,-1,77,42,29,35,33,39,43,35
164980,13651,5821,3135,6192,2067,5574,-1845,7,18,-1,78,41,32,34,34,43,35,35
171968,13651,5821,3135,6192,2075,5556,-1847,-8,13,1,78,41,32,34,34,43,35,35
187438,13651,5821,3135,6192,2075,5556,-1847,-8,13,1,78,37,31,34,32,44,38,33
194429,13651,5821,3135,6192,2072,5549,-1843,0,10,-2,78,37,31,34,32,44,38,33
209987,13651,5821,3135,6192,2072,5549,-1843,0,10,-2,80,38,33,36,40,41,39,34
216905,13650,5823,3137,6191,2071,5550,-1841,16,5,0,80,38,33,36,40,41,39,34
224984,13650,5823,3137,6191,2071,5550,-1841,16,5,0,85,36,31,37,38,46,40,32
231963,13648,5826,3139,6191,2074,5568,-1860,22,2,0,85,36,31,37,38,46,40,32
247449,13648,5826,3139,6191,2074,5568,-1860,22,2,0,62,35,34,35,41,44,39,32
254417,13648,5826,3139,6191,2073,5570,-1855,-3,-1,-4,62,35,34,35,41,44,39,32
269991,13648,5826,3139,6191,2073,5570,-1855,-3,-1,-4,61,38,31,43,40,41,44,33
276886,13648,5826,3139,6191,2068,5549,-1843,-12,-3,-1,61,38,31,43,40,41,44,33
284978,13648,5826,3139,6191,2068,5549,-1843,-12,-3,-1,62,38,33,44,43,42,40,34
291969,13648,5826,3139,6191,2066,5544,-1835,5,-3,6,62,38,33,44,43,42,40,34
307419,13648,5826,3139,6191,2066,5544,-1835,5,-3,6,59,36,31,44,36,44,42,32
314371,13646,5830,3140,6191,2067,5558,-1846,23,2,7,59,36,31,44,36,44,42,32
