Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-8592,9559,6988,7375,3082,3632,1390,324,-84,338,0,0,0,0,0,0,0,0
8,-8613,9563,7005,7328,3061,3655,1377,244,-66,351,0,0,0,0,0,0,0,0
21929,-8624,9579,7010,7290,3069,3652,1379,124,-68,378,0,0,0,0,0,0,0,0
36946,-8628,9607,7002,7257,3031,3625,1378,18,-63,398,0,0,0,0,0,0,0,0
60783,-8623,9645,6988,7225,3015,3578,1380,-54,-91,400,0,0,0,0,0,0,0,0
61544,-8623,9645,6988,7225,3015,3578,1380,-54,-91,400,35,108,483,93,57,39,27,26
83243,-8623,9682,6973,7190,2981,3511,1407,-42,-111,390,35,108,483,93,57,39,27,26
84007,-8623,9682,6973,7190,2981,3511,1407,-42,-111,390,35,112,499,128,86,37,27,25
96857,-8632,9714,6964,7145,2924,3405,1425,39,-130,354,35,112,499,128,86,37,27,25
105034,-8632,9714,6964,7145,2924,3405,1425,39,-130,354,40,116,506,145,103,32,30,26
120744,-8654,9729,6966,7096,2896,3397,1447,162,-127,320,40,116,506,145,103,32,30,26
121551,-8654,9729,6966,7096,2896,3397,1447,162,-127,320,39,144,501,229,143,43,30,26
143242,-8679,9737,6979,7041,2881,3456,1460,239,-164,329,39,144,501,229,143,43,30,26
144007,-8679,9737,6979,7041,2881,3456,1460,239,-164,329,35,128,447,243,151,45,29,23
156876,-8695,9756,6990,6984,2866,3466,1480,166,-234,358,35,128,447,243,151,45,29,23
165013,-8695,9756,6990,6984,2866,3466,1480,166,-234,358,41,168,391,263,160,51,29,31
180692,-8715,9787,6993,6913,2850,3365,1493,153,-284,425,41,168,391,263,160,51,29,31
181503,-8715,9787,6993,6913,2850,3365,1493,153,-284,425,48,184,488,265,162,50,29,34
203373,-8750,9801,7014,6828,2873,3328,1518,328,-330,389,48,184,488,265,162,50,29,34
204065,-8750,9801,7014,6828,2873,3328,1518,328,-330,389,46,191,534,275,167,57,127,56
216926,-8816,9779,7054,6732,2868,3345,1537,604,-282,367,46,191,534,275,167,57,127,56
225019,-8816,9779,7054,6732,2868,3345,1537,604,-282,367,54,227,623,236,153,55,218,79
240738,-8896,9739,7104,6630,2791,3424,1554,743,-259,379,54,227,623,236,153,55,218,79
241505,-8896,9739,7104,6630,2791,3424,1554,743,-259,379,54,254,618,217,147,56,239,125
263246,-8995,9695,7152,6510,2781,3330,1584,854,-271,435,54,254,618,217,147,56,239,125
264014,-8995,9695,7152,6510,2781,3330,1584,854,-271,435,70,323,676,206,165,82,292,130
276859,-9108,9630,7222,6370,2781,3393,1550,1067,-304,452,70,323,676,206,165,82,292,130
285029,-9108,9630,7222,6370,2781,3393,1550,1067,-304,452,73,355,642,193,157,86,341,140
300729,-9227,9545,7311,6223,2785,3492,1561,1217,-332,434,73,355,642,193,157,86,341,140
301527,-9227,9545,7311,6223,2785,3492,1561,1217,-332,434,93,414,690,176,145,100,402,138
323238,-9338,9441,7430,6074,2783,3544,1523,1322,-393,317,93,414,690,176,145,100,402,138
324006,-9338,9441,7430,6074,2783,3544,1523,1322,-393,317,126,427,704,161,149,138,409,156
336874,-9427,9333,7570,5928,2808,3586,1504,1311,-485,208,126,427,704,161,149,138,409,156
344950,-9427,9333,7570,5928,2808,3586,1504,1311,-485,208,136,485,799,184,166,157,436,152
360781,-9517,9201,7728,5783,2987,3618,1525,1419,-512,134,136,485,799,184,166,157,436,152
362316,-9517,9201,7728,5783,2987,3618,1525,1419,-512,134,132,536,799,319,162,160,476,159
383278,-9641,9062,7881,5590,3144,3709,1474,1660,-506,127,132,536,799,319,162,160,476,159
384025,-9641,9062,7881,5590,3144,3709,1474,1660,-506,127,153,618,873,507,263,186,525,204
