Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,10108,983,-12745,1691,3819,3847,638,230,311,254,0,0,0,0,0,0,0,0
7474,10132,980,-12722,1725,3832,3881,652,177,312,238,0,0,0,0,0,0,0,0
15009,10155,967,-12702,1742,3808,3895,647,73,311,234,0,0,0,0,0,0,0,0
37491,10175,937,-12688,1742,3781,3868,648,-60,292,236,0,0,0,0,0,0,0,0
52510,10194,897,-12676,1742,3836,3776,642,-107,287,247,0,0,0,0,0,0,0,0
68137,10194,897,-12676,1742,3836,3776,642,-107,287,247,22,30,56,259,158,38,28,29
75077,10219,861,-12655,1763,3832,3717,698,-5,330,269,22,30,56,259,158,38,28,29
90634,10219,861,-12655,1763,3832,3717,698,-5,330,269,24,33,54,299,237,50,30,26
97554,10251,828,-12628,1790,3866,3761,738,42,372,305,24,33,54,299,237,50,30,26
113884,10251,828,-12628,1790,3866,3761,738,42,372,305,25,36,70,330,372,118,38,27
115561,10292,780,-12595,1809,3941,3800,728,-41,444,379,25,36,70,330,372,118,38,27
128126,10292,780,-12595,1809,3941,3800,728,-41,444,379,26,41,75,305,435,133,41,27
135093,10344,688,-12558,1810,3981,3788,742,-269,538,498,26,41,75,305,435,133,41,27
150627,10344,688,-12558,1810,3981,3788,742,-269,538,498,28,51,96,289,473,149,40,29
157600,10406,547,-12511,1823,4025,3674,751,-391,665,712,28,51,96,289,473,149,40,29
173772,10406,547,-12511,1823,4025,3674,751,-391,665,712,33,88,132,318,506,164,40,29
175518,10476,366,-12456,1850,4010,3569,756,-471,776,898,33,88,132,318,506,164,40,29
188096,10476,366,-12456,1850,4010,3569,756,-471,776,898,33,100,148,308,532,179,40,32
195067,10555,152,-12384,1908,3970,3402,840,-453,891,1097,33,100,148,308,532,179,40,32
210605,10555,152,-12384,1908,3970,3402,840,-453,891,1097,33,103,174,276,461,146,38,34
217544,10650,-85,-12286,2012,3914,3234,968,-332,1043,1307,33,103,174,276,461,146,38,34
233877,10650,-85,-12286,2012,3914,3234,968,-332,1043,1307,33,103,206,308,403,135,39,34
235548,10760,-315,-12160,2167,3792,3189,1047,-68,1214,1488,33,103,206,308,403,135,39,34
248120,10760,-315,-12160,2167,3792,3189,1047,-68,1214,1488,34,101,211,326,378,150,39,35
255097,10884,-532,-12006,2354,3562,3215,1120,159,1379,1595,34,101,211,326,378,150,39,35
270649,10884,-532,-12006,2354,3562,3215,1120,159,1379,1595,31,82,224,329,329,142,41,35
277604,11030,-761,-11821,2544,3315,3347,1175,118,1485,1606,31,82,224,329,329,142,41,35
293778,11030,-761,-11821,2544,3315,3347,1175,118,1485,1606,35,90,233,310,232,125,104,37
295518,11175,-1007,-11624,2723,3162,3299,1216,24,1549,1639,35,90,233,310,232,125,104,37
308112,11175,-1007,-11624,2723,3162,3299,1216,24,1549,1639,40,97,270,344,222,130,145,49
315072,11318,-1251,-11411,2923,3056,3160,1209,134,1609,1713,40,97,270,344,222,130,145,49
330592,11318,-1251,-11411,2923,3056,3160,1209,134,1609,1713,42,98,290,316,215,132,147,53
337554,11461,-1466,-11178,3159,2907,3200,1262,410,1650,1760,42,98,290,316,215,132,147,53
353852,11461,-1466,-11178,3159,2907,3200,1262,410,1650,1760,56,146,305,285,165,96,202,94
355543,11599,-1652,-10936,3400,2762,3277,1298,555,1637,1693,56,146,305,285,165,96,202,94
368131,11599,-1652,-10936,3400,2762,3277,1298,555,1637,1693,76,202,311,267,184,88,362,290
375094,11731,-1832,-10694,3618,2730,3368,1307,488,1630,1609,76,202,311,267,184,88,362,290
390622,11731,-1832,-10694,3618,2730,3368,1307,488,1630,1609,100,253,301,257,173,112,441,479
397606,11859,-2009,-10450,3815,2621,3333,1356,429,1638,1517,100,253,301,257,173,112,441,479
413789,11859,-2009,-10450,3815,2621,3333,1356,429,1638,1517,117,383,275,282,192,120,467,488
415517,11978,-2188,-10206,4001,2613,3294,1434,373,1615,1505,117,383,275,282,192,120,467,488
428111,11978,-2188,-10206,4001,2613,3294,1434,373,1615,1505,126,411,265,330,202,125,486,556
435077,12049,-2332,-10046,4111,2504,3292,1264,271,1503,1363,126,411,265,330,202,125,486,556
450595,12049,-2332,-10046,4111,2504,3292,1264,271,1503,1363,158,453,272,360,216,133,490,580
457542,12118,-2448,-9898,4196,2396,3271,1343,268,1402,1136,158,453,272,360,216,133,490,580
473857,12118,-2448,-9898,4196,2396,3271,1343,268,1402,1136,165,455,295,394,213,189,419,530
475542,12189,-2531,-9743,4304,2431,3114,1445,500,1357,1092,165,455,295,394,213,189,419,530
488070,12189,-2531,-9743,4304,2431,3114,1445,500,1357,1092,184,476,319,421,223,203,331,393
495049,12260,-2560,-9609,4387,2426,3395,1388,598,1249,923,184,476,319,421,223,203,331,393
510625,12260,-2560,-9609,4387,2426,3395,1388,598,1249,923,192,398,324,417,217,206,295,424
517593,12307,-2618,-9515,4425,2236,3465,1390,240,1075,805,192,398,324,417,217,206,295,424
533814,12307,-2618,-9515,4425,2236,3465,1390,240,1075,805,244,452,305,431,211,233,294,363
535561,12319,-2705,-9466,4443,2208,3165,1383,3,832,708,244,452,305,431,211,233,294,363
548132,12319,-2705,-9466,4443,2208,3165,1383,3,832,708,244,425,315,472,193,259,290,372
555097,12341,-2731,-9420,4463,2320,3170,1449,248,756,545,244,425,315,472,193,259,290,372
570603,12341,-2731,-9420,4463,2320,3170,1449,248,756,545,248,442,310,494,170,227,244,348
577550,12369,-2712,-9377,4492,2309,3117,1443,490,693,400,248,442,310,494,170,227,244,348
593886,12369,-2712,-9377,4492,2309,3117,1443,490,693,400,234,412,293,484,160,211,255,361
595544,12390,-2659,-9351,4516,2268,3265,1426,564,559,312,234,412,293,484,160,211,255,361
608109,12390,-2659,-9351,4516,2268,3265,1426,564,559,312,227,445,286,506,159,208,257,351
615048,12396,-2629,-9353,4514,2349,3259,1478,313,442,288,227,445,286,506,159,208,257,351
630644,12396,-2629,-9353,4514,2349,3259,1478,313,442,288,174,371,372,538,175,194,248,366
637614,12386,-2639,-9383,4473,2242,3165,1520,-41,331,181,174,371,372,538,175,194,248,366
653901,12386,-2639,-9383,4473,2242,3165,1520,-41,331,181,170,364,395,561,196,190,217,345
655523,12366,-2648,-9426,4433,2272,3080,1471,-35,262,148,170,364,395,561,196,190,217,345
667451,12366,-2648,-9426,4433,2272,3080,1471,-35,262,148,167,338,398,526,218,204,237,369
676548,12358,-2616,-9455,4411,2317,3058,1527,214,257,88,167,338,398,526,218,204,237,369
690633,12358,-2616,-9455,4411,2317,3058,1527,214,257,88,173,331,445,594,232,201,216,340
697548,12352,-2551,-9482,4408,2315,3098,1514,414,212,69,173,331,445,594,232,201,216,340
713904,12352,-2551,-9482,4408,2315,3098,1514,414,212,69,171,295,443,583,220,213,210,402
715589,12346,-2489,-9516,4388,2300,3248,1541,304,182,49,171,295,443,583,220,213,210,402
727463,12346,-2489,-9516,4388,2300,3248,1541,304,182,49,186,376,377,530,224,216,195,380
736604,12325,-2457,-9576,4333,2329,3262,1495,16,119,6,186,376,377,530,224,216,195,380
750614,12325,-2457,-9576,4333,2329,3262,1495,16,119,6,184,415,334,498,229,191,227,359
757562,12291,-2434,-9652,4273,2338,3116,1449,-36,33,-52,184,415,334,498,229,191,227,359
773798,12291,-2434,-9652,4273,2338,3116,1449,-36,33,-52,202,413,323,514,213,180,230,352
775519,12268,-2366,-9714,4239,2430,3073,1510,248,24,-96,202,413,323,514,213,180,230,352
796335,12268,-2366,-9714,4239,2430,3073,1510,248,24,-96,207,418,262,447,212,229,251,437
798048,12260,-2250,-9769,4198,2568,3339,1539,400,34,-162,207,418,262,447,212,229,251,437
810592,12260,-2250,-9769,4198,2568,3339,1539,400,34,-162,204,412,307,518,268,230,250,435
817557,12234,-2171,-9849,4130,2536,3473,1423,118,-20,-115,204,412,307,518,268,230,250,435
833806,12234,-2171,-9849,4130,2536,3473,1423,118,-20,-115,186,344,342,546,261,239,247,426
835538,12178,-2150,-9961,4037,2463,3317,1401,-258,-172,-109,186,344,342,546,261,239,247,426
