Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,933,-14131,8192,-887,51,3748,-126,-16,3,0,0,0,0,0,0,0,0,0
804,933,-14131,8192,-886,38,3744,-135,3,2,-3,0,0,0,0,0,0,0,0
6816,935,-14131,8191,-885,42,3747,-126,23,-2,-7,0,0,0,0,0,0,0,0
29413,938,-14132,8189,-884,46,3748,-131,29,-5,-9,0,0,0,0,0,0,0,0
44325,942,-14133,8187,-883,42,3752,-128,36,-4,-15,0,0,0,0,0,0,0,0
68110,942,-14133,8187,-883,42,3752,-128,36,-4,-15,38,22,20,20,21,20,30,21
69854,947,-14135,8184,-884,44,3745,-134,45,-1,-20,38,22,20,20,21,20,30,21
82409,947,-14135,8184,-884,44,3745,-134,45,-1,-20,37,25,21,23,23,21,30,22
89414,953,-14136,8180,-887,44,3745,-124,54,7,-26,37,25,21,23,23,21,30,22
104944,953,-14136,8180,-887,44,3745,-124,54,7,-26,35,24,24,24,31,36,54,81
111871,960,-14139,8175,-887,-41,3685,-123,18,33,-37,35,24,24,24,31,36,54,81
128111,960,-14139,8175,-887,-41,3685,-123,18,33,-37,59,30,35,34,50,105,321,272
129869,1006,-14156,8138,-895,-177,3619,-168,205,21,-239,59,30,35,34,50,105,321,272
142416,1006,-14156,8138,-895,-177,3619,-168,205,21,-239,70,33,48,75,126,199,383,314
149425,1210,-14206,8018,-936,-353,3633,-277,1124,-207,-710,70,33,48,75,126,199,383,314
164967,1210,-14206,8018,-936,-353,3633,-277,1124,-207,-710,79,38,63,121,224,231,426,339
171944,1543,-14273,7828,-1034,-715,3423,-564,1913,-434,-1060,79,38,63,121,224,231,426,339
188088,1543,-14273,7828,-1034,-715,3423,-564,1913,-434,-1060,91,44,75,134,260,356,594,382
189841,2161,-14303,7612,-1122,-93,3025,-542,3273,-1337,-966,91,44,75,134,260,356,594,382
202442,2161,-14303,7612,-1122,-93,3025,-542,3273,-1337,-966,103,65,90,154,363,425,670,395
209441,2689,-14379,7283,-1185,-119,3126,11,2784,-1327,-1652,103,65,90,154,363,425,670,395
224926,2689,-14379,7283,-1185,-119,3126,11,2784,-1327,-1652,98,64,89,159,384,420,596,304
231876,3210,-14475,6860,-1239,107,2769,456,2695,-1476,-2150,98,64,89,159,384,420,596,304
248141,3210,-14475,6860,-1239,107,2769,456,2695,-1476,-2150,114,75,94,194,480,465,676,283
249880,3570,-14636,6317,-1258,447,2610,787,1761,-1469,-2901,114,75,94,194,480,465,676,283
262408,3570,-14636,6317,-1258,447,2610,787,1761,-1469,-2901,124,88,141,299,698,511,701,272
269394,3769,-14856,5664,-1211,351,2692,964,792,-1600,-3575,124,88,141,299,698,511,701,272
284944,3769,-14856,5664,-1211,351,2692,964,792,-1600,-3575,122,94,155,333,748,478,606,227
291959,3947,-15075,4933,-1127,508,2329,853,618,-1862,-3923,122,94,155,333,748,478,606,227
308110,3947,-15075,4933,-1127,508,2329,853,618,-1862,-3923,132,85,156,333,721,443,589,199
309854,4065,-15270,4211,-1006,1005,2172,979,249,-1981,-3777,132,85,156,333,721,443,589,199
322422,4065,-15270,4211,-1006,1005,2172,979,249,-1981,-3777,159,89,160,339,720,468,608,218
329391,4140,-15447,3447,-896,1352,2295,1182,74,-1960,-3976,159,89,160,339,720,468,608,218
344940,4140,-15447,3447,-896,1352,2295,1182,74,-1960,-3976,152,80,163,315,651,393,493,215
351894,4243,-15590,2596,-802,1441,2071,1240,287,-2025,-4411,152,80,163,315,651,393,493,215
368121,4243,-15590,2596,-802,1441,2071,1240,287,-2025,-4411,155,132,137,202,370,340,516,198
369844,4320,-15694,1723,-703,1570,1953,1141,204,-2060,-4483,155,132,137,202,370,340,516,198
381764,4320,-15694,1723,-703,1570,1953,1141,204,-2060,-4483,168,136,120,129,229,370,632,349
390920,4371,-15755,891,-583,1667,2094,1167,118,-2098,-4210,168,136,120,129,229,370,632,349
404888,4371,-15755,891,-583,1667,2094,1167,118,-2098,-4210,181,155,132,109,172,413,724,399
411926,4402,-15775,123,-431,1805,2365,1239,76,-2182,-3799,181,155,132,109,172,413,724,399
428114,4402,-15775,123,-431,1805,2365,1239,76,-2182,-3799,199,217,152,91,133,415,776,415
429868,4402,-15769,-565,-286,1867,2642,1550,-56,-2025,-3373,199,217,152,91,133,415,776,415
450618,4402,-15769,-565,-286,1867,2642,1550,-56,-2025,-3373,228,230,160,108,140,425,779,533
452431,4415,-15731,-1208,-167,1682,2699,1538,66,-1792,-3190,228,230,160,108,140,425,779,533
473117,4415,-15731,-1208,-167,1682,2699,1538,66,-1792,-3190,240,210,149,102,131,422,732,571
