Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-2848,14917,2093,5781,3918,5301,-781,-169,439,-1048,0,0,0,0,0,0,0,0
7500,-2758,14860,2270,5901,3959,5339,-736,-143,488,-1238,0,0,0,0,0,0,0,0
22484,-2648,14794,2469,6038,3975,5402,-769,-204,558,-1415,0,0,0,0,0,0,0,0
44972,-2541,14713,2692,6184,4054,5400,-724,-128,606,-1550,0,0,0,0,0,0,0,0
68847,-2469,14609,2967,6331,4007,5448,-716,173,658,-1754,0,0,0,0,0,0,0,0
69603,-2469,14609,2967,6331,4007,5448,-716,173,658,-1754,126,171,140,177,46,118,52,65
82522,-2418,14479,3310,6478,3925,5624,-634,447,672,-2082,126,171,140,177,46,118,52,65
90586,-2418,14479,3310,6478,3925,5624,-634,447,672,-2082,179,210,148,170,43,88,55,91
104959,-2367,14334,3710,6601,3979,5820,-575,613,539,-2358,179,210,148,170,43,88,55,91
113083,-2367,14334,3710,6601,3979,5820,-575,613,539,-2358,236,206,128,165,38,75,51,124
128799,-2294,14173,4125,6728,3992,5843,-554,551,560,-2502,236,206,128,165,38,75,51,124
129591,-2294,14173,4125,6728,3992,5843,-554,551,560,-2502,300,251,137,182,38,86,57,130
142468,-2183,13997,4512,6883,3806,5972,-545,270,691,-2497,300,251,137,182,38,86,57,130
150608,-2183,13997,4512,6883,3806,5972,-545,270,691,-2497,354,273,158,186,47,107,64,173
164943,-2050,13807,4896,7043,3646,6144,-431,157,724,-2563,354,273,158,186,47,107,64,173
173099,-2050,13807,4896,7043,3646,6144,-431,157,724,-2563,431,305,157,194,50,125,75,254
188820,-1862,13582,5324,7220,3417,6241,-289,157,697,-2776,431,305,157,194,50,125,75,254
189657,-1862,13582,5324,7220,3417,6241,-289,157,697,-2776,546,339,169,193,54,132,82,343
202522,-1685,13337,5780,7367,3213,6308,-289,334,641,-2909,546,339,169,193,54,132,82,343
210606,-1685,13337,5780,7367,3213,6308,-289,334,641,-2909,609,346,169,179,54,128,99,446
224996,-1509,13082,6241,7486,2970,6225,-400,381,563,-2955,609,346,169,179,54,128,99,446
233089,-1509,13082,6241,7486,2970,6225,-400,381,563,-2955,628,328,193,198,65,160,103,539
248793,-1306,12830,6694,7569,2632,6087,-445,293,379,-2990,628,328,193,198,65,160,103,539
249584,-1306,12830,6694,7569,2632,6087,-445,293,379,-2990,675,351,192,244,68,191,109,557
262462,-1089,12588,7130,7612,2472,6075,-655,250,179,-2931,675,351,192,244,68,191,109,557
270617,-1089,12588,7130,7612,2472,6075,-655,250,179,-2931,696,323,183,262,72,185,114,609
284952,-884,12348,7568,7608,2512,6140,-585,411,-18,-2905,696,323,183,262,72,185,114,609
293119,-884,12348,7568,7608,2512,6140,-585,411,-18,-2905,724,291,181,261,76,195,125,648
308846,-696,12098,8014,7571,2444,6124,-590,582,-95,-2926,724,291,181,261,76,195,125,648
309617,-696,12098,8014,7571,2444,6124,-590,582,-95,-2926,786,390,205,270,84,217,129,609
322516,-515,11860,8415,7528,2196,5969,-746,476,-94,-2708,786,390,205,270,84,217,129,609
330625,-515,11860,8415,7528,2196,5969,-746,476,-94,-2708,786,411,203,289,80,205,132,577
345007,-326,11642,8745,7502,2149,6017,-711,205,-96,-2392,786,411,203,289,80,205,132,577
353097,-326,11642,8745,7502,2149,6017,-711,205,-96,-2392,857,417,203,278,85,207,139,595
368803,-146,11440,9050,7457,2172,5929,-566,225,-208,-2251,857,417,203,278,85,207,139,595
369592,-146,11440,9050,7457,2172,5929,-566,225,-208,-2251,850,478,224,301,89,226,134,565
