Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,4871,11724,7616,7016,3244,5210,1101,103,382,-1312,0,0,0,0,0,0,0,0
809,4762,11635,7696,7151,3325,5170,1150,155,449,-1353,0,0,0,0,0,0,0,0
6840,4652,11538,7794,7273,3187,5216,1116,214,503,-1387,0,0,0,0,0,0,0,0
29294,4582,11458,7846,7388,3044,5227,1051,-41,315,-1202,0,0,0,0,0,0,0,0
44249,4533,11392,7849,7515,3108,5284,1018,-259,205,-1019,0,0,0,0,0,0,0,0
68116,4533,11392,7849,7515,3108,5284,1018,-259,205,-1019,247,147,354,537,127,51,39,79
69856,4470,11329,7839,7657,3186,5405,1097,-223,262,-903,247,147,354,537,127,51,39,79
90565,4470,11329,7839,7657,3186,5405,1097,-223,262,-903,240,148,394,540,178,52,44,77
92420,4415,11283,7815,7780,2996,5419,1140,-197,156,-753,240,148,394,540,178,52,44,77
105566,4415,11283,7815,7780,2996,5419,1140,-197,156,-753,241,141,416,541,250,69,45,112
107321,4378,11267,7724,7914,3013,5370,1094,-462,0,-450,241,141,416,541,250,69,45,112
128103,4378,11267,7724,7914,3013,5370,1094,-462,0,-450,243,140,421,527,271,77,49,117
129870,4358,11251,7585,8081,3013,5399,1007,-796,69,-239,243,140,421,527,271,77,49,117
150566,4358,11251,7585,8081,3013,5399,1007,-796,69,-239,155,108,385,506,354,76,56,127
152319,4374,11210,7411,8289,2929,5298,835,-1288,251,-181,155,108,385,506,354,76,56,127
165615,4374,11210,7411,8289,2929,5298,835,-1288,251,-181,143,94,349,371,452,168,87,128
167410,4542,11058,7275,8519,2867,5213,572,-1918,627,-244,143,94,349,371,452,168,87,128
188055,4542,11058,7275,8519,2867,5213,572,-1918,627,-244,165,67,246,239,441,211,136,142
189793,4765,10762,7222,8817,2851,5457,524,-2288,1321,-961,165,67,246,239,441,211,136,142
210633,4765,10762,7222,8817,2851,5457,524,-2288,1321,-961,210,75,183,188,414,233,178,179
212402,5004,10254,7389,9145,2960,5791,432,-2126,2412,-2306,210,75,183,188,414,233,178,179
225592,5004,10254,7389,9145,2960,5791,432,-2126,2412,-2306,230,90,160,179,400,252,237,208
227345,5138,9540,7724,9556,2982,5813,470,-1816,3919,-2970,230,90,160,179,400,252,237,208
247161,5138,9540,7724,9556,2982,5813,470,-1816,3919,-2970,363,135,147,161,331,259,251,329
255865,5039,8687,8200,10015,2214,5699,538,-981,5427,-2872,363,135,147,161,331,259,251,329
270637,5039,8687,8200,10015,2214,5699,538,-981,5427,-2872,600,200,138,137,158,214,247,385
274357,4580,7910,8750,10406,1330,5162,1258,755,6075,-1687,600,200,138,137,158,214,247,385
286175,4580,7910,8750,10406,1330,5162,1258,755,6075,-1687,649,250,147,236,138,176,227,429
289781,3697,7387,9355,10614,1181,4954,2216,3169,5996,149,649,250,147,236,138,176,227,429
308098,3697,7387,9355,10614,1181,4954,2216,3169,5996,149,783,313,161,306,122,140,203,427
309886,2743,7129,10110,10385,961,4538,3272,5769,4288,334,783,313,161,306,122,140,203,427
330542,2743,7129,10110,10385,961,4538,3272,5769,4288,334,821,398,329,498,134,101,142,469
332293,2207,6924,11044,9676,1331,3948,2891,7037,1644,-1928,821,398,329,498,134,101,142,469
344881,2207,6924,11044,9676,1331,3948,2891,7037,1644,-1928,834,425,360,542,131,81,114,403
351846,1911,6238,12176,8808,3109,3053,554,7231,2196,-4965,834,425,360,542,131,81,114,403
368136,1911,6238,12176,8808,3109,3053,554,7231,2196,-4965,735,438,410,549,127,68,102,352
369864,1602,5434,13311,7689,2916,5685,-6001,8250,2070,-5593,735,438,410,549,127,68,102,352
390594,1602,5434,13311,7689,2916,5685,-6001,8250,2070,-5593,710,443,446,537,139,65,103,302
392336,103,5311,14091,6451,-2100,15227,-3248,10477,5311,1261,710,443,446,537,139,65,103,302
404890,103,5311,14091,6451,-2100,15227,-3248,10477,5311,1261,566,413,480,526,134,60,98,337
411885,-977,5674,13878,6532,-4934,11784,946,1119,4549,4525,566,413,480,526,134,60,98,337
428090,-977,5674,13878,6532,-4934,11784,946,1119,4549,4525,506,340,388,355,128,59,89,317
429827,-540,5741,13320,7598,219,6732,408,-7109,86,185,506,340,388,355,128,59,89,317
450567,-540,5741,13320,7598,219,6732,408,-7109,86,185,421,294,366,303,124,65,91,426
452318,70,6275,12448,8607,1007,5965,879,-8158,-2047,2376,421,294,366,303,124,65,91,426
464881,70,6275,12448,8607,1007,5965,879,-8158,-2047,2376,349,246,333,335,163,75,102,468
471869,611,7017,11299,9546,2317,4373,627,-8655,-2574,3833,349,246,333,335,163,75,102,468
488053,611,7017,11299,9546,2317,4373,627,-8655,-2574,3833,372,214,279,308,183,97,142,502
489843,1278,7571,10075,10390,2107,3351,389,-8936,-2630,2800,372,214,279,308,183,97,142,502
510609,1278,7571,10075,10390,2107,3351,389,-8936,-2630,2800,345,200,218,260,269,120,167,467
512360,2007,8040,9085,10825,2270,2970,277,-6878,-3448,1441,345,200,218,260,269,120,167,467
524841,2007,8040,9085,10825,2270,2970,277,-6878,-3448,1441,365,188,213,262,288,172,214,446
531819,2678,8344,8559,10879,3171,2831,653,-3753,-3426,-60,365,188,213,262,288,172,214,446
548568,2678,8344,8559,10879,3171,2831,653,-3753,-3426,-60,340,186,202,243,290,177,227,347
550335,3460,8408,8400,10731,3296,3009,1349,-2333,-3094,-2402,340,186,202,243,290,177,227,347
570599,3460,8408,8400,10731,3296,3009,1349,-2333,-3094,-2402,414,195,145,154,272,178,234,300
572343,4147,8443,8179,10632,3739,5184,1432,-2478,-2658,-2296,414,195,145,154,272,178,234,300
584896,4147,8443,8179,10632,3739,5184,1432,-2478,-2658,-2296,465,228,135,131,257,170,219,267
591820,4330,8224,8157,10747,3376,6182,-884,-1240,584,-1050,465,228,135,131,257,170,219,267
608089,4330,8224,8157,10747,3376,6182,-884,-1240,584,-1050,613,332,105,127,167,155,214,373
609840,4149,7917,8360,10891,982,5568,335,224,2408,-589,613,332,105,127,167,155,214,373
630541,4149,7917,8360,10891,982,5568,335,224,2408,-589,637,379,91,103,120,93,173,379
632269,3597,7540,9019,10829,251,4821,515,3449,3812,-878,637,379,91,103,120,93,173,379
653086,2689,7195,9905,10550,522,5379,1079,6018,4477,-319,637,379,91,103,120,93,173,379
653887,2689,7195,9905,10550,522,5379,1079,6018,4477,-319,700,378,88,112,113,78,190,368
668079,1851,6901,10853,9979,996,5677,1685,7209,3347,-881,700,378,88,112,113,78,190,368
668890,1851,6901,10853,9979,996,5677,1685,7209,3347,-881,716,377,106,146,125,76,193,415
690625,1295,6605,11807,9148,1390,5504,1944,7582,1646,-2086,716,377,106,146,125,76,193,415
691415,1295,6605,11807,9148,1390,5504,1944,7582,1646,-2086,728,362,99,159,119,64,195,421
713091,1095,5956,12675,8430,2550,5422,1077,5795,1482,-4529,728,362,99,159,119,64,195,421
713891,1095,5956,12675,8430,2550,5422,1077,5795,1482,-4529,724,334,100,157,102,61,179,333
728062,747,5150,13465,7748,2654,4531,-613,5426,2643,-4641,724,334,100,157,102,61,179,333
728844,747,5150,13465,7748,2654,4531,-613,5426,2643,-4641,719,370,222,173,97,57,168,321
750592,279,4620,13821,7480,503,10447,-3921,2864,3177,-1896,719,370,222,173,97,57,168,321
751429,279,4620,13821,7480,503,10447,-3921,2864,3177,-1896,661,397,289,185,93,58,130,342
773098,-1214,5109,13736,7222,-7905,15769,-508,3422,5411,6258,661,397,289,185,93,58,130,342
773892,-1214,5109,13736,7222,-7905,15769,-508,3422,5411,6258,588,413,336,219,115,75,112,297
788068,-1601,5506,13135,7938,-1563,7703,266,-4342,2338,3579,588,413,336,219,115,75,112,297
788893,-1601,5506,13135,7938,-1563,7703,266,-4342,2338,3579,488,415,355,220,190,112,87,258
810625,-1272,6023,12169,9079,96,5255,385,-8754,-110,2702,488,415,355,220,190,112,87,258
811392,-1272,6023,12169,9079,96,5255,385,-8754,-110,2702,288,362,357,237,197,116,95,287
833069,-849,6826,11138,9851,1000,4822,590,-7751,-2183,3780,288,362,357,237,197,116,95,287
833918,-849,6826,11138,9851,1000,4822,590,-7751,-2183,3780,205,287,324,262,211,122,94,270
848067,-327,7657,10069,10407,2166,3411,936,-7285,-3206,3480,205,287,324,262,211,122,94,270
848898,-327,7657,10069,10407,2166,3411,936,-7285,-3206,3480,208,272,272,255,218,130,141,267
870636,340,8333,9106,10767,2436,2912,665,-6617,-3643,2086,208,272,272,255,218,130,141,267
871445,340,8333,9106,10767,2436,2912,665,-6617,-3643,2086,212,230,205,209,217,151,267,264
893095,1067,8936,8318,10873,2798,3109,676,-5342,-4260,1095,212,230,205,209,217,151,267,264
893893,1067,8936,8318,10873,2798,3109,676,-5342,-4260,1095,219,195,173,195,193,147,350,278
908080,1743,9352,7867,10771,3549,3540,904,-3372,-3944,-398,219,195,173,195,193,147,350,278
908866,1743,9352,7867,10771,3549,3540,904,-3372,-3944,-398,232,192,170,175,255,163,388,255
930596,2437,9513,7717,10603,3920,4276,964,-2288,-3096,-2137,232,192,170,175,255,163,388,255
931382,2437,9513,7717,10603,3920,4276,964,-2288,-3096,-2137,250,162,119,119,272,162,426,279
953084,2993,9500,7623,10540,3687,5651,895,-2048,-1700,-2072,250,162,119,119,272,162,426,279
953887,2993,9500,7623,10540,3687,5651,895,-2048,-1700,-2072,268,119,106,104,278,156,425,278
966810,3366,9233,7575,10698,1977,5438,404,-2203,535,-1839,268,119,106,104,278,156,425,278
974919,3366,9233,7575,10698,1977,5438,404,-2203,535,-1839,277,117,93,82,268,122,364,280
989883,3491,8891,7770,10807,1011,4956,926,-442,1542,-1884,277,117,93,82,268,122,364,280
990773,3491,8891,7770,10807,1011,4956,926,-442,1542,-1884,270,105,82,74,244,97,295,312
1013161,3078,8567,8321,10784,545,4837,914,2879,2928,-1041,270,105,82,74,244,97,295,312
1013892,3078,8567,8321,10784,545,4837,914,2879,2928,-1041,253,101,78,67,174,60,239,304
1026786,2183,8415,9024,10554,790,5157,1263,5690,3197,557,253,101,78,67,174,60,239,304
1034898,2183,8415,9024,10554,790,5157,1263,5690,3197,557,255,84,75,89,135,53,165,287
1049924,1253,8361,9806,10039,1298,5235,1767,7105,2129,499,255,84,75,89,135,53,165,287
1050766,1253,8361,9806,10039,1298,5235,1767,7105,2129,499,226,67,69,99,111,54,125,264
1073084,607,8227,10726,9236,1269,5367,2343,7796,618,-1256,226,67,69,99,111,54,125,264
1073895,607,8227,10726,9236,1269,5367,2343,7796,618,-1256,207,63,94,148,100,51,105,241
1086778,529,7803,11565,8573,1951,4889,1449,5240,-163,-3965,207,63,94,148,100,51,105,241
1094842,529,7803,11565,8573,1951,4889,1449,5240,-163,-3965,206,68,103,182,87,47,65,167
1109246,635,7092,12286,8170,2844,6668,375,3328,599,-5300,206,68,103,182,87,47,65,167
1117380,635,7092,12286,8170,2844,6668,375,3328,599,-5300,198,65,101,190,84,45,60,176
1133095,764,6712,12684,7866,2818,8080,-2942,1996,-133,-2987,198,65,101,190,84,45,60,176
1133915,764,6712,12684,7866,2818,8080,-2942,1996,-133,-2987,175,80,110,183,71,40,50,175
1146705,-136,7242,12517,7698,453,11995,109,2482,2051,5059,175,80,110,183,71,40,50,175
1154866,-136,7242,12517,7698,453,11995,109,2482,2051,5059,158,92,119,175,69,35,48,178
1169267,-1191,7874,11890,7976,-1100,8979,1477,-258,3580,7043,158,92,119,175,69,35,48,178
1177364,-1191,7874,11890,7976,-1100,8979,1477,-258,3580,7043,162,94,108,139,58,36,48,171
1193093,-1075,8011,11210,8799,37,6183,90,-5597,1788,1910,162,94,108,139,58,36,48,171
1193866,-1075,8011,11210,8799,37,6183,90,-5597,1788,1910,158,95,105,96,54,35,50,182
1206784,-476,8157,10568,9485,884,5160,-173,-6394,-504,260,158,95,105,96,54,35,50,182
