Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3635,12325,8547,5499,1609,6426,649,13,-713,131,0,0,0,0,0,0,0,0
7498,3724,12344,8456,5537,1506,6328,721,-148,-653,94,0,0,0,0,0,0,0,0
14913,3826,12352,8342,5622,1464,6302,846,-372,-501,212,0,0,0,0,0,0,0,0
37501,3933,12344,8210,5759,1532,6364,964,-562,-304,284,0,0,0,0,0,0,0,0
59975,4046,12306,8081,5942,1723,6421,1075,-719,-130,174,0,0,0,0,0,0,0,0
68135,4046,12306,8081,5942,1723,6421,1075,-719,-130,174,265,72,113,145,61,68,147,243
75070,4138,12245,7964,6157,1914,6295,1179,-769,72,47,265,72,113,145,61,68,147,243
90605,4138,12245,7964,6157,1914,6295,1179,-769,72,47,302,79,116,148,61,68,160,203
97575,4191,12178,7832,6418,1967,6113,1246,-836,373,203,302,79,116,148,61,68,160,203
113071,4191,12178,7832,6418,1967,6113,1246,-836,373,203,291,95,137,218,82,76,164,213
120047,4195,12098,7676,6747,1991,6161,1275,-899,812,497,291,95,137,218,82,76,164,213
128122,4195,12098,7676,6747,1991,6161,1275,-899,812,497,291,88,111,213,75,77,169,216
142574,4135,11986,7507,7162,2273,6312,1370,-909,1340,688,291,88,111,213,75,77,169,216
150621,4135,11986,7507,7162,2273,6312,1370,-909,1340,688,281,88,109,217,75,83,186,216
157571,4068,11841,7399,7543,2684,6231,1238,-1082,1794,625,281,88,109,217,75,83,186,216
173111,4068,11841,7399,7543,2684,6231,1238,-1082,1794,625,297,91,111,218,76,75,167,183
180046,3949,11650,7299,7988,3032,6008,1121,-1122,2323,658,297,91,111,218,76,75,167,183
188099,3949,11650,7299,7988,3032,6008,1121,-1122,2323,658,263,89,109,226,82,73,162,177
202595,3712,11427,7194,8503,3178,5900,1073,-905,2995,1003,263,89,109,226,82,73,162,177
210543,3712,11427,7194,8503,3178,5900,1073,-905,2995,1003,220,74,98,237,101,75,157,166
225070,3318,11167,7113,9061,3174,5950,1037,-393,3725,1356,220,74,98,237,101,75,157,166
233052,3318,11167,7113,9061,3174,5950,1037,-393,3725,1356,213,74,104,219,101,81,172,162
240033,2791,10855,7094,9616,3217,5923,863,224,4302,1422,213,74,104,219,101,81,172,162
248130,2791,10855,7094,9616,3217,5923,863,224,4302,1422,212,72,95,211,101,75,157,146
255045,2167,10486,7124,10150,3224,5922,533,698,4761,1422,212,72,95,211,101,75,157,146
270588,2167,10486,7124,10150,3224,5922,533,698,4761,1422,155,63,94,209,100,78,160,135
277521,1438,10049,7192,10660,3050,6006,289,1190,5256,1524,155,63,94,209,100,78,160,135
293084,1438,10049,7192,10660,3050,6006,289,1190,5256,1524,161,61,99,198,96,78,153,153
300050,623,9532,7303,11128,2839,6076,85,1668,5691,1521,161,61,99,198,96,78,153,153
308092,623,9532,7303,11128,2839,6076,85,1668,5691,1521,146,59,91,98,60,71,153,142
315019,-223,8936,7444,11536,2710,6182,-119,1999,5936,1378,146,59,91,98,60,71,153,142
330540,-223,8936,7444,11536,2710,6182,-119,1999,5936,1378,153,56,79,94,55,64,131,143
337542,-1068,8269,7610,11874,2679,6352,-252,2250,6038,1152,153,56,79,94,55,64,131,143
353113,-1068,8269,7610,11874,2679,6352,-252,2250,6038,1152,200,64,77,94,52,66,130,159
360098,-1877,7548,7771,12146,2747,6428,-350,2290,6013,914,200,64,77,94,52,66,130,159
368043,-1877,7548,7771,12146,2747,6428,-350,2290,6013,914,200,61,78,90,50,69,85,156
375023,-2632,6784,7909,12365,2723,6445,-439,2198,5958,669,200,61,78,90,50,69,85,156
390619,-2632,6784,7909,12365,2723,6445,-439,2198,5958,669,217,68,85,110,54,84,81,142
397582,-3307,5979,7953,12589,2694,6459,-630,1870,5715,370,217,68,85,110,54,84,81,142
421294,-3307,5979,7953,12589,2694,6459,-630,1870,5715,370,221,69,79,115,45,81,80,136
423067,-3882,5168,7937,12792,2569,6482,-837,1471,5487,75,221,69,79,115,45,81,80,136
428865,-3882,5168,7937,12792,2569,6482,-837,1471,5487,75,220,71,87,133,42,86,73,134
439471,-4370,4377,7856,12979,2572,6490,-958,1055,5227,-121,220,71,87,133,42,86,73,134
450586,-4370,4377,7856,12979,2572,6490,-958,1055,5227,-121,192,70,99,149,56,87,65,125
457552,-4791,3616,7712,13150,2594,6516,-929,665,4980,-215,192,70,99,149,56,87,65,125
473089,-4791,3616,7712,13150,2594,6516,-929,665,4980,-215,197,73,99,151,56,82,79,129
480046,-5156,2907,7502,13308,2613,6508,-943,250,4689,-225,197,73,99,151,56,82,79,129
488073,-5156,2907,7502,13308,2613,6508,-943,250,4689,-225,167,65,104,162,54,86,75,149
495022,-5458,2267,7259,13446,2404,6415,-1096,-25,4254,-269,167,65,104,162,54,86,75,149
510595,-5458,2267,7259,13446,2404,6415,-1096,-25,4254,-269,168,69,128,181,61,106,97,154
517584,-5712,1668,7017,13556,2387,6260,-1007,-77,3919,-339,168,69,128,181,61,106,97,154
533092,-5712,1668,7017,13556,2387,6260,-1007,-77,3919,-339,193,76,135,206,62,130,115,160
540064,-5921,1157,6761,13650,2347,6278,-1012,-295,3419,-291,193,76,135,206,62,130,115,160
548080,-5921,1157,6761,13650,2347,6278,-1012,-295,3419,-291,193,84,193,236,82,184,126,173
555064,-6100,701,6694,13635,2039,5474,-1366,714,2670,-167,193,84,193,236,82,184,126,173
571085,-6100,701,6694,13635,2039,5474,-1366,714,2670,-167,187,95,257,349,121,269,123,191
577569,-6262,322,6629,13607,2027,6186,-1435,593,2265,-36,187,95,257,349,121,269,123,191
593079,-6262,322,6629,13607,2027,6186,-1435,593,2265,-36,183,98,257,348,121,264,123,167
600055,-6347,41,6608,13582,2130,6418,-1223,572,1541,-184,183,98,257,348,121,264,123,167
608150,-6347,41,6608,13582,2130,6418,-1223,572,1541,-184,184,94,249,353,120,262,108,173
615045,-6406,-204,6611,13551,2078,6411,-1070,610,1261,-214,184,94,249,353,120,262,108,173
630571,-6406,-204,6611,13551,2078,6411,-1070,610,1261,-214,147,92,245,330,120,249,99,167
637533,-6460,-387,6633,13511,2041,6412,-976,589,925,-79,147,92,245,330,120,249,99,167
653068,-6460,-387,6633,13511,2041,6412,-976,589,925,-79,130,86,210,326,110,212,84,151
660021,-6498,-517,6645,13482,1987,6445,-941,402,665,-51,130,86,210,326,110,212,84,151
667436,-6498,-517,6645,13482,1987,6445,-941,402,665,-51,117,71,124,212,71,83,68,127
676536,-6533,-619,6660,13454,1948,6382,-899,352,519,-4,117,71,124,212,71,83,68,127
690556,-6533,-619,6660,13454,1948,6382,-899,352,519,-4,119,73,121,209,72,85,67,123
697524,-6552,-689,6680,13431,1956,6310,-845,298,322,-19,119,73,121,209,72,85,67,123
713060,-6552,-689,6680,13431,1956,6310,-845,298,322,-19,96,69,116,195,69,61,68,107
720035,-6553,-726,6703,13417,1961,6327,-818,217,121,-43,96,69,116,195,69,61,68,107
736243,-6553,-726,6703,13417,1961,6327,-818,217,121,-43,112,64,108,194,69,64,57,115
737996,-6544,-739,6726,13410,1962,6339,-792,155,-7,-51,112,64,108,194,69,64,57,115
758720,-6544,-739,6726,13410,1962,6339,-792,155,-7,-51,97,53,83,150,55,58,57,108
760499,-6532,-736,6751,13403,1974,6324,-721,123,-97,-29,97,53,83,150,55,58,57,108
781268,-6532,-736,6751,13403,1974,6324,-721,123,-97,-29,97,52,86,149,52,53,68,103
783099,-6509,-703,6760,13411,1974,6277,-706,-47,-228,-41,97,52,86,149,52,53,68,103
804453,-6509,-703,6760,13411,1974,6277,-706,-47,-228,-41,93,45,76,151,53,46,69,102
807019,-6485,-627,6746,13434,1972,6353,-790,-278,-377,9,93,45,76,151,53,46,69,102
