Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,11946,-3112,-10309,3127,2397,3104,1218,157,531,215,0,0,0,0,0,0,0,0
7537,11962,-3112,-10297,3104,2384,3147,1288,129,505,182,0,0,0,0,0,0,0,0
22530,11974,-3105,-10289,3089,2291,3183,1343,162,424,179,0,0,0,0,0,0,0,0
45032,11974,-3101,-10296,3071,2258,3155,1420,87,294,147,0,0,0,0,0,0,0,0
60019,11969,-3087,-10313,3049,2312,3128,1484,86,193,93,0,0,0,0,0,0,0,0
68144,11969,-3087,-10313,3049,2312,3128,1484,86,193,93,28,35,262,85,87,106,34,24
82531,11958,-3057,-10341,3026,2362,3126,1440,138,139,27,28,35,262,85,87,106,34,24
90621,11958,-3057,-10341,3026,2362,3126,1440,138,139,27,26,39,304,94,85,100,32,25
104994,11950,-3022,-10369,2999,2348,3181,1472,131,125,9,26,39,304,94,85,100,32,25
113087,11950,-3022,-10369,2999,2348,3181,1472,131,125,9,26,40,312,89,86,103,35,24
120066,11942,-2999,-10390,2980,2359,3135,1530,104,130,66,26,40,312,89,86,103,35,24
128340,11942,-2999,-10390,2980,2359,3135,1530,104,130,66,25,43,330,91,112,112,37,26
142539,11942,-2967,-10402,2968,2357,3164,1553,176,164,68,25,43,330,91,112,112,37,26
150626,11942,-2967,-10402,2968,2357,3164,1553,176,164,68,26,42,358,98,95,134,39,30
165009,11951,-2925,-10408,2955,2327,3215,1552,227,214,42,26,42,358,98,95,134,39,30
173138,11951,-2925,-10408,2955,2327,3215,1552,227,214,42,25,43,334,102,92,128,43,29
180138,11958,-2898,-10411,2941,2300,3224,1557,155,233,82,25,43,334,102,92,128,43,29
188099,11958,-2898,-10411,2941,2300,3224,1557,155,233,82,23,39,333,104,102,166,48,30
202523,11960,-2892,-10415,2926,2276,3157,1542,70,237,119,23,39,333,104,102,166,48,30
210639,11960,-2892,-10415,2926,2276,3157,1542,70,237,119,27,43,386,120,105,216,72,32
224988,11962,-2886,-10418,2912,2263,3172,1518,84,251,127,27,43,386,120,105,216,72,32
233152,11962,-2886,-10418,2912,2263,3172,1518,84,251,127,28,39,371,115,79,256,127,41
240100,11966,-2880,-10420,2896,2232,3222,1522,72,262,127,28,39,371,115,79,256,127,41
248097,11966,-2880,-10420,2896,2232,3222,1522,72,262,127,35,52,441,118,76,256,154,48
262504,11967,-2882,-10425,2869,2179,3226,1511,-2,256,97,35,52,441,118,76,256,154,48
270649,11967,-2882,-10425,2869,2179,3226,1511,-2,256,97,38,58,453,117,75,258,163,51
284975,11965,-2885,-10437,2831,2141,3215,1454,-44,249,35,38,58,453,117,75,258,163,51
293142,11965,-2885,-10437,2831,2141,3215,1454,-44,249,35,48,61,442,134,63,252,195,77
300104,11959,-2883,-10454,2798,2158,3174,1458,-12,205,16,48,61,442,134,63,252,195,77
308137,11959,-2883,-10454,2798,2158,3174,1458,-12,205,16,53,62,465,124,89,231,271,125
322518,11961,-2868,-10464,2763,2207,3213,1510,35,225,-19,53,62,465,124,89,231,271,125
330628,11961,-2868,-10464,2763,2207,3213,1510,35,225,-19,53,71,467,143,98,212,263,145
345006,11967,-2845,-10475,2722,2204,3256,1527,35,228,-61,53,71,467,143,98,212,263,145
353109,11967,-2845,-10475,2722,2204,3256,1527,35,228,-61,51,71,379,138,95,205,250,144
360111,11971,-2829,-10487,2673,2193,3239,1498,-15,242,-81,51,71,379,138,95,205,250,144
368138,11971,-2829,-10487,2673,2193,3239,1498,-15,242,-81,49,67,359,142,96,196,247,144
382547,11975,-2817,-10502,2611,2185,3200,1495,-80,246,-156,49,67,359,142,96,196,247,144
390620,11975,-2817,-10502,2611,2185,3200,1495,-80,246,-156,40,70,349,137,93,173,225,132
405024,11983,-2801,-10513,2544,2236,3154,1502,-72,275,-210,40,70,349,137,93,173,225,132
413122,11983,-2801,-10513,2544,2236,3154,1502,-72,275,-210,31,69,302,141,61,151,116,87
420072,11998,-2775,-10518,2482,2232,3156,1515,-3,304,-230,31,69,302,141,61,151,116,87
428138,11998,-2775,-10518,2482,2232,3156,1515,-3,304,-230,33,62,333,136,46,112,84,47
442528,12016,-2745,-10521,2417,2236,3163,1503,3,335,-269,33,62,333,136,46,112,84,47
450619,12016,-2745,-10521,2417,2236,3163,1503,3,335,-269,30,53,317,143,47,97,78,44
465001,12036,-2720,-10521,2339,2246,3155,1536,-60,353,-314,30,53,317,143,47,97,78,44
473108,12036,-2720,-10521,2339,2246,3155,1536,-60,353,-314,31,50,304,137,46,133,73,40
480096,12064,-2694,-10514,2257,2250,3123,1551,-60,411,-365,31,50,304,137,46,133,73,40
487513,12064,-2694,-10514,2257,2250,3123,1551,-60,411,-365,34,43,302,135,51,136,65,38
502578,12099,-2654,-10501,2178,2228,3112,1534,22,458,-425,34,43,302,135,51,136,65,38
510622,12099,-2654,-10501,2178,2228,3112,1534,22,458,-425,34,43,264,182,62,138,56,37
524987,12129,-2606,-10495,2092,2221,3154,1475,34,442,-476,34,43,264,182,62,138,56,37
533123,12129,-2606,-10495,2092,2221,3154,1475,34,442,-476,31,42,240,170,60,143,51,29
540080,12154,-2569,-10493,2000,2224,3137,1469,-42,429,-492,31,42,240,170,60,143,51,29
555598,12154,-2569,-10493,2000,2224,3137,1469,-42,429,-492,35,42,298,166,62,159,56,29
562558,12179,-2536,-10489,1908,2214,3115,1466,-51,445,-494,35,42,298,166,62,159,56,29
570596,12179,-2536,-10489,1908,2214,3115,1466,-51,445,-494,35,50,318,173,61,145,54,32
588201,12211,-2493,-10479,1820,2218,3089,1458,16,492,-548,35,50,318,173,61,145,54,32
593109,12211,-2493,-10479,1820,2218,3089,1458,16,492,-548,32,52,337,173,58,167,59,31
600075,12246,-2446,-10466,1721,2228,3088,1451,0,530,-613,32,52,337,173,58,167,59,31
615609,12246,-2446,-10466,1721,2228,3088,1451,0,530,-613,39,50,322,123,47,164,59,33
622557,12276,-2404,-10458,1612,2247,3086,1375,-48,548,-659,39,50,322,123,47,164,59,33
630595,12276,-2404,-10458,1612,2247,3086,1375,-48,548,-659,40,55,302,145,49,155,59,32
645019,12303,-2367,-10451,1503,2228,3069,1357,-70,549,-670,40,55,302,145,49,155,59,32
653105,12303,-2367,-10451,1503,2228,3069,1357,-70,549,-670,37,55,257,147,47,168,61,31
660085,12330,-2337,-10441,1387,2236,3021,1387,-122,559,-708,37,55,257,147,47,168,61,31
675573,12330,-2337,-10441,1387,2236,3021,1387,-122,559,-708,40,49,257,149,50,182,67,34
682530,12363,-2297,-10426,1274,2297,2976,1364,-57,617,-760,40,49,257,149,50,182,67,34
690596,12363,-2297,-10426,1274,2297,2976,1364,-57,617,-760,38,46,262,147,46,161,64,33
704986,12399,-2236,-10409,1163,2274,3023,1316,45,655,-823,38,46,262,147,46,161,64,33
713076,12399,-2236,-10409,1163,2274,3023,1316,45,655,-823,30,49,292,158,46,156,62,31
720064,12430,-2180,-10397,1034,2256,3054,1281,-43,651,-892,30,49,292,158,46,156,62,31
735596,12430,-2180,-10397,1034,2256,3054,1281,-43,651,-892,30,50,374,144,46,192,66,33
742593,12458,-2134,-10387,888,2319,3062,1302,-151,651,-940,30,50,374,144,46,192,66,33
750580,12458,-2134,-10387,888,2319,3062,1302,-151,651,-940,29,54,373,150,50,186,62,33
764997,12490,-2092,-10369,728,2315,3102,1310,-221,707,-980,29,54,373,150,50,186,62,33
