Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,7119,6486,-12788,-3487,1640,6442,148,25,-140,160,0,0,0,0,0,0,0,0
809,7127,6449,-12793,-3522,1627,6391,207,-116,-156,165,0,0,0,0,0,0,0,0
14298,7146,6396,-12798,-3559,1677,6319,235,-204,-147,203,0,0,0,0,0,0,0,0
36760,7159,6345,-12812,-3576,1676,6296,268,-83,-152,250,0,0,0,0,0,0,0,0
68119,7155,6300,-12836,-3576,1680,6301,239,53,-204,270,0,0,0,0,0,0,0,0
68889,7155,6300,-12836,-3576,1680,6301,239,53,-204,270,189,78,39,207,98,32,59,35
74435,7147,6258,-12861,-3576,1709,6439,250,106,-225,286,189,78,39,207,98,32,59,35
89918,7147,6258,-12861,-3576,1709,6439,250,106,-225,286,197,83,41,266,111,32,68,64
96872,7152,6198,-12886,-3580,1742,6441,242,20,-207,370,197,83,41,266,111,32,68,64
113056,7152,6198,-12886,-3580,1742,6441,242,20,-207,370,249,83,39,276,130,35,71,120
114804,7169,6114,-12909,-3611,1742,6352,327,-180,-255,399,249,83,39,276,130,35,71,120
127470,7169,6114,-12909,-3611,1742,6352,327,-180,-255,399,210,78,39,285,137,35,71,135
134431,7169,6033,-12944,-3617,1848,6308,379,-9,-343,401,210,78,39,285,137,35,71,135
149909,7169,6033,-12944,-3617,1848,6308,379,-9,-343,401,195,80,41,256,138,35,67,146
156844,7149,5962,-12992,-3604,1889,6483,332,201,-410,455,195,80,41,256,138,35,67,146
172463,7149,5962,-12992,-3604,1889,6483,332,201,-410,455,193,74,38,258,132,38,72,182
179361,7132,5874,-13041,-3607,1966,6531,273,82,-462,494,193,74,38,258,132,38,72,182
187444,7132,5874,-13041,-3607,1966,6531,273,82,-462,494,202,73,35,222,124,41,69,216
194383,7129,5770,-13093,-3590,2100,6388,119,13,-372,559,202,73,35,222,124,41,69,216
209905,7129,5770,-13093,-3590,2100,6388,119,13,-372,559,143,83,34,224,109,38,73,329
216858,7182,5643,-13125,-3572,2077,6484,130,-140,-82,748,143,83,34,224,109,38,73,329
232462,7182,5643,-13125,-3572,2077,6484,130,-140,-82,748,140,73,41,233,100,39,82,353
239492,7236,5497,-13150,-3596,1973,6385,234,-385,-146,741,140,73,41,233,100,39,82,353
247425,7236,5497,-13150,-3596,1973,6385,234,-385,-146,741,131,70,41,264,101,38,85,409
254373,7274,5355,-13168,-3669,1886,6195,485,-553,-332,550,131,70,41,264,101,38,85,409
