Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,8468,-9102,-7876,-7202,2219,3338,1439,726,-201,20,0,0,0,0,0,0,0,0
7517,8566,-9054,-7932,-7085,2293,3368,1421,894,-94,133,0,0,0,0,0,0,0,0
15002,8677,-8979,-7987,-6982,2295,3387,1570,957,-21,69,0,0,0,0,0,0,0,0
37473,8788,-8888,-8044,-6893,2195,3376,1695,967,-1,-27,0,0,0,0,0,0,0,0
59977,8892,-8809,-8085,-6813,2197,3366,1693,844,29,12,0,0,0,0,0,0,0,0
68153,8892,-8809,-8085,-6813,2197,3366,1693,844,29,12,93,76,54,83,117,148,133,126
75129,8996,-8744,-8107,-6733,2323,3320,1739,760,33,98,93,76,54,83,117,148,133,126
90586,8996,-8744,-8107,-6733,2323,3320,1739,760,33,98,102,79,54,90,128,162,139,132
97562,9089,-8682,-8122,-6670,2391,3351,1720,653,87,79,102,79,54,90,128,162,139,132
113129,9089,-8682,-8122,-6670,2391,3351,1720,653,87,79,117,69,57,84,150,173,139,139
120086,9179,-8623,-8132,-6611,2305,3333,1770,614,79,74,117,69,57,84,150,173,139,139
128111,9179,-8623,-8132,-6611,2305,3333,1770,614,79,74,133,79,62,103,212,180,139,152
135065,9265,-8575,-8141,-6543,2167,3341,1964,569,-72,126,133,79,62,103,212,180,139,152
150582,9265,-8575,-8141,-6543,2167,3341,1964,569,-72,126,120,80,64,104,217,171,132,117
157577,9336,-8547,-8150,-6466,2197,3406,1901,491,-152,217,120,80,64,104,217,171,132,117
173086,9336,-8547,-8150,-6466,2197,3406,1901,491,-152,217,126,90,141,108,206,163,102,115
180040,9387,-8539,-8152,-6400,2318,3423,1803,340,-143,252,126,90,141,108,206,163,102,115
188070,9387,-8539,-8152,-6400,2318,3423,1803,340,-143,252,168,247,394,175,268,271,112,144
195062,9452,-8515,-8171,-6311,2371,3276,1821,523,-201,198,168,247,394,175,268,271,112,144
210590,9452,-8515,-8171,-6311,2371,3276,1821,523,-201,198,200,418,691,319,389,374,124,171
217537,9508,-8485,-8224,-6198,2440,3330,1729,671,-349,182,200,418,691,319,389,374,124,171
233101,9508,-8485,-8224,-6198,2440,3330,1729,671,-349,182,194,470,757,379,460,410,190,218
240040,9555,-8484,-8312,-6007,2529,3460,1362,892,-596,499,194,470,757,379,460,410,190,218
248098,9555,-8484,-8312,-6007,2529,3460,1362,892,-596,499,203,484,788,394,469,459,320,240
255066,9557,-8489,-8370,-5916,2334,3256,1478,372,-413,53,203,484,788,394,469,459,320,240
270561,9557,-8489,-8370,-5916,2334,3256,1478,372,-413,53,214,494,792,396,474,473,355,263
277537,9547,-8449,-8436,-5895,2154,3739,1432,319,-157,-125,214,494,792,396,474,473,355,263
293144,9547,-8449,-8436,-5895,2154,3739,1432,319,-157,-125,351,466,718,380,450,480,500,365
300114,9564,-8434,-8455,-5862,2407,3653,1862,194,-246,165,351,466,718,380,450,480,500,365
308087,9564,-8434,-8455,-5862,2407,3653,1862,194,-246,165,393,374,487,298,350,445,652,390
315038,9482,-8439,-8467,-5971,2395,3839,1805,-561,-115,-334,393,374,487,298,350,445,652,390
330637,9482,-8439,-8467,-5971,2395,3839,1805,-561,-115,-334,474,568,462,258,242,497,767,439
337629,9383,-8473,-8465,-6079,2056,3639,1791,-739,-168,-406,474,568,462,258,242,497,767,439
353122,9383,-8473,-8465,-6079,2056,3639,1791,-739,-168,-406,567,641,513,313,232,588,903,440
360091,9265,-8546,-8457,-6170,2221,3419,1578,-863,-230,-368,567,641,513,313,232,588,903,440
368071,9265,-8546,-8457,-6170,2221,3419,1578,-863,-230,-368,618,663,516,322,215,650,946,445
375100,9162,-8604,-8432,-6276,2235,3328,1777,-887,-174,-436,618,663,516,322,215,650,946,445
390610,9162,-8604,-8432,-6276,2235,3328,1777,-887,-174,-436,551,649,498,315,196,620,893,356
397610,9101,-8634,-8444,-6306,2395,3243,1596,-355,-250,-328,551,649,498,315,196,620,893,356
413134,9101,-8634,-8444,-6306,2395,3243,1596,-355,-250,-328,515,638,453,297,181,680,921,332
420076,9072,-8641,-8461,-6316,2650,3352,1301,-93,-40,-207,515,638,453,297,181,680,921,332
428121,9072,-8641,-8461,-6316,2650,3352,1301,-93,-40,-207,448,434,375,269,131,623,823,242
435115,9079,-8588,-8496,-6333,2476,3592,1616,201,5,-268,448,434,375,269,131,623,823,242
450608,9079,-8588,-8496,-6333,2476,3592,1616,201,5,-268,333,307,220,187,114,499,623,225
457565,9122,-8555,-8509,-6297,2557,3566,1654,343,-46,95,333,307,220,187,114,499,623,225
473088,9122,-8555,-8509,-6297,2557,3566,1654,343,-46,95,220,234,165,160,113,398,536,188
480087,9163,-8531,-8512,-6266,2538,3691,1721,279,-59,194,220,234,165,160,113,398,536,188
488122,9163,-8531,-8512,-6266,2538,3691,1721,279,-59,194,192,216,175,160,106,380,511,208
495089,9165,-8523,-8512,-6274,2414,3725,1420,22,95,54,192,216,175,160,106,380,511,208
510584,9165,-8523,-8512,-6274,2414,3725,1420,22,95,54,218,220,233,162,113,184,208,178
517563,9155,-8552,-8464,-6313,2327,3677,1507,-328,171,143,218,220,233,162,113,184,208,178
533094,9155,-8552,-8464,-6313,2327,3677,1507,-328,171,143,215,212,229,145,104,167,173,145
540051,9162,-8588,-8397,-6343,2303,3482,1755,-352,117,181,215,212,229,145,104,167,173,145
548093,9162,-8588,-8397,-6343,2303,3482,1755,-352,117,181,218,205,223,121,96,159,165,134
555116,9170,-8623,-8337,-6363,2239,3384,1706,-303,101,140,218,205,223,121,96,159,165,134
570599,9170,-8623,-8337,-6363,2239,3384,1706,-303,101,140,218,207,237,134,92,164,164,129
577542,9196,-8647,-8292,-6353,2231,3416,1620,-81,90,218,218,207,237,134,92,164,164,129
593060,9196,-8647,-8292,-6353,2231,3416,1620,-81,90,218,217,208,219,123,102,180,162,98
600038,9226,-8675,-8236,-6344,2295,3442,1600,-102,143,303,217,208,219,123,102,180,162,98
608113,9226,-8675,-8236,-6344,2295,3442,1600,-102,143,303,174,139,152,104,104,166,132,87
615062,9235,-8718,-8169,-6359,2248,3592,1670,-310,123,335,174,139,152,104,104,166,132,87
630560,9235,-8718,-8169,-6359,2248,3592,1670,-310,123,335,157,109,135,99,112,165,125,82
637537,9235,-8785,-8093,-6363,2220,3513,1630,-396,67,408,157,109,135,99,112,165,125,82
653090,9235,-8785,-8093,-6363,2220,3513,1630,-396,67,408,110,84,138,110,116,170,117,69
660037,9217,-8878,-8001,-6377,2196,3408,1592,-592,58,413,110,84,138,110,116,170,117,69
667426,9217,-8878,-8001,-6377,2196,3408,1592,-592,58,413,111,77,114,104,118,164,105,68
676513,9196,-8972,-7904,-6396,2186,3348,1644,-640,51,384,111,77,114,104,118,164,105,68
690588,9196,-8972,-7904,-6396,2186,3348,1644,-640,51,384,102,73,118,104,117,121,74,42
697565,9183,-9072,-7800,-6402,2204,3328,1683,-620,22,487,102,73,118,104,117,121,74,42
713061,9183,-9072,-7800,-6402,2204,3328,1683,-620,22,487,84,78,119,107,128,113,57,42
720087,9182,-9174,-7695,-6384,2135,3357,1701,-527,-36,616,84,78,119,107,128,113,57,42
727422,9182,-9174,-7695,-6384,2135,3357,1701,-527,-36,616,97,95,138,110,122,105,51,42
736602,9177,-9287,-7594,-6350,2128,3359,1597,-511,-80,694,97,95,138,110,122,105,51,42
750543,9177,-9287,-7594,-6350,2128,3359,1597,-511,-80,694,93,94,162,115,129,84,50,43
757603,9160,-9428,-7466,-6318,2203,3285,1510,-693,-49,816,93,94,162,115,129,84,50,43
773120,9160,-9428,-7466,-6318,2203,3285,1510,-693,-49,816,71,91,168,123,131,77,44,41
780106,9142,-9586,-7315,-6282,2070,3267,1658,-813,-98,934,71,91,168,123,131,77,44,41
796352,9142,-9586,-7315,-6282,2070,3267,1658,-813,-98,934,84,88,168,128,131,70,37,48
798014,9123,-9743,-7162,-6245,1971,3291,1710,-822,-133,958,84,88,168,128,131,70,37,48
810610,9123,-9743,-7162,-6245,1971,3291,1710,-822,-133,958,87,82,177,128,115,57,35,53
817591,9087,-9909,-7003,-6218,2014,3248,1659,-940,-126,941,87,82,177,128,115,57,35,53
833084,9087,-9909,-7003,-6218,2014,3248,1659,-940,-126,941,74,65,177,162,159,73,39,57
840059,9032,-10094,-6828,-6193,2099,3215,1668,-1111,-172,1018,74,65,177,162,159,73,39,57
856314,9032,-10094,-6828,-6193,2099,3215,1668,-1111,-172,1018,98,91,155,159,187,83,38,62
858065,8994,-10280,-6649,-6137,2191,3192,1607,-986,-215,1204,98,91,155,159,187,83,38,62
870560,8994,-10280,-6649,-6137,2191,3192,1607,-986,-215,1204,128,93,189,157,187,83,45,65
877513,8960,-10454,-6487,-6068,2423,3101,1415,-835,-218,1195,128,93,189,157,187,83,45,65
893140,8960,-10454,-6487,-6068,2423,3101,1415,-835,-218,1195,123,94,195,158,191,96,55,65
900088,8943,-10602,-6339,-5990,2539,2946,1321,-639,-173,1133,123,94,195,158,191,96,55,65
916736,8943,-10602,-6339,-5990,2539,2946,1321,-639,-173,1133,122,93,193,166,198,112,107,64
918495,8961,-10727,-6187,-5898,2484,2952,1429,-447,-150,1236,122,93,193,166,198,112,107,64
930594,8961,-10727,-6187,-5898,2484,2952,1429,-447,-150,1236,124,91,198,141,177,109,130,62
937585,9036,-10824,-6048,-5750,2334,2977,1500,-19,-245,1430,124,91,198,141,177,109,130,62
953580,9036,-10824,-6048,-5750,2334,2977,1500,-19,-245,1430,106,71,202,160,151,116,199,59
960039,9148,-10893,-5933,-5558,2280,2919,1478,348,-344,1498,106,71,202,160,151,116,199,59
976298,9148,-10893,-5933,-5558,2280,2919,1478,348,-344,1498,83,68,165,162,161,119,243,57
978077,9268,-10926,-5854,-5377,2373,2973,1432,553,-313,1359,83,68,165,162,161,119,243,57
998765,9268,-10926,-5854,-5377,2373,2973,1432,553,-313,1359,76,63,162,159,150,116,259,50
1000509,9371,-10933,-5804,-5235,2385,3046,1403,568,-227,1106,76,63,162,159,150,116,259,50
1013083,9371,-10933,-5804,-5235,2385,3046,1403,568,-227,1106,81,61,151,144,141,112,249,49
1020088,9465,-10924,-5779,-5112,2284,2960,1348,606,-193,861,81,61,151,144,141,112,249,49
1036247,9465,-10924,-5779,-5112,2284,2960,1348,606,-193,861,73,59,121,135,119,104,243,45
1037988,9540,-10918,-5758,-5007,2260,2954,1359,498,-185,765,73,59,121,135,119,104,243,45
1058775,9540,-10918,-5758,-5007,2260,2954,1359,498,-185,765,72,52,112,99,106,87,198,44
