Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-6928,7177,12887,1689,3670,3154,-1003,-790,-1809,1617,0,0,0,0,0,0,0,0
783,-6595,7535,12878,1520,3572,3161,-1165,-914,-2105,1831,0,0,0,0,0,0,0,0
6817,-6212,7932,12852,1324,3479,3113,-1353,-1014,-2391,2092,0,0,0,0,0,0,0,0
21808,-5788,8351,12805,1097,3389,3027,-1527,-1049,-2636,2295,0,0,0,0,0,0,0,0
44307,-5327,8777,12739,847,3241,2973,-1702,-1076,-2845,2419,0,0,0,0,0,0,0,0
68150,-4839,9210,12643,569,3083,2909,-1861,-1055,-3017,2583,0,0,0,0,0,0,0,0
68906,-4839,9210,12643,569,3083,2909,-1861,-1055,-3017,2583,203,85,66,132,350,240,343,281
83099,-4343,9640,12513,236,2881,2805,-2019,-851,-3183,2765,203,85,66,132,350,240,343,281
83910,-4343,9640,12513,236,2881,2805,-2019,-851,-3183,2765,205,116,66,175,357,253,355,273
105632,-3836,10048,12358,-121,2701,2779,-2079,-756,-3302,2802,205,116,66,175,357,253,355,273
106428,-3836,10048,12358,-121,2701,2779,-2079,-756,-3302,2802,209,123,56,228,377,258,347,169
128083,-3344,10417,12186,-485,2490,2795,-2124,-615,-3260,2706,209,123,56,228,377,258,347,169
128909,-3344,10417,12186,-485,2490,2795,-2124,-615,-3260,2706,205,117,86,280,410,314,284,166
143117,-2877,10762,11984,-846,2268,2760,-2176,-515,-3136,2710,205,117,86,280,410,314,284,166
143893,-2877,10762,11984,-846,2268,2760,-2176,-515,-3136,2710,146,114,81,329,361,289,242,69
165647,-2437,11078,11761,-1192,2238,2788,-2097,-442,-2993,2658,146,114,81,329,361,289,242,69
166439,-2437,11078,11761,-1192,2238,2788,-2097,-442,-2993,2658,184,123,81,326,293,245,227,69
188133,-2034,11354,11536,-1508,2196,2828,-2016,-389,-2774,2470,184,123,81,326,293,245,227,69
188910,-2034,11354,11536,-1508,2196,2828,-2016,-389,-2774,2470,185,98,86,314,307,243,118,63
203117,-1670,11593,11316,-1782,2115,2867,-1995,-381,-2501,2265,185,98,86,314,307,243,118,63
203893,-1670,11593,11316,-1782,2115,2867,-1995,-381,-2501,2265,178,94,87,284,303,245,102,58
225616,-1348,11807,11096,-2016,2088,2919,-1955,-351,-2226,2118,178,94,87,284,303,245,102,58
226409,-1348,11807,11096,-2016,2088,2919,-1955,-351,-2226,2118,175,135,77,238,274,167,69,49
248112,-1059,11994,10887,-2215,2129,2992,-1891,-347,-2004,1939,175,135,77,238,274,167,69,49
248893,-1059,11994,10887,-2215,2129,2992,-1891,-347,-2004,1939,174,150,109,158,248,174,65,56
263140,-799,12149,10703,-2375,2173,3072,-1786,-381,-1790,1680,174,150,109,158,248,174,65,56
263979,-799,12149,10703,-2375,2173,3072,-1786,-381,-1790,1680,105,145,107,141,254,182,58,55
285706,-706,12269,10579,-2342,2158,3117,-1756,-411,-1524,1405,105,145,107,141,254,182,58,55
286438,-706,12269,10579,-2342,2158,3117,-1756,-411,-1524,1405,92,144,106,130,238,169,54,55
308162,-650,12371,10477,-2278,2119,3132,-1722,-406,-1264,1188,92,144,106,130,238,169,54,55
308937,-650,12371,10477,-2278,2119,3132,-1722,-406,-1264,1188,92,159,128,116,235,155,46,57
323149,-632,12459,10390,-2201,2045,3143,-1684,-318,-1042,1017,92,159,128,116,235,155,46,57
323985,-632,12459,10390,-2201,2045,3143,-1684,-318,-1042,1017,99,138,117,113,214,130,44,57
345603,-640,12534,10320,-2103,2018,3263,-1671,-251,-840,851,99,138,117,113,214,130,44,57
346441,-640,12534,10320,-2103,2018,3263,-1671,-251,-840,851,84,136,94,108,190,101,53,48
368137,-654,12591,10274,-1974,1952,3301,-1648,-347,-654,646,84,136,94,108,190,101,53,48
368928,-654,12591,10274,-1974,1952,3301,-1648,-347,-654,646,82,132,95,183,182,89,57,52
383137,-670,12635,10246,-1829,1851,3209,-1598,-481,-510,504,82,132,95,183,182,89,57,52
383919,-670,12635,10246,-1829,1851,3209,-1598,-481,-510,504,85,139,98,292,206,138,59,51
405587,-698,12671,10223,-1692,1714,3194,-1626,-427,-412,417,85,139,98,292,206,138,59,51
406414,-698,12671,10223,-1692,1714,3194,-1626,-427,-412,417,118,228,304,380,223,278,103,93
428149,-743,12681,10226,-1576,1590,3241,-1677,-269,-377,172,118,228,304,380,223,278,103,93
428910,-743,12681,10226,-1576,1590,3241,-1677,-269,-377,172,210,347,547,533,235,344,136,139
443149,-741,12696,10226,-1457,1610,3454,-1746,-375,-525,218,210,347,547,533,235,344,136,139
443935,-741,12696,10226,-1457,1610,3454,-1746,-375,-525,218,231,376,559,640,317,387,141,147
465592,-731,12721,10216,-1302,1760,3265,-1568,-683,-436,297,231,376,559,640,317,387,141,147
466374,-731,12721,10216,-1302,1760,3265,-1568,-683,-436,297,311,472,613,699,479,459,146,153
488130,-767,12735,10209,-1193,1383,3071,-1569,-433,-256,194,311,472,613,699,479,459,146,153
488937,-767,12735,10209,-1193,1383,3071,-1569,-433,-256,194,451,564,699,716,548,512,155,182
503090,-843,12717,10233,-1122,1434,3292,-1602,-10,-306,-70,451,564,699,716,548,512,155,182
503958,-843,12717,10233,-1122,1434,3292,-1602,-10,-306,-70,490,586,676,724,627,484,137,180
525666,-945,12704,10245,-1078,1274,3261,-1703,206,-221,-17,490,586,676,724,627,484,137,180
526438,-945,12704,10245,-1078,1274,3261,-1703,206,-221,-17,484,571,521,635,635,475,106,149
548092,-1015,12711,10235,-1025,1290,3377,-1835,122,-269,159,484,571,521,635,635,475,106,149
548939,-1015,12711,10235,-1025,1290,3377,-1835,122,-269,159,497,561,516,547,673,485,104,142
563102,-1058,12731,10216,-923,1318,3423,-1798,-154,-137,231,497,561,516,547,673,485,104,142
563895,-1058,12731,10216,-923,1318,3423,-1798,-154,-137,231,461,499,462,447,579,424,98,137
585647,-1099,12751,10196,-816,1164,3217,-1752,-304,-10,211,461,499,462,447,579,424,98,137
586427,-1099,12751,10196,-816,1164,3217,-1752,-304,-10,211,328,466,341,388,525,364,98,96
608110,-1154,12764,10179,-749,1033,3105,-1709,-170,-49,167,328,466,341,388,525,364,98,96
608886,-1154,12764,10179,-749,1033,3105,-1709,-170,-49,167,280,425,309,398,446,386,111,101
622408,-1183,12766,10177,-685,1008,3262,-1764,-182,-130,71,280,425,309,398,446,386,111,101
623234,-1183,12766,10177,-685,1008,3262,-1764,-182,-130,71,253,381,377,504,452,430,151,137
645577,-1242,12758,10182,-663,1104,3151,-1707,34,-256,15,253,381,377,504,452,430,151,137
646387,-1242,12758,10182,-663,1104,3151,-1707,34,-256,15,279,425,464,567,342,405,159,198
668153,-1325,12764,10165,-636,1270,3197,-1743,162,-210,169,279,425,464,567,342,405,159,198
668903,-1325,12764,10165,-636,1270,3197,-1743,162,-210,169,313,458,513,599,381,427,168,226
682482,-1368,12769,10158,-573,1243,3424,-1610,-29,-167,114,313,458,513,599,381,427,168,226
683238,-1368,12769,10158,-573,1243,3424,-1610,-29,-167,114,457,474,619,599,573,552,189,248
705595,-1415,12727,10205,-539,1120,3294,-1655,36,-227,-289,457,474,619,599,573,552,189,248
706389,-1415,12727,10205,-539,1120,3294,-1655,36,-227,-289,479,552,633,545,634,528,189,238
728115,-1508,12675,10256,-549,1228,3214,-1661,368,-313,-324,479,552,633,545,634,528,189,238
728947,-1508,12675,10256,-549,1228,3214,-1661,368,-313,-324,537,549,581,549,711,532,161,222
750624,-1603,12651,10270,-563,1138,3413,-1733,517,-227,-52,537,549,581,549,711,532,161,222
751386,-1603,12651,10270,-563,1138,3413,-1733,517,-227,-52,504,518,542,509,744,555,156,176
764245,-1641,12647,10271,-524,1220,3507,-1789,144,-220,61,504,518,542,509,744,555,156,176
772419,-1641,12647,10271,-524,1220,3507,-1789,144,-220,61,480,483,495,487,750,543,148,138
786748,-1665,12647,10270,-466,1079,3322,-1758,-99,-95,52,480,483,495,487,750,543,148,138
794897,-1665,12647,10270,-466,1079,3322,-1758,-99,-95,52,352,468,345,484,622,419,108,94
809955,-1692,12657,10255,-429,945,3170,-1698,-106,-88,134,352,468,345,484,622,419,108,94
810737,-1692,12657,10255,-429,945,3170,-1698,-106,-88,134,301,342,261,474,536,421,116,89
833123,-1715,12657,10253,-385,1034,3308,-1715,-69,-114,54,301,342,261,474,536,421,116,89
833920,-1715,12657,10253,-385,1034,3308,-1715,-69,-114,54,190,380,294,381,404,329,116,114
855605,-1774,12649,10253,-355,1164,3178,-1610,69,-114,27,190,380,294,381,404,329,116,114
856387,-1774,12649,10253,-355,1164,3178,-1610,69,-114,27,203,373,265,351,343,296,112,116
869301,-1859,12640,10251,-321,1187,3253,-1612,215,4,33,203,373,265,351,343,296,112,116
877419,-1859,12640,10251,-321,1187,3253,-1612,215,4,33,225,387,292,363,286,344,121,127
892369,-1921,12634,10249,-258,1313,3356,-1576,71,-1,40,225,387,292,363,286,344,121,127
893296,-1921,12634,10249,-258,1313,3356,-1576,71,-1,40,280,377,392,416,439,447,138,143
915708,-2001,12627,10245,-153,1553,3174,-1361,-125,131,28,280,377,392,416,439,447,138,143
916517,-2001,12627,10245,-153,1553,3174,-1361,-125,131,28,430,600,474,561,623,549,144,168
938148,-2156,12574,10279,-75,1532,2992,-1303,233,290,-306,430,600,474,561,623,549,144,168
