Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-2627,12900,9280,2996,1776,3715,-2203,-1,-31,33,0,0,0,0,0,0,0,0
7448,-2614,12911,9277,2970,1770,3715,-2180,-29,-29,34,0,0,0,0,0,0,0,0
22444,-2609,12922,9271,2945,1778,3693,-2173,-8,-7,43,0,0,0,0,0,0,0,0
44981,-2609,12932,9266,2919,1780,3700,-2190,27,7,50,0,0,0,0,0,0,0,0
68813,-2603,12943,9260,2891,1764,3701,-2196,10,-24,54,0,0,0,0,0,0,0,0
69600,-2603,12943,9260,2891,1764,3701,-2196,10,-24,54,232,38,40,128,260,139,48,46
82441,-2593,12954,9255,2866,1769,3730,-2197,1,-40,51,232,38,40,128,260,139,48,46
90623,-2593,12954,9255,2866,1769,3730,-2197,1,-40,51,222,35,40,131,264,136,48,49
105013,-2580,12965,9250,2846,1770,3729,-2182,-30,-35,45,222,35,40,131,264,136,48,49
113105,-2580,12965,9250,2846,1770,3729,-2182,-30,-35,45,198,33,40,134,271,129,55,50
128783,-2576,12974,9244,2828,1782,3704,-2169,-9,-4,48,198,33,40,134,271,129,55,50
129625,-2576,12974,9244,2828,1782,3704,-2169,-9,-4,48,192,36,41,125,286,161,55,50
142493,-2574,12984,9236,2810,1759,3687,-2184,-2,7,53,192,36,41,125,286,161,55,50
150541,-2574,12984,9236,2810,1759,3687,-2184,-2,7,53,213,35,40,101,307,201,49,47
164953,-2567,12993,9231,2792,1764,3714,-2192,-9,-14,44,213,35,40,101,307,201,49,47
173055,-2567,12993,9231,2792,1764,3714,-2192,-9,-14,44,200,35,40,94,297,207,48,49
188778,-2557,13002,9226,2774,1760,3716,-2192,-17,-28,43,200,35,40,94,297,207,48,49
189550,-2557,13002,9226,2774,1760,3716,-2192,-17,-28,43,173,36,40,92,315,222,51,46
202451,-2542,13012,9221,2759,1759,3738,-2189,-44,-35,41,173,36,40,92,315,222,51,46
210614,-2542,13012,9221,2759,1759,3738,-2189,-44,-35,41,188,39,40,92,328,230,51,51
224973,-2528,13023,9214,2745,1741,3711,-2181,-58,-30,50,188,39,40,92,328,230,51,51
233115,-2528,13023,9214,2745,1741,3711,-2181,-58,-30,50,190,41,43,98,376,208,58,51
248793,-2517,13034,9205,2729,1734,3718,-2195,-31,-24,64,190,41,43,98,376,208,58,51
249614,-2517,13034,9205,2729,1734,3718,-2195,-31,-24,64,219,111,45,98,381,196,74,66
262478,-2482,13056,9189,2714,1678,3749,-2232,-147,-76,109,219,111,45,98,381,196,74,66
270587,-2482,13056,9189,2714,1678,3749,-2232,-147,-76,109,289,319,82,129,410,307,109,100
284996,-2411,13085,9169,2704,1695,3758,-2243,-340,-183,117,289,319,82,129,410,307,109,100
293076,-2411,13085,9169,2704,1695,3758,-2243,-340,-183,117,469,494,185,197,474,473,134,144
308782,-2410,13091,9181,2637,1718,3589,-2226,123,-265,-31,469,494,185,197,474,473,134,144
309588,-2410,13091,9181,2637,1718,3589,-2226,123,-265,-31,550,647,225,316,497,547,155,167
322427,-2418,13077,9225,2538,1575,3727,-2182,392,-343,-159,550,647,225,316,497,547,155,167
330586,-2418,13077,9225,2538,1575,3727,-2182,392,-343,-159,626,659,229,394,532,568,164,180
344943,-2375,13067,9225,2631,2195,4292,-1946,-224,29,-14,626,659,229,394,532,568,164,180
353083,-2375,13067,9225,2631,2195,4292,-1946,-224,29,-14,695,678,252,494,631,602,166,191
368777,-2334,13095,9183,2675,1687,3570,-2114,-507,116,142,695,678,252,494,631,602,166,191
369614,-2334,13095,9183,2675,1687,3570,-2114,-507,116,142,677,633,252,551,691,673,176,189
