Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,6209,6322,10589,8819,1182,5873,49,64,-231,38,0,0,0,0,0,0,0,0
7518,6065,6511,10572,8801,1331,5968,181,62,-276,336,0,0,0,0,0,0,0,0
15005,5894,6720,10548,8789,1430,6037,200,157,-241,492,0,0,0,0,0,0,0,0
29924,5715,6924,10526,8775,1412,6154,192,210,-186,527,0,0,0,0,0,0,0,0
52519,5544,7106,10507,8762,1362,6234,218,196,-124,485,0,0,0,0,0,0,0,0
68167,5544,7106,10507,8762,1362,6234,218,196,-124,485,88,89,67,75,94,198,242,117
75145,5386,7267,10487,8752,1328,6250,233,132,-92,424,88,89,67,75,94,198,242,117
91354,5386,7267,10487,8752,1328,6250,233,132,-92,424,101,90,73,74,100,159,234,126
93063,5236,7408,10469,8747,1343,6191,258,96,-43,361,101,90,73,74,100,159,234,126
113944,5236,7408,10469,8747,1343,6191,258,96,-43,361,101,87,67,73,88,158,268,132
115655,5084,7539,10461,8734,1282,6173,237,146,11,343,101,87,67,73,88,158,268,132
128130,5084,7539,10461,8734,1282,6173,237,146,11,343,98,88,69,65,82,181,302,122
158224,4939,7656,10465,8710,1196,6216,200,186,41,298,98,88,69,65,82,181,302,122
159035,4808,7761,10476,8677,1148,6245,137,173,24,229,98,88,69,65,82,181,302,122
165605,4808,7761,10476,8677,1148,6245,137,173,24,229,96,84,69,64,82,180,310,124
174564,4697,7857,10473,8656,1145,6238,121,27,-3,215,96,84,69,64,82,180,310,124
175384,4697,7857,10473,8656,1145,6238,121,27,-3,215,104,99,78,63,81,184,317,124
190184,4697,7857,10473,8656,1145,6238,121,27,-3,215,92,92,72,58,78,183,299,122
202514,4606,7942,10467,8634,1036,6180,147,-24,-28,190,92,92,72,58,78,183,299,122
211309,4606,7942,10467,8634,1036,6180,147,-24,-28,190,81,87,68,57,85,203,291,124
213080,4490,8015,10444,8656,1389,6017,465,-38,111,167,81,87,68,57,85,203,291,124
233754,4490,8015,10444,8656,1389,6017,465,-38,111,167,77,79,70,56,81,185,254,128
235513,4382,8085,10442,8648,1187,6066,312,49,97,147,77,79,70,56,81,185,254,128
248084,4382,8085,10442,8648,1187,6066,312,49,97,147,86,81,75,57,89,168,260,136
279481,4286,8172,10455,8599,1121,6209,100,166,-58,138,86,81,75,57,89,168,260,136
280292,4196,8248,10464,8560,1173,6231,120,116,-35,95,86,81,75,57,89,168,260,136
281114,4196,8248,10464,8560,1173,6231,120,116,-35,95,73,63,69,62,92,179,283,130
293763,4111,8315,10471,8527,1206,6260,132,88,-16,64,73,63,69,62,92,179,283,130
294596,4111,8315,10471,8527,1206,6260,132,88,-16,64,91,78,77,68,91,199,270,144
308073,4111,8315,10471,8527,1206,6260,132,88,-16,64,89,76,76,65,75,166,244,136
322480,4033,8374,10482,8494,1117,6220,150,84,-1,58,89,76,76,65,75,166,244,136
330603,4033,8374,10482,8494,1117,6220,150,84,-1,58,99,85,76,67,83,167,245,147
344964,3937,8438,10462,8500,1500,6089,366,14,29,80,99,85,76,67,83,167,245,147
353052,3937,8438,10462,8500,1500,6089,366,14,29,80,109,93,77,68,91,172,233,153
360058,3871,8474,10451,8508,1199,6026,593,14,50,21,109,93,77,68,91,172,233,153
368108,3871,8474,10451,8508,1199,6026,593,14,50,21,109,95,76,73,103,163,185,155
382466,3784,8537,10508,8413,1153,6471,-539,221,-6,-61,109,95,76,73,103,163,185,155
390580,3784,8537,10508,8413,1153,6471,-539,221,-6,-61,100,94,64,69,103,153,194,157
397523,3770,8541,10514,8408,787,5995,705,-11,4,-95,100,94,64,69,103,153,194,157
413045,3770,8541,10514,8408,787,5995,705,-11,4,-95,210,202,85,74,105,187,209,181
420040,3648,8621,10464,8443,2480,6448,262,-23,-66,-57,210,202,85,74,105,187,209,181
428063,3648,8621,10464,8443,2480,6448,262,-23,-66,-57,376,319,118,77,102,185,216,210
435037,3550,8667,10485,8411,1788,6529,-433,-2,92,-165,376,319,118,77,102,185,216,210
451277,3550,8667,10485,8411,1788,6529,-433,-2,92,-165,503,419,135,76,84,187,210,220
453058,3509,8663,10563,8335,589,6277,-450,50,213,-180,503,419,135,76,84,187,210,220
473769,3509,8663,10563,8335,589,6277,-450,50,213,-180,568,487,156,93,69,195,235,238
475494,3490,8619,10671,8251,246,6218,-303,134,301,-331,568,487,156,93,69,195,235,238
488095,3490,8619,10671,8251,246,6218,-303,134,301,-331,715,687,258,110,81,194,251,301
495051,3424,8588,10751,8207,1099,6264,138,295,262,-437,715,687,258,110,81,194,251,301
511335,3424,8588,10751,8207,1099,6264,138,295,262,-437,750,744,288,117,94,189,267,323
512965,3335,8519,10835,8204,1405,6482,262,300,487,-590,750,744,288,117,94,189,267,323
533741,3335,8519,10835,8204,1405,6482,262,300,487,-590,822,820,301,119,93,194,263,319
535488,3243,8389,10940,8236,1471,6643,454,297,750,-843,822,820,301,119,93,194,263,319
548063,3243,8389,10940,8236,1471,6643,454,297,750,-843,964,848,327,132,103,244,269,353
555048,3215,8172,11083,8275,1299,6741,336,56,869,-1369,964,848,327,132,103,244,269,353
571240,3215,8172,11083,8275,1299,6741,336,56,869,-1369,994,851,336,132,109,278,379,366
572968,3338,7844,11264,8298,853,6675,55,-332,724,-2104,994,851,336,132,109,278,379,366
593772,3504,7526,11435,8291,496,5959,-69,-409,456,-2174,994,851,336,132,109,278,379,366
594593,3504,7526,11435,8291,496,5959,-69,-409,456,-2174,949,784,311,153,132,304,396,329
616262,3696,7252,11538,8308,470,5710,-99,-731,201,-1887,949,784,311,153,132,304,396,329
617086,3696,7252,11538,8308,470,5710,-99,-731,201,-1887,1038,908,392,183,145,297,413,329
631223,3855,7019,11646,8285,514,5603,-85,-432,112,-1709,1038,908,392,183,145,297,413,329
632064,3855,7019,11646,8285,514,5603,-85,-432,112,-1709,1029,907,401,199,148,349,497,326
653769,3987,6800,11775,8223,614,5502,-167,-150,102,-1696,1029,907,401,199,148,349,497,326
654567,3987,6800,11775,8223,614,5502,-167,-150,102,-1696,919,897,405,239,166,362,541,302
676253,4035,6655,11915,8116,588,5357,-252,-184,91,-1457,919,897,405,239,166,362,541,302
677065,4035,6655,11915,8116,588,5357,-252,-184,91,-1457,935,921,412,240,175,347,485,306
691335,4045,6581,12001,8044,604,5307,-300,-319,30,-903,935,921,412,240,175,347,485,306
692129,4045,6581,12001,8044,604,5307,-300,-319,30,-903,1031,931,411,250,173,332,513,300
713774,4009,6581,12056,7979,726,5466,-112,-87,-53,-456,1031,931,411,250,173,332,513,300
714569,4009,6581,12056,7979,726,5466,-112,-87,-53,-456,951,812,349,263,200,348,491,289
743778,3950,6604,12116,7899,728,5674,19,200,-55,-323,951,812,349,263,200,348,491,289
744569,3950,6604,12116,7899,728,5674,19,200,-55,-323,924,748,358,285,224,306,467,275
758765,3884,6625,12164,7841,678,5745,30,130,23,-228,924,748,358,285,224,306,467,275
759580,3884,6625,12164,7841,678,5745,30,130,23,-228,901,740,343,264,216,258,442,255
773755,3806,6662,12193,7801,681,5645,-27,10,47,-61,901,740,343,264,216,258,442,255
774567,3806,6662,12193,7801,681,5645,-27,10,47,-61,874,712,352,271,209,236,433,228
796264,3718,6700,12223,7764,528,5568,126,95,133,65,874,712,352,271,209,236,433,228
797115,3718,6700,12223,7764,528,5568,126,95,133,65,719,636,336,264,200,216,375,209
811314,3623,6748,12243,7737,511,5675,289,176,147,169,719,636,336,264,200,216,375,209
812089,3623,6748,12243,7737,511,5675,289,176,147,169,683,564,293,291,189,217,393,181
833753,3544,6798,12284,7663,137,5872,-419,114,115,234,683,564,293,291,189,217,393,181
834584,3544,6798,12284,7663,137,5872,-419,114,115,234,613,512,251,280,164,204,339,187
856259,3454,6871,12222,7738,972,5669,704,-237,83,381,613,512,251,280,164,204,339,187
857085,3454,6871,12222,7738,972,5669,704,-237,83,381,636,455,234,270,154,198,352,184
871277,3318,6978,12205,7730,1212,5822,-288,-56,33,346,636,455,234,270,154,198,352,184
872087,3318,6978,12205,7730,1212,5822,-288,-56,33,346,595,422,197,266,153,218,359,185
893741,3298,7001,12271,7612,-480,5797,-580,129,66,183,595,422,197,266,153,218,359,185
894570,3298,7001,12271,7612,-480,5797,-580,129,66,183,579,380,168,252,145,217,370,182
916254,3312,7007,12332,7501,-735,5689,-134,187,18,153,579,380,168,252,145,217,370,182
917043,3312,7007,12332,7501,-735,5689,-134,187,18,153,552,349,174,194,109,171,352,171
931266,3329,7019,12363,7430,-471,5688,73,54,-32,147,552,349,174,194,109,171,352,171
932084,3329,7019,12363,7430,-471,5688,73,54,-32,147,544,365,174,159,97,159,338,149
953774,3349,7025,12396,7359,-557,5604,-104,-57,-4,146,544,365,174,159,97,159,338,149
954573,3349,7025,12396,7359,-557,5604,-104,-57,-4,146,423,320,156,150,97,155,299,132
967401,3380,7030,12447,7255,-837,5668,-616,-108,-9,154,423,320,156,150,97,155,299,132
975554,3380,7030,12447,7255,-837,5668,-616,-108,-9,154,354,257,128,130,89,151,270,117
989960,3370,7054,12451,7230,33,5702,108,-81,-24,139,354,257,128,130,89,151,270,117
998021,3370,7054,12451,7230,33,5702,108,-81,-24,139,329,242,120,115,82,167,295,112
1013734,3335,7125,12437,7200,678,5820,-99,-46,-241,142,329,242,120,115,82,167,295,112
1014557,3335,7125,12437,7200,678,5820,-99,-46,-241,142,301,225,108,88,74,178,321,116
1027440,3310,7188,12434,7155,669,5780,-6,52,-288,44,301,225,108,88,74,178,321,116
1035537,3310,7188,12434,7155,669,5780,-6,52,-288,44,230,139,88,79,75,201,358,142
1049944,3265,7255,12442,7093,680,5786,78,261,-251,73,230,139,88,79,75,201,358,142
