Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2582,-11229,-11492,-1906,1853,3711,-2102,136,-421,-2,0,0,0,0,0,0,0,0
7490,2562,-11234,-11499,-1859,1882,3718,-2194,87,-431,18,0,0,0,0,0,0,0,0
15011,2549,-11247,-11497,-1808,1905,3636,-2243,75,-426,82,0,0,0,0,0,0,0,0
37502,2544,-11264,-11488,-1770,1983,3623,-2262,55,-390,125,0,0,0,0,0,0,0,0
60015,2546,-11275,-11480,-1750,2082,3714,-2307,62,-338,107,0,0,0,0,0,0,0,0
68110,2546,-11275,-11480,-1750,2082,3714,-2307,62,-338,107,274,369,255,75,38,38,38,68
75080,2560,-11282,-11470,-1747,2215,3766,-2419,88,-268,108,274,369,255,75,38,38,38,68
90598,2560,-11282,-11470,-1747,2215,3766,-2419,88,-268,108,223,444,316,103,94,45,43,70
97575,2578,-11285,-11457,-1785,2352,3816,-2485,-32,-132,90,223,444,316,103,94,45,43,70
113125,2578,-11285,-11457,-1785,2352,3816,-2485,-32,-132,90,245,475,349,113,121,50,47,77
128951,2603,-11282,-11440,-1876,2443,3903,-2568,-175,102,50,245,475,349,113,121,50,47,77
129754,2603,-11282,-11440,-1876,2443,3903,-2568,-175,102,50,291,542,475,138,158,68,51,82
135069,2641,-11274,-11414,-2023,2464,3802,-2606,-419,425,-12,291,542,475,138,158,68,51,82
150625,2641,-11274,-11414,-2023,2464,3802,-2606,-419,425,-12,429,570,566,224,215,83,62,109
157669,2720,-11256,-11377,-2216,2500,3737,-2652,-492,830,-50,429,570,566,224,215,83,62,109
173215,2720,-11256,-11377,-2216,2500,3737,-2652,-492,830,-50,523,678,648,297,299,98,73,135
180097,2836,-11232,-11331,-2420,2456,3702,-2584,-433,1121,-47,523,678,648,297,299,98,73,135
188076,2836,-11232,-11331,-2420,2456,3702,-2584,-433,1121,-47,558,667,715,324,451,129,92,186
195069,2989,-11196,-11281,-2633,2446,3690,-2474,-337,1378,-71,558,667,715,324,451,129,92,186
218793,2989,-11196,-11281,-2633,2446,3690,-2474,-337,1378,-71,605,808,943,343,586,150,101,201
220532,3162,-11159,-11218,-2846,2418,3702,-2398,-268,1554,-13,605,808,943,343,586,150,101,201
233114,3162,-11159,-11218,-2846,2418,3702,-2398,-268,1554,-13,721,850,964,485,838,215,118,213
240097,3328,-11123,-11158,-3028,2290,3655,-2357,-193,1537,-16,721,850,964,485,838,215,118,213
248225,3328,-11123,-11158,-3028,2290,3655,-2357,-193,1537,-16,685,855,1170,512,881,238,124,215
255095,3474,-11074,-11115,-3195,2286,3595,-2270,-214,1453,-155,685,855,1170,512,881,238,124,215
270626,3474,-11074,-11115,-3195,2286,3595,-2270,-214,1453,-155,687,815,1237,542,992,263,135,234
277552,3575,-10999,-11113,-3346,2185,3690,-2072,-216,1237,-425,687,815,1237,542,992,263,135,234
293108,3575,-10999,-11113,-3346,2185,3690,-2072,-216,1237,-425,748,817,1223,566,971,279,135,223
300082,3666,-10962,-11064,-3527,2144,4070,-2027,-304,1391,-46,748,817,1223,566,971,279,135,223
308125,3666,-10962,-11064,-3527,2144,4070,-2027,-304,1391,-46,718,763,1262,729,971,287,134,213
315076,3741,-11065,-10894,-3651,1981,4178,-2532,-417,1395,1033,718,763,1262,729,971,287,134,213
330599,3741,-11065,-10894,-3651,1981,4178,-2532,-417,1395,1033,595,740,1286,734,869,260,139,219
337576,3829,-11147,-10741,-3765,1962,3859,-2038,-419,1288,815,595,740,1286,734,869,260,139,219
