Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-2879,14245,7203,2308,1620,3248,-1932,1,-19,11,0,0,0,0,0,0,0,0
737,-2879,14245,7203,2308,1621,3262,-1951,10,-16,10,0,0,0,0,0,0,0,0
14239,-2877,14246,7203,2306,1625,3275,-1936,-3,-22,9,0,0,0,0,0,0,0,0
36737,-2877,14246,7203,2306,1624,3264,-1946,-5,-13,6,0,0,0,0,0,0,0,0
59253,-2877,14246,7203,2306,1620,3263,-1940,0,-6,6,0,0,0,0,0,0,0,0
67346,-2877,14246,7203,2306,1620,3263,-1940,0,-6,6,81,230,52,154,438,120,61,44
74336,-2877,14246,7203,2306,1612,3264,-1943,0,-3,-3,81,230,52,154,438,120,61,44
89821,-2877,14246,7203,2306,1612,3264,-1943,0,-3,-3,68,232,60,153,356,116,60,42
96847,-2876,14246,7203,2306,1613,3266,-1957,-2,0,5,68,232,60,153,356,116,60,42
112397,-2876,14246,7203,2306,1613,3266,-1957,-2,0,5,68,221,62,164,458,96,52,43
119332,-2877,14246,7203,2306,1606,3250,-1942,-6,-5,3,68,221,62,164,458,96,52,43
127354,-2877,14246,7203,2306,1606,3250,-1942,-6,-5,3,70,180,56,144,399,78,50,49
134281,-2876,14246,7203,2306,1606,3269,-1962,7,-13,11,70,180,56,144,399,78,50,49
149897,-2876,14246,7203,2306,1606,3269,-1962,7,-13,11,70,177,57,142,404,82,54,45
164369,-2879,14246,7204,2298,1598,3257,-1945,27,-23,1,70,177,57,142,404,82,54,45
172327,-2879,14246,7204,2298,1598,3257,-1945,27,-23,1,77,173,57,151,384,75,57,45
179323,-2873,14249,7203,2289,1591,3264,-1937,-10,-52,12,77,173,57,151,384,75,57,45
187318,-2873,14249,7203,2289,1591,3264,-1937,-10,-52,12,93,173,64,166,466,74,55,53
194295,-2858,14256,7200,2275,1536,3189,-1909,-88,-83,9,93,173,64,166,466,74,55,53
209844,-2858,14256,7200,2275,1536,3189,-1909,-88,-83,9,110,240,319,319,516,98,65,60
216824,-2842,14271,7187,2243,1461,2999,-1887,-163,-153,48,110,240,319,319,516,98,65,60
232340,-2842,14271,7187,2243,1461,2999,-1887,-163,-153,48,158,455,431,457,853,126,92,92
239351,-2799,14306,7155,2176,1341,3009,-1877,-243,-346,199,158,455,431,457,853,126,92,92
247308,-2799,14306,7155,2176,1341,3009,-1877,-243,-346,199,322,699,617,626,974,146,118,137
261710,-2780,14338,7124,2088,1406,2827,-1870,-162,-450,202,322,699,617,626,974,146,118,137
269815,-2780,14338,7124,2088,1406,2827,-1870,-162,-450,202,410,757,687,805,1122,197,130,162
276770,-2899,14332,7117,1986,1450,2429,-1881,440,-198,43,410,757,687,805,1122,197,130,162
292393,-2899,14332,7117,1986,1450,2429,-1881,440,-198,43,516,850,713,940,1135,232,137,182
299323,-3141,14291,7152,1780,1177,2355,-1894,1402,-304,-76,516,850,713,940,1135,232,137,182
307331,-3141,14291,7152,1780,1177,2355,-1894,1402,-304,-76,593,945,690,1021,1205,274,147,255
321683,-3343,14215,7258,1587,1355,3186,-1821,1628,-516,-360,593,945,690,1021,1205,274,147,255
329866,-3343,14215,7258,1587,1355,3186,-1821,1628,-516,-360,686,929,783,1144,1116,299,151,289
336820,-3392,14098,7471,1532,1739,3622,-1889,977,-502,-1043,686,929,783,1144,1116,299,151,289
352370,-3392,14098,7471,1532,1739,3622,-1889,977,-502,-1043,867,851,722,1218,1066,311,161,403
359322,-3483,13971,7681,1453,1539,2618,-1735,743,-421,-1230,867,851,722,1218,1066,311,161,403
367371,-3483,13971,7681,1453,1539,2618,-1735,743,-421,-1230,1037,902,718,1194,970,314,175,502
381706,-3671,13801,7930,1266,1516,2313,-1646,1645,-637,-1338,1037,902,718,1194,970,314,175,502
389871,-3671,13801,7930,1266,1516,2313,-1646,1645,-637,-1338,1104,985,746,1194,1056,347,196,578
396833,-3901,13597,8202,1027,1705,2889,-1631,2119,-804,-1415,1104,985,746,1194,1056,347,196,578
412359,-3901,13597,8202,1027,1705,2889,-1631,2119,-804,-1415,1124,989,783,1189,1027,386,234,629
419293,-4036,13394,8486,851,1614,2809,-1701,1571,-894,-1514,1124,989,783,1189,1027,386,234,629
427369,-4036,13394,8486,851,1614,2809,-1701,1571,-894,-1514,1126,1047,701,1127,1094,500,293,714
441717,-4134,13172,8798,647,1615,2389,-1666,1414,-1053,-1760,1126,1047,701,1127,1094,500,293,714
449839,-4134,13172,8798,647,1615,2389,-1666,1414,-1053,-1760,1058,1032,707,1085,1083,524,301,769
456849,-4261,12908,9137,407,1666,2594,-1718,1749,-1160,-1928,1058,1032,707,1085,1083,524,301,769
472359,-4261,12908,9137,407,1666,2594,-1718,1749,-1160,-1928,984,1040,721,1050,1093,549,310,782
479309,-4363,12632,9476,181,1638,2898,-1725,1661,-1177,-1973,984,1040,721,1050,1093,549,310,782
487342,-4363,12632,9476,181,1638,2898,-1725,1661,-1177,-1973,901,911,726,978,1062,542,311,752
501673,-4446,12359,9793,-4,1783,3042,-1645,1454,-1046,-1914,901,911,726,978,1062,542,311,752
509860,-4446,12359,9793,-4,1783,3042,-1645,1454,-1046,-1914,912,921,669,975,1006,517,312,855
516803,-4519,12117,10057,-142,1820,3209,-1586,1230,-811,-1648,912,921,669,975,1006,517,312,855
532319,-4519,12117,10057,-142,1820,3209,-1586,1230,-811,-1648,954,857,626,971,1071,431,271,842
539320,-4567,11919,10270,-159,1862,3235,-1517,941,-528,-1246,954,857,626,971,1071,431,271,842
547328,-4567,11919,10270,-159,1862,3235,-1517,941,-528,-1246,1005,812,550,909,1120,429,279,825
561737,-4606,11785,10406,-147,1818,3120,-1459,632,-288,-792,1005,812,550,909,1120,429,279,825
569867,-4606,11785,10406,-147,1818,3120,-1459,632,-288,-792,914,775,525,963,1193,418,282,826
576796,-4644,11701,10485,-105,1852,3012,-1394,385,-82,-453,914,775,525,963,1193,418,282,826
592345,-4644,11701,10485,-105,1852,3012,-1394,385,-82,-453,920,809,478,996,1172,420,277,923
599298,-4674,11655,10523,-56,1799,2926,-1373,220,12,-199,920,809,478,996,1172,420,277,923
607326,-4674,11655,10523,-56,1799,2926,-1373,220,12,-199,874,830,460,1063,1211,415,256,809
621721,-4696,11632,10538,1,1834,2924,-1368,114,59,-35,874,830,460,1063,1211,415,256,809
629817,-4696,11632,10538,1,1834,2924,-1368,114,59,-35,818,828,521,1026,1127,374,240,769
