Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,6033,-3921,-14383,3130,1822,2316,1,86,-34,-34,0,0,0,0,0,0,0,0
7565,6056,-3909,-14373,3146,1844,2340,-33,35,-34,-27,0,0,0,0,0,0,0,0
29995,6077,-3911,-14365,3140,1835,2326,-20,-110,-6,-8,0,0,0,0,0,0,0,0
44966,6097,-3919,-14357,3126,1852,2305,8,-181,3,-2,0,0,0,0,0,0,0,0
68838,6146,-3902,-14337,3144,1915,2264,76,53,61,-70,0,0,0,0,0,0,0,0
69612,6146,-3902,-14337,3144,1915,2264,76,53,61,-70,74,105,164,63,49,82,185,359
91295,6261,-3824,-14278,3278,1963,2220,243,841,203,-140,74,105,164,63,49,82,185,359
92118,6261,-3824,-14278,3278,1963,2220,243,841,203,-140,181,321,269,102,91,140,303,490
113865,6445,-3658,-14158,3616,2065,1776,396,2295,462,-156,181,321,269,102,91,140,303,490
114620,6445,-3658,-14158,3616,2065,1776,396,2295,462,-156,261,366,295,131,98,156,350,548
128813,6675,-3333,-13959,4234,1778,1234,545,4133,343,-324,261,366,295,131,98,156,350,548
129619,6675,-3333,-13959,4234,1778,1234,545,4133,343,-324,290,444,325,267,126,183,407,682
151284,6893,-2867,-13700,5002,1807,1781,382,5340,81,-512,290,444,325,267,126,183,407,682
152094,6893,-2867,-13700,5002,1807,1781,382,5340,81,-512,308,474,340,303,156,208,444,724
173815,7131,-2421,-13369,5745,1998,2531,326,5387,407,-347,308,474,340,303,156,208,444,724
174620,7131,-2421,-13369,5745,1998,2531,326,5387,407,-347,339,470,331,333,343,211,448,740
188801,7350,-2075,-13026,6358,1934,2937,534,4575,663,-134,339,470,331,333,343,211,448,740
189608,7350,-2075,-13026,6358,1934,2937,534,4575,663,-134,308,376,263,340,434,220,443,718
211349,7525,-1828,-12739,6796,1876,2825,625,3387,681,-85,308,376,263,340,434,220,443,718
212144,7525,-1828,-12739,6796,1876,2825,625,3387,681,-85,261,383,253,358,452,215,449,706
233874,7685,-1647,-12517,7070,1774,3038,736,2347,711,-216,261,383,253,358,452,215,449,706
234609,7685,-1647,-12517,7070,1774,3038,736,2347,711,-216,238,313,216,326,469,239,472,662
248793,7814,-1514,-12332,7280,1732,3076,926,1827,627,-130,238,313,216,326,469,239,472,662
249594,7814,-1514,-12332,7280,1732,3076,926,1827,627,-130,240,280,283,336,465,244,459,666
271345,7927,-1366,-12134,7517,1682,2771,1028,1995,544,-103,240,280,283,336,465,244,459,666
272122,7927,-1366,-12134,7517,1682,2771,1028,1995,544,-103,197,333,288,324,358,301,450,639
293819,8038,-1197,-11919,7768,1661,3038,1076,2159,527,-117,197,333,288,324,358,301,450,639
294637,8038,-1197,-11919,7768,1661,3038,1076,2159,527,-117,211,330,287,309,234,279,422,601
308779,8136,-1063,-11734,7964,1720,3379,1048,1761,520,-72,211,330,287,309,234,279,422,601
309635,8136,-1063,-11734,7964,1720,3379,1048,1761,520,-72,203,301,300,304,197,281,384,586
331324,8232,-947,-11655,7996,1794,3436,1147,924,451,-70,203,301,300,304,197,281,384,586
332119,8232,-947,-11655,7996,1794,3436,1147,924,451,-70,201,290,294,556,144,250,351,539
353771,8302,-872,-11610,7998,1700,3128,1317,517,326,-92,201,290,294,556,144,250,351,539
354592,8302,-872,-11610,7998,1700,3128,1317,517,326,-92,182,302,219,740,128,236,365,502
368799,8360,-773,-11547,8037,1638,3005,1456,726,215,-125,182,302,219,740,128,236,365,502
369569,8360,-773,-11547,8037,1638,3005,1456,726,215,-125,175,277,199,867,108,165,348,457
391315,8420,-648,-11463,8107,1710,3127,1455,988,221,-73,175,277,199,867,108,165,348,457
392106,8420,-648,-11463,8107,1710,3127,1455,988,221,-73,197,310,197,935,99,155,315,443
413784,8484,-531,-11394,8145,1762,3342,1394,821,258,-54,197,310,197,935,99,155,315,443
414569,8484,-531,-11394,8145,1762,3342,1394,821,258,-54,278,306,187,936,94,151,319,419
428821,8541,-455,-11382,8107,1756,3411,1390,252,196,-99,278,306,187,936,94,151,319,419
429645,8541,-455,-11382,8107,1756,3411,1390,252,196,-99,290,295,181,794,98,144,264,379
451324,8569,-426,-11428,8013,1703,3323,1411,-287,47,-72,290,295,181,794,98,144,264,379
452094,8569,-426,-11428,8013,1703,3323,1411,-287,47,-72,291,271,169,607,101,145,230,408
473855,8572,-389,-11475,7945,1663,3017,1549,-219,-144,-101,291,271,169,607,101,145,230,408
474661,8572,-389,-11475,7945,1663,3017,1549,-219,-144,-101,294,240,185,398,96,118,215,405
488825,8577,-317,-11500,7907,1685,3102,1519,74,-158,-115,294,240,185,398,96,118,215,405
489619,8577,-317,-11500,7907,1685,3102,1519,74,-158,-115,259,170,179,213,96,115,203,378
511271,8591,-253,-11541,7834,1706,3421,1454,-118,-128,-92,259,170,179,213,96,115,203,378
512121,8591,-253,-11541,7834,1706,3421,1454,-118,-128,-92,186,122,161,189,101,114,184,368
533798,8604,-247,-11651,7655,1738,3519,1353,-850,-139,-141,186,122,161,189,101,114,184,368
534643,8604,-247,-11651,7655,1738,3519,1353,-850,-139,-141,157,125,157,223,107,146,168,342
548838,8589,-285,-11801,7437,1670,3178,1334,-1259,-265,-179,157,125,157,223,107,146,168,342
549634,8589,-285,-11801,7437,1670,3178,1334,-1259,-265,-179,143,132,164,227,162,201,151,232
571298,8547,-321,-11960,7227,1704,2983,1369,-1276,-449,-176,143,132,164,227,162,201,151,232
572080,8547,-321,-11960,7227,1704,2983,1369,-1276,-449,-176,391,106,153,288,179,240,173,214
593819,8492,-343,-12124,7015,1792,2965,1320,-1264,-560,-194,391,106,153,288,179,240,173,214
594619,8492,-343,-12124,7015,1792,2965,1320,-1264,-560,-194,500,108,156,336,184,267,267,252
608797,8426,-389,-12301,6780,1814,3088,1335,-1476,-626,-85,500,108,156,336,184,267,267,252
609636,8426,-389,-12301,6780,1814,3088,1335,-1476,-626,-85,591,110,137,365,201,270,323,300
631264,8344,-506,-12503,6499,1887,3218,1346,-1981,-620,-72,591,110,137,365,201,270,323,300
632108,8344,-506,-12503,6499,1887,3218,1346,-1981,-620,-72,627,95,130,364,205,268,363,318
653825,8256,-675,-12726,6154,1890,3065,1292,-2460,-587,-40,627,95,130,364,205,268,363,318
654594,8256,-675,-12726,6154,1890,3065,1292,-2460,-587,-40,716,81,122,385,204,237,544,332
668123,8141,-894,-12950,5802,1913,2865,1166,-2644,-601,192,716,81,122,385,204,237,544,332
668954,8141,-894,-12950,5802,1913,2865,1166,-2644,-601,192,631,79,112,364,189,206,834,323
691312,8003,-1157,-13169,5444,1927,2631,895,-2779,-589,395,631,79,112,364,189,206,834,323
692090,8003,-1157,-13169,5444,1927,2631,895,-2779,-589,395,556,75,102,320,187,171,1059,334
713827,7885,-1427,-13355,5085,1954,2676,933,-2751,-411,407,556,75,102,320,187,171,1059,334
