Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3452,9084,-12399,4502,2702,3160,-1870,41,57,-20,0,0,0,0,0,0,0,0
14995,3447,9087,-12397,4504,2697,3142,-1858,24,76,-32,0,0,0,0,0,0,0,0
22512,3444,9085,-12397,4510,2687,3147,-1846,34,106,-5,0,0,0,0,0,0,0,0
37464,3437,9077,-12398,4529,2687,3133,-1826,91,126,48,0,0,0,0,0,0,0,0
60042,3420,9066,-12398,4564,2731,3065,-1844,168,136,78,0,0,0,0,0,0,0,0
68115,3420,9066,-12398,4564,2731,3065,-1844,168,136,78,29,32,39,52,57,75,39,51
75090,3404,9048,-12400,4607,2793,2998,-1799,168,137,115,29,32,39,52,57,75,39,51
83139,3404,9048,-12400,4607,2793,2998,-1799,168,137,115,31,33,59,69,63,82,47,34
97515,3373,9018,-12409,4665,2797,2934,-1750,236,109,217,31,33,59,69,63,82,47,34
105635,3373,9018,-12409,4665,2797,2934,-1750,236,109,217,40,42,70,104,93,90,65,36
120018,3293,8977,-12421,4765,2785,2781,-1761,518,61,370,40,42,70,104,93,90,65,36
128112,3293,8977,-12421,4765,2785,2781,-1761,518,61,370,55,65,85,123,104,82,72,39
145241,3161,8914,-12437,4928,2829,2601,-1691,882,25,620,55,65,85,123,104,82,72,39
146890,3452,9084,-12399,4502,2702,3160,-1870,41,57,-20,55,65,85,123,104,82,72,39
147742,3447,9087,-12397,4504,2697,3142,-1858,24,76,-32,55,65,85,123,104,82,72,39
152690,3444,9085,-12397,4510,2687,3147,-1846,34,106,-5,55,65,85,123,104,82,72,39
153544,3437,9077,-12398,4529,2687,3133,-1826,91,126,48,55,65,85,123,104,82,72,39
154345,3420,9066,-12398,4564,2731,3065,-1844,168,136,78,55,65,85,123,104,82,72,39
155209,3420,9066,-12398,4564,2731,3065,-1844,168,136,78,29,32,39,52,57,75,39,51
160213,3420,9066,-12398,4564,2731,3065,-1844,168,136,78,31,33,59,69,63,82,47,34
176082,3373,9018,-12409,4665,2797,2934,-1750,236,109,217,31,33,59,69,63,82,47,34
176890,3373,9018,-12409,4665,2797,2934,-1750,236,109,217,40,42,70,104,93,90,65,36
198540,3293,8977,-12421,4765,2785,2781,-1761,518,61,370,40,42,70,104,93,90,65,36
199369,3293,8977,-12421,4765,2785,2781,-1761,518,61,370,55,65,85,123,104,82,72,39
221041,3161,8914,-12437,4928,2829,2601,-1691,882,25,620,55,65,85,123,104,82,72,39
221863,3161,8914,-12437,4928,2829,2601,-1691,882,25,620,73,85,112,167,139,98,96,52
243569,2925,8804,-12457,5214,2787,2247,-1486,1583,-23,1083,73,85,112,167,139,98,96,52
244368,2925,8804,-12457,5214,2787,2247,-1486,1583,-23,1083,86,97,116,189,170,94,99,58
266066,2515,8684,-12434,5664,2603,1985,-1266,3017,-163,1585,86,97,116,189,170,94,99,58
266838,2515,8684,-12434,5664,2603,1985,-1266,3017,-163,1585,99,108,118,206,219,141,116,72
288594,1938,8535,-12314,6339,2660,2035,-1389,4701,-58,1989,99,108,118,206,219,141,116,72
289390,1938,8535,-12314,6339,2660,2035,-1389,4701,-58,1989,107,120,124,200,237,183,135,78
311069,1307,8339,-12119,7092,2720,2424,-1728,5439,125,2213,107,120,124,200,237,183,135,78
311862,1307,8339,-12119,7092,2720,2424,-1728,5439,125,2213,124,143,131,212,249,192,143,89
333619,749,8076,-11943,7746,2551,2669,-1853,4825,334,2363,124,143,131,212,249,192,143,89
334414,749,8076,-11943,7746,2551,2669,-1853,4825,334,2363,128,146,125,207,245,214,137,88
356101,282,7795,-11810,8254,2244,2863,-1575,3879,349,2288,128,146,125,207,245,214,137,88
356863,282,7795,-11810,8254,2244,2863,-1575,3879,349,2288,129,144,127,199,232,229,143,91
378561,-67,7546,-11709,8624,2156,3018,-1282,2932,353,1913,129,144,127,199,232,229,143,91
379342,-67,7546,-11709,8624,2156,3018,-1282,2932,353,1913,128,140,120,180,197,213,137,86
401104,-279,7338,-11652,8873,2183,2921,-1017,1940,454,1468,128,140,120,180,197,213,137,86
401909,-279,7338,-11652,8873,2183,2921,-1017,1940,454,1468,133,142,118,187,182,190,116,86
423579,-318,7252,-11670,8920,2010,2699,-764,1032,397,1058,133,142,118,187,182,190,116,86
424389,-318,7252,-11670,8920,2010,2699,-764,1032,397,1058,125,119,111,184,179,186,111,76
445991,-323,7226,-11693,8909,1933,2678,-757,684,213,698,125,119,111,184,179,186,111,76
446812,-323,7226,-11693,8909,1933,2678,-757,684,213,698,145,137,118,167,186,154,108,82
468565,-300,7236,-11705,8886,2054,2460,-795,564,165,440,145,137,118,167,186,154,108,82
469385,-300,7236,-11705,8886,2054,2460,-795,564,165,440,144,142,136,184,209,144,99,83
491014,-265,7270,-11706,8859,1973,2474,-763,528,141,240,144,142,136,184,209,144,99,83
491837,-265,7270,-11706,8859,1973,2474,-763,528,141,240,139,140,139,189,210,134,85,78
513507,-222,7325,-11715,8803,1921,2643,-723,369,37,161,139,140,139,189,210,134,85,78
514332,-222,7325,-11715,8803,1921,2643,-723,369,37,161,129,134,137,180,197,113,77,74
536102,-154,7416,-11728,8711,1962,2739,-634,107,-99,-16,129,134,137,180,197,113,77,74
536886,-154,7416,-11728,8711,1962,2739,-634,107,-99,-16,118,124,129,159,181,113,66,76
558540,-55,7538,-11742,8587,1961,2680,-645,-141,-152,-265,118,124,129,159,181,113,66,76
559382,-55,7538,-11742,8587,1961,2680,-645,-141,-152,-265,80,91,112,149,170,117,63,64
581091,64,7689,-11763,8422,1910,2668,-739,-385,-229,-478,80,91,112,149,170,117,63,64
581909,64,7689,-11763,8422,1910,2668,-739,-385,-229,-478,68,74,82,112,142,106,69,65
603542,237,7869,-11810,8184,1997,2753,-916,-859,-278,-664,68,74,82,112,142,106,69,65
604366,237,7869,-11810,8184,1997,2753,-916,-859,-278,-664,69,72,75,92,131,120,88,69
626014,459,8037,-11880,7905,2161,2858,-1049,-1738,-295,-1016,69,72,75,92,131,120,88,69
626829,459,8037,-11880,7905,2161,2858,-1049,-1738,-295,-1016,65,61,68,91,148,166,113,75
648540,811,8246,-11987,7490,2330,2918,-1155,-2754,-266,-1455,65,61,68,91,148,166,113,75
649342,811,8246,-11987,7490,2330,2918,-1155,-2754,-266,-1455,70,65,71,95,165,199,146,91
671047,1292,8481,-12116,6931,2464,2907,-1199,-3791,-237,-1888,70,65,71,95,165,199,146,91
671887,1292,8481,-12116,6931,2464,2907,-1199,-3791,-237,-1888,84,83,82,95,161,221,158,105
693520,1871,8727,-12240,6241,2519,3073,-1458,-4618,-224,-2258,84,83,82,95,161,221,158,105
694309,1871,8727,-12240,6241,2519,3073,-1458,-4618,-224,-2258,85,89,88,90,155,228,162,100
716064,2570,8962,-12341,5404,2706,3341,-2065,-5560,-100,-2644,85,89,88,90,155,228,162,100
716890,2570,8962,-12341,5404,2706,3341,-2065,-5560,-100,-2644,86,91,93,105,170,222,155,101
738561,3485,9129,-12434,4283,2825,3688,-2675,-7581,30,-3107,86,91,93,105,170,222,155,101
739354,3485,9129,-12434,4283,2825,3688,-2675,-7581,30,-3107,87,90,92,106,168,201,149,98
761064,4649,9098,-12514,2729,2745,4094,-2833,-10452,52,-3197,87,90,92,106,168,201,149,98
761916,4649,9098,-12514,2729,2745,4094,-2833,-10452,52,-3197,83,88,97,111,179,178,121,82
762688,4649,9098,-12514,2729,2745,4094,-2833,-10452,52,-3197,87,90,92,106,168,201,149,98
767665,4649,9098,-12514,2729,2745,4094,-2833,-10452,52,-3197,83,88,97,111,179,178,121,82
783562,5916,8785,-12466,928,3033,3657,-2911,-12201,184,-2882,83,88,97,111,179,178,121,82
784397,5916,8785,-12466,928,3033,3657,-2911,-12201,184,-2882,65,79,113,120,178,149,103,64
806041,7005,8377,-12198,-627,3124,3073,-2784,-10700,645,-2567,65,79,113,120,178,149,103,64
806840,7005,8377,-12198,-627,3124,3073,-2784,-10700,645,-2567,59,75,122,152,200,158,104,62
828606,7760,8102,-11831,-1611,2796,2410,-2389,-7021,1152,-2105,59,75,122,152,200,158,104,62
829367,7760,8102,-11831,-1611,2796,2410,-2389,-7021,1152,-2105,63,94,136,170,212,182,122,71
857638,7760,8102,-11831,-1611,2796,2410,-2389,-7021,1152,-2105,59,93,134,172,224,181,109,68
873551,8133,8303,-11349,-2134,2520,3943,-1797,339,595,-1519,59,93,134,172,224,181,109,68
874368,8133,8303,-11349,-2134,2520,3943,-1797,339,595,-1519,60,97,132,173,222,196,118,73
903539,8024,8566,-11251,-2025,2579,4819,-2410,1387,349,-1072,60,97,132,173,222,196,118,73
904341,8024,8566,-11251,-2025,2579,4819,-2410,1387,349,-1072,65,89,113,167,223,199,121,77
926025,7967,8702,-11191,-2001,2927,5045,-2283,592,108,-669,65,89,113,167,223,199,121,77
926838,7967,8702,-11191,-2001,2927,5045,-2283,592,108,-669,70,90,109,154,214,196,122,80
948489,7961,8732,-11162,-2049,2966,4974,-2308,-104,-65,-340,70,90,109,154,214,196,122,80
949323,7961,8732,-11162,-2049,2966,4974,-2308,-104,-65,-340,69,68,103,136,199,182,111,77
971073,8022,8681,-11133,-2185,2844,4869,-2486,-861,-128,-219,69,68,103,136,199,182,111,77
971879,8022,8681,-11133,-2185,2844,4869,-2486,-861,-128,-219,74,67,103,143,200,179,118,81
993544,8125,8594,-11087,-2376,2825,4787,-2493,-1304,-119,-251,74,67,103,143,200,179,118,81
994371,8125,8594,-11087,-2376,2825,4787,-2493,-1304,-119,-251,74,61,102,135,176,147,106,77
1016042,8199,8526,-11051,-2530,2871,4462,-2329,-1020,-129,-216,74,61,102,135,176,147,106,77
1016815,8199,8526,-11051,-2530,2871,4462,-2329,-1020,-129,-216,74,59,97,133,170,141,104,79
1038561,8211,8497,-11046,-2610,2824,4421,-2121,-423,-196,-121,74,59,97,133,170,141,104,79
1039392,8211,8497,-11046,-2610,2824,4421,-2121,-423,-196,-121,69,53,102,124,160,120,91,75
1061014,8152,8533,-11068,-2583,2881,4623,-2182,395,-174,-51,69,53,102,124,160,120,91,75
1061837,8152,8533,-11068,-2583,2881,4623,-2182,395,-174,-51,60,46,87,114,160,126,94,67
1083487,8072,8603,-11092,-2497,2899,4834,-2286,775,-55,-23,60,46,87,114,160,126,94,67
1084333,8072,8603,-11092,-2497,2899,4834,-2286,775,-55,-23,57,45,89,101,140,135,88,60
1106052,8008,8664,-11112,-2401,2823,4983,-2315,736,37,37,57,45,89,101,140,135,88,60
1106850,8008,8664,-11112,-2401,2823,4983,-2315,736,37,37,53,45,96,113,145,132,84,58
1128548,7967,8702,-11126,-2333,2774,5001,-2229,494,34,50,53,45,96,113,145,132,84,58
1129317,7967,8702,-11126,-2333,2774,5001,-2229,494,34,50,44,42,102,123,148,133,81,52
1151069,7955,8717,-11128,-2309,2767,5022,-2207,167,30,7,44,42,102,123,148,133,81,52
1151863,7955,8717,-11128,-2309,2767,5022,-2207,167,30,7,50,50,92,115,157,153,85,56
1173567,7976,8708,-11117,-2321,2819,4963,-2210,-139,68,-18,50,50,92,115,157,153,85,56
1174342,7976,8708,-11117,-2321,2819,4963,-2210,-139,68,-18,52,52,89,116,171,150,75,55
1196027,8021,8690,-11095,-2341,2793,4848,-2166,-279,158,-15,52,52,89,116,171,150,75,55
1196841,8021,8690,-11095,-2341,2793,4848,-2166,-279,158,-15,49,52,87,110,163,139,72,52
1218537,8061,8675,-11078,-2341,2777,4762,-2084,-172,185,38,49,52,87,110,163,139,72,52
1219365,8061,8675,-11078,-2341,2777,4762,-2084,-172,185,38,48,56,94,115,155,142,72,54
1241014,8072,8683,-11071,-2306,2781,4682,-2036,116,172,51,48,56,94,115,155,142,72,54
1241834,8072,8683,-11071,-2306,2781,4682,-2036,116,172,51,49,63,93,102,146,140,70,51
1263531,8052,8708,-11078,-2247,2746,4708,-2001,355,100,74,49,63,93,102,146,140,70,51
1264318,8052,8708,-11078,-2247,2746,4708,-2001,355,100,74,42,59,92,110,130,124,67,46
1286039,8018,8740,-11090,-2182,2766,4857,-2015,446,52,67,42,59,92,110,130,124,67,46
1286877,8018,8740,-11090,-2182,2766,4857,-2015,446,52,67,39,55,96,117,103,117,63,45
