Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-7773,7078,12056,3545,3857,3483,-353,68,-190,-3,0,0,0,0,0,0,0,0
7517,-7767,7071,12074,3510,3882,3418,-331,127,-139,-72,0,0,0,0,0,0,0,0
15161,-7781,7042,12094,3469,3904,3443,-287,265,-85,-110,0,0,0,0,0,0,0,0
30015,-7798,7007,12112,3436,3914,3503,-292,273,-38,-113,0,0,0,0,0,0,0,0
52493,-7811,6981,12123,3422,3903,3519,-258,153,-13,-111,0,0,0,0,0,0,0,0
68140,-7811,6981,12123,3422,3903,3519,-258,153,-13,-111,115,180,69,42,24,22,23,49
75107,-7817,6966,12129,3420,3901,3471,-258,39,-12,-113,115,180,69,42,24,22,23,49
91341,-7817,6966,12129,3420,3901,3471,-258,39,-12,-113,70,122,67,38,22,27,24,49
93045,-7825,6957,12132,3409,3871,3360,-234,33,-26,-114,70,122,67,38,22,27,24,49
113809,-7825,6957,12132,3409,3871,3360,-234,33,-26,-114,65,116,64,46,21,35,30,51
115624,-7837,6941,12145,3367,3815,3189,-236,158,-85,-160,65,116,64,46,21,35,30,51
128158,-7837,6941,12145,3367,3815,3189,-236,158,-85,-160,58,105,97,124,35,41,44,60
135117,-7848,6910,12176,3289,3778,2993,-317,326,-164,-258,58,105,97,124,35,41,44,60
150670,-7848,6910,12176,3289,3778,2993,-317,326,-164,-258,57,100,141,189,42,61,59,71
157594,-7865,6876,12213,3185,3638,2904,-361,449,-164,-245,57,100,141,189,42,61,59,71
173841,-7865,6876,12213,3185,3638,2904,-361,449,-164,-245,60,84,187,228,54,90,139,113
175593,-7894,6832,12257,3031,3481,2603,-476,661,-155,-284,60,84,187,228,54,90,139,113
188113,-7894,6832,12257,3031,3481,2603,-476,661,-155,-284,58,84,216,260,117,125,162,139
195106,-7949,6774,12319,2752,3514,2323,-539,1263,-359,-104,58,84,216,260,117,125,162,139
210669,-7949,6774,12319,2752,3514,2323,-539,1263,-359,-104,60,86,223,271,158,139,164,148
217658,-8047,6630,12410,2388,3564,2533,-470,2192,-513,178,60,86,223,271,158,139,164,148
233840,-8047,6630,12410,2388,3564,2533,-470,2192,-513,178,68,109,277,284,170,153,194,147
235535,-8191,6492,12463,1964,3830,2946,-396,2536,-386,565,68,109,277,284,170,153,194,147
248223,-8191,6492,12463,1964,3830,2946,-396,2536,-386,565,74,131,331,258,178,158,191,156
255114,-8320,6422,12464,1618,4042,3195,-209,1968,-212,795,74,131,331,258,178,158,191,156
270630,-8320,6422,12464,1618,4042,3195,-209,1968,-212,795,76,141,376,263,187,156,151,148
277592,-8401,6442,12420,1448,4021,3333,-129,931,-85,1005,76,141,376,263,187,156,151,148
293841,-8401,6442,12420,1448,4021,3333,-129,931,-85,1005,79,159,414,241,160,136,132,130
295594,-8421,6629,12322,1325,3903,2942,-195,23,-111,1517,79,159,414,241,160,136,132,130
308119,-8421,6629,12322,1325,3903,2942,-195,23,-111,1517,91,193,524,282,128,125,132,128
315089,-8409,6912,12193,1127,3844,2376,-303,-77,-275,2038,91,193,524,282,128,125,132,128
330684,-8409,6912,12193,1127,3844,2376,-303,-77,-275,2038,112,271,658,271,135,120,96,139
337643,-8393,7210,12055,818,3829,2173,-409,326,-534,2447,112,271,658,271,135,120,96,139
353823,-8393,7210,12055,818,3829,2173,-409,326,-534,2447,105,269,649,353,123,105,97,127
355567,-8380,7488,11914,420,3812,2253,-465,785,-726,2668,105,269,649,353,123,105,97,127
368171,-8380,7488,11914,420,3812,2253,-465,785,-726,2668,100,264,622,345,110,87,87,110
375083,-8368,7749,11762,-9,3866,2494,-450,991,-785,2780,100,264,622,345,110,87,87,110
390636,-8368,7749,11762,-9,3866,2494,-450,991,-785,2780,97,255,598,379,107,78,80,105
397611,-8352,8009,11591,-421,3811,2400,-528,928,-707,2802,97,255,598,379,107,78,80,105
414023,-8352,8009,11591,-421,3811,2400,-528,928,-707,2802,88,239,518,414,106,79,75,99
415607,-8341,8254,11404,-817,3812,2272,-632,940,-596,2765,88,239,518,414,106,79,75,99
428122,-8341,8254,11404,-817,3812,2272,-632,940,-596,2765,49,127,279,414,81,53,48,83
435097,-8345,8469,11205,-1224,3692,2429,-546,1131,-550,2737,49,127,279,414,81,53,48,83
450635,-8345,8469,11205,-1224,3692,2429,-546,1131,-550,2737,47,108,222,352,96,54,41,77
457657,-8348,8674,10996,-1609,3684,2512,-443,1092,-482,2706,47,108,222,352,96,54,41,77
473833,-8348,8674,10996,-1609,3684,2512,-443,1092,-482,2706,46,105,197,343,99,50,40,68
475567,-8347,8870,10784,-1948,3643,2602,-429,942,-363,2580,46,105,197,343,99,50,40,68
488162,-8347,8870,10784,-1948,3643,2602,-429,942,-363,2580,46,97,168,323,113,53,42,69
495102,-8339,9057,10573,-2252,3546,2627,-372,829,-294,2464,46,97,168,323,113,53,42,69
510640,-8339,9057,10573,-2252,3546,2627,-372,829,-294,2464,39,67,114,240,108,43,36,64
517666,-8314,9239,10375,-2510,3467,2569,-354,617,-264,2292,39,67,114,240,108,43,36,64
533953,-8314,9239,10375,-2510,3467,2569,-354,617,-264,2292,42,70,119,289,105,44,38,52
535596,-8288,9397,10190,-2756,3304,2702,-239,633,-285,2141,42,70,119,289,105,44,38,52
556322,-8288,9397,10190,-2756,3304,2702,-239,633,-285,2141,48,71,130,317,115,43,37,47
558045,-8257,9553,10005,-2981,3182,2616,-161,540,-240,2079,48,71,130,317,115,43,37,47
570664,-8257,9553,10005,-2981,3182,2616,-161,540,-240,2079,48,80,136,418,129,49,40,56
577609,-8226,9700,9829,-3172,3118,2556,-180,447,-165,1920,48,80,136,418,129,49,40,56
593817,-8226,9700,9829,-3172,3118,2556,-180,447,-165,1920,53,84,171,482,146,52,46,76
595568,-8207,9825,9665,-3335,3013,2663,-166,449,-90,1721,53,84,171,482,146,52,46,76
608136,-8207,9825,9665,-3335,3013,2663,-166,449,-90,1721,68,89,176,492,154,54,47,77
615104,-8179,9954,9509,-3468,2937,2746,-41,291,-40,1638,68,89,176,492,154,54,47,77
630617,-8179,9954,9509,-3468,2937,2746,-41,291,-40,1638,67,106,206,513,157,55,47,80
637593,-8147,10061,9442,-3418,2835,2611,-31,11,30,1567,67,106,206,513,157,55,47,80
653839,-8147,10061,9442,-3418,2835,2611,-31,11,30,1567,70,142,382,526,149,60,50,101
655582,-8119,10160,9386,-3344,2727,2523,-42,-67,103,1367,70,142,382,526,149,60,50,101
667544,-8119,10160,9386,-3344,2727,2523,-42,-67,103,1367,107,259,425,477,134,57,48,99
