Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-885,11214,-8565,8279,1903,2355,240,41,18,-48,0,0,0,0,0,0,0,0
793,-885,11221,-8550,8285,1912,2331,243,99,1,-30,0,0,0,0,0,0,0,0
14373,-884,11228,-8535,8290,1904,2371,235,103,4,-22,0,0,0,0,0,0,0,0
36818,-875,11236,-8526,8289,1905,2373,219,45,12,-28,0,0,0,0,0,0,0,0
59394,-863,11245,-8519,8286,1896,2358,229,7,7,-36,0,0,0,0,0,0,0,0
67409,-863,11245,-8519,8286,1896,2358,229,7,7,-36,161,476,101,230,266,96,67,66
74413,-852,11253,-8512,8283,1905,2340,238,6,4,-42,161,476,101,230,266,96,67,66
89940,-852,11253,-8512,8283,1905,2340,238,6,4,-42,155,428,95,239,273,112,76,68
96936,-844,11262,-8501,8283,1924,2358,251,34,-5,-40,155,428,95,239,273,112,76,68
112404,-844,11262,-8501,8283,1924,2358,251,34,-5,-40,161,387,94,228,264,114,77,69
119366,-835,11270,-8494,8280,1913,2353,264,6,-11,-32,161,387,94,228,264,114,77,69
127424,-835,11270,-8494,8280,1913,2353,264,6,-11,-32,152,408,100,220,218,106,77,80
134392,-829,11277,-8486,8280,1918,2340,272,20,-15,-29,152,408,100,220,218,106,77,80
149902,-829,11277,-8486,8280,1918,2340,272,20,-15,-29,115,402,95,218,221,108,86,81
156906,-824,11285,-8479,8277,1923,2348,257,23,-21,-22,115,402,95,218,221,108,86,81
172438,-824,11285,-8479,8277,1923,2348,257,23,-21,-22,142,368,103,172,205,112,89,74
179416,-823,11291,-8471,8277,1922,2338,273,35,-24,-17,142,368,103,172,205,112,89,74
187437,-823,11291,-8471,8277,1922,2338,273,35,-24,-17,140,426,110,168,201,114,104,73
194381,-819,11298,-8463,8276,1916,2358,281,23,-22,-20,140,426,110,168,201,114,104,73
209918,-819,11298,-8463,8276,1916,2358,281,23,-22,-20,142,440,118,176,192,110,103,76
216956,-817,11302,-8457,8277,1933,2327,293,24,-15,-6,142,440,118,176,192,110,103,76
232465,-817,11302,-8457,8277,1933,2327,293,24,-15,-6,177,474,118,171,229,115,105,69
239428,-815,11307,-8448,8280,1923,2332,286,40,-15,-22,177,474,118,171,229,115,105,69
247397,-815,11307,-8448,8280,1923,2332,286,40,-15,-22,177,460,116,167,212,112,97,66
254364,-814,11312,-8438,8283,1925,2327,275,49,-8,-30,177,460,116,167,212,112,97,66
269730,-814,11312,-8438,8283,1925,2327,275,49,-8,-30,166,462,103,170,254,101,97,66
278402,-811,11316,-8427,8289,1933,2351,276,56,11,-30,166,462,103,170,254,101,97,66
292422,-811,11316,-8427,8289,1933,2351,276,56,11,-30,163,454,106,177,264,92,83,70
299456,-800,11319,-8422,8291,1921,2349,275,-1,28,-23,163,454,106,177,264,92,83,70
307454,-800,11319,-8422,8291,1921,2349,275,-1,28,-23,154,450,114,182,283,100,92,74
314426,-787,11319,-8422,8291,1920,2332,270,-30,38,-17,154,450,114,182,283,100,92,74
329949,-787,11319,-8422,8291,1920,2332,270,-30,38,-17,135,375,108,174,273,108,102,82
336920,-773,11321,-8420,8292,1925,2357,269,-24,38,-23,135,375,108,174,273,108,102,82
352416,-773,11321,-8420,8292,1925,2357,269,-24,38,-23,171,399,113,169,272,118,111,85
359393,-758,11322,-8418,8294,1914,2342,271,-26,51,-31,171,399,113,169,272,118,111,85
367443,-758,11322,-8418,8294,1914,2342,271,-26,51,-31,157,367,111,179,244,114,105,84
374391,-748,11320,-8415,8301,1927,2334,291,1,54,-16,157,367,111,179,244,114,105,84
389944,-748,11320,-8415,8301,1927,2334,291,1,54,-16,186,348,121,172,273,110,98,81
396916,-738,11320,-8414,8303,1919,2370,274,-9,43,-2,186,348,121,172,273,110,98,81
412498,-738,11320,-8414,8303,1919,2370,274,-9,43,-2,187,329,113,198,275,104,94,74
419393,-726,11320,-8416,8303,1923,2362,273,-29,33,-2,187,329,113,198,275,104,94,74
427454,-726,11320,-8416,8303,1923,2362,273,-29,33,-2,173,361,119,198,267,88,79,62
434419,-714,11322,-8415,8301,1937,2364,243,-17,32,-11,173,361,119,198,267,88,79,62
449915,-714,11322,-8415,8301,1937,2364,243,-17,32,-11,141,332,117,201,275,77,74,54
456892,-703,11324,-8414,8302,1936,2367,256,-13,36,-16,141,332,117,201,275,77,74,54
472422,-703,11324,-8414,8302,1936,2367,256,-13,36,-16,150,354,118,189,270,72,72,55
479368,-689,11324,-8415,8300,1931,2354,253,-36,41,-17,150,354,118,189,270,72,72,55
487442,-689,11324,-8415,8300,1931,2354,253,-36,41,-17,126,391,98,182,216,63,72,59
494390,-677,11325,-8416,8299,1923,2329,255,-42,41,-25,126,391,98,182,216,63,72,59
509931,-677,11325,-8416,8299,1923,2329,255,-42,41,-25,123,397,87,135,207,71,66,61
516906,-664,11329,-8415,8297,1914,2363,241,-28,34,-41,123,397,87,135,207,71,66,61
532413,-664,11329,-8415,8297,1914,2363,241,-28,34,-41,137,404,85,135,182,75,74,68
539366,-648,11331,-8415,8294,1942,2346,244,-50,38,-34,137,404,85,135,182,75,74,68
547442,-648,11331,-8415,8294,1942,2346,244,-50,38,-34,136,408,88,168,191,80,70,72
554371,-634,11331,-8419,8292,1929,2333,253,-59,45,-18,136,408,88,168,191,80,70,72
569898,-634,11331,-8419,8292,1929,2333,253,-59,45,-18,125,383,83,180,224,95,76,74
576878,-623,11329,-8425,8289,1917,2331,246,-55,42,-7,125,383,83,180,224,95,76,74
592423,-623,11329,-8425,8289,1917,2331,246,-55,42,-7,142,327,84,205,232,102,78,74
599393,-611,11329,-8430,8285,1919,2329,243,-64,41,-17,142,327,84,205,232,102,78,74
607411,-611,11329,-8430,8285,1919,2329,243,-64,41,-17,143,334,99,213,218,93,78,74
614404,-599,11328,-8432,8284,1923,2316,248,-48,45,-32,143,334,99,213,218,93,78,74
629931,-599,11328,-8432,8284,1923,2316,248,-48,45,-32,145,355,109,223,280,94,72,67
636889,-590,11328,-8434,8284,1903,2322,247,-35,47,-31,145,355,109,223,280,94,72,67
652414,-590,11328,-8434,8284,1903,2322,247,-35,47,-31,144,354,104,198,271,98,67,67
659350,-581,11326,-8437,8284,1906,2320,249,-37,47,-28,144,354,104,198,271,98,67,67
