Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,707,-10217,-12790,4,202,3823,-1060,-44,-8,-15,0,0,0,0,0,0,0,0
793,706,-10214,-12792,1,197,3818,-1050,-37,-4,-21,0,0,0,0,0,0,0,0
6838,705,-10211,-12794,0,199,3818,-1072,-21,-9,-25,0,0,0,0,0,0,0,0
29383,705,-10208,-12797,3,188,3817,-1059,-8,-12,-22,0,0,0,0,0,0,0,0
44346,704,-10205,-12799,5,188,3824,-1043,-9,-14,-22,0,0,0,0,0,0,0,0
68116,704,-10205,-12799,5,188,3824,-1043,-9,-14,-22,49,43,30,34,43,47,31,51
68896,704,-10205,-12799,5,188,3824,-1043,-9,-14,-22,49,43,30,34,43,47,31,51
69841,706,-10202,-12801,7,213,3825,-1067,4,-14,-20,49,43,30,34,43,47,31,51
82414,706,-10202,-12801,7,213,3825,-1067,4,-14,-20,54,49,80,70,78,68,52,64
83264,706,-10202,-12801,7,213,3825,-1067,4,-14,-20,54,49,80,70,78,68,52,64
89414,709,-10198,-12805,15,187,3808,-1049,24,-24,-32,54,49,80,70,78,68,52,64
105648,709,-10198,-12805,15,187,3808,-1049,24,-24,-32,62,55,99,77,90,85,68,80
106453,709,-10198,-12805,15,187,3808,-1049,24,-24,-32,62,55,99,77,90,85,68,80
107404,704,-10189,-12812,36,157,3755,-1033,26,-81,-63,62,55,99,77,90,85,68,80
128084,704,-10189,-12812,36,157,3755,-1033,26,-81,-63,61,55,115,83,90,82,73,76
128934,704,-10189,-12812,36,157,3755,-1033,26,-81,-63,61,55,115,83,90,82,73,76
129849,710,-10182,-12817,59,240,3762,-1093,82,-95,-46,61,55,115,83,90,82,73,76
142451,710,-10182,-12817,59,240,3762,-1093,82,-95,-46,61,59,121,85,94,82,73,73
143240,710,-10182,-12817,59,240,3762,-1093,82,-95,-46,61,59,121,85,94,82,73,73
149421,718,-10171,-12825,72,243,3815,-1094,82,-51,-69,61,59,121,85,94,82,73,73
165590,718,-10171,-12825,72,243,3815,-1094,82,-51,-69,53,66,122,91,97,87,77,75
166419,718,-10171,-12825,72,243,3815,-1094,82,-51,-69,53,66,122,91,97,87,77,75
167348,718,-10154,-12839,78,159,3760,-1087,-9,-13,-124,53,66,122,91,97,87,77,75
188135,718,-10154,-12839,78,159,3760,-1087,-9,-13,-124,55,64,102,68,79,77,66,63
188946,718,-10154,-12839,78,159,3760,-1087,-9,-13,-124,55,64,102,68,79,77,66,63
189895,707,-10142,-12849,78,176,3791,-1002,-57,-55,-90,55,64,102,68,79,77,66,63
201722,707,-10142,-12849,78,176,3791,-1002,-57,-55,-90,44,58,84,61,68,75,55,46
210355,707,-10142,-12849,78,176,3791,-1002,-57,-55,-90,44,58,84,61,68,75,55,46
217405,700,-10134,-12855,78,196,3851,-997,-17,-55,-55,44,58,84,61,68,75,55,46
225626,700,-10134,-12855,78,196,3851,-997,-17,-55,-55,49,60,63,60,74,85,49,58
226459,700,-10134,-12855,78,196,3851,-997,-17,-55,-55,49,60,63,60,74,85,49,58
227366,690,-10123,-12864,81,186,3854,-1030,-9,-65,-76,49,60,63,60,74,85,49,58
248088,690,-10123,-12864,81,186,3854,-1030,-9,-65,-76,62,63,61,76,86,108,78,62
248921,690,-10123,-12864,81,186,3854,-1030,-9,-65,-76,62,63,61,76,86,108,78,62
249874,689,-10111,-12874,88,207,3845,-1054,34,-57,-83,62,63,61,76,86,108,78,62
270627,689,-10111,-12874,88,207,3845,-1054,34,-57,-83,91,132,134,121,111,124,96,78
271415,689,-10111,-12874,88,207,3845,-1054,34,-57,-83,91,132,134,121,111,124,96,78
272409,714,-10097,-12883,97,243,3737,-1126,81,37,-93,91,132,134,121,111,124,96,78
285593,714,-10097,-12883,97,243,3737,-1126,81,37,-93,95,146,143,147,126,127,99,83
286413,714,-10097,-12883,97,243,3737,-1126,81,37,-93,95,146,143,147,126,127,99,83
287366,725,-10075,-12900,135,139,3645,-1079,121,-75,-156,95,146,143,147,126,127,99,83
308155,725,-10075,-12900,135,139,3645,-1079,121,-75,-156,102,162,163,159,135,126,100,89
308943,725,-10075,-12900,135,139,3645,-1079,121,-75,-156,102,162,163,159,135,126,100,89
309903,754,-10050,-12917,203,221,3670,-968,331,-147,-152,102,162,163,159,135,126,100,89
330594,754,-10050,-12917,203,221,3670,-968,331,-147,-152,203,260,238,180,137,129,113,120
331457,754,-10050,-12917,203,221,3670,-968,331,-147,-152,203,260,238,180,137,129,113,120
332445,788,-10028,-12930,267,221,3734,-966,383,-116,-127,203,260,238,180,137,129,113,120
344951,788,-10028,-12930,267,221,3734,-966,383,-116,-127,358,438,444,353,200,126,121,175
345756,788,-10028,-12930,267,221,3734,-966,383,-116,-127,358,438,444,353,200,126,121,175
351908,796,-10007,-12945,346,84,3714,-973,361,-212,-125,358,438,444,353,200,126,121,175
368111,796,-10007,-12945,346,84,3714,-973,361,-212,-125,382,459,464,370,206,121,120,181
368920,796,-10007,-12945,346,84,3714,-973,361,-212,-125,382,459,464,370,206,121,120,181
369842,783,-9985,-12961,397,158,3773,-891,198,-258,-137,382,459,464,370,206,121,120,181
390641,783,-9985,-12961,397,158,3773,-891,198,-258,-137,471,559,557,437,251,147,153,237
391415,783,-9985,-12961,397,158,3773,-891,198,-258,-137,471,559,557,437,251,147,153,237
392394,759,-9948,-12990,409,262,3921,-915,72,-245,-244,471,559,557,437,251,147,153,237
404889,759,-9948,-12990,409,262,3921,-915,72,-245,-244,574,701,629,498,274,175,188,283
405719,759,-9948,-12990,409,262,3921,-915,72,-245,-244,574,701,629,498,274,175,188,283
411920,686,-9921,-13016,403,159,3689,-1123,-300,-346,-198,574,701,629,498,274,175,188,283
428129,686,-9921,-13016,403,159,3689,-1123,-300,-346,-198,601,755,653,538,311,207,227,309
428933,686,-9921,-13016,403,159,3689,-1123,-300,-346,-198,601,755,653,538,311,207,227,309
429860,702,-9903,-13027,438,187,3124,-1184,-123,-102,-122,601,755,653,538,311,207,227,309
450625,702,-9903,-13027,438,187,3124,-1184,-123,-102,-122,534,690,560,475,282,205,219,285
451458,702,-9903,-13027,438,187,3124,-1184,-123,-102,-122,534,690,560,475,282,205,219,285
452371,772,-9831,-13078,417,208,3589,-1138,77,319,-507,534,690,560,475,282,205,219,285
464911,772,-9831,-13078,417,208,3589,-1138,77,319,-507,522,677,547,468,278,200,220,285
465711,772,-9831,-13078,417,208,3589,-1138,77,319,-507,522,677,547,468,278,200,220,285
471930,766,-9779,-13120,320,261,4280,-1076,-156,210,-374,522,677,547,468,278,200,220,285
488147,766,-9779,-13120,320,261,4280,-1076,-156,210,-374,475,622,463,423,255,190,202,248
488923,766,-9779,-13120,320,261,4280,-1076,-156,210,-374,475,622,463,423,255,190,202,248
489876,704,-9754,-13145,216,245,3881,-963,-627,2,-212,475,622,463,423,255,190,202,248
510594,704,-9754,-13145,216,245,3881,-963,-627,2,-212,350,462,375,374,259,191,174,196
511377,704,-9754,-13145,216,245,3881,-963,-627,2,-212,350,462,375,374,259,191,174,196
512356,665,-9745,-13154,173,232,3670,-859,-416,-87,-80,350,462,375,374,259,191,174,196
524920,665,-9745,-13154,173,232,3670,-859,-416,-87,-80,254,319,297,322,223,155,111,132
525734,665,-9745,-13154,173,232,3670,-859,-416,-87,-80,254,319,297,322,223,155,111,132
531869,676,-9737,-13159,184,233,3734,-964,42,-38,-47,254,319,297,322,223,155,111,132
548147,676,-9737,-13159,184,233,3734,-964,42,-38,-47,235,275,265,288,232,171,115,131
548923,676,-9737,-13159,184,233,3734,-964,42,-38,-47,235,275,265,288,232,171,115,131
549915,700,-9712,-13175,233,186,3771,-870,282,-94,-157,235,275,265,288,232,171,115,131
570604,700,-9712,-13175,233,186,3771,-870,282,-94,-157,217,255,263,287,243,174,109,121
571390,700,-9712,-13175,233,186,3771,-870,282,-94,-157,217,255,263,287,243,174,109,121
572369,712,-9700,-13183,263,265,3978,-938,280,-119,-60,217,255,263,287,243,174,109,121
584916,712,-9700,-13183,263,265,3978,-938,280,-119,-60,161,195,257,274,241,206,169,157
585720,712,-9700,-13183,263,265,3978,-938,280,-119,-60,161,195,257,274,241,206,169,157
591893,738,-9700,-13181,299,270,3867,-914,292,-80,18,161,195,257,274,241,206,169,157
608073,738,-9700,-13181,299,270,3867,-914,292,-80,18,181,205,294,284,229,246,231,194
608931,738,-9700,-13181,299,270,3867,-914,292,-80,18,181,205,294,284,229,246,231,194
609841,788,-9697,-13179,354,257,3718,-1091,403,-17,5,181,205,294,284,229,246,231,194
630602,788,-9697,-13179,354,257,3718,-1091,403,-17,5,199,200,307,366,360,421,300,207
631416,788,-9697,-13179,354,257,3718,-1091,403,-17,5,199,200,307,366,360,421,300,207
632364,843,-9691,-13178,400,182,3580,-1170,315,77,-19,199,200,307,366,360,421,300,207
644944,843,-9691,-13178,400,182,3580,-1170,315,77,-19,214,220,308,393,449,493,339,226
645768,843,-9691,-13178,400,182,3580,-1170,315,77,-19,214,220,308,393,449,493,339,226
651922,842,-9691,-13178,413,102,3747,-1036,73,-23,2,214,220,308,393,449,493,339,226
668065,842,-9691,-13178,413,102,3747,-1036,73,-23,2,215,214,286,385,459,512,354,234
668934,842,-9691,-13178,413,102,3747,-1036,73,-23,2,215,214,286,385,459,512,354,234
669843,841,-9703,-13170,411,269,3677,-1015,-44,-65,83,215,214,286,385,459,512,354,234
690642,841,-9703,-13170,411,269,3677,-1015,-44,-65,83,200,211,314,401,474,543,345,215
691416,841,-9703,-13170,411,269,3677,-1015,-44,-65,83,200,211,314,401,474,543,345,215
692371,840,-9702,-13169,432,273,3461,-1143,-42,-141,6,200,211,314,401,474,543,345,215
704888,840,-9702,-13169,432,273,3461,-1143,-42,-141,6,172,177,264,390,502,552,317,184
705698,840,-9702,-13169,432,273,3461,-1143,-42,-141,6,172,177,264,390,502,552,317,184
711842,869,-9689,-13175,495,207,3391,-887,206,-131,-71,172,177,264,390,502,552,317,184
728132,869,-9689,-13175,495,207,3391,-887,206,-131,-71,132,161,242,310,421,447,259,169
728948,869,-9689,-13175,495,207,3391,-887,206,-131,-71,132,161,242,310,421,447,259,169
729861,799,-9700,-13172,471,193,4141,-783,-119,-275,82,132,161,242,310,421,447,259,169
750617,799,-9700,-13172,471,193,4141,-783,-119,-275,82,98,110,234,270,351,412,243,153
751454,799,-9700,-13172,471,193,4141,-783,-119,-275,82,98,110,234,270,351,412,243,153
752360,626,-9748,-13151,339,93,4279,-991,-910,-324,286,98,110,234,270,351,412,243,153
764904,626,-9748,-13151,339,93,4279,-991,-910,-324,286,93,106,239,269,328,404,236,141
765716,626,-9748,-13151,339,93,4279,-991,-910,-324,286,93,106,239,269,328,404,236,141
771880,495,-9797,-13121,237,76,3563,-936,-1056,-237,307,93,106,239,269,328,404,236,141
788098,495,-9797,-13121,237,76,3563,-936,-1056,-237,307,86,83,174,219,291,343,211,124
788918,495,-9797,-13121,237,76,3563,-936,-1056,-237,307,86,83,174,219,291,343,211,124
789866,409,-9803,-13121,192,155,3522,-678,-691,-287,26,86,83,174,219,291,343,211,124
810597,409,-9803,-13121,192,155,3522,-678,-691,-287,26,71,64,145,173,220,288,193,111
811390,409,-9803,-13121,192,155,3522,-678,-691,-287,26,71,64,145,173,220,288,193,111
812343,442,-9796,-13125,237,315,3444,-955,90,-138,-43,71,64,145,173,220,288,193,111
824897,442,-9796,-13125,237,315,3444,-955,90,-138,-43,76,58,131,155,202,275,190,113
825706,442,-9796,-13125,237,315,3444,-955,90,-138,-43,76,58,131,155,202,275,190,113
831873,487,-9771,-13139,335,123,3449,-795,381,-168,-149,76,58,131,155,202,275,190,113
848137,487,-9771,-13139,335,123,3449,-795,381,-168,-149,75,54,101,134,125,192,130,87
848940,487,-9771,-13139,335,123,3449,-795,381,-168,-149,75,54,101,134,125,192,130,87
849914,547,-9780,-13128,417,157,3825,-986,589,-56,87,75,54,101,134,125,192,130,87
870590,547,-9780,-13128,417,157,3825,-986,589,-56,87,61,43,71,96,110,153,88,74
871405,547,-9780,-13128,417,157,3825,-986,589,-56,87,61,43,71,96,110,153,88,74
872327,588,-9814,-13100,441,202,3952,-1064,352,39,250,61,43,71,96,110,153,88,74
884948,588,-9814,-13100,441,202,3952,-1064,352,39,250,53,40,66,91,96,140,80,63
885743,588,-9814,-13100,441,202,3952,-1064,352,39,250,53,40,66,91,96,140,80,63
891895,582,-9850,-13074,404,221,3944,-1010,-100,26,250,53,40,66,91,96,140,80,63
908067,567,-9875,-13057,340,237,3828,-991,-317,70,168,53,40,66,91,96,140,80,63
908908,567,-9875,-13057,340,237,3828,-991,-317,70,168,49,38,67,88,85,123,74,60
909715,567,-9875,-13057,340,237,3828,-991,-317,70,168,49,38,67,88,85,123,74,60
930667,562,-9891,-13048,270,213,3751,-946,-375,149,93,49,38,67,88,85,123,74,60
931464,562,-9891,-13048,270,213,3751,-946,-375,149,93,42,37,50,54,77,98,53,45
932270,562,-9891,-13048,270,213,3751,-946,-375,149,93,42,37,50,54,77,98,53,45
953090,555,-9903,-13040,215,126,3720,-915,-335,144,68,42,37,50,54,77,98,53,45
953895,555,-9903,-13040,215,126,3720,-915,-335,144,68,38,34,43,46,51,65,47,41
954738,555,-9903,-13040,215,126,3720,-915,-335,144,68,38,34,43,46,51,65,47,41
966778,557,-9921,-13027,188,113,3710,-937,-189,99,115,38,34,43,46,51,65,47,41
974918,557,-9921,-13027,188,113,3710,-937,-189,99,115,41,37,43,42,48,50,38,36
975732,557,-9921,-13027,188,113,3710,-937,-189,99,115,41,37,43,42,48,50,38,36
990620,570,-9941,-13011,180,151,3748,-964,-46,64,139,41,37,43,42,48,50,38,36
991432,570,-9941,-13011,180,151,3748,-964,-46,64,139,53,30,42,34,44,40,33,36
992216,570,-9941,-13011,180,151,3748,-964,-46,64,139,53,30,42,34,44,40,33,36
1013117,587,-9962,-12994,173,166,3810,-1005,11,75,153,53,30,42,34,44,40,33,36
1013882,587,-9962,-12994,173,166,3810,-1005,11,75,153,55,30,39,39,47,37,37,36
1014692,587,-9962,-12994,173,166,3810,-1005,11,75,153,55,30,39,39,47,37,37,36
1026778,612,-9986,-12974,164,186,3787,-1051,18,119,169,55,30,39,39,47,37,37,36
1034849,612,-9986,-12974,164,186,3787,-1051,18,119,169,53,37,46,41,46,33,35,23
1035666,612,-9986,-12974,164,186,3787,-1051,18,119,169,53,37,46,41,46,33,35,23
1050567,642,-10005,-12958,155,186,3783,-1023,32,138,136,53,37,46,41,46,33,35,23
1051416,642,-10005,-12958,155,186,3783,-1023,32,138,136,55,43,43,39,43,34,35,29
1052190,642,-10005,-12958,155,186,3783,-1023,32,138,136,55,43,43,39,43,34,35,29
1064268,665,-10020,-12946,141,189,3817,-1015,11,132,105,55,43,43,39,43,34,35,29
1072390,665,-10020,-12946,141,189,3817,-1015,11,132,105,55,40,43,40,44,29,37,27
1073255,665,-10020,-12946,141,189,3817,-1015,11,132,105,55,40,43,40,44,29,37,27
1086797,684,-10037,-12932,122,185,3833,-1003,-22,135,119,55,40,43,40,44,29,37,27
1094892,684,-10037,-12932,122,185,3833,-1003,-22,135,119,46,40,42,43,47,28,37,33
1095713,684,-10037,-12932,122,185,3833,-1003,-22,135,119,46,40,42,43,47,28,37,33
1110592,709,-10058,-12915,103,187,3799,-1021,-18,165,140,46,40,42,43,47,28,37,33
1111455,709,-10058,-12915,103,187,3799,-1021,-18,165,140,40,40,43,33,36,30,39,36
1112242,709,-10058,-12915,103,187,3799,-1021,-18,165,140,40,40,43,33,36,30,39,36
1133103,744,-10077,-12898,92,178,3783,-1004,43,193,138,40,40,43,33,36,30,39,36
1133911,744,-10077,-12898,92,178,3783,-1004,43,193,138,40,37,34,32,33,30,39,37
1134690,744,-10077,-12898,92,178,3783,-1004,43,193,138,40,37,34,32,33,30,39,37
1146741,782,-10095,-12881,88,169,3772,-1013,85,196,131,40,37,34,32,33,30,39,37
1154889,782,-10095,-12881,88,169,3772,-1013,85,196,131,36,34,34,34,31,27,37,34
1155713,782,-10095,-12881,88,169,3772,-1013,85,196,131,36,34,34,34,31,27,37,34
1170648,818,-10111,-12866,91,166,3748,-1013,99,169,120,36,34,34,34,31,27,37,34
1171415,818,-10111,-12866,91,166,3748,-1013,99,169,120,50,41,33,35,37,29,35,37
1172269,818,-10111,-12866,91,166,3748,-1013,99,169,120,50,41,33,35,37,29,35,37
1193546,853,-10124,-12854,103,158,3731,-990,138,137,96,50,41,33,35,37,29,35,37
1194376,853,-10124,-12854,103,158,3731,-990,138,137,96,50,43,39,33,35,29,36,38
1195167,853,-10124,-12854,103,158,3731,-990,138,137,96,50,43,39,33,35,29,36,38
1206733,887,-10132,-12845,127,149,3738,-984,192,99,68,50,43,39,33,35,29,36,38
1214939,887,-10132,-12845,127,149,3738,-984,192,99,68,51,46,42,47,38,25,28,38
