Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-8329,1056,11253,8444,3892,3623,61,-92,-52,116,0,0,0,0,0,0,0,0
793,-8333,1090,11240,8454,3884,3617,26,-168,-43,116,0,0,0,0,0,0,0,0
21849,-8334,1126,11219,8476,3891,3569,-4,-251,-35,87,0,0,0,0,0,0,0,0
44325,-8333,1155,11202,8496,3886,3523,7,-207,-31,56,0,0,0,0,0,0,0,0
59298,-8331,1173,11193,8506,3903,3509,6,-119,-29,37,0,0,0,0,0,0,0,0
67447,-8331,1173,11193,8506,3903,3509,6,-119,-29,37,52,99,53,155,95,34,22,27
68274,-8331,1173,11193,8506,3903,3509,6,-119,-29,37,52,99,53,155,95,34,22,27
81809,-8328,1185,11187,8516,3899,3509,14,-90,-26,10,52,99,53,155,95,34,22,27
89952,-8328,1185,11187,8516,3899,3509,14,-90,-26,10,49,108,57,152,102,34,24,26
90753,-8328,1185,11187,8516,3899,3509,14,-90,-26,10,49,108,57,152,102,34,24,26
104305,-8323,1189,11185,8523,3889,3523,13,-45,-20,-17,49,108,57,152,102,34,24,26
112468,-8323,1189,11185,8523,3889,3523,13,-45,-20,-17,47,107,57,136,110,37,29,23
113260,-8323,1189,11185,8523,3889,3523,13,-45,-20,-17,47,107,57,136,110,37,29,23
119426,-8317,1188,11186,8527,3900,3542,-20,-16,-23,-31,47,107,57,136,110,37,29,23
127425,-8317,1188,11186,8527,3900,3542,-20,-16,-23,-31,45,96,57,143,111,37,31,24
128257,-8317,1188,11186,8527,3900,3542,-20,-16,-23,-31,45,96,57,143,111,37,31,24
141794,-8311,1188,11184,8536,3925,3554,-22,-43,-17,-46,45,96,57,143,111,37,31,24
149969,-8311,1188,11184,8536,3925,3554,-22,-43,-17,-46,42,95,65,172,115,39,33,26
150761,-8311,1188,11184,8536,3925,3554,-22,-43,-17,-46,42,95,65,172,115,39,33,26
164354,-8303,1190,11180,8549,3924,3530,-29,-69,-17,-53,42,95,65,172,115,39,33,26
172424,-8303,1190,11180,8549,3924,3530,-29,-69,-17,-53,48,104,64,169,119,38,33,25
173251,-8303,1190,11180,8549,3924,3530,-29,-69,-17,-53,48,104,64,169,119,38,33,25
179378,-8296,1188,11177,8559,3913,3498,2,-44,-10,-55,48,104,64,169,119,38,33,25
187416,-8296,1188,11177,8559,3913,3498,2,-44,-10,-55,43,95,57,164,118,38,33,25
188225,-8296,1188,11177,8559,3913,3498,2,-44,-10,-55,43,95,57,164,118,38,33,25
201825,-8290,1181,11180,8563,3899,3493,6,9,-10,-53,43,95,57,164,118,38,33,25
209929,-8290,1181,11180,8563,3899,3493,6,9,-10,-53,44,83,53,160,107,35,30,25
210769,-8290,1181,11180,8563,3899,3493,6,9,-10,-53,44,83,53,160,107,35,30,25
224304,-8284,1174,11183,8566,3889,3504,-1,14,-10,-60,44,83,53,160,107,35,30,25
232410,-8284,1174,11183,8566,3889,3504,-1,14,-10,-60,44,84,53,162,107,36,29,25
233242,-8284,1174,11183,8566,3889,3504,-1,14,-10,-60,44,84,53,162,107,36,29,25
239395,-8276,1167,11187,8569,3894,3536,-43,16,-20,-55,44,84,53,162,107,36,29,25
247462,-8276,1167,11187,8569,3894,3536,-43,16,-20,-55,45,93,62,135,104,36,29,23
248253,-8276,1167,11187,8569,3894,3536,-43,16,-20,-55,45,93,62,135,104,36,29,23
261801,-8268,1164,11190,8573,3903,3526,-38,-1,-33,-52,45,93,62,135,104,36,29,23
269933,-8268,1164,11190,8573,3903,3526,-38,-1,-33,-52,32,102,65,139,106,35,28,25
270729,-8268,1164,11190,8573,3903,3526,-38,-1,-33,-52,32,102,65,139,106,35,28,25
284308,-8259,1159,11194,8577,3902,3493,-19,8,-26,-55,32,102,65,139,106,35,28,25
292398,-8259,1159,11194,8577,3902,3493,-19,8,-26,-55,38,103,69,143,98,35,27,27
293264,-8259,1159,11194,8577,3902,3493,-19,8,-26,-55,38,103,69,143,98,35,27,27
299378,-8253,1151,11200,8576,3894,3498,-7,40,-17,-52,38,103,69,143,98,35,27,27
307428,-8253,1151,11200,8576,3894,3498,-7,40,-17,-52,37,110,68,147,102,34,29,27
308224,-8253,1151,11200,8576,3894,3498,-7,40,-17,-52,37,110,68,147,102,34,29,27
321813,-8248,1144,11207,8573,3892,3542,1,49,-20,-33,37,110,68,147,102,34,29,27
329899,-8248,1144,11207,8573,3892,3542,1,49,-20,-33,37,107,67,161,102,31,28,28
330750,-8248,1144,11207,8573,3892,3542,1,49,-20,-33,37,107,67,161,102,31,28,28
344347,-8243,1144,11211,8571,3900,3556,-8,19,-31,-13,37,107,67,161,102,31,28,28
352428,-8243,1144,11211,8571,3900,3556,-8,19,-31,-13,39,97,55,151,100,29,27,28
353200,-8243,1144,11211,8571,3900,3556,-8,19,-31,-13,39,97,55,151,100,29,27,28
359381,-8238,1149,11214,8573,3899,3552,-24,-15,-44,-4,39,97,55,151,100,29,27,28
367399,-8238,1149,11214,8573,3899,3552,-24,-15,-44,-4,42,69,51,140,87,29,27,27
368265,-8238,1149,11214,8573,3899,3552,-24,-15,-44,-4,42,69,51,140,87,29,27,27
381802,-8231,1155,11217,8574,3897,3534,-19,-16,-53,0,42,69,51,140,87,29,27,27
389934,-8231,1155,11217,8574,3897,3534,-19,-16,-53,0,40,65,96,162,103,33,31,27
390703,-8231,1155,11217,8574,3897,3534,-19,-16,-53,0,40,65,96,162,103,33,31,27
404283,-8226,1158,11225,8568,3887,3554,-12,35,-54,11,40,65,96,162,103,33,31,27
420574,-8226,1158,11225,8568,3887,3554,-12,35,-54,11,40,53,109,211,100,35,31,29
421425,-8226,1158,11225,8568,3887,3554,-12,35,-54,11,40,53,109,211,100,35,31,29
422326,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,40,53,109,211,100,35,31,29
428177,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
428974,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
429805,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
435612,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
436451,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
437238,-8223,1162,11232,8562,3883,3567,-86,28,-45,19,89,155,242,231,147,62,53,65
441923,-8225,1147,11240,8551,3888,3587,-186,110,22,-24,89,155,242,231,147,62,53,65
449903,-8225,1147,11240,8551,3888,3587,-186,110,22,-24,151,347,502,348,227,117,95,104
450715,-8225,1147,11240,8551,3888,3587,-186,110,22,-24,151,347,502,348,227,117,95,104
464321,-8226,1072,11299,8482,3930,3556,-155,644,31,-115,151,347,502,348,227,117,95,104
472402,-8226,1072,11299,8482,3930,3556,-155,644,31,-115,249,456,610,416,306,181,123,139
473212,-8226,1072,11299,8482,3930,3556,-155,644,31,-115,249,456,610,416,306,181,123,139
488150,-8194,990,11390,8401,3927,3790,-366,799,-170,-218,249,456,610,416,306,181,123,139
488925,-8194,990,11390,8401,3927,3790,-366,799,-170,-218,398,697,846,518,411,236,137,209
489756,-8194,990,11390,8401,3927,3790,-366,799,-170,-218,398,697,846,518,411,236,137,209
501780,-8101,835,11515,8338,3934,4077,-260,1006,-292,-736,398,697,846,518,411,236,137,209
509968,-8101,835,11515,8338,3934,4077,-260,1006,-292,-736,507,925,1033,757,681,355,245,317
510745,-8101,835,11515,8338,3934,4077,-260,1006,-292,-736,507,925,1033,757,681,355,245,317
524299,-8035,598,11633,8257,4054,3472,630,1287,69,-930,507,925,1033,757,681,355,245,317
532412,-8035,598,11633,8257,4054,3472,630,1287,69,-930,631,1044,1175,816,887,504,300,400
533225,-8035,598,11633,8257,4054,3472,630,1287,69,-930,631,1044,1175,816,887,504,300,400
546831,-8033,505,11697,8175,4387,2628,1369,763,59,-162,631,1044,1175,816,887,504,300,400
554901,-8033,505,11697,8175,4387,2628,1369,763,59,-162,640,1016,1128,820,970,598,367,445
555755,-8033,505,11697,8175,4387,2628,1369,763,59,-162,640,1016,1128,820,970,598,367,445
561924,-7953,821,11630,8322,3164,4702,-386,-1845,-795,425,640,1016,1128,820,970,598,367,445
569929,-7953,821,11630,8322,3164,4702,-386,-1845,-795,425,641,1173,1280,922,1022,609,370,460
570769,-7953,821,11630,8322,3164,4702,-386,-1845,-795,425,641,1173,1280,922,1022,609,370,460
584302,-7952,831,11541,8444,3719,4344,-279,-763,240,-272,641,1173,1280,922,1022,609,370,460
592429,-7952,831,11541,8444,3719,4344,-279,-763,240,-272,620,1109,1244,1013,1053,622,385,460
593224,-7952,831,11541,8444,3719,4344,-279,-763,240,-272,620,1109,1244,1013,1053,622,385,460
608111,-7944,907,11481,8526,4409,2760,-484,-709,-62,71,620,1109,1244,1013,1053,622,385,460
608952,-7944,907,11481,8526,4409,2760,-484,-709,-62,71,582,956,1165,886,912,576,345,413
609752,-7944,907,11481,8526,4409,2760,-484,-709,-62,71,582,956,1165,886,912,576,345,413
621776,-7920,937,11405,8645,3875,4084,-88,-776,62,-252,582,956,1165,886,912,576,345,413
629926,-7920,937,11405,8645,3875,4084,-88,-776,62,-252,715,893,1036,895,737,467,309,351
630702,-7920,937,11405,8645,3875,4084,-88,-776,62,-252,715,893,1036,895,737,467,309,351
644303,-7914,995,11306,8773,3986,3574,43,-951,114,-106,715,893,1036,895,737,467,309,351
