Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-7324,3356,14265,191,3746,3220,-775,265,341,-790,0,0,0,0,0,0,0,0
7429,-7406,3194,14260,191,3718,3186,-758,441,278,-819,0,0,0,0,0,0,0,0
22540,-7458,3042,14266,181,3646,3241,-785,447,153,-751,0,0,0,0,0,0,0,0
37484,-7475,2946,14277,169,3638,3160,-871,255,8,-527,0,0,0,0,0,0,0,0
60003,-7456,2923,14292,148,3597,2968,-841,11,-200,-245,0,0,0,0,0,0,0,0
68157,-7456,2923,14292,148,3597,2968,-841,11,-200,-245,566,123,69,154,226,185,273,246
68917,-7456,2923,14292,148,3597,2968,-841,11,-200,-245,566,123,69,154,226,185,273,246
82495,-7383,2944,14326,79,3622,2859,-880,58,-576,43,566,123,69,154,226,185,273,246
90607,-7383,2944,14326,79,3622,2859,-880,58,-576,43,581,137,88,164,268,223,301,275
91458,-7383,2944,14326,79,3622,2859,-880,58,-576,43,581,137,88,164,268,223,301,275
97583,-7263,2989,14378,-29,3601,2936,-925,172,-911,302,581,137,88,164,268,223,301,275
113125,-7263,2989,14378,-29,3601,2936,-925,172,-911,302,598,167,121,178,306,290,320,313
113931,-7263,2989,14378,-29,3601,2936,-925,172,-911,302,598,167,121,178,306,290,320,313
120099,-7097,3102,14437,-155,3542,2872,-1005,51,-1183,686,598,167,121,178,306,290,320,313
128118,-7097,3102,14437,-155,3542,2872,-1005,51,-1183,686,578,206,138,177,319,301,354,416
128937,-7097,3102,14437,-155,3542,2872,-1005,51,-1183,686,578,206,138,177,319,301,354,416
142459,-6868,3289,14504,-291,3411,2904,-1127,-110,-1500,1119,578,206,138,177,319,301,354,416
150606,-6868,3289,14504,-291,3411,2904,-1127,-110,-1500,1119,531,225,159,193,419,320,376,421
151443,-6868,3289,14504,-291,3411,2904,-1127,-110,-1500,1119,531,225,159,193,419,320,376,421
157583,-6550,3544,14587,-443,3258,2594,-1413,-246,-1924,1524,531,225,159,193,419,320,376,421
173182,-6550,3544,14587,-443,3258,2594,-1413,-246,-1924,1524,482,239,205,189,413,319,388,414
173929,-6550,3544,14587,-443,3258,2594,-1413,-246,-1924,1524,482,239,205,189,413,319,388,414
180058,-6181,3853,14661,-666,3091,2225,-1675,-95,-2230,1950,482,239,205,189,413,319,388,414
188103,-6181,3853,14661,-666,3091,2225,-1675,-95,-2230,1950,484,247,208,179,427,318,379,412
188940,-6181,3853,14661,-666,3091,2225,-1675,-95,-2230,1950,484,247,208,179,427,318,379,412
202433,-5784,4186,14714,-965,2771,2160,-1790,208,-2410,2274,484,247,208,179,427,318,379,412
210648,-5784,4186,14714,-965,2771,2160,-1790,208,-2410,2274,440,244,252,151,469,256,357,384
211524,-5784,4186,14714,-965,2771,2160,-1790,208,-2410,2274,440,244,252,151,469,256,357,384
217592,-5367,4553,14737,-1305,2500,2192,-1836,348,-2511,2601,440,244,252,151,469,256,357,384
233105,-5367,4553,14737,-1305,2500,2192,-1836,348,-2511,2601,445,210,247,141,471,249,260,272
233913,-5367,4553,14737,-1305,2500,2192,-1836,348,-2511,2601,445,210,247,141,471,249,260,272
240082,-4952,4934,14726,-1643,2438,2236,-1826,343,-2463,2745,445,210,247,141,471,249,260,272
248098,-4952,4934,14726,-1643,2438,2236,-1826,343,-2463,2745,463,197,237,116,399,216,199,258
248928,-4952,4934,14726,-1643,2438,2236,-1826,343,-2463,2745,463,197,237,116,399,216,199,258
262521,-4562,5310,14680,-1977,2370,2180,-1790,401,-2299,2772,463,197,237,116,399,216,199,258
270585,-4562,5310,14680,-1977,2370,2180,-1790,401,-2299,2772,422,188,199,106,416,207,147,211
271448,-4562,5310,14680,-1977,2370,2180,-1790,401,-2299,2772,422,188,199,106,416,207,147,211
277568,-4202,5677,14602,-2307,2337,2172,-1748,483,-2135,2787,422,188,199,106,416,207,147,211
293073,-4202,5677,14602,-2307,2337,2172,-1748,483,-2135,2787,411,177,193,115,439,176,104,190
293878,-4202,5677,14602,-2307,2337,2172,-1748,483,-2135,2787,411,177,193,115,439,176,104,190
300033,-3887,6015,14498,-2635,2399,2271,-1700,634,-1927,2689,411,177,193,115,439,176,104,190
308109,-3887,6015,14498,-2635,2399,2271,-1700,634,-1927,2689,399,163,144,115,415,195,83,202
308913,-3887,6015,14498,-2635,2399,2271,-1700,634,-1927,2689,399,163,144,115,415,195,83,202
322503,-3626,6315,14379,-2939,2472,2409,-1651,723,-1653,2476,399,163,144,115,415,195,83,202
330582,-3626,6315,14379,-2939,2472,2409,-1651,723,-1653,2476,312,144,143,112,399,182,66,165
331372,-3626,6315,14379,-2939,2472,2409,-1651,723,-1653,2476,312,144,143,112,399,182,66,165
337528,-3423,6571,14256,-3206,2539,2511,-1610,741,-1365,2191,312,144,143,112,399,182,66,165
353073,-3423,6571,14256,-3206,2539,2511,-1610,741,-1365,2191,244,128,142,107,371,175,50,162
353880,-3423,6571,14256,-3206,2539,2511,-1610,741,-1365,2191,244,128,142,107,371,175,50,162
360061,-3270,6792,14135,-3436,2542,2572,-1568,724,-1090,1932,244,128,142,107,371,175,50,162
368095,-3270,6792,14135,-3436,2542,2572,-1568,724,-1090,1932,207,151,180,138,369,199,53,159
368913,-3270,6792,14135,-3436,2542,2572,-1568,724,-1090,1932,207,151,180,138,369,199,53,159
382457,-3160,6980,14018,-3637,2522,2650,-1518,736,-870,1691,207,151,180,138,369,199,53,159
390621,-3160,6980,14018,-3637,2522,2650,-1518,736,-870,1691,162,172,180,256,323,206,50,138
391403,-3160,6980,14018,-3637,2522,2650,-1518,736,-870,1691,162,172,180,256,323,206,50,138
397542,-3182,7084,13945,-3694,2556,2775,-1456,720,-757,1399,162,172,180,256,323,206,50,138
413059,-3182,7084,13945,-3694,2556,2775,-1456,720,-757,1399,190,201,170,257,283,174,48,94
413918,-3182,7084,13945,-3694,2556,2775,-1456,720,-757,1399,190,201,170,257,283,174,48,94
420098,-3264,7151,13888,-3708,2555,2790,-1387,683,-433,1065,190,201,170,257,283,174,48,94
428082,-3264,7151,13888,-3708,2555,2790,-1387,683,-433,1065,194,205,171,264,289,163,48,102
428881,-3264,7151,13888,-3708,2555,2790,-1387,683,-433,1065,194,205,171,264,289,163,48,102
442486,-3397,7181,13845,-3693,2511,2880,-1383,743,-123,751,194,205,171,264,289,163,48,102
450556,-3397,7181,13845,-3693,2511,2880,-1383,743,-123,751,196,206,179,290,371,224,74,109
451421,-3397,7181,13845,-3693,2511,2880,-1383,743,-123,751,196,206,179,290,371,224,74,109
457562,-3571,7179,13813,-3652,2506,2927,-1342,762,114,489,196,206,179,290,371,224,74,109
473121,-3571,7179,13813,-3652,2506,2927,-1342,762,114,489,230,205,167,291,371,216,103,130
473938,-3571,7179,13813,-3652,2506,2927,-1342,762,114,489,230,205,167,291,371,216,103,130
480082,-3763,7151,13793,-3589,2518,2990,-1202,710,239,287,230,205,167,291,371,216,103,130
488089,-3763,7151,13793,-3589,2518,2990,-1202,710,239,287,235,202,180,235,364,217,112,142
488881,-3763,7151,13793,-3589,2518,2990,-1202,710,239,287,235,202,180,235,364,217,112,142
502486,-3965,7102,13786,-3496,2583,3029,-1123,596,328,110,235,202,180,235,364,217,112,142
510613,-3965,7102,13786,-3496,2583,3029,-1123,596,328,110,266,178,168,285,366,232,133,191
511410,-3965,7102,13786,-3496,2583,3029,-1123,596,328,110,266,178,168,285,366,232,133,191
517585,-4168,7038,13784,-3395,2573,3039,-1047,557,376,2,266,178,168,285,366,232,133,191
533115,-4168,7038,13784,-3395,2573,3039,-1047,557,376,2,300,191,205,327,385,261,139,217
533922,-4168,7038,13784,-3395,2573,3039,-1047,557,376,2,300,191,205,327,385,261,139,217
540097,-4345,6977,13784,-3296,2549,3033,-998,479,307,14,300,191,205,327,385,261,139,217
548056,-4345,6977,13784,-3296,2549,3033,-998,479,307,14,309,227,219,327,312,219,141,219
548885,-4345,6977,13784,-3296,2549,3033,-998,479,307,14,309,227,219,327,312,219,141,219
571320,-4483,6921,13789,-3208,2477,2934,-978,371,156,36,309,227,219,327,312,219,141,219
572139,-4483,6921,13789,-3208,2477,2934,-978,371,156,36,287,253,220,386,285,203,120,225
572937,-4483,6921,13789,-3208,2477,2934,-978,371,156,36,287,253,220,386,285,203,120,225
577569,-4579,6862,13804,-3133,2421,2905,-975,305,-43,26,287,253,220,386,285,203,120,225
593159,-4579,6862,13804,-3133,2421,2905,-975,305,-43,26,288,242,226,386,261,187,113,221
593903,-4579,6862,13804,-3133,2421,2905,-975,305,-43,26,288,242,226,386,261,187,113,221
600033,-4651,6807,13823,-3062,2322,2831,-979,223,-99,9,288,242,226,386,261,187,113,221
608112,-4651,6807,13823,-3062,2322,2831,-979,223,-99,9,260,268,236,366,276,199,93,190
608888,-4651,6807,13823,-3062,2322,2831,-979,223,-99,9,260,268,236,366,276,199,93,190
622491,-4706,6761,13842,-2995,2178,2752,-1029,163,-94,9,260,268,236,366,276,199,93,190
630584,-4706,6761,13842,-2995,2178,2752,-1029,163,-94,9,220,267,211,332,222,157,116,157
631380,-4706,6761,13842,-2995,2178,2752,-1029,163,-94,9,220,267,211,332,222,157,116,157
637561,-4748,6720,13859,-2939,2074,2722,-1078,171,-101,18,220,267,211,332,222,157,116,157
653063,-4748,6720,13859,-2939,2074,2722,-1078,171,-101,18,206,238,195,327,250,155,136,154
653919,-4748,6720,13859,-2939,2074,2722,-1078,171,-101,18,206,238,195,327,250,155,136,154
667501,-4783,6683,13879,-2872,2065,2715,-1082,85,-90,-1,206,238,195,327,250,155,136,154
675560,-4783,6683,13879,-2872,2065,2715,-1082,85,-90,-1,210,191,183,274,267,176,303,153
676380,-4783,6683,13879,-2872,2065,2715,-1082,85,-90,-1,210,191,183,274,267,176,303,153
682510,-4810,6663,13895,-2800,2028,2693,-1111,4,-63,64,210,191,183,274,267,176,303,153
690586,-4810,6663,13895,-2800,2028,2693,-1111,4,-63,64,343,243,183,250,343,243,357,263
691381,-4810,6663,13895,-2800,2028,2693,-1111,4,-63,64,343,243,183,250,343,243,357,263
697561,-4835,6662,13903,-2719,1999,2636,-1105,-102,0,124,343,243,183,250,343,243,357,263
713067,-4835,6662,13903,-2719,1999,2636,-1105,-102,0,124,416,226,188,317,542,489,414,281
713880,-4835,6662,13903,-2719,1999,2636,-1105,-102,0,124,416,226,188,317,542,489,414,281
720046,-4858,6677,13905,-2623,2072,2689,-1049,-204,14,213,416,226,188,317,542,489,414,281
727438,-4858,6677,13905,-2623,2072,2689,-1049,-204,14,213,587,252,208,364,806,704,468,401
734919,-4858,6677,13905,-2623,2072,2689,-1049,-204,14,213,587,252,208,364,806,704,468,401
742557,-4877,6689,13914,-2506,2207,2776,-917,-335,-45,187,587,252,208,364,806,704,468,401
750591,-4877,6689,13914,-2506,2207,2776,-917,-335,-45,187,690,299,228,538,982,912,515,696
751407,-4877,6689,13914,-2506,2207,2776,-917,-335,-45,187,690,299,228,538,982,912,515,696
757533,-4893,6670,13938,-2393,2321,3094,-907,-172,-166,95,690,299,228,538,982,912,515,696
773082,-4893,6670,13938,-2393,2321,3094,-907,-172,-166,95,820,329,273,586,1011,1038,473,882
773882,-4893,6670,13938,-2393,2321,3094,-907,-172,-166,95,820,329,273,586,1011,1038,473,882
780058,-4890,6629,13978,-2275,2191,3103,-1073,-181,-196,-96,820,329,273,586,1011,1038,473,882
795585,-4890,6629,13978,-2275,2191,3103,-1073,-181,-196,-96,841,326,335,711,1136,1145,463,940
796381,-4890,6629,13978,-2275,2191,3103,-1073,-181,-196,-96,841,326,335,711,1136,1145,463,940
802574,-4869,6647,13987,-2214,1867,2840,-1160,-133,-142,219,841,326,335,711,1136,1145,463,940
810559,-4869,6647,13987,-2214,1867,2840,-1160,-133,-142,219,863,341,345,752,1115,1209,443,1015
811422,-4869,6647,13987,-2214,1867,2840,-1160,-133,-142,219,863,341,345,752,1115,1209,443,1015
817594,-4786,6802,13944,-2197,1664,2564,-1288,-346,-266,1003,863,341,345,752,1115,1209,443,1015
833101,-4786,6802,13944,-2197,1664,2564,-1288,-346,-266,1003,922,356,364,796,1008,1208,439,989
833883,-4786,6802,13944,-2197,1664,2564,-1288,-346,-266,1003,922,356,364,796,1008,1208,439,989
840061,-4580,7091,13872,-2172,1513,2837,-1329,-952,-603,1693,922,356,364,796,1008,1208,439,989
855531,-4580,7091,13872,-2172,1513,2837,-1329,-952,-603,1693,921,400,385,800,981,1158,384,928
856384,-4580,7091,13872,-2172,1513,2837,-1329,-952,-603,1693,921,400,385,800,981,1158,384,928
862584,-4260,7422,13813,-2095,1587,2575,-1282,-1594,-1045,1865,921,400,385,800,981,1158,384,928
870554,-4260,7422,13813,-2095,1587,2575,-1282,-1594,-1045,1865,873,398,397,879,1042,1215,419,846
871400,-4260,7422,13813,-2095,1587,2575,-1282,-1594,-1045,1865,873,398,397,879,1042,1215,419,846
877534,-3951,7756,13722,-2092,1575,2263,-1315,-1236,-1143,2051,873,398,397,879,1042,1215,419,846
893043,-3951,7756,13722,-2092,1575,2263,-1315,-1236,-1143,2051,867,439,442,970,965,1251,470,780
893856,-3951,7756,13722,-2092,1575,2263,-1315,-1236,-1143,2051,867,439,442,970,965,1251,470,780
900035,-3679,8077,13604,-2138,1521,2670,-1393,-827,-1087,2125,867,439,442,970,965,1251,470,780
915598,-3679,8077,13604,-2138,1521,2670,-1393,-827,-1087,2125,846,514,515,1053,1037,1215,495,726
916406,-3679,8077,13604,-2138,1521,2670,-1393,-827,-1087,2125,846,514,515,1053,1037,1215,495,726
922589,-3423,8368,13495,-2135,1337,2650,-1373,-984,-900,1874,846,514,515,1053,1037,1215,495,726
930556,-3423,8368,13495,-2135,1337,2650,-1373,-984,-900,1874,725,506,534,1146,1217,1253,578,747
931388,-3423,8368,13495,-2135,1337,2650,-1373,-984,-900,1874,725,506,534,1146,1217,1253,578,747
937508,-3202,8632,13388,-2103,1290,2456,-1327,-1029,-692,1684,725,506,534,1146,1217,1253,578,747
953132,-3202,8632,13388,-2103,1290,2456,-1327,-1029,-692,1684,764,479,551,1127,1177,1227,589,605
953913,-3202,8632,13388,-2103,1290,2456,-1327,-1029,-692,1684,764,479,551,1127,1177,1227,589,605
960086,-3105,8838,13282,-2063,1307,2319,-1360,-756,-424,1421,764,479,551,1127,1177,1227,589,605
975580,-3105,8838,13282,-2063,1307,2319,-1360,-756,-424,1421,784,484,549,1080,1180,1125,575,504
976448,-3105,8838,13282,-2063,1307,2319,-1360,-756,-424,1421,784,484,549,1080,1180,1125,575,504
982580,-3062,8982,13198,-2047,1127,2320,-1386,-439,-244,1018,784,484,549,1080,1180,1125,575,504
998742,-3062,8982,13198,-2047,1127,2320,-1386,-439,-244,1018,784,472,570,944,1248,1085,589,516
999561,-3062,8982,13198,-2047,1127,2320,-1386,-439,-244,1018,784,472,570,944,1248,1085,589,516
1000511,-3050,9076,13142,-2010,1091,2590,-1352,-281,-91,686,784,472,570,944,1248,1085,589,516
1013076,-3050,9076,13142,-2010,1091,2590,-1352,-281,-91,686,828,389,511,873,1217,1068,572,470
1013919,-3050,9076,13142,-2010,1091,2590,-1352,-281,-91,686,828,389,511,873,1217,1068,572,470
1020083,-3058,9138,13107,-1942,1071,2630,-1317,-341,66,421,828,389,511,873,1217,1068,572,470
1035598,-3058,9138,13107,-1942,1071,2630,-1317,-341,66,421,843,379,521,782,1095,1140,578,468
1036382,-3058,9138,13107,-1942,1071,2630,-1317,-341,66,421,843,379,521,782,1095,1140,578,468
1058763,-3101,9180,13077,-1879,1107,2538,-1344,-239,183,294,843,379,521,782,1095,1140,578,468
1059559,-3101,9180,13077,-1879,1107,2538,-1344,-239,183,294,768,359,508,773,1122,1222,612,524
1060374,-3101,9180,13077,-1879,1107,2538,-1344,-239,183,294,768,359,508,773,1122,1222,612,524
1080650,-3170,9205,13049,-1829,1099,2656,-1363,-14,268,206,768,359,508,773,1122,1222,612,524
1081459,-3241,9207,13039,-1768,1148,2789,-1414,32,280,52,768,359,508,773,1122,1222,612,524
1088081,-3241,9207,13039,-1768,1148,2789,-1414,32,280,52,705,334,488,764,1096,1228,592,504
1088914,-3241,9207,13039,-1768,1148,2789,-1414,32,280,52,705,334,488,764,1096,1228,592,504
1111262,-3310,9191,13042,-1696,1227,2826,-1415,6,263,-69,705,334,488,764,1096,1228,592,504
1112089,-3310,9191,13042,-1696,1227,2826,-1415,6,263,-69,681,271,425,814,1068,1246,585,471
1112883,-3310,9191,13042,-1696,1227,2826,-1415,6,263,-69,681,271,425,814,1068,1246,585,471
1132440,-3375,9171,13049,-1623,1209,2876,-1419,14,270,-107,681,271,425,814,1068,1246,585,471
1140532,-3375,9171,13049,-1623,1209,2876,-1419,14,270,-107,685,259,417,874,1071,1254,619,495
1141354,-3375,9171,13049,-1623,1209,2876,-1419,14,270,-107,685,259,417,874,1071,1254,619,495
1162480,-3443,9144,13059,-1553,1236,2866,-1439,37,279,-147,685,259,417,874,1071,1254,619,495
1170589,-3515,9108,13073,-1487,1257,2892,-1459,89,290,-200,685,259,417,874,1071,1254,619,495
1171383,-3515,9108,13073,-1487,1257,2892,-1459,89,290,-200,622,240,364,860,1004,1067,497,455
1177427,-3515,9108,13073,-1487,1257,2892,-1459,89,290,-200,622,240,364,860,1004,1067,497,455
