Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,251,8872,12155,6472,1194,6146,-773,-26,-6,51,0,0,0,0,0,0,0,0
805,256,8883,12151,6465,1245,6156,-740,16,10,111,0,0,0,0,0,0,0,0
21850,252,8888,12146,6468,1297,6197,-703,26,55,106,0,0,0,0,0,0,0,0
44323,256,8876,12154,6469,1271,6250,-713,54,71,-3,0,0,0,0,0,0,0,0
59297,262,8860,12170,6460,1247,6212,-761,70,59,-50,0,0,0,0,0,0,0,0
67445,262,8860,12170,6460,1247,6212,-761,70,59,-50,180,66,72,95,63,62,94,169
68292,262,8860,12170,6460,1247,6212,-761,70,59,-50,180,66,72,95,63,62,94,169
81821,264,8858,12176,6452,1231,6181,-764,55,51,43,180,66,72,95,63,62,94,169
89957,264,8858,12176,6452,1231,6181,-764,55,51,43,183,69,71,87,55,63,105,168
90775,264,8858,12176,6452,1231,6181,-764,55,51,43,183,69,71,87,55,63,105,168
104361,271,8861,12172,6453,1253,6174,-740,-23,32,76,183,69,71,87,55,63,105,168
112465,271,8861,12172,6453,1253,6174,-740,-23,32,76,199,69,68,91,49,57,113,188
113286,271,8861,12172,6453,1253,6174,-740,-23,32,76,199,69,68,91,49,57,113,188
119397,286,8855,12174,6458,1232,6195,-720,-36,34,6,199,69,68,91,49,57,113,188
127482,286,8855,12174,6458,1232,6195,-720,-36,34,6,224,75,75,130,72,56,113,198
128244,286,8855,12174,6458,1232,6195,-720,-36,34,6,224,75,75,130,72,56,113,198
142374,298,8845,12185,6450,1212,6191,-751,36,27,-24,224,75,75,130,72,56,113,198
149947,298,8845,12185,6450,1212,6191,-751,36,27,-24,201,72,82,143,77,52,110,178
150773,298,8845,12185,6450,1212,6191,-751,36,27,-24,201,72,82,143,77,52,110,178
164292,303,8841,12195,6436,1198,6177,-735,80,19,20,201,72,82,143,77,52,110,178
172460,303,8841,12195,6436,1198,6177,-735,80,19,20,200,74,79,138,74,52,97,167
173253,303,8841,12195,6436,1198,6177,-735,80,19,20,200,74,79,138,74,52,97,167
179397,305,8846,12201,6419,1250,6129,-778,63,-7,44,200,74,79,138,74,52,97,167
187453,305,8846,12201,6419,1250,6129,-778,63,-7,44,189,70,73,138,73,47,81,149
188274,305,8846,12201,6419,1250,6129,-778,63,-7,44,189,70,73,138,73,47,81,149
201784,314,8854,12195,6419,1282,6139,-752,-36,-14,68,189,70,73,138,73,47,81,149
209997,314,8854,12195,6419,1282,6139,-752,-36,-14,68,201,74,82,166,75,46,64,154
210760,314,8854,12195,6419,1282,6139,-752,-36,-14,68,201,74,82,166,75,46,64,154
224340,320,8863,12189,6418,1257,6184,-722,-3,2,99,201,74,82,166,75,46,64,154
232423,320,8863,12189,6418,1257,6184,-722,-3,2,99,172,65,75,147,55,47,68,145
233251,320,8863,12189,6418,1257,6184,-722,-3,2,99,172,65,75,147,55,47,68,145
239401,308,8868,12190,6410,1239,6182,-708,108,63,110,172,65,75,147,55,47,68,145
247430,308,8868,12190,6410,1239,6182,-708,108,63,110,161,59,65,148,46,49,66,142
248221,308,8868,12190,6410,1239,6182,-708,108,63,110,161,59,65,148,46,49,66,142
261822,302,8871,12191,6404,1259,6171,-763,60,60,75,161,59,65,148,46,49,66,142
269965,302,8871,12191,6404,1259,6171,-763,60,60,75,171,52,70,152,46,53,52,156
270766,302,8871,12191,6404,1259,6171,-763,60,60,75,171,52,70,152,46,53,52,156
284322,299,8870,12194,6400,1269,6173,-768,46,57,49,171,52,70,152,46,53,52,156
292447,299,8870,12194,6400,1269,6173,-768,46,57,49,173,49,69,155,48,54,58,157
293245,299,8870,12194,6400,1269,6173,-768,46,57,49,173,49,69,155,48,54,58,157
299408,288,8877,12191,6396,1276,6144,-768,51,67,112,173,49,69,155,48,54,58,157
307446,288,8877,12191,6396,1276,6144,-768,51,67,112,136,41,109,228,70,55,61,133
308272,288,8877,12191,6396,1276,6144,-768,51,67,112,136,41,109,228,70,55,61,133
321852,276,8903,12170,6400,1272,6147,-778,-23,65,250,136,41,109,228,70,55,61,133
329965,276,8903,12170,6400,1272,6147,-778,-23,65,250,124,44,122,256,77,52,58,126
330771,276,8903,12170,6400,1272,6147,-778,-23,65,250,124,44,122,256,77,52,58,126
344324,274,8925,12149,6409,1265,6209,-729,-33,36,231,124,44,122,256,77,52,58,126
352441,274,8925,12149,6409,1265,6209,-729,-33,36,231,122,43,163,328,91,54,56,122
353224,274,8925,12149,6409,1265,6209,-729,-33,36,231,122,43,163,328,91,54,56,122
359397,275,8934,12144,6406,1263,6210,-746,38,29,123,122,43,163,328,91,54,56,122
367432,275,8934,12144,6406,1263,6210,-746,38,29,123,96,48,190,389,105,58,101,101
368244,275,8934,12144,6406,1263,6210,-746,38,29,123,96,48,190,389,105,58,101,101
381835,286,8933,12150,6395,1225,6202,-768,59,-7,35,96,48,190,389,105,58,101,101
389927,286,8933,12150,6395,1225,6202,-768,59,-7,35,103,54,204,440,114,60,110,155
390739,286,8933,12150,6395,1225,6202,-768,59,-7,35,103,54,204,440,114,60,110,155
404282,285,8940,12148,6390,1240,6154,-801,16,52,106,103,54,204,440,114,60,110,155
412440,285,8940,12148,6390,1240,6154,-801,16,52,106,101,85,304,439,129,153,112,154
413220,285,8940,12148,6390,1240,6154,-801,16,52,106,101,85,304,439,129,153,112,154
419412,288,8960,12117,6421,1288,6209,-706,-149,78,237,101,85,304,439,129,153,112,154
427420,288,8960,12117,6421,1288,6209,-706,-149,78,237,98,96,363,575,212,245,132,154
428218,288,8960,12117,6421,1288,6209,-706,-149,78,237,98,96,363,575,212,245,132,154
441798,308,8954,12095,6468,1273,6419,-600,-154,102,119,98,96,363,575,212,245,132,154
449914,308,8954,12095,6468,1273,6419,-600,-154,102,119,123,123,422,686,258,342,231,171
450720,308,8954,12095,6468,1273,6419,-600,-154,102,119,123,123,422,686,258,342,231,171
464341,357,8907,12110,6503,1201,6361,-597,-147,61,-226,123,123,422,686,258,342,231,171
472420,357,8907,12110,6503,1201,6361,-597,-147,61,-226,162,144,487,762,387,474,266,193
473220,357,8907,12110,6503,1201,6361,-597,-147,61,-226,162,144,487,762,387,474,266,193
488126,389,8867,12121,6535,1159,6104,-710,-239,153,-199,162,144,487,762,387,474,266,193
488925,389,8867,12121,6535,1159,6104,-710,-239,153,-199,165,162,614,824,445,623,309,175
489786,389,8867,12121,6535,1159,6104,-710,-239,153,-199,165,162,614,824,445,623,309,175
501794,379,8878,12095,6568,1178,5879,-762,-300,215,163,165,162,614,824,445,623,309,175
509961,379,8878,12095,6568,1178,5879,-762,-300,215,163,197,242,791,971,644,766,334,235
510751,379,8878,12095,6568,1178,5879,-762,-300,215,163,197,242,791,971,644,766,334,235
524324,348,8950,12031,6592,1296,5894,-756,-267,101,551,197,242,791,971,644,766,334,235
532451,348,8950,12031,6592,1296,5894,-756,-267,101,551,241,287,877,1101,813,862,445,401
533266,348,8950,12031,6592,1296,5894,-756,-267,101,551,241,287,877,1101,813,862,445,401
548150,293,9041,11953,6612,1491,6101,-678,-99,65,722,241,287,877,1101,813,862,445,401
548950,293,9041,11953,6612,1491,6101,-678,-99,65,722,252,310,940,1126,949,880,514,452
549789,293,9041,11953,6612,1491,6101,-678,-99,65,722,252,310,940,1126,949,880,514,452
561825,228,9128,11871,6642,1587,6205,-691,-78,135,752,252,310,940,1126,949,880,514,452
569907,228,9128,11871,6642,1587,6205,-691,-78,135,752,264,329,953,1133,1015,939,528,478
570741,228,9128,11871,6642,1587,6205,-691,-78,135,752,264,329,953,1133,1015,939,528,478
584296,140,9224,11785,6665,1668,6060,-856,-84,217,818,264,329,953,1133,1015,939,528,478
592424,140,9224,11785,6665,1668,6060,-856,-84,217,818,278,340,943,1165,1051,904,581,567
593219,140,9224,11785,6665,1668,6060,-856,-84,217,818,278,340,943,1165,1051,904,581,567
608104,20,9342,11674,6697,2009,6017,-725,-43,188,967,278,340,943,1165,1051,904,581,567
608940,20,9342,11674,6697,2009,6017,-725,-43,188,967,282,314,813,1095,977,856,660,583
609724,20,9342,11674,6697,2009,6017,-725,-43,188,967,282,314,813,1095,977,856,660,583
621798,-86,9455,11573,6713,2068,6310,-646,152,80,970,282,314,813,1095,977,856,660,583
629945,-86,9455,11573,6713,2068,6310,-646,152,80,970,260,293,738,936,889,836,631,510
630792,-86,9455,11573,6713,2068,6310,-646,152,80,970,260,293,738,936,889,836,631,510
644272,-95,9528,11533,6679,1338,6543,-720,253,-86,702,260,293,738,936,889,836,631,510
652442,-95,9528,11533,6679,1338,6543,-720,253,-86,702,248,268,679,941,795,815,616,525
653266,-95,9528,11533,6679,1338,6543,-720,253,-86,702,248,268,679,941,795,815,616,525
667484,-48,9579,11518,6631,1092,6579,-804,176,-201,490,248,268,679,941,795,815,616,525
668294,-48,9579,11518,6631,1092,6579,-804,176,-201,490,210,269,742,1059,805,760,634,516
674297,-48,9579,11518,6631,1092,6579,-804,176,-201,490,210,269,742,1059,805,760,634,516
681898,2,9623,11469,6654,1568,6589,-703,-161,-169,412,210,269,742,1059,805,760,634,516
689922,2,9623,11469,6654,1568,6589,-703,-161,-169,412,194,259,732,1072,777,765,592,429
690785,2,9623,11469,6654,1568,6589,-703,-161,-169,412,194,259,732,1072,777,765,592,429
704329,42,9652,11397,6733,1861,6454,-599,-436,-33,321,194,259,732,1072,777,765,592,429
712433,42,9652,11397,6733,1861,6454,-599,-436,-33,321,165,225,707,1088,783,724,527,423
