Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,4796,15099,-690,4116,1979,6130,-1236,13,-24,-22,0,0,0,0,0,0,0,0
786,4796,15100,-690,4115,1988,6130,-1239,-4,-8,-15,0,0,0,0,0,0,0,0
21752,4793,15102,-685,4111,1999,6128,-1252,1,-1,-27,0,0,0,0,0,0,0,0
36753,4785,15106,-679,4106,2003,6126,-1256,35,-7,-32,0,0,0,0,0,0,0,0
59321,4774,15111,-674,4101,2011,6128,-1256,59,-20,-25,0,0,0,0,0,0,0,0
67428,4774,15111,-674,4101,2011,6128,-1256,59,-20,-25,74,102,82,37,53,30,49,65
68197,4774,15111,-674,4101,2011,6128,-1256,59,-20,-25,74,102,82,37,53,30,49,65
81754,4769,15115,-671,4094,2000,6140,-1240,30,-27,-19,74,102,82,37,53,30,49,65
89860,4769,15115,-671,4094,2000,6140,-1240,30,-27,-19,77,113,93,35,53,34,49,67
90701,4769,15115,-671,4094,2000,6140,-1240,30,-27,-19,77,113,93,35,53,34,49,67
96834,4769,15117,-670,4088,1992,6132,-1247,-11,-25,-13,77,113,93,35,53,34,49,67
112409,4769,15117,-670,4088,1992,6132,-1247,-11,-25,-13,81,105,90,40,46,41,47,71
113229,4769,15117,-670,4088,1992,6132,-1247,-11,-25,-13,81,105,90,40,46,41,47,71
119409,4772,15117,-672,4082,1996,6141,-1243,-22,-25,-3,81,105,90,40,46,41,47,71
127400,4772,15117,-672,4082,1996,6141,-1243,-22,-25,-3,69,97,94,40,42,45,43,72
128177,4772,15117,-672,4082,1996,6141,-1243,-22,-25,-3,69,97,94,40,42,45,43,72
141750,4774,15118,-675,4076,2002,6141,-1258,-29,-30,2,69,97,94,40,42,45,43,72
149941,4774,15118,-675,4076,2002,6141,-1258,-29,-30,2,76,103,91,39,34,51,39,75
150723,4774,15118,-675,4076,2002,6141,-1258,-29,-30,2,76,103,91,39,34,51,39,75
156893,4776,15119,-679,4069,2007,6128,-1248,-26,-39,-2,76,103,91,39,34,51,39,75
172427,4776,15119,-679,4069,2007,6128,-1248,-26,-39,-2,77,115,109,41,41,51,37,78
173200,4776,15119,-679,4069,2007,6128,-1248,-26,-39,-2,77,115,109,41,41,51,37,78
179429,4772,15121,-682,4065,2009,6118,-1244,5,-35,5,77,115,109,41,41,51,37,78
187414,4772,15121,-682,4065,2009,6118,-1244,5,-35,5,80,108,109,43,36,51,37,79
188233,4772,15121,-682,4065,2009,6118,-1244,5,-35,5,80,108,109,43,36,51,37,79
201749,4765,15124,-686,4063,2013,6124,-1238,28,-27,15,80,108,109,43,36,51,37,79
209913,4765,15124,-686,4063,2013,6124,-1238,28,-27,15,69,109,110,39,33,45,39,86
210700,4765,15124,-686,4063,2013,6124,-1238,28,-27,15,69,109,110,39,33,45,39,86
216878,4760,15126,-690,4059,2013,6148,-1244,24,-31,17,69,109,110,39,33,45,39,86
232397,4760,15126,-690,4059,2013,6148,-1244,24,-31,17,77,110,111,36,34,45,33,89
233228,4760,15126,-690,4059,2013,6148,-1244,24,-31,17,77,110,111,36,34,45,33,89
239392,4761,15127,-693,4056,2010,6143,-1240,-10,-29,5,77,110,111,36,34,45,33,89
247403,4761,15127,-693,4056,2010,6143,-1240,-10,-29,5,79,106,110,35,33,39,41,81
248218,4761,15127,-693,4056,2010,6143,-1240,-10,-29,5,79,106,110,35,33,39,41,81
261741,4767,15125,-696,4054,2010,6127,-1245,-48,-16,0,79,106,110,35,33,39,41,81
269898,4767,15125,-696,4054,2010,6127,-1245,-48,-16,0,94,109,89,35,36,37,45,83
270694,4767,15125,-696,4054,2010,6127,-1245,-48,-16,0,94,109,89,35,36,37,45,83
276847,4771,15124,-699,4052,2007,6124,-1256,-35,-11,0,94,109,89,35,36,37,45,83
292418,4771,15124,-699,4052,2007,6124,-1256,-35,-11,0,100,105,114,33,38,45,47,85
293201,4771,15124,-699,4052,2007,6124,-1256,-35,-11,0,100,105,114,33,38,45,47,85
299441,4770,15124,-699,4052,1997,6129,-1244,-13,-12,5,100,105,114,33,38,45,47,85
307419,4770,15124,-699,4052,1997,6129,-1244,-13,-12,5,100,101,114,32,38,48,47,68
308229,4770,15124,-699,4052,1997,6129,-1244,-13,-12,5,100,101,114,32,38,48,47,68
321725,4770,15125,-699,4052,1988,6124,-1243,-12,-15,14,100,101,114,32,38,48,47,68
329894,4770,15125,-699,4052,1988,6124,-1243,-12,-15,14,96,99,115,32,41,47,46,62
330697,4770,15125,-699,4052,1988,6124,-1243,-12,-15,14,96,99,115,32,41,47,46,62
336876,4769,15126,-704,4048,1998,6151,-1270,-7,-25,17,96,99,115,32,41,47,46,62
352415,4769,15126,-704,4048,1998,6151,-1270,-7,-25,17,91,124,118,30,55,47,42,67
353161,4769,15126,-704,4048,1998,6151,-1270,-7,-25,17,91,124,118,30,55,47,42,67
359351,4773,15126,-710,4042,1999,6152,-1249,-29,-36,18,91,124,118,30,55,47,42,67
367413,4773,15126,-710,4042,1999,6152,-1249,-29,-36,18,76,115,129,30,53,46,42,68
368201,4773,15126,-710,4042,1999,6152,-1249,-29,-36,18,76,115,129,30,53,46,42,68
381804,4777,15126,-719,4036,1990,6138,-1246,-41,-44,27,76,115,129,30,53,46,42,68
389872,4777,15126,-719,4036,1990,6138,-1246,-41,-44,27,63,133,121,32,54,47,43,62
