Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-1800,15898,-1015,3378,1513,3071,-1798,12,-8,-20,0,0,0,0,0,0,0,0
7426,-1802,15898,-1010,3379,1519,3057,-1809,14,2,-23,0,0,0,0,0,0,0,0
22445,-1803,15897,-1005,3381,1515,3059,-1811,14,14,-28,0,0,0,0,0,0,0,0
45003,-1805,15897,-1001,3383,1519,3077,-1804,25,12,-21,0,0,0,0,0,0,0,0
68795,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,0,0,0,0,0,0,0,0
69576,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,69,38,63,75,153,99,55,79
70410,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,69,38,63,75,153,99,55,79
82409,-1802,15896,-994,3390,1525,3072,-1791,4,15,-23,69,38,63,75,153,99,55,79
90582,-1802,15896,-994,3390,1525,3072,-1791,4,15,-23,80,38,71,82,176,107,54,70
91406,-1802,15896,-994,3390,1525,3072,-1791,4,15,-23,80,38,71,82,176,107,54,70
104946,-1802,15896,-990,3393,1524,3076,-1796,13,15,-21,80,38,71,82,176,107,54,70
113078,-1802,15896,-990,3393,1524,3076,-1796,13,15,-21,82,43,76,83,174,108,58,75
113899,-1802,15896,-990,3393,1524,3076,-1796,13,15,-21,82,43,76,83,174,108,58,75
128783,-1803,15895,-987,3396,1530,3078,-1806,20,20,-11,82,43,76,83,174,108,58,75
129575,-1803,15895,-987,3396,1530,3078,-1806,20,20,-11,87,48,74,83,170,86,53,75
130435,-1803,15895,-987,3396,1530,3078,-1806,20,20,-11,87,48,74,83,170,86,53,75
142446,-1807,15894,-986,3400,1529,3067,-1807,27,21,0,87,48,74,83,170,86,53,75
150585,-1807,15894,-986,3400,1529,3067,-1807,27,21,0,88,49,69,76,186,93,54,75
151353,-1807,15894,-986,3400,1529,3067,-1807,27,21,0,88,49,69,76,186,93,54,75
164929,-1815,15892,-987,3403,1536,3058,-1808,43,17,12,88,49,69,76,186,93,54,75
173032,-1815,15892,-987,3403,1536,3058,-1808,43,17,12,88,50,73,101,227,110,56,86
173844,-1815,15892,-987,3403,1536,3058,-1808,43,17,12,88,50,73,101,227,110,56,86
188769,-1825,15890,-989,3407,1547,3042,-1801,52,12,21,88,50,73,101,227,110,56,86
189544,-1825,15890,-989,3407,1547,3042,-1801,52,12,21,83,48,66,102,207,107,60,89
190391,-1825,15890,-989,3407,1547,3042,-1801,52,12,21,83,48,66,102,207,107,60,89
202420,-1841,15888,-992,3408,1546,3028,-1818,82,7,32,83,48,66,102,207,107,60,89
210607,-1841,15888,-992,3408,1546,3028,-1818,82,7,32,80,47,62,98,213,113,71,85
211388,-1841,15888,-992,3408,1546,3028,-1818,82,7,32,80,47,62,98,213,113,71,85
224926,-1861,15885,-999,3411,1544,2995,-1815,89,14,53,80,47,62,98,213,113,71,85
233098,-1861,15885,-999,3411,1544,2995,-1815,89,14,53,70,43,69,120,241,120,70,74
233873,-1861,15885,-999,3411,1544,2995,-1815,89,14,53,70,43,69,120,241,120,70,74
250265,-1890,15880,-1010,3413,1570,2947,-1852,118,10,85,70,43,69,120,241,120,70,74
251050,-1800,15898,-1015,3378,1513,3071,-1798,12,-8,-20,70,43,69,120,241,120,70,74
251848,-1802,15898,-1010,3379,1519,3057,-1809,14,2,-23,70,43,69,120,241,120,70,74
252746,-1803,15897,-1005,3381,1515,3059,-1811,14,14,-28,70,43,69,120,241,120,70,74
257596,-1805,15897,-1001,3383,1519,3077,-1804,25,12,-21,70,43,69,120,241,120,70,74
258448,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,70,43,69,120,241,120,70,74
259219,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,69,38,63,75,153,99,55,79
260056,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,69,38,63,75,153,99,55,79
265218,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
265978,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
266807,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
267593,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
272553,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
273370,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
274224,-1803,15897,-997,3386,1530,3082,-1811,5,12,-19,80,38,71,82,176,107,54,70
