Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,8274,3762,-12429,-5599,1683,6299,427,-80,-6,11,0,0,0,0,0,0,0,0
7439,8240,3769,-12451,-5596,1685,6286,436,-83,-4,14,0,0,0,0,0,0,0,0
29966,8209,3773,-12471,-5594,1678,6281,444,-87,-6,20,0,0,0,0,0,0,0,0
44979,8177,3775,-12493,-5591,1682,6280,438,-87,-14,31,0,0,0,0,0,0,0,0
68766,8147,3776,-12513,-5587,1690,6281,447,-81,-14,32,0,0,0,0,0,0,0,0
69551,8147,3776,-12513,-5587,1690,6281,447,-81,-14,32,102,54,34,42,38,32,31,31
70369,8147,3776,-12513,-5587,1690,6281,447,-81,-14,32,102,54,34,42,38,32,31,31
91295,8122,3776,-12530,-5586,1691,6289,464,-97,-1,34,102,54,34,42,38,32,31,31
92082,8122,3776,-12530,-5586,1691,6289,464,-97,-1,34,99,51,32,43,40,32,28,32
92925,8122,3776,-12530,-5586,1691,6289,464,-97,-1,34,99,51,32,43,40,32,28,32
104966,8096,3777,-12547,-5585,1681,6283,448,-94,1,35,99,51,32,43,40,32,28,32
113068,8096,3777,-12547,-5585,1681,6283,448,-94,1,35,98,46,37,43,46,30,31,33
113862,8096,3777,-12547,-5585,1681,6283,448,-94,1,35,98,46,37,43,46,30,31,33
129326,8069,3775,-12564,-5587,1669,6282,450,-112,-16,30,98,46,37,43,46,30,31,33
130183,8069,3775,-12564,-5587,1669,6282,450,-112,-16,30,101,45,38,37,50,35,30,41
130855,8069,3775,-12564,-5587,1669,6282,450,-112,-16,30,101,45,38,37,50,35,30,41
151288,8045,3770,-12579,-5593,1692,6274,486,-129,-29,29,101,45,38,37,50,35,30,41
152075,8045,3770,-12579,-5593,1692,6274,486,-129,-29,29,103,45,36,33,53,35,34,55
152886,8045,3770,-12579,-5593,1692,6274,486,-129,-29,29,103,45,36,33,53,35,34,55
164952,8025,3762,-12589,-5604,1715,6280,521,-151,-22,21,103,45,36,33,53,35,34,55
173065,8025,3762,-12589,-5604,1715,6280,521,-151,-22,21,104,31,37,32,57,34,34,65
173838,8025,3762,-12589,-5604,1715,6280,521,-151,-22,21,104,31,37,32,57,34,34,65
188807,8012,3748,-12595,-5619,1724,6283,565,-186,-15,31,104,31,37,32,57,34,34,65
189556,8012,3748,-12595,-5619,1724,6283,565,-186,-15,31,107,31,37,33,56,33,38,73
190360,8012,3748,-12595,-5619,1724,6283,565,-186,-15,31,107,31,37,33,56,33,38,73
