Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-8129,2446,13991,776,3900,3621,-604,-124,25,46,0,0,0,0,0,0,0,0
818,-8128,2467,13988,782,3898,3612,-613,-114,19,43,0,0,0,0,0,0,0,0
14306,-8126,2486,13985,787,3898,3600,-606,-101,13,38,0,0,0,0,0,0,0,0
36847,-8124,2502,13984,789,3886,3600,-608,-79,4,25,0,0,0,0,0,0,0,0
59423,-8121,2514,13983,789,3905,3598,-614,-60,-2,14,0,0,0,0,0,0,0,0
67450,-8121,2514,13983,789,3905,3598,-614,-60,-2,14,49,95,31,45,81,31,29,63
68267,-8121,2514,13983,789,3905,3598,-614,-60,-2,14,49,95,31,45,81,31,29,63
75118,-8116,2522,13985,784,3864,3593,-632,-27,-5,11,49,95,31,45,81,31,29,63
82417,-8116,2522,13985,784,3864,3593,-632,-27,-5,11,41,68,33,49,119,39,33,47
83261,-8116,2522,13985,784,3864,3593,-632,-27,-5,11,41,68,33,49,119,39,33,47
96873,-8110,2528,13988,777,3872,3624,-647,-3,-10,16,41,68,33,49,119,39,33,47
105166,-8110,2528,13988,777,3872,3624,-647,-3,-10,16,38,63,32,51,114,123,111,67
105759,-8110,2528,13988,777,3872,3624,-647,-3,-10,16,38,63,32,51,114,123,111,67
119306,-8101,2547,13988,801,3924,3790,-599,-141,-34,77,38,63,32,51,114,123,111,67
127456,-8101,2547,13988,801,3924,3790,-599,-141,-34,77,41,48,34,57,140,197,221,98
128268,-8101,2547,13988,801,3924,3790,-599,-141,-34,77,41,48,34,57,140,197,221,98
136288,-8071,2630,13983,919,3947,4043,-464,-733,-131,225,41,48,34,57,140,197,221,98
142616,-8071,2630,13983,919,3947,4043,-464,-733,-131,225,44,42,46,94,193,216,265,114
143202,-8071,2630,13983,919,3947,4043,-464,-733,-131,225,44,42,46,94,193,216,265,114
156855,-8009,2791,13976,1082,3929,4136,-468,-1176,-269,493,44,42,46,94,193,216,265,114
164941,-8009,2791,13976,1082,3929,4136,-468,-1176,-269,493,49,44,49,100,219,249,287,126
165746,-8009,2791,13976,1082,3929,4136,-468,-1176,-269,493,49,44,49,100,219,249,287,126
179274,-7900,3030,13979,1193,3874,3856,-673,-1258,-524,842,49,44,49,100,219,249,287,126
187489,-7900,3030,13979,1193,3874,3856,-673,-1258,-524,842,55,46,55,117,259,291,456,176
188266,-7900,3030,13979,1193,3874,3856,-673,-1258,-524,842,55,46,55,117,259,291,456,176
194415,-7738,3372,13988,1235,3855,3528,-935,-1334,-829,1364,55,46,55,117,259,291,456,176
201824,-7738,3372,13988,1235,3855,3528,-935,-1334,-829,1364,65,53,58,137,286,320,550,227
209241,-7738,3372,13988,1235,3855,3528,-935,-1334,-829,1364,65,53,58,137,286,320,550,227
216943,-7521,3831,13988,1234,3727,3189,-1350,-1487,-1184,2056,65,53,58,137,286,320,550,227
246893,-7521,3831,13988,1234,3727,3189,-1350,-1487,-1184,2056,67,56,59,148,294,344,572,234
246900,-7521,3831,13988,1234,3727,3189,-1350,-1487,-1184,2056,67,56,59,148,294,344,572,234
246903,-7238,4418,13967,1197,3464,2823,-1679,-1756,-1515,2733,67,56,59,148,294,344,572,234
247731,-7238,4418,13967,1197,3464,2823,-1679,-1756,-1515,2733,71,67,54,143,348,468,581,247
248334,-7238,4418,13967,1197,3464,2823,-1679,-1756,-1515,2733,71,67,54,143,348,468,581,247
259199,-6890,5116,13910,1133,3115,2431,-1773,-2043,-1820,3331,71,67,54,143,348,468,581,247
270792,-6890,5116,13910,1133,3115,2431,-1773,-2043,-1820,3331,71,66,66,147,365,471,605,251
270802,-6890,5116,13910,1133,3115,2431,-1773,-2043,-1820,3331,71,66,66,147,365,471,605,251
276985,-6504,5869,13809,989,2868,2286,-1797,-1872,-2076,3850,71,66,66,147,365,471,605,251
287297,-6504,5869,13809,989,2868,2286,-1797,-1872,-2076,3850,70,68,72,185,474,496,524,226
287324,-6504,5869,13809,989,2868,2286,-1797,-1872,-2076,3850,70,68,72,185,474,496,524,226
299488,-6092,6654,13654,774,2593,2041,-1697,-1698,-2249,4260,70,68,72,185,474,496,524,226
307812,-6092,6654,13654,774,2593,2041,-1697,-1698,-2249,4260,63,65,75,195,515,483,444,175
