Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2001,11771,7044,8731,2492,5916,209,-686,1313,-1863,0,0,0,0,0,0,0,0
7529,2166,11487,7247,8902,2478,6021,339,-685,1265,-1924,0,0,0,0,0,0,0,0
22498,2314,11190,7441,9081,2502,6122,533,-668,1368,-1873,0,0,0,0,0,0,0,0
44976,2471,10887,7595,9278,2341,6185,497,-888,1416,-1736,0,0,0,0,0,0,0,0
68766,2637,10597,7715,9468,2119,6087,379,-1033,1320,-1616,0,0,0,0,0,0,0,0
69584,2637,10597,7715,9468,2119,6087,379,-1033,1320,-1616,115,111,89,61,90,229,419,123
70384,2637,10597,7715,9468,2119,6087,379,-1033,1320,-1616,115,111,89,61,90,229,419,123
82456,2823,10305,7812,9655,1974,5984,493,-1177,1250,-1603,115,111,89,61,90,229,419,123
90618,2823,10305,7812,9655,1974,5984,493,-1177,1250,-1603,212,156,119,94,142,284,489,128
91493,2823,10305,7812,9655,1974,5984,493,-1177,1250,-1603,212,156,119,94,142,284,489,128
104943,2954,10028,7908,9827,1792,5860,729,-1084,1349,-1563,212,156,119,94,142,284,489,128
113078,2954,10028,7908,9827,1792,5860,729,-1084,1349,-1563,310,201,144,123,245,295,535,159
113896,2954,10028,7908,9827,1792,5860,729,-1084,1349,-1563,310,201,144,123,245,295,535,159
128805,3026,9786,7992,9981,1508,5686,734,-882,1367,-1193,310,201,144,123,245,295,535,159
129599,3026,9786,7992,9981,1508,5686,734,-882,1367,-1193,355,254,169,146,274,333,529,180
130483,3026,9786,7992,9981,1508,5686,734,-882,1367,-1193,355,254,169,146,274,333,529,180
142500,3077,9591,8046,10110,1342,5894,555,-888,1231,-800,355,254,169,146,274,333,529,180
150546,3077,9591,8046,10110,1342,5894,555,-888,1231,-800,474,365,209,174,310,343,583,208
151401,3077,9591,8046,10110,1342,5894,555,-888,1231,-800,474,365,209,174,310,343,583,208
164948,3182,9457,8133,10134,1288,5836,104,-825,697,-1060,474,365,209,174,310,343,583,208
173078,3182,9457,8133,10134,1288,5836,104,-825,697,-1060,618,469,237,188,332,329,542,244
173870,3182,9457,8133,10134,1288,5836,104,-825,697,-1060,618,469,237,188,332,329,542,244
188775,3323,9326,8183,10170,1096,5593,668,-878,429,-1044,618,469,237,188,332,329,542,244
189570,3323,9326,8183,10170,1096,5593,668,-878,429,-1044,617,476,233,192,338,329,533,255
190415,3323,9326,8183,10170,1096,5593,668,-878,429,-1044,617,476,233,192,338,329,533,255
202472,3396,9233,8194,10222,939,5641,835,-731,466,-489,617,476,233,192,338,329,533,255
210546,3396,9233,8194,10222,939,5641,835,-731,466,-489,622,477,224,181,293,324,512,246
211372,3396,9233,8194,10222,939,5641,835,-731,466,-489,622,477,224,181,293,324,512,246
224950,3415,9186,8224,10234,843,5601,651,-423,407,-242,622,477,224,181,293,324,512,246
233073,3415,9186,8224,10234,843,5601,651,-423,407,-242,626,471,205,172,270,289,519,233
233887,3415,9186,8224,10234,843,5601,651,-423,407,-242,626,471,205,172,270,289,519,233
248825,3445,9147,8281,10213,635,5676,790,-188,247,-278,626,471,205,172,270,289,519,233
249632,3445,9147,8281,10213,635,5676,790,-188,247,-278,575,408,168,149,244,300,510,213
250501,3445,9147,8281,10213,635,5676,790,-188,247,-278,575,408,168,149,244,300,510,213
262499,3473,9128,8336,10175,634,5835,742,-124,134,-190,575,408,168,149,244,300,510,213
270571,3473,9128,8336,10175,634,5835,742,-124,134,-190,501,344,137,143,225,290,480,175
271400,3473,9128,8336,10175,634,5835,742,-124,134,-190,501,344,137,143,225,290,480,175
284950,3499,9117,8362,10155,783,5860,765,-252,116,-120,501,344,137,143,225,290,480,175
293083,3499,9117,8362,10155,783,5860,765,-252,116,-120,489,320,121,129,192,299,443,161
293891,3499,9117,8362,10155,783,5860,765,-252,116,-120,489,320,121,129,192,299,443,161
308783,3533,9112,8367,10144,927,5910,769,-368,61,-114,489,320,121,129,192,299,443,161
309592,3533,9112,8367,10144,927,5910,769,-368,61,-114,429,290,115,126,159,300,453,147
310493,3533,9112,8367,10144,927,5910,769,-368,61,-114,429,290,115,126,159,300,453,147
322474,3574,9113,8361,10133,1011,5820,779,-419,-6,-154,429,290,115,126,159,300,453,147
330550,3574,9113,8361,10133,1011,5820,779,-419,-6,-154,403,273,120,116,161,314,453,175
331370,3574,9113,8361,10133,1011,5820,779,-419,-6,-154,403,273,120,116,161,314,453,175
344933,3603,9111,8351,10132,1047,5791,872,-388,42,-128,403,273,120,116,161,314,453,175
353070,3603,9111,8351,10132,1047,5791,872,-388,42,-128,400,279,121,112,136,292,367,166
353921,3603,9111,8351,10132,1047,5791,872,-388,42,-128,400,279,121,112,136,292,367,166
