Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,7196,-467,-13326,6232,4001,4808,-514,22,-2,-5,0,0,0,0,0,0,0,0
7502,7196,-467,-13326,6232,3989,4789,-518,12,-3,-2,0,0,0,0,0,0,0,0
22491,7196,-467,-13326,6232,4007,4793,-514,11,-6,-2,0,0,0,0,0,0,0,0
44967,7196,-467,-13326,6232,4018,4795,-493,12,-1,2,0,0,0,0,0,0,0,0
68803,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,0,0,0,0,0,0,0,0
69632,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,32,25,24,27,26,32,120,25
70421,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,32,25,24,27,26,32,120,25
82496,7196,-467,-13326,6232,4003,4797,-505,0,2,-5,32,25,24,27,26,32,120,25
90614,7196,-467,-13326,6232,4003,4797,-505,0,2,-5,28,26,22,27,29,32,116,27
91469,7196,-467,-13326,6232,4003,4797,-505,0,2,-5,28,26,22,27,29,32,116,27
104923,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,26,22,27,29,32,116,27
113147,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
113910,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
130193,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,28,27,26,27,28,37,131,27
131040,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,28,27,26,27,28,37,131,27
131843,7196,-467,-13326,6232,4001,4808,-514,22,-2,-5,28,27,26,27,28,37,131,27
132658,7196,-467,-13326,6232,3989,4789,-518,12,-3,-2,28,27,26,27,28,37,131,27
137619,7196,-467,-13326,6232,4007,4793,-514,11,-6,-2,28,27,26,27,28,37,131,27
138448,7196,-467,-13326,6232,4018,4795,-493,12,-1,2,28,27,26,27,28,37,131,27
139266,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,27,26,27,28,37,131,27
140089,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,32,25,24,27,26,32,120,25
145172,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
146018,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
146791,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
147656,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
152568,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
153371,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
154191,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
155024,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
160137,7196,-467,-13326,6232,4021,4809,-506,11,1,-1,28,26,22,27,29,32,116,27
161056,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,26,22,27,29,32,116,27
161886,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
162682,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
167687,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
168562,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
169369,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
170167,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
175134,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
175943,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
176714,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
177594,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
182615,7196,-467,-13326,6232,3994,4800,-524,8,1,-9,28,27,26,27,28,37,131,27
183596,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,28,27,26,27,28,37,131,27
184392,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
185193,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
190189,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
191016,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
191814,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
192606,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
197563,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
198433,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
199237,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
200026,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
205077,7197,-464,-13325,6234,4002,4796,-521,17,0,-11,23,24,24,27,28,37,133,30
206025,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,23,24,24,27,28,37,133,30
206867,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
207637,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
212685,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
213468,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
214330,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
215115,7198,-461,-13323,6237,4017,4802,-531,27,2,-7,24,23,25,25,26,37,131,29
