Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,14601,3217,4161,5250,1969,5720,-1736,12,-14,-16,0,0,0,0,0,0,0,0
757,14603,3218,4160,5246,1971,5703,-1725,7,-13,-25,0,0,0,0,0,0,0,0
1571,14603,3220,4160,5242,1964,5696,-1711,16,-12,-17,0,0,0,0,0,0,0,0
21027,14604,3224,4158,5238,1975,5714,-1743,22,-18,-12,0,0,0,0,0,0,0,0
43557,14605,3227,4158,5235,1974,5705,-1722,19,-13,-16,0,0,0,0,0,0,0,0
58555,14605,3227,4158,5235,1985,5714,-1728,14,-4,-12,0,0,0,0,0,0,0,0
66661,14605,3227,4158,5235,1985,5714,-1728,14,-4,-12,63,49,54,51,38,38,41,33
67429,14605,3227,4158,5235,1985,5714,-1728,14,-4,-12,63,49,54,51,38,38,41,33
82333,14605,3229,4160,5232,1976,5716,-1727,12,1,-17,63,49,54,51,38,38,41,33
83132,14605,3229,4160,5232,1976,5716,-1727,12,1,-17,90,51,56,50,39,35,49,33
83968,14605,3229,4160,5232,1976,5716,-1727,12,1,-17,90,51,56,50,39,35,49,33
104878,14605,3229,4160,5232,1965,5710,-1712,12,4,-15,90,51,56,50,39,35,49,33
105676,14605,3229,4160,5232,1965,5710,-1712,12,4,-15,92,53,51,48,38,39,49,32
106463,14605,3229,4160,5232,1965,5710,-1712,12,4,-15,92,53,51,48,38,39,49,32
118550,14605,3229,4160,5232,1974,5704,-1721,13,4,-3,92,53,51,48,38,39,49,32
126654,14605,3229,4160,5232,1974,5704,-1721,13,4,-3,91,50,47,47,36,41,50,34
127455,14605,3229,4160,5232,1974,5704,-1721,13,4,-3,91,50,47,47,36,41,50,34
142365,14605,3231,4161,5229,1969,5702,-1719,17,2,-10,91,50,47,47,36,41,50,34
143156,14605,3231,4161,5229,1969,5702,-1719,17,2,-10,94,49,45,45,35,41,51,36
