Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,1880,10842,9133,7994,1732,6293,285,-1,-4,-11,0,0,0,0,0,0,0,0
809,1880,10840,9131,7999,1724,6302,282,3,-6,-12,0,0,0,0,0,0,0,0
21848,1881,10839,9130,8002,1728,6288,262,-9,-3,-15,0,0,0,0,0,0,0,0
44282,1881,10837,9128,8006,1726,6289,264,-11,-1,-15,0,0,0,0,0,0,0,0
59309,1882,10836,9127,8010,1724,6289,285,1,-5,-10,0,0,0,0,0,0,0,0
67475,1882,10836,9127,8010,1724,6289,285,1,-5,-10,57,55,43,78,63,77,73,71
68255,1882,10836,9127,8010,1724,6289,285,1,-5,-10,57,55,43,78,63,77,73,71
81812,1884,10830,9123,8022,1719,6292,281,19,-13,-9,57,55,43,78,63,77,73,71
89946,1884,10830,9123,8022,1719,6292,281,19,-13,-9,58,56,42,81,67,75,74,72
90755,1884,10830,9123,8022,1719,6292,281,19,-13,-9,58,56,42,81,67,75,74,72
105651,1885,10828,9121,8026,1734,6301,282,6,-9,-9,58,56,42,81,67,75,74,72
106446,1885,10828,9121,8026,1734,6301,282,6,-9,-9,55,54,43,84,70,69,74,68
107260,1885,10828,9121,8026,1734,6301,282,6,-9,-9,55,54,43,84,70,69,74,68
119325,1885,10827,9119,8029,1733,6299,273,-6,0,-4,55,54,43,84,70,69,74,68
127417,1885,10827,9119,8029,1733,6299,273,-6,0,-4,50,50,43,67,69,79,73,75
128235,1885,10827,9119,8029,1733,6299,273,-6,0,-4,50,50,43,67,69,79,73,75
141807,1886,10825,9118,8033,1731,6306,283,-14,6,-7,50,50,43,67,69,79,73,75
149935,1886,10825,9118,8033,1731,6306,283,-14,6,-7,52,50,42,66,69,86,80,78
150731,1886,10825,9118,8033,1731,6306,283,-14,6,-7,52,50,42,66,69,86,80,78
165635,1887,10823,9116,8037,1725,6292,284,1,2,-9,52,50,42,66,69,86,80,78
166436,1887,10823,9116,8037,1725,6292,284,1,2,-9,39,44,41,69,75,83,79,97
167264,1887,10823,9116,8037,1725,6292,284,1,2,-9,39,44,41,69,75,83,79,97
179318,1887,10822,9115,8041,1727,6301,267,0,-1,-8,39,44,41,69,75,83,79,97
187457,1887,10822,9115,8041,1727,6301,267,0,-1,-8,40,48,45,65,69,80,79,98
188282,1887,10822,9115,8041,1727,6301,267,0,-1,-8,40,48,45,65,69,80,79,98
201825,1888,10820,9114,8044,1724,6304,275,-11,0,-6,40,48,45,65,69,80,79,98
209946,1888,10820,9114,8044,1724,6304,275,-11,0,-6,39,46,45,59,79,85,78,101
210755,1888,10820,9114,8044,1724,6304,275,-11,0,-6,39,46,45,59,79,85,78,101
