Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,4186,15677,2198,540,189,5226,-590,82,20,36,0,0,0,0,0,0,0,0
23204,4172,15681,2188,562,182,5244,-612,28,22,39,0,0,0,0,0,0,0,0
23993,4163,15684,2180,581,177,5251,-627,0,9,22,0,0,0,0,0,0,0,0
44944,4161,15685,2179,585,185,5259,-618,15,-6,4,0,0,0,0,0,0,0,0
59918,4149,15688,2177,595,188,5242,-631,17,-28,-17,0,0,0,0,0,0,0,0
68096,4149,15688,2177,595,188,5242,-631,17,-28,-17,47,51,68,32,32,37,41,48
68922,4149,15688,2177,595,188,5242,-631,17,-28,-17,47,51,68,32,32,37,41,48
82468,4139,15690,2175,602,196,5225,-626,6,-49,-28,47,51,68,32,32,37,41,48
90600,4139,15690,2175,602,196,5225,-626,6,-49,-28,47,52,65,32,36,39,45,46
91392,4139,15690,2175,602,196,5225,-626,6,-49,-28,47,52,65,32,36,39,45,46
104991,4129,15693,2173,604,176,5235,-642,9,-64,-32,47,52,65,32,36,39,45,46
113074,4129,15693,2173,604,176,5235,-642,9,-64,-32,46,55,81,35,32,44,47,48
113890,4129,15693,2173,604,176,5235,-642,9,-64,-32,46,55,81,35,32,44,47,48
120049,4115,15697,2169,604,170,5214,-615,37,-76,-13,46,55,81,35,32,44,47,48
128078,4115,15697,2169,604,170,5214,-615,37,-76,-13,43,61,91,55,36,43,50,48
128941,4115,15697,2169,604,170,5214,-615,37,-76,-13,43,61,91,55,36,43,50,48
142477,4096,15704,2157,604,162,5202,-586,68,-76,32,43,61,91,55,36,43,50,48
150596,4096,15704,2157,604,162,5202,-586,68,-76,32,47,64,92,61,35,48,57,48
151402,4096,15704,2157,604,162,5202,-586,68,-76,32,47,64,92,61,35,48,57,48
164975,4075,15712,2134,609,145,5208,-545,95,-57,100,47,64,92,61,35,48,57,48
