Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-9731,614,11307,6747,3937,3697,-628,35,-14,14,0,0,0,0,0,0,0,0
835,-9731,610,11310,6742,3923,3712,-633,38,-3,0,0,0,0,0,0,0,0,0
21784,-9731,604,11313,6736,3931,3701,-646,48,0,-3,0,0,0,0,0,0,0,0
44310,-9730,595,11320,6728,3902,3703,-647,77,-9,-10,0,0,0,0,0,0,0,0
59302,-9727,586,11326,6721,3906,3715,-645,69,-14,-22,0,0,0,0,0,0,0,0
67355,-9727,586,11326,6721,3906,3715,-645,69,-14,-22,38,55,53,109,189,36,24,31
68225,-9727,586,11326,6721,3906,3715,-645,69,-14,-22,38,55,53,109,189,36,24,31
81831,-9724,580,11332,6717,3917,3694,-648,50,-21,-18,38,55,53,109,189,36,24,31
89894,-9724,580,11332,6717,3917,3694,-648,50,-21,-18,39,53,50,111,195,41,28,31
90721,-9724,580,11332,6717,3917,3694,-648,50,-21,-18,39,53,50,111,195,41,28,31
104297,-9723,573,11335,6715,3918,3655,-651,34,5,-23,39,53,50,111,195,41,28,31
112459,-9723,573,11335,6715,3918,3655,-651,34,5,-23,70,61,48,116,222,48,34,49
113275,-9723,573,11335,6715,3918,3655,-651,34,5,-23,70,61,48,116,222,48,34,49
119411,-9725,566,11334,6713,3894,3583,-659,31,25,-19,70,61,48,116,222,48,34,49
127383,-9725,566,11334,6713,3894,3583,-659,31,25,-19,98,77,60,133,253,60,47,80
128282,-9725,566,11334,6713,3894,3583,-659,31,25,-19,98,77,60,133,253,60,47,80
141763,-9728,554,11338,6705,3895,3561,-653,79,23,-14,98,77,60,133,253,60,47,80
149940,-9728,554,11338,6705,3895,3561,-653,79,23,-14,140,88,65,141,300,92,69,93
150757,-9728,554,11338,6705,3895,3561,-653,79,23,-14,140,88,65,141,300,92,69,93
164262,-9728,552,11348,6686,3879,3546,-610,105,-30,54,140,88,65,141,300,92,69,93
172459,-9728,552,11348,6686,3879,3546,-610,105,-30,54,188,99,86,155,324,118,81,106
173256,-9728,552,11348,6686,3879,3546,-610,105,-30,54,188,99,86,155,324,118,81,106
179411,-9727,563,11361,6665,3895,3575,-574,74,-75,107,188,99,86,155,324,118,81,106
187381,-9727,563,11361,6665,3895,3575,-574,74,-75,107,219,102,91,156,374,134,81,123
188296,-9727,563,11361,6665,3895,3575,-574,74,-75,107,219,102,91,156,374,134,81,123
201782,-9723,572,11385,6629,3850,3603,-558,161,-123,140,219,102,91,156,374,134,81,123
209959,-9723,572,11385,6629,3850,3603,-558,161,-123,140,235,104,97,155,518,155,85,132
210733,-9723,572,11385,6629,3850,3603,-558,161,-123,140,235,104,97,155,518,155,85,132
224260,-9716,591,11416,6585,3880,3544,-616,174,-186,193,235,104,97,155,518,155,85,132
232439,-9716,591,11416,6585,3880,3544,-616,174,-186,193,269,129,111,158,608,159,88,138
233256,-9716,591,11416,6585,3880,3544,-616,174,-186,193,269,129,111,158,608,159,88,138
239406,-9705,618,11451,6537,3878,3526,-668,174,-229,233,269,129,111,158,608,159,88,138
247438,-9705,618,11451,6537,3878,3526,-668,174,-229,233,261,127,115,172,630,145,74,133
248293,-9705,618,11451,6537,3878,3526,-668,174,-229,233,261,127,115,172,630,145,74,133
261753,-9695,668,11483,6491,3834,3515,-675,84,-268,323,261,127,115,172,630,145,74,133
269927,-9695,668,11483,6491,3834,3515,-675,84,-268,323,235,130,146,179,643,127,65,128
270732,-9695,668,11483,6491,3834,3515,-675,84,-268,323,235,130,146,179,643,127,65,128
284316,-9688,750,11513,6439,3742,3436,-586,-3,-323,467,235,130,146,179,643,127,65,128
292447,-9688,750,11513,6439,3742,3436,-586,-3,-323,467,227,166,201,320,653,121,75,122
293278,-9688,750,11513,6439,3742,3436,-586,-3,-323,467,227,166,201,320,653,121,75,122
299404,-9671,847,11553,6381,3596,3179,-727,-11,-427,525,227,166,201,320,653,121,75,122
307423,-9671,847,11553,6381,3596,3179,-727,-11,-427,525,212,210,230,337,558,95,72,110
308284,-9671,847,11553,6381,3596,3179,-727,-11,-427,525,212,210,230,337,558,95,72,110
321739,-9645,899,11627,6278,3672,3052,-806,392,-490,469,212,210,230,337,558,95,72,110
329946,-9645,899,11627,6278,3672,3052,-806,392,-490,469,190,248,256,400,567,92,110,106
330731,-9645,899,11627,6278,3672,3052,-806,392,-490,469,190,248,256,400,567,92,110,106
344277,-9616,904,11730,6128,3755,3336,-861,788,-512,422,190,248,256,400,567,92,110,106
352419,-9616,904,11730,6128,3755,3336,-861,788,-512,422,216,324,275,409,539,113,174,183
353279,-9616,904,11730,6128,3755,3336,-861,788,-512,422,216,324,275,409,539,113,174,183
359365,-9586,899,11840,5961,3744,3505,-803,904,-525,430,216,324,275,409,539,113,174,183
367405,-9586,899,11840,5961,3744,3505,-803,904,-525,430,314,373,290,423,530,219,399,234
368253,-9586,899,11840,5961,3744,3505,-803,904,-525,430,314,373,290,423,530,219,399,234
381786,-9553,934,11953,5782,3845,3716,-471,829,-627,627,314,373,290,423,530,219,399,234
389906,-9553,934,11953,5782,3845,3716,-471,829,-627,627,388,413,305,418,682,288,505,294
390735,-9553,934,11953,5782,3845,3716,-471,829,-627,627,388,413,305,418,682,288,505,294
404328,-9466,1220,12161,5426,4059,3952,-10,515,-1102,1137,388,413,305,418,682,288,505,294
412427,-9466,1220,12161,5426,4059,3952,-10,515,-1102,1137,464,422,293,424,729,345,719,405
413299,-9466,1220,12161,5426,4059,3952,-10,515,-1102,1137,464,422,293,424,729,345,719,405
419359,-9287,1569,12363,5183,4384,3800,83,98,-2036,1571,464,422,293,424,729,345,719,405
427435,-9287,1569,12363,5183,4384,3800,83,98,-2036,1571,579,461,276,373,686,552,876,565
428256,-9287,1569,12363,5183,4384,3800,83,98,-2036,1571,579,461,276,373,686,552,876,565
441805,-8954,1997,12643,4941,4458,3168,-328,-20,-3187,1834,579,461,276,373,686,552,876,565
449890,-8954,1997,12643,4941,4458,3168,-328,-20,-3187,1834,625,491,295,399,755,701,1038,730
450706,-8954,1997,12643,4941,4458,3168,-328,-20,-3187,1834,625,491,295,399,755,701,1038,730
464320,-8494,2465,13012,4572,4346,2698,-1116,472,-4162,2128,625,491,295,399,755,701,1038,730
472382,-8494,2465,13012,4572,4346,2698,-1116,472,-4162,2128,613,521,310,442,779,726,1062,807
473295,-8494,2465,13012,4572,4346,2698,-1116,472,-4162,2128,613,521,310,442,779,726,1062,807
479359,-7972,2992,13389,4082,3932,2615,-1952,800,-4655,2635,613,521,310,442,779,726,1062,807
487396,-7972,2992,13389,4082,3932,2615,-1952,800,-4655,2635,591,522,307,467,631,708,1053,799
488256,-7972,2992,13389,4082,3932,2615,-1952,800,-4655,2635,591,522,307,467,631,708,1053,799
501792,-7409,3612,13705,3558,3063,2397,-2340,573,-4845,3157,591,522,307,467,631,708,1053,799
509909,-7409,3612,13705,3558,3063,2397,-2340,573,-4845,3157,564,516,314,505,577,697,1097,764
510706,-7409,3612,13705,3558,3063,2397,-2340,573,-4845,3157,564,516,314,505,577,697,1097,764
524266,-6814,4311,13940,3015,2129,2163,-2287,323,-4909,3637,564,516,314,505,577,697,1097,764
532424,-6814,4311,13940,3015,2129,2163,-2287,323,-4909,3637,449,469,314,547,552,590,1035,709
533256,-6814,4311,13940,3015,2129,2163,-2287,323,-4909,3637,449,469,314,547,552,590,1035,709
539375,-6207,5035,14096,2419,1449,1964,-2027,420,-4890,3990,449,469,314,547,552,590,1035,709
547381,-6207,5035,14096,2419,1449,1964,-2027,420,-4890,3990,384,394,288,591,470,430,938,537
548297,-6207,5035,14096,2419,1449,1964,-2027,420,-4890,3990,384,394,288,591,470,430,938,537
561760,-5658,5730,14164,1723,1061,1830,-1845,993,-4569,4260,384,394,288,591,470,430,938,537
569893,-5658,5730,14164,1723,1061,1830,-1845,993,-4569,4260,368,311,244,593,492,354,854,401
570684,-5658,5730,14164,1723,1061,1830,-1845,993,-4569,4260,368,311,244,593,492,354,854,401
584260,-5151,6394,14148,913,1121,1942,-1754,1483,-4261,4374,368,311,244,593,492,354,854,401
592429,-5151,6394,14148,913,1121,1942,-1754,1483,-4261,4374,347,260,196,689,566,432,830,392
593253,-5151,6394,14148,913,1121,1942,-1754,1483,-4261,4374,347,260,196,689,566,432,830,392
599390,-4698,7013,14041,89,1269,1863,-1558,1735,-3932,4435,347,260,196,689,566,432,830,392
607390,-4698,7013,14041,89,1269,1863,-1558,1735,-3932,4435,381,314,185,745,585,419,599,372
608298,-4698,7013,14041,89,1269,1863,-1558,1735,-3932,4435,381,314,185,745,585,419,599,372
621759,-4305,7579,13853,-744,1228,2144,-1485,2071,-3574,4447,381,314,185,745,585,419,599,372
629927,-4305,7579,13853,-744,1228,2144,-1485,2071,-3574,4447,442,376,189,759,557,389,566,297
630730,-4305,7579,13853,-744,1228,2144,-1485,2071,-3574,4447,442,376,189,759,557,389,566,297
644259,-3958,8110,13587,-1541,1124,2262,-1315,2117,-3191,4458,442,376,189,759,557,389,566,297
652428,-3958,8110,13587,-1541,1124,2262,-1315,2117,-3191,4458,439,385,181,768,592,373,486,281
