Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-331,3757,15031,5315,548,5685,100,-77,61,246,0,0,0,0,0,0,0,0
23194,-352,3785,15006,5364,521,5656,98,-81,66,214,0,0,0,0,0,0,0,0
24001,-364,3811,14986,5401,478,5629,105,-34,29,191,0,0,0,0,0,0,0,0
45021,-368,3840,14971,5423,426,5553,80,-2,-11,199,0,0,0,0,0,0,0,0
59980,-367,3880,14953,5442,371,5553,107,8,-37,273,0,0,0,0,0,0,0,0
68072,-367,3880,14953,5442,371,5553,107,8,-37,273,132,292,206,93,37,48,30,47
68905,-367,3880,14953,5442,371,5553,107,8,-37,273,132,292,206,93,37,48,30,47
82482,-351,3950,14935,5444,330,5686,171,146,-180,429,132,292,206,93,37,48,30,47
90642,-351,3950,14935,5444,330,5686,171,146,-180,429,148,370,230,152,42,55,34,52
91436,-351,3950,14935,5444,330,5686,171,146,-180,429,148,370,230,152,42,55,34,52
104984,-357,4050,14917,5420,376,5739,130,320,-171,620,148,370,230,152,42,55,34,52
113137,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
113947,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
120104,-371,4184,14883,5409,331,6000,102,339,-143,883,136,370,260,187,49,60,38,54
128142,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
128954,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
142468,-393,4391,14818,5422,311,6373,152,341,-181,1372,146,380,288,193,47,63,40,61
150644,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
151437,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
167760,-454,4698,14719,5429,539,6455,135,-32,-240,1851,178,443,293,235,59,68,43,73
168577,-331,3757,15031,5315,548,5685,100,-77,61,246,178,443,293,235,59,68,43,73
169383,-352,3785,15006,5364,521,5656,98,-81,66,214,178,443,293,235,59,68,43,73
170232,-364,3811,14986,5401,478,5629,105,-34,29,191,178,443,293,235,59,68,43,73
175132,-368,3840,14971,5423,426,5553,80,-2,-11,199,178,443,293,235,59,68,43,73
175956,-367,3880,14953,5442,371,5553,107,8,-37,273,178,443,293,235,59,68,43,73
176753,-367,3880,14953,5442,371,5553,107,8,-37,273,132,292,206,93,37,48,30,47
177582,-367,3880,14953,5442,371,5553,107,8,-37,273,132,292,206,93,37,48,30,47
182754,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
183523,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
184329,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
185129,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
190106,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
190975,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
191754,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
192599,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
197629,-367,3880,14953,5442,371,5553,107,8,-37,273,148,370,230,152,42,55,34,52
198574,-357,4050,14917,5420,376,5739,130,320,-171,620,148,370,230,152,42,55,34,52
199379,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
200207,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
205204,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
206032,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
206830,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
207661,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
212580,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
213446,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
214230,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
215035,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
220117,-357,4050,14917,5420,376,5739,130,320,-171,620,136,370,260,187,49,60,38,54
221030,-371,4184,14883,5409,331,6000,102,339,-143,883,136,370,260,187,49,60,38,54
221895,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
222659,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
227672,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
228456,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
229280,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
230104,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
235105,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
235881,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
236758,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
237516,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
242638,-371,4184,14883,5409,331,6000,102,339,-143,883,146,380,288,193,47,63,40,61
243603,-393,4391,14818,5422,311,6373,152,341,-181,1372,146,380,288,193,47,63,40,61
244373,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
245241,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
250211,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
251049,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
251842,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
252698,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
257627,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
258444,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
259229,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
260082,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
265119,-393,4391,14818,5422,311,6373,152,341,-181,1372,178,443,293,235,59,68,43,73
266058,-454,4698,14719,5429,539,6455,135,-32,-240,1851,178,443,293,235,59,68,43,73
266880,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
267754,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
272782,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
273458,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
274371,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
275131,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
280113,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
280904,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
281795,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
282532,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
287645,-454,4698,14719,5429,539,6455,135,-32,-240,1851,170,465,274,265,64,61,44,70
288538,-506,5063,14585,5459,712,6342,338,-230,-377,2173,170,465,274,265,64,61,44,70
289368,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
290154,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
295195,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
295979,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
296845,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
297609,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
302651,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
303451,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
304254,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
305094,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
310171,-506,5063,14585,5459,712,6342,338,-230,-377,2173,160,408,265,245,65,58,42,72
311070,-554,5485,14440,5433,867,6306,391,13,-603,2470,160,408,265,245,65,58,42,72
311880,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
312796,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
316818,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
317660,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
318448,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
325085,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
325942,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
326755,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
327545,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
332649,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
333434,-554,5485,14440,5433,867,6306,391,13,-603,2470,163,418,234,234,61,52,39,78
334345,-615,5947,14274,5376,1092,6406,405,157,-691,2731,163,418,234,234,61,52,39,78
335222,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
340179,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
341006,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
341804,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
342630,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
347598,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
348401,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
349216,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
350004,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
355158,-615,5947,14274,5376,1092,6406,405,157,-691,2731,182,477,209,236,64,52,41,81
356082,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,182,477,209,236,64,52,41,81
356907,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
357762,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
362795,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
363554,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
364367,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
365156,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
370131,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
370932,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
371765,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
372559,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
377645,-671,6422,14073,5354,1270,6341,352,-95,-672,2845,200,503,205,221,58,49,45,92
378575,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,503,205,221,58,49,45,92
379402,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
380180,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
385171,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
386005,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
386870,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
387633,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
392606,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
393404,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
394233,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
395029,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
400118,-729,6891,13847,5353,1405,6329,322,-234,-611,2870,200,448,199,202,54,44,43,95
401031,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,200,448,199,202,54,44,43,95
401846,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
402633,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
407629,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
408459,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
409279,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
410079,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
415086,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
415892,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
416755,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
417455,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
422627,-797,7345,13603,5364,1551,6373,328,-290,-510,2861,235,475,223,204,60,52,52,110
423607,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,235,475,223,204,60,52,52,110
424387,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
425205,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
430214,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
431067,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
431838,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
432674,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
437605,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
438452,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
439251,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
440086,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
445105,-849,7785,13335,5408,1719,6377,304,-525,-481,2817,248,476,224,191,61,66,58,110
446083,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,248,476,224,191,61,66,58,110
446855,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
447795,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
452679,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
453531,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
454304,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
455158,-889,8208,13043,5489,1927,6313,322,-770,-417,2766,249,420,219,186,72,68,104,132
