Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-9752,9323,5993,7105,2852,3466,1327,358,98,200,0,0,0,0,0,0,0,0
7525,-9731,9321,6055,7084,2782,3644,1118,263,110,183,0,0,0,0,0,0,0,0
14966,-9642,9373,6102,7097,2821,3816,1105,-245,-9,158,0,0,0,0,0,0,0,0
29942,-9525,9472,6140,7090,2635,3790,1133,-482,-261,218,0,0,0,0,0,0,0,0
52510,-9393,9597,6204,7044,2357,3549,1073,-457,-577,100,0,0,0,0,0,0,0,0
68123,-9393,9597,6204,7044,2357,3549,1073,-457,-577,100,19,51,122,381,280,61,27,48
68913,-9393,9597,6204,7044,2357,3549,1073,-457,-577,100,19,51,122,381,280,61,27,48
75049,-9252,9705,6320,6978,2593,3397,1242,-301,-907,-105,19,51,122,381,280,61,27,48
91224,-9252,9705,6320,6978,2593,3397,1242,-301,-907,-105,20,56,129,403,306,68,30,31
92043,-9252,9705,6320,6978,2593,3397,1242,-301,-907,-105,20,56,129,403,306,68,30,31
92997,-9135,9773,6479,6891,2548,3285,1305,23,-1033,-290,20,56,129,403,306,68,30,31
113790,-9135,9773,6479,6891,2548,3285,1305,23,-1033,-290,24,61,137,461,319,78,30,32
114581,-9135,9773,6479,6891,2548,3285,1305,23,-1033,-290,24,61,137,461,319,78,30,32
115524,-9028,9808,6657,6813,2368,3187,1528,132,-1110,-527,24,61,137,461,319,78,30,32
128118,-9028,9808,6657,6813,2368,3187,1528,132,-1110,-527,26,62,143,583,418,100,34,35
128898,-9028,9808,6657,6813,2368,3187,1528,132,-1110,-527,26,62,143,583,418,100,34,35
135059,-8897,9836,6846,6755,2256,3335,1758,9,-1257,-661,26,62,143,583,418,100,34,35
151255,-8897,9836,6846,6755,2256,3335,1758,9,-1257,-661,28,64,147,615,448,137,37,37
152047,-8897,9836,6846,6755,2256,3335,1758,9,-1257,-661,28,64,147,615,448,137,37,37
152999,-8725,9905,7007,6715,2181,3107,1749,-377,-1326,-767,28,64,147,615,448,137,37,37
173818,-8725,9905,7007,6715,2181,3107,1749,-377,-1326,-767,27,44,91,510,371,128,34,39
174596,-8725,9905,7007,6715,2181,3107,1749,-377,-1326,-767,27,44,91,510,371,128,34,39
175526,-8562,9988,7084,6722,2455,2711,2072,-782,-1146,-754,27,44,91,510,371,128,34,39
188066,-8562,9988,7084,6722,2455,2711,2072,-782,-1146,-754,26,39,83,514,354,129,32,37
188899,-8562,9988,7084,6722,2455,2711,2072,-782,-1146,-754,26,39,83,514,354,129,32,37
195026,-8482,10040,7093,6736,2732,2400,2179,-624,-738,-557,26,39,83,514,354,129,32,37
211252,-8482,10040,7093,6736,2732,2400,2179,-624,-738,-557,27,38,73,482,370,125,33,36
212072,-8482,10040,7093,6736,2732,2400,2179,-624,-738,-557,27,38,73,482,370,125,33,36
212996,-8515,10017,7105,6715,2712,2411,2152,75,-401,-380,27,38,73,482,370,125,33,36
234219,-8515,10017,7105,6715,2712,2411,2152,75,-401,-380,29,38,64,358,266,110,33,33
235033,-8515,10017,7105,6715,2712,2411,2152,75,-401,-380,29,38,64,358,266,110,33,33
235945,-8591,9964,7121,6680,2774,2738,2093,393,-250,-142,29,38,64,358,266,110,33,33
248050,-8591,9964,7121,6680,2774,2738,2093,393,-250,-142,29,36,55,301,211,59,27,30
248898,-8591,9964,7121,6680,2774,2738,2093,393,-250,-142,29,36,55,301,211,59,27,30
255030,-8647,9939,7080,6688,2865,2844,2115,13,-54,35,29,36,55,301,211,59,27,30
271273,-8647,9939,7080,6688,2865,2844,2115,13,-54,35,33,46,99,377,214,66,31,27
272065,-8647,9939,7080,6688,2865,2844,2115,13,-54,35,33,46,99,377,214,66,31,27
273015,-8707,9944,6977,6712,2750,2764,2156,-250,127,225,33,46,99,377,214,66,31,27
293736,-8707,9944,6977,6712,2750,2764,2156,-250,127,225,37,74,169,392,213,65,46,27
294549,-8707,9944,6977,6712,2750,2764,2156,-250,127,225,37,74,169,392,213,65,46,27
295474,-8791,9943,6860,6724,2721,2693,2111,-135,238,331,37,74,169,392,213,65,46,27
308081,-8791,9943,6860,6724,2721,2693,2111,-135,238,331,128,106,356,470,175,162,128,81
308900,-8791,9943,6860,6724,2721,2693,2111,-135,238,331,128,106,356,470,175,162,128,81
315026,-8900,9926,6757,6710,2711,2613,1960,111,305,355,128,106,356,470,175,162,128,81
331268,-8900,9926,6757,6710,2711,2613,1960,111,305,355,186,195,547,503,150,245,196,151
332113,-8900,9926,6757,6710,2711,2613,1960,111,305,355,186,195,547,503,150,245,196,151
333021,-9026,9885,6670,6689,2822,2619,1843,326,412,351,186,195,547,503,150,245,196,151
353777,-9026,9885,6670,6689,2822,2619,1843,326,412,351,280,222,633,588,166,287,323,238
354554,-9026,9885,6670,6689,2822,2619,1843,326,412,351,280,222,633,588,166,287,323,238
