Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,7144,-9196,-6215,-9707,2167,2885,1291,-116,166,-103,0,0,0,0,0,0,0,0
7470,7170,-9262,-6166,-9656,2175,2900,1278,-69,119,-38,0,0,0,0,0,0,0,0
29965,7199,-9330,-6119,-9599,2182,2902,1292,-55,84,-5,0,0,0,0,0,0,0,0
44969,7227,-9397,-6077,-9539,2197,2879,1287,-32,59,-8,0,0,0,0,0,0,0,0
68848,7253,-9464,-6040,-9476,2200,2876,1281,-16,29,-16,0,0,0,0,0,0,0,0
69617,7253,-9464,-6040,-9476,2200,2876,1281,-16,29,-16,33,34,46,74,157,97,122,44
70457,7253,-9464,-6040,-9476,2200,2876,1281,-16,29,-16,33,34,46,74,157,97,122,44
82481,7277,-9533,-5986,-9422,2259,2819,1374,-102,29,-1,33,34,46,74,157,97,122,44
90599,7277,-9533,-5986,-9422,2259,2819,1374,-102,29,-1,41,44,68,82,167,128,123,54
91401,7277,-9533,-5986,-9422,2259,2819,1374,-102,29,-1,41,44,68,82,167,128,123,54
104980,7289,-9620,-5947,-9350,2292,2944,1289,-104,-105,81,41,44,68,82,167,128,123,54
113129,7289,-9620,-5947,-9350,2292,2944,1289,-104,-105,81,49,46,74,89,180,179,214,58
113941,7289,-9620,-5947,-9350,2292,2944,1289,-104,-105,81,49,46,74,89,180,179,214,58
128830,7286,-9748,-5912,-9240,2335,3043,1195,-167,-373,272,49,46,74,89,180,179,214,58
129669,7286,-9748,-5912,-9240,2335,3043,1195,-167,-373,272,62,52,83,94,174,238,428,99
130450,7286,-9748,-5912,-9240,2335,3043,1195,-167,-373,272,62,52,83,94,174,238,428,99
151316,7292,-9921,-5866,-9080,2567,2819,1098,-174,-609,470,62,52,83,94,174,238,428,99
152111,7292,-9921,-5866,-9080,2567,2819,1098,-174,-609,470,74,72,175,140,188,314,539,117
152902,7292,-9921,-5866,-9080,2567,2819,1098,-174,-609,470,74,72,175,140,188,314,539,117
165002,7240,-10153,-5786,-8916,2844,3039,962,-621,-803,713,74,72,175,140,188,314,539,117
173077,7240,-10153,-5786,-8916,2844,3039,962,-621,-803,713,96,83,186,146,186,407,675,157
173941,7240,-10153,-5786,-8916,2844,3039,962,-621,-803,713,96,83,186,146,186,407,675,157
188831,7224,-10393,-5699,-8704,3320,2648,782,-431,-869,861,96,83,186,146,186,407,675,157
189584,7224,-10393,-5699,-8704,3320,2648,782,-431,-869,861,107,89,181,148,179,486,785,194
190394,7224,-10393,-5699,-8704,3320,2648,782,-431,-869,861,107,89,181,148,179,486,785,194
211328,7116,-10610,-5629,-8577,3545,2708,796,-831,-789,359,107,89,181,148,179,486,785,194
212152,7116,-10610,-5629,-8577,3545,2708,796,-831,-789,359,138,94,182,152,178,542,868,255
212950,7116,-10610,-5629,-8577,3545,2708,796,-831,-789,359,138,94,182,152,178,542,868,255
224989,6949,-10777,-5633,-8502,3714,2605,762,-823,-793,-350,138,94,182,152,178,542,868,255
233067,6949,-10777,-5633,-8502,3714,2605,762,-823,-793,-350,155,103,182,154,187,555,857,254
233911,6949,-10777,-5633,-8502,3714,2605,762,-823,-793,-350,155,103,182,154,187,555,857,254
248826,6689,-10951,-5618,-8498,3671,2720,951,-1418,-847,-670,155,103,182,154,187,555,857,254
249632,6689,-10951,-5618,-8498,3671,2720,951,-1418,-847,-670,160,108,119,133,177,589,887,277
250425,6689,-10951,-5618,-8498,3671,2720,951,-1418,-847,-670,160,108,119,133,177,589,887,277
271371,6382,-11115,-5613,-8525,3711,2451,989,-1601,-937,-737,160,108,119,133,177,589,887,277
272147,6382,-11115,-5613,-8525,3711,2451,989,-1601,-937,-737,164,102,100,123,162,557,819,297
272978,6382,-11115,-5613,-8525,3711,2451,989,-1601,-937,-737,164,102,100,123,162,557,819,297
284964,6031,-11271,-5596,-8586,3728,2117,1162,-1879,-882,-962,164,102,100,123,162,557,819,297
293114,6031,-11271,-5596,-8586,3728,2117,1162,-1879,-882,-962,172,102,104,121,166,558,804,315
293926,6031,-11271,-5596,-8586,3728,2117,1162,-1879,-882,-962,172,102,104,121,166,558,804,315
308856,5679,-11418,-5531,-8675,3492,2017,1555,-2069,-706,-888,172,102,104,121,166,558,804,315
309630,5679,-11418,-5531,-8675,3492,2017,1555,-2069,-706,-888,148,100,101,119,150,497,702,370
310453,5679,-11418,-5531,-8675,3492,2017,1555,-2069,-706,-888,148,100,101,119,150,497,702,370
331283,5526,-11537,-5415,-8688,3265,1977,1476,-1413,-642,-667,148,100,101,119,150,497,702,370
332102,5526,-11537,-5415,-8688,3265,1977,1476,-1413,-642,-667,163,92,110,124,137,462,626,440
332902,5526,-11537,-5415,-8688,3265,1977,1476,-1413,-642,-667,163,92,110,124,137,462,626,440
344953,5452,-11624,-5320,-8679,3221,2129,1507,-934,-547,-450,163,92,110,124,137,462,626,440
353132,5452,-11624,-5320,-8679,3221,2129,1507,-934,-547,-450,156,78,95,112,135,379,507,442
353926,5452,-11624,-5320,-8679,3221,2129,1507,-934,-547,-450,156,78,95,112,135,379,507,442
368205,5444,-11672,-5215,-8682,3112,2237,1538,-638,-244,-240,156,78,95,112,135,379,507,442
369002,5444,-11672,-5215,-8682,3112,2237,1538,-638,-244,-240,154,78,98,121,152,441,543,474
375002,5444,-11672,-5215,-8682,3112,2237,1538,-638,-244,-240,154,78,98,121,152,441,543,474
391344,5472,-11704,-5067,-8709,2847,2419,1344,-597,188,67,154,78,98,121,152,441,543,474
392126,5472,-11704,-5067,-8709,2847,2419,1344,-597,188,67,179,154,99,121,145,378,463,494
392965,5472,-11704,-5067,-8709,2847,2419,1344,-597,188,67,179,154,99,121,145,378,463,494
404978,5549,-11715,-4858,-8764,2592,2485,1310,-559,630,409,179,154,99,121,145,378,463,494
413102,5549,-11715,-4858,-8764,2592,2485,1310,-559,630,409,190,169,101,113,138,384,481,559
413900,5549,-11715,-4858,-8764,2592,2485,1310,-559,630,409,190,169,101,113,138,384,481,559
427488,5671,-11721,-4539,-8850,2280,2309,1220,-746,1159,832,190,169,101,113,138,384,481,559
435600,5671,-11721,-4539,-8850,2280,2309,1220,-746,1159,832,175,169,86,102,132,423,545,560
436397,5671,-11721,-4539,-8850,2280,2309,1220,-746,1159,832,175,169,86,102,132,423,545,560
452760,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,175,169,86,102,132,423,545,560
453513,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
454326,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
455142,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
460050,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
460954,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
461675,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
462497,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
465604,5820,-11730,-4109,-8950,1693,2289,1125,-959,1590,1305,189,168,76,91,126,430,568,586
466556,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,189,168,76,91,126,430,568,586
475212,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
476003,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
476827,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
477627,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
481948,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
482864,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
483506,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
484385,6010,-11698,-3680,-9052,1256,2195,1081,-642,1683,1867,190,174,76,91,137,375,568,645
487529,6320,-11621,-3236,-9110,1159,2268,946,-41,1856,2351,190,174,76,91,137,375,568,645
495573,6320,-11621,-3236,-9110,1159,2268,946,-41,1856,2351,222,129,64,87,130,447,664,686
496397,6320,-11621,-3236,-9110,1159,2268,946,-41,1856,2351,222,129,64,87,130,447,664,686
511304,6675,-11457,-2832,-9198,532,2948,722,445,2246,2233,222,129,64,87,130,447,664,686
512103,6675,-11457,-2832,-9198,532,2948,722,445,2246,2233,225,191,94,91,131,462,670,618
512902,6675,-11457,-2832,-9198,532,2948,722,445,2246,2233,225,191,94,91,131,462,670,618
524954,6920,-11280,-2463,-9341,295,3482,332,141,2363,1665,225,191,94,91,131,462,670,618
533141,6920,-11280,-2463,-9341,295,3482,332,141,2363,1665,217,198,92,106,150,433,623,629
533925,6920,-11280,-2463,-9341,295,3482,332,141,2363,1665,217,198,92,106,150,433,623,629
547480,7078,-11142,-2078,-9480,495,3746,-347,-293,2272,1538,217,198,92,106,150,433,623,629
555611,7078,-11142,-2078,-9480,495,3746,-347,-293,2272,1538,220,208,100,128,192,432,620,681
556424,7078,-11142,-2078,-9480,495,3746,-347,-293,2272,1538,220,208,100,128,192,432,620,681
571320,7231,-11013,-1766,-9579,666,3654,-603,-44,1939,1352,220,208,100,128,192,432,620,681
572125,7231,-11013,-1766,-9579,666,3654,-603,-44,1939,1352,222,207,95,122,178,427,574,618
572947,7231,-11013,-1766,-9579,666,3654,-603,-44,1939,1352,222,207,95,122,178,427,574,618
584927,7353,-11016,-1652,-9503,1104,3315,-621,753,1209,988,222,207,95,122,178,427,574,618
593105,7353,-11016,-1652,-9503,1104,3315,-621,753,1209,988,190,203,96,142,181,335,475,605
593901,7353,-11016,-1652,-9503,1104,3315,-621,753,1209,988,190,203,96,142,181,335,475,605
607504,7453,-11054,-1709,-9370,1289,3098,-486,1160,374,393,190,203,96,142,181,335,475,605
615590,7453,-11054,-1709,-9370,1289,3098,-486,1160,374,393,195,161,67,218,197,311,488,626
616400,7453,-11054,-1709,-9370,1289,3098,-486,1160,374,393,195,161,67,218,197,311,488,626
631278,7482,-11149,-1809,-9213,1286,2920,-93,796,-246,20,195,161,67,218,197,311,488,626
632121,7482,-11149,-1809,-9213,1286,2920,-93,796,-246,20,192,161,65,210,184,302,488,615
632926,7482,-11149,-1809,-9213,1286,2920,-93,796,-246,20,192,161,65,210,184,302,488,615
644980,7445,-11296,-1888,-9047,1387,2699,140,279,-564,-135,192,161,65,210,184,302,488,615
653050,7445,-11296,-1888,-9047,1387,2699,140,279,-564,-135,176,146,51,214,149,307,542,583
653909,7445,-11296,-1888,-9047,1387,2699,140,279,-564,-135,176,146,51,214,149,307,542,583
667452,7362,-11468,-1908,-8893,1516,2556,325,-218,-584,-100,176,146,51,214,149,307,542,583
675602,7362,-11468,-1908,-8893,1516,2556,325,-218,-584,-100,163,139,54,241,170,269,551,556
676428,7362,-11468,-1908,-8893,1516,2556,325,-218,-584,-100,163,139,54,241,170,269,551,556
