Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-5618,13488,6773,3007,2188,2457,-929,-9,-19,5,0,0,0,0,0,0,0,0
795,-5620,13489,6772,3003,2203,2436,-923,11,-17,12,0,0,0,0,0,0,0,0
14261,-5623,13489,6772,2998,2182,2455,-924,32,-6,16,0,0,0,0,0,0,0,0
29273,-5623,13489,6772,2998,2174,2461,-924,4,-4,3,0,0,0,0,0,0,0,0
51793,-5623,13489,6772,2998,2185,2453,-923,11,4,14,0,0,0,0,0,0,0,0
67404,-5623,13489,6772,2998,2185,2453,-923,11,4,14,50,50,26,25,36,52,42,89
68188,-5623,13489,6772,2998,2185,2453,-923,11,4,14,50,50,26,25,36,52,42,89
74394,-5623,13492,6767,2996,2190,2429,-921,-14,4,24,50,50,26,25,36,52,42,89
98096,-5623,13492,6767,2996,2190,2429,-921,-14,4,24,56,52,27,28,36,47,40,82
98865,-5623,13492,6767,2996,2190,2429,-921,-14,4,24,56,52,27,28,36,47,40,82
99809,-5620,13495,6763,2996,2190,2437,-926,-23,-1,17,56,52,27,28,36,47,40,82
113256,-5620,13495,6763,2996,2190,2437,-926,-23,-1,17,62,53,31,28,41,46,44,96
113967,-5620,13495,6763,2996,2190,2437,-926,-23,-1,17,62,53,31,28,41,46,44,96
114864,-5621,13496,6761,2994,2206,2438,-944,11,-4,19,62,53,31,28,41,46,44,96
127428,-5621,13496,6761,2994,2206,2438,-944,11,-4,19,62,55,33,31,40,46,48,97
128191,-5621,13496,6761,2994,2206,2438,-944,11,-4,19,62,55,33,31,40,46,48,97
134339,-5623,13497,6757,2994,2203,2460,-918,9,7,30,62,55,33,31,40,46,48,97
150586,-5623,13497,6757,2994,2203,2460,-918,9,7,30,64,55,31,30,62,49,63,97
151412,-5623,13497,6757,2994,2203,2460,-918,9,7,30,64,55,31,30,62,49,63,97
152334,-5624,13497,6757,2994,2196,2442,-917,-1,12,11,64,55,31,30,62,49,63,97
173070,-5624,13497,6757,2994,2196,2442,-917,-1,12,11,62,39,30,30,69,46,67,96
173863,-5624,13497,6757,2994,2196,2442,-917,-1,12,11,62,39,30,30,69,46,67,96
174807,-5624,13497,6757,2994,2203,2404,-911,14,13,8,62,39,30,30,69,46,67,96
187385,-5624,13497,6757,2994,2203,2404,-911,14,13,8,58,39,31,30,116,57,70,92
188207,-5624,13497,6757,2994,2203,2404,-911,14,13,8,58,39,31,30,116,57,70,92
194417,-5630,13496,6757,2989,2186,2404,-915,23,-7,-3,58,39,31,30,116,57,70,92
210592,-5630,13496,6757,2989,2186,2404,-915,23,-7,-3,54,39,46,44,157,62,66,75
211412,-5630,13496,6757,2989,2186,2404,-915,23,-7,-3,54,39,46,44,157,62,66,75
212335,-5637,13491,6760,2988,2166,2423,-880,29,10,-27,54,39,46,44,157,62,66,75
233071,-5637,13491,6760,2988,2166,2423,-880,29,10,-27,53,39,49,47,178,69,67,73
233958,-5637,13491,6760,2988,2166,2423,-880,29,10,-27,53,39,49,47,178,69,67,73
234831,-5633,13489,6773,2978,2132,2466,-979,50,-33,-51,53,39,49,47,178,69,67,73
247975,-5633,13489,6773,2978,2132,2466,-979,50,-33,-51,51,40,50,47,175,70,58,71
248761,-5633,13489,6773,2978,2132,2466,-979,50,-33,-51,51,40,50,47,175,70,58,71
254319,-5608,13495,6790,2955,2063,2454,-972,-42,-145,-74,51,40,50,47,175,70,58,71
270565,-5608,13495,6790,2955,2063,2454,-972,-42,-145,-74,53,44,51,54,182,74,58,69
271381,-5608,13495,6790,2955,2063,2454,-972,-42,-145,-74,53,44,51,54,182,74,58,69
272313,-5573,13501,6830,2903,2009,2412,-906,-38,-359,-149,53,44,51,54,182,74,58,69
293101,-5573,13501,6830,2903,2009,2412,-906,-38,-359,-149,54,42,52,57,163,76,55,63
293968,-5573,13501,6830,2903,2009,2412,-906,-38,-359,-149,54,42,52,57,163,76,55,63
294840,-5534,13508,6886,2813,2011,2326,-973,23,-574,-179,54,42,52,57,163,76,55,63
307358,-5534,13508,6886,2813,2011,2326,-973,23,-574,-179,54,40,39,50,130,71,59,80
308187,-5534,13508,6886,2813,2011,2326,-973,23,-574,-179,54,40,39,50,130,71,59,80
314345,-5505,13507,6964,2677,1967,2337,-910,194,-825,-197,54,40,39,50,130,71,59,80
330629,-5505,13507,6964,2677,1967,2337,-910,194,-825,-197,59,40,34,48,122,62,53,92
331387,-5505,13507,6964,2677,1967,2337,-910,194,-825,-197,59,40,34,48,122,62,53,92
332333,-5468,13499,7079,2483,1877,2374,-820,340,-1200,-267,59,40,34,48,122,62,53,92
353071,-5468,13499,7079,2483,1877,2374,-820,340,-1200,-267,61,38,32,68,160,60,52,105
353878,-5468,13499,7079,2483,1877,2374,-820,340,-1200,-267,61,38,32,68,160,60,52,105
354787,-5383,13493,7230,2262,1908,2494,-744,224,-1594,-358,61,38,32,68,160,60,52,105
375569,-5383,13493,7230,2262,1908,2494,-744,224,-1594,-358,60,34,32,68,155,56,52,101
376385,-5383,13493,7230,2262,1908,2494,-744,224,-1594,-358,60,34,32,68,155,56,52,101
377309,-5220,13506,7396,2013,1955,2550,-783,-45,-1901,-391,60,34,32,68,155,56,52,101
390565,-5220,13506,7396,2013,1955,2550,-783,-45,-1901,-391,61,37,31,66,153,48,59,119
391383,-5220,13506,7396,2013,1955,2550,-783,-45,-1901,-391,61,37,31,66,153,48,59,119
392308,-5002,13525,7575,1755,1997,2484,-737,-295,-2137,-455,61,37,31,66,153,48,59,119
413072,-5002,13525,7575,1755,1997,2484,-737,-295,-2137,-455,56,35,28,65,156,50,61,114
413842,-5002,13525,7575,1755,1997,2484,-737,-295,-2137,-455,56,35,28,65,156,50,61,114
414793,-4763,13531,7777,1469,2041,2361,-791,-302,-2375,-555,56,35,28,65,156,50,61,114
427380,-4763,13531,7777,1469,2041,2361,-791,-302,-2375,-555,53,36,30,77,181,56,64,105
428187,-4763,13531,7777,1469,2041,2361,-791,-302,-2375,-555,53,36,30,77,181,56,64,105
434353,-4521,13522,7988,1156,2124,2376,-804,-218,-2536,-589,53,36,30,77,181,56,64,105
450593,-4521,13522,7988,1156,2124,2376,-804,-218,-2536,-589,55,43,33,63,161,67,65,91
451383,-4521,13522,7988,1156,2124,2376,-804,-218,-2536,-589,55,43,33,63,161,67,65,91
452342,-4292,13487,8212,807,2074,2354,-867,-25,-2691,-649,55,43,33,63,161,67,65,91
473035,-4292,13487,8212,807,2074,2354,-867,-25,-2691,-649,57,45,33,62,173,79,68,94
473861,-4292,13487,8212,807,2074,2354,-867,-25,-2691,-649,57,45,33,62,173,79,68,94
474783,-4071,13430,8444,426,2044,2356,-877,133,-2842,-699,57,45,33,62,173,79,68,94
487408,-4071,13430,8444,426,2044,2356,-877,133,-2842,-699,58,51,32,66,204,80,64,66
488192,-4071,13430,8444,426,2044,2356,-877,133,-2842,-699,58,51,32,66,204,80,64,66
494334,-3851,13348,8684,15,2025,2322,-873,250,-2999,-755,58,51,32,66,204,80,64,66
510583,-3851,13348,8684,15,2025,2322,-873,250,-2999,-755,61,53,33,65,209,80,61,57
511407,-3851,13348,8684,15,2025,2322,-873,250,-2999,-755,61,53,33,65,209,80,61,57
512333,-3633,13244,8925,-414,2051,2433,-951,363,-3100,-779,61,53,33,65,209,80,61,57
533076,-3633,13244,8925,-414,2051,2433,-951,363,-3100,-779,68,57,31,55,199,87,67,73
533862,-3633,13244,8925,-414,2051,2433,-951,363,-3100,-779,68,57,31,55,199,87,67,73
534808,-3430,13117,9159,-847,2111,2539,-982,481,-3093,-804,68,57,31,55,199,87,67,73
547383,-3430,13117,9159,-847,2111,2539,-982,481,-3093,-804,61,54,32,60,210,110,73,72
548207,-3430,13117,9159,-847,2111,2539,-982,481,-3093,-804,61,54,32,60,210,110,73,72
554371,-3222,12978,9382,-1257,2137,2573,-1029,420,-3016,-798,61,54,32,60,210,110,73,72
570573,-3222,12978,9382,-1257,2137,2573,-1029,420,-3016,-798,76,65,36,58,199,120,86,86
571376,-3222,12978,9382,-1257,2137,2573,-1029,420,-3016,-798,76,65,36,58,199,120,86,86
572293,-3003,12839,9587,-1624,2112,2518,-1036,225,-2854,-757,76,65,36,58,199,120,86,86
593098,-3003,12839,9587,-1624,2112,2518,-1036,225,-2854,-757,93,64,37,54,237,125,112,110
593960,-3003,12839,9587,-1624,2112,2518,-1036,225,-2854,-757,93,64,37,54,237,125,112,110
594811,-2788,12696,9780,-1947,2038,2514,-1043,121,-2646,-757,93,64,37,54,237,125,112,110
607380,-2788,12696,9780,-1947,2038,2514,-1043,121,-2646,-757,103,63,35,77,280,133,120,132
608164,-2788,12696,9780,-1947,2038,2514,-1043,121,-2646,-757,103,63,35,77,280,133,120,132
614379,-2606,12548,9956,-2246,2013,2445,-1048,189,-2425,-736,103,63,35,77,280,133,120,132
630577,-2606,12548,9956,-2246,2013,2445,-1048,189,-2425,-736,99,60,37,79,304,133,117,127
631366,-2606,12548,9956,-2246,2013,2445,-1048,189,-2425,-736,99,60,37,79,304,133,117,127
632285,-2451,12404,10111,-2511,1960,2394,-1060,195,-2175,-682,99,60,37,79,304,133,117,127
653132,-2451,12404,10111,-2511,1960,2394,-1060,195,-2175,-682,102,62,36,86,334,113,115,127
653997,-2451,12404,10111,-2511,1960,2394,-1060,195,-2175,-682,102,62,36,86,334,113,115,127
654845,-2320,12270,10249,-2729,1934,2375,-1033,146,-1869,-630,102,62,36,86,334,113,115,127
