Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3380,6048,-14828,763,2467,4298,-2396,-579,-531,490,0,0,0,0,0,0,0,0
785,3385,5937,-14875,691,2436,4174,-2410,-597,-469,511,0,0,0,0,0,0,0,0
14274,3404,5831,-14915,629,2437,4204,-2465,-563,-355,487,0,0,0,0,0,0,0,0
36817,3427,5708,-14960,557,2353,4329,-2530,-595,-296,592,0,0,0,0,0,0,0,0
59343,3448,5549,-15017,494,2227,4372,-2415,-570,-254,822,0,0,0,0,0,0,0,0
67426,3448,5549,-15017,494,2227,4372,-2415,-570,-254,822,80,83,104,120,102,204,157,103
68314,3448,5549,-15017,494,2227,4372,-2415,-570,-254,822,80,83,104,120,102,204,157,103
74420,3468,5352,-15085,472,2215,4386,-2432,-394,-171,1092,80,83,104,120,102,204,157,103
82368,3468,5352,-15085,472,2215,4386,-2432,-394,-171,1092,99,100,104,122,97,191,146,93
83187,3468,5352,-15085,472,2215,4386,-2432,-394,-171,1092,99,100,104,122,97,191,146,93
96768,3480,5115,-15163,489,2173,4366,-2470,-218,-106,1375,99,100,104,122,97,191,146,93
104929,3480,5115,-15163,489,2173,4366,-2470,-218,-106,1375,95,102,105,120,108,187,150,86
105739,3480,5115,-15163,489,2173,4366,-2470,-218,-106,1375,95,102,105,120,108,187,150,86
119275,3505,4859,-15240,546,2145,4334,-2414,-46,53,1524,95,102,105,120,108,187,150,86
127415,3505,4859,-15240,546,2145,4334,-2414,-46,53,1524,92,108,98,103,98,193,142,79
128208,3505,4859,-15240,546,2145,4334,-2414,-46,53,1524,92,108,98,103,98,193,142,79
134365,3554,4607,-15303,630,2253,4311,-2436,87,210,1519,92,108,98,103,98,193,142,79
142390,3554,4607,-15303,630,2253,4311,-2436,87,210,1519,92,105,90,100,102,167,132,87
143167,3554,4607,-15303,630,2253,4311,-2436,87,210,1519,92,105,90,100,102,167,132,87
156766,3612,4350,-15362,693,2235,4344,-2415,6,265,1533,92,105,90,100,102,167,132,87
164935,3612,4350,-15362,693,2235,4344,-2415,6,265,1533,94,115,92,92,106,160,114,86
165766,3612,4350,-15362,693,2235,4344,-2415,6,265,1533,94,115,92,92,106,160,114,86
179303,3637,4049,-15436,744,2045,4273,-2293,-140,176,1760,94,115,92,92,106,160,114,86
187443,3637,4049,-15436,744,2045,4273,-2293,-140,176,1760,72,94,105,100,108,165,113,74
188203,3637,4049,-15436,744,2045,4273,-2293,-140,176,1760,72,94,105,100,108,165,113,74
194398,3649,3720,-15511,834,2006,4115,-2205,41,170,1948,72,94,105,100,108,165,113,74
202415,3649,3720,-15511,834,2006,4115,-2205,41,170,1948,67,93,120,125,113,154,105,82
203258,3649,3720,-15511,834,2006,4115,-2205,41,170,1948,67,93,120,125,113,154,105,82
216743,3675,3414,-15568,959,2145,3966,-2372,235,300,1846,67,93,120,125,113,154,105,82
224947,3675,3414,-15568,959,2145,3966,-2372,235,300,1846,70,86,128,136,120,143,104,91
225739,3675,3414,-15568,959,2145,3966,-2372,235,300,1846,70,86,128,136,120,143,104,91
239251,3716,3139,-15609,1072,2060,4062,-2397,221,398,1653,70,86,128,136,120,143,104,91
247369,3716,3139,-15609,1072,2060,4062,-2397,221,398,1653,84,98,131,138,115,139,101,86
248192,3716,3139,-15609,1072,2060,4062,-2397,221,398,1653,84,98,131,138,115,139,101,86
254369,3733,2820,-15660,1143,1918,4161,-2316,-11,237,1864,84,98,131,138,115,139,101,86
262418,3733,2820,-15660,1143,1918,4161,-2316,-11,237,1864,89,88,154,160,106,123,97,90
263218,3733,2820,-15660,1143,1918,4161,-2316,-11,237,1864,89,88,154,160,106,123,97,90
276769,3730,2444,-15715,1259,1946,3847,-2083,146,175,2223,89,88,154,160,106,123,97,90
284901,3730,2444,-15715,1259,1946,3847,-2083,146,175,2223,93,86,148,162,105,119,97,91
285714,3730,2444,-15715,1259,1946,3847,-2083,146,175,2223,93,86,148,162,105,119,97,91
299344,3743,2104,-15744,1464,2224,3762,-2206,671,330,2124,93,86,148,162,105,119,97,91
307389,3743,2104,-15744,1464,2224,3762,-2206,671,330,2124,92,84,138,150,94,115,95,79
308221,3743,2104,-15744,1464,2224,3762,-2206,671,330,2124,92,84,138,150,94,115,95,79
314347,3783,1803,-15754,1638,2238,3970,-2503,598,482,1866,92,84,138,150,94,115,95,79
322391,3783,1803,-15754,1638,2238,3970,-2503,598,482,1866,92,90,154,164,89,103,87,70
323220,3783,1803,-15754,1638,2238,3970,-2503,598,482,1866,92,90,154,164,89,103,87,70
336766,3797,1482,-15775,1724,1892,3870,-2406,97,316,1881,92,90,154,164,89,103,87,70
344917,3797,1482,-15775,1724,1892,3870,-2406,97,316,1881,85,84,202,184,86,89,81,71
345689,3797,1482,-15775,1724,1892,3870,-2406,97,316,1881,85,84,202,184,86,89,81,71
359320,3781,1133,-15793,1856,1849,3529,-1970,298,177,2083,85,84,202,184,86,89,81,71
367367,3781,1133,-15793,1856,1849,3529,-1970,298,177,2083,76,82,218,188,111,99,86,65
368195,3781,1133,-15793,1856,1849,3529,-1970,298,177,2083,76,82,218,188,111,99,86,65
374433,3814,820,-15776,2085,2174,3668,-2083,900,470,2001,76,82,218,188,111,99,86,65
382403,3814,820,-15776,2085,2174,3668,-2083,900,470,2001,71,92,225,192,108,96,82,64
383236,3814,820,-15776,2085,2174,3668,-2083,900,470,2001,71,92,225,192,108,96,82,64
396787,3884,515,-15749,2250,2232,3955,-2587,636,689,1874,71,92,225,192,108,96,82,64
404857,3884,515,-15749,2250,2232,3955,-2587,636,689,1874,84,134,276,217,117,115,109,79
405692,3884,515,-15749,2250,2232,3955,-2587,636,689,1874,84,134,276,217,117,115,109,79
419345,3913,151,-15745,2283,1889,3877,-2453,-179,494,2040,84,134,276,217,117,115,109,79
427376,3913,151,-15745,2283,1889,3877,-2453,-179,494,2040,116,265,412,298,133,142,132,94
428176,3913,151,-15745,2283,1889,3877,-2453,-179,494,2040,116,265,412,298,133,142,132,94
434344,3902,-219,-15741,2320,1885,3356,-2065,-223,251,2079,116,265,412,298,133,142,132,94
442366,3902,-219,-15741,2320,1885,3356,-2065,-223,251,2079,123,271,411,309,145,147,136,101
443190,3902,-219,-15741,2320,1885,3356,-2065,-223,251,2079,123,271,411,309,145,147,136,101
456769,3974,-453,-15707,2393,2184,3233,-1948,356,522,1461,123,271,411,309,145,147,136,101
464876,3974,-453,-15707,2393,2184,3233,-1948,356,522,1461,127,275,413,311,130,136,131,98
465690,3974,-453,-15707,2393,2184,3233,-1948,356,522,1461,127,275,413,311,130,136,131,98
479336,4070,-640,-15676,2396,2152,3696,-2118,312,702,1217,127,275,413,311,130,136,131,98
487389,4070,-640,-15676,2396,2152,3696,-2118,312,702,1217,129,277,421,308,134,140,132,99
488154,4070,-640,-15676,2396,2152,3696,-2118,312,702,1217,129,277,421,308,134,140,132,99
494325,4143,-926,-15629,2483,1967,3903,-2547,292,718,1677,129,277,421,308,134,140,132,99
502365,4143,-926,-15629,2483,1967,3903,-2547,292,718,1677,137,285,404,346,140,129,114,92
503234,4143,-926,-15629,2483,1967,3903,-2547,292,718,1677,137,285,404,346,140,129,114,92
516782,4180,-1271,-15587,2531,1919,3652,-2523,-35,588,1957,137,285,404,346,140,129,114,92
524864,4180,-1271,-15587,2531,1919,3652,-2523,-35,588,1957,146,272,370,309,137,102,90,89
525691,4180,-1271,-15587,2531,1919,3652,-2523,-35,588,1957,146,272,370,309,137,102,90,89
539242,4232,-1527,-15552,2517,2054,3289,-1970,-12,566,1521,146,272,370,309,137,102,90,89
547422,4232,-1527,-15552,2517,2054,3289,-1970,-12,566,1521,142,275,362,301,134,102,90,86
548242,4232,-1527,-15552,2517,2054,3289,-1970,-12,566,1521,142,275,362,301,134,102,90,86
554413,4313,-1687,-15517,2496,2048,3445,-1870,170,634,1012,142,275,362,301,134,102,90,86
562364,4313,-1687,-15517,2496,2048,3445,-1870,170,634,1012,138,276,342,293,142,105,85,85
563200,4313,-1687,-15517,2496,2048,3445,-1870,170,634,1012,138,276,342,293,142,105,85,85
