Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,11524,5955,-9970,875,1778,4965,1638,70,-79,-46,0,0,0,0,0,0,0,0
820,11501,5977,-9982,880,1844,4985,1602,127,-84,6,0,0,0,0,0,0,0,0
21844,11481,5992,-9996,894,1908,4984,1616,128,-69,57,0,0,0,0,0,0,0,0
36810,11467,6000,-10005,906,1920,5005,1620,85,-36,68,0,0,0,0,0,0,0,0
59322,11466,5996,-10010,907,1906,5003,1648,-15,-11,53,0,0,0,0,0,0,0,0
67456,11466,5996,-10010,907,1906,5003,1648,-15,-11,53,28,87,125,48,107,130,28,26
68244,11466,5996,-10010,907,1906,5003,1648,-15,-11,53,28,87,125,48,107,130,28,26
81799,11473,5984,-10009,900,1884,5000,1676,-82,17,41,28,87,125,48,107,130,28,26
89917,11473,5984,-10009,900,1884,5000,1676,-82,17,41,29,84,122,44,116,119,26,25
90750,11473,5984,-10009,900,1884,5000,1676,-82,17,41,29,84,122,44,116,119,26,25
96896,11484,5974,-10003,894,1849,4970,1698,-76,37,24,29,84,122,44,116,119,26,25
112453,11484,5974,-10003,894,1849,4970,1698,-76,37,24,31,102,130,43,108,119,27,25
113212,11484,5974,-10003,894,1849,4970,1698,-76,37,24,31,102,130,43,108,119,27,25
119396,11492,5970,-9997,887,1835,4965,1704,-50,26,-2,31,102,130,43,108,119,27,25
127414,11492,5970,-9997,887,1835,4965,1704,-50,26,-2,32,107,128,43,110,131,29,22
128234,11492,5970,-9997,887,1835,4965,1704,-50,26,-2,32,107,128,43,110,131,29,22
141760,11495,5973,-9992,877,1828,4976,1706,-21,-3,-35,32,107,128,43,110,131,29,22
149954,11495,5973,-9992,877,1828,4976,1706,-21,-3,-35,36,111,107,38,104,118,29,22
150770,11495,5973,-9992,877,1828,4976,1706,-21,-3,-35,36,111,107,38,104,118,29,22
156920,11494,5981,-9990,864,1821,4989,1687,-10,-32,-42,36,111,107,38,104,118,29,22
172419,11494,5981,-9990,864,1821,4989,1687,-10,-32,-42,36,106,110,34,118,130,27,24
173230,11494,5981,-9990,864,1821,4989,1687,-10,-32,-42,36,106,110,34,118,130,27,24
179371,11487,5987,-9996,853,1866,4990,1667,-2,-66,-27,36,106,110,34,118,130,27,24
187447,11487,5987,-9996,853,1866,4990,1667,-2,-66,-27,35,109,111,38,127,146,28,21
188245,11487,5987,-9996,853,1866,4990,1667,-2,-66,-27,35,109,111,38,127,146,28,21
201794,11477,5996,-10002,845,1893,5019,1677,28,-78,-14,35,109,111,38,127,146,28,21
209921,11477,5996,-10002,845,1893,5019,1677,28,-78,-14,36,111,103,38,132,147,28,26
