Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3077,-4830,-15248,-1771,1776,4522,-2300,16,3,-8,0,0,0,0,0,0,0,0
831,3069,-4829,-15249,-1787,1756,4522,-2308,-39,19,2,0,0,0,0,0,0,0,0
21793,3067,-4829,-15248,-1796,1763,4455,-2300,-27,36,4,0,0,0,0,0,0,0,0
44311,3063,-4826,-15250,-1798,1756,4480,-2298,20,13,-6,0,0,0,0,0,0,0,0
59291,3055,-4824,-15252,-1800,1767,4512,-2297,29,-10,3,0,0,0,0,0,0,0,0
67373,3055,-4824,-15252,-1800,1767,4512,-2297,29,-10,3,99,150,125,60,65,50,45,53
68189,3055,-4824,-15252,-1800,1767,4512,-2297,29,-10,3,99,150,125,60,65,50,45,53
81737,3054,-4823,-15252,-1802,1769,4505,-2298,0,-14,-7,99,150,125,60,65,50,45,53
89943,3054,-4823,-15252,-1802,1769,4505,-2298,0,-14,-7,106,183,132,71,94,41,37,57
90739,3054,-4823,-15252,-1802,1769,4505,-2298,0,-14,-7,106,183,132,71,94,41,37,57
104281,3047,-4821,-15252,-1818,1785,4517,-2300,-50,6,-14,106,183,132,71,94,41,37,57
112464,3047,-4821,-15252,-1818,1785,4517,-2300,-50,6,-14,104,212,138,70,119,40,44,55
113213,3047,-4821,-15252,-1818,1785,4517,-2300,-50,6,-14,104,212,138,70,119,40,44,55
119364,3046,-4818,-15252,-1826,1770,4499,-2296,-2,35,-3,104,212,138,70,119,40,44,55
127457,3046,-4818,-15252,-1826,1770,4499,-2296,-2,35,-3,104,230,137,63,122,51,58,55
128213,3046,-4818,-15252,-1826,1770,4499,-2296,-2,35,-3,104,230,137,63,122,51,58,55
141749,3045,-4816,-15252,-1831,1769,4507,-2271,12,23,-2,104,230,137,63,122,51,58,55
149876,3045,-4816,-15252,-1831,1769,4507,-2271,12,23,-2,102,229,136,65,126,52,57,55
150687,3045,-4816,-15252,-1831,1769,4507,-2271,12,23,-2,102,229,136,65,126,52,57,55
164228,3037,-4813,-15254,-1840,1782,4511,-2287,-22,-16,-11,102,229,136,65,126,52,57,55
172435,3037,-4813,-15254,-1840,1782,4511,-2287,-22,-16,-11,102,232,132,69,128,55,67,61
173212,3037,-4813,-15254,-1840,1782,4511,-2287,-22,-16,-11,102,232,132,69,128,55,67,61
179371,3027,-4812,-15255,-1848,1757,4511,-2304,-27,-11,-9,102,232,132,69,128,55,67,61
187177,3027,-4812,-15255,-1848,1757,4511,-2304,-27,-11,-9,94,210,122,59,113,52,67,58
194259,3027,-4812,-15255,-1848,1757,4511,-2304,-27,-11,-9,94,210,122,59,113,52,67,58
201862,3022,-4811,-15255,-1859,1763,4502,-2307,-42,18,-2,94,210,122,59,113,52,67,58
209913,3022,-4811,-15255,-1859,1763,4502,-2307,-42,18,-2,112,192,123,65,81,53,68,63
210752,3022,-4811,-15255,-1859,1763,4502,-2307,-42,18,-2,112,192,123,65,81,53,68,63
224276,3025,-4810,-15255,-1856,1779,4472,-2299,33,28,2,112,192,123,65,81,53,68,63
240781,3025,-4810,-15255,-1856,1779,4472,-2299,33,28,2,110,201,126,68,77,42,60,63
241449,3025,-4810,-15255,-1856,1779,4472,-2299,33,28,2,110,201,126,68,77,42,60,63
242366,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,110,201,126,68,77,42,60,63
248256,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
249001,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
249810,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
255573,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
256436,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
257178,3026,-4808,-15256,-1852,1771,4535,-2275,74,9,13,115,236,134,67,71,41,62,64
261862,3025,-4807,-15257,-1853,1788,4521,-2288,-13,12,0,115,236,134,67,71,41,62,64
269877,3025,-4807,-15257,-1853,1788,4521,-2288,-13,12,0,120,280,162,91,94,33,54,58
270660,3025,-4807,-15257,-1853,1788,4521,-2288,-13,12,0,120,280,162,91,94,33,54,58
284265,3031,-4806,-15255,-1859,1786,4509,-2306,6,58,8,120,280,162,91,94,33,54,58
292464,3031,-4806,-15255,-1859,1786,4509,-2306,6,58,8,115,279,171,93,99,33,51,54
293229,3031,-4806,-15255,-1859,1786,4509,-2306,6,58,8,115,279,171,93,99,33,51,54
299365,3035,-4807,-15254,-1859,1769,4496,-2308,29,46,24,115,279,171,93,99,33,51,54
307365,3035,-4807,-15254,-1859,1769,4496,-2308,29,46,24,99,268,164,87,101,39,47,53
308183,3035,-4807,-15254,-1859,1769,4496,-2308,29,46,24,99,268,164,87,101,39,47,53
321741,3034,-4805,-15255,-1858,1772,4498,-2306,30,21,-2,99,268,164,87,101,39,47,53
329869,3034,-4805,-15255,-1858,1772,4498,-2306,30,21,-2,161,265,177,243,165,179,98,86
330687,3034,-4805,-15255,-1858,1772,4498,-2306,30,21,-2,161,265,177,243,165,179,98,86
344248,3025,-4801,-15256,-1875,1794,4483,-2278,-90,-16,-38,161,265,177,243,165,179,98,86
352449,3025,-4801,-15256,-1875,1794,4483,-2278,-90,-16,-38,276,327,204,565,290,346,199,130
353230,3025,-4801,-15256,-1875,1794,4483,-2278,-90,-16,-38,276,327,204,565,290,346,199,130
359363,2996,-4790,-15261,-1908,1795,4455,-2226,-213,-110,-127,276,327,204,565,290,346,199,130
367461,2996,-4790,-15261,-1908,1795,4455,-2226,-213,-110,-127,361,341,259,623,350,390,224,136
368201,2996,-4790,-15261,-1908,1795,4455,-2226,-213,-110,-127,361,341,259,623,350,390,224,136
381714,2910,-4773,-15275,-1968,1797,4525,-2365,-439,-351,-230,361,341,259,623,350,390,224,136
389923,2910,-4773,-15275,-1968,1797,4525,-2365,-439,-351,-230,380,354,293,648,397,450,253,153
390741,2910,-4773,-15275,-1968,1797,4525,-2365,-439,-351,-230,380,354,293,648,397,450,253,153
404229,2817,-4754,-15287,-2055,1441,4563,-2294,-586,-198,-256,380,354,293,648,397,450,253,153
412436,2817,-4754,-15287,-2055,1441,4563,-2294,-586,-198,-256,384,361,321,650,414,482,255,153
413215,2817,-4754,-15287,-2055,1441,4563,-2294,-586,-198,-256,384,361,321,650,414,482,255,153
427443,2770,-4790,-15290,-2013,1689,4092,-2020,-119,-398,88,384,361,321,650,414,482,255,153
428242,2770,-4790,-15290,-2013,1689,4092,-2020,-119,-398,88,463,499,481,653,515,487,326,181
434212,2770,-4790,-15290,-2013,1689,4092,-2020,-119,-398,88,463,499,481,653,515,487,326,181
441841,2886,-4762,-15283,-1968,1966,4798,-2600,561,513,26,463,499,481,653,515,487,326,181
449878,2886,-4762,-15283,-1968,1966,4798,-2600,561,513,26,424,615,508,446,757,461,335,178
450685,2886,-4762,-15283,-1968,1966,4798,-2600,561,513,26,424,615,508,446,757,461,335,178
464276,3019,-4764,-15254,-1990,1980,4836,-2393,233,705,188,424,615,508,446,757,461,335,178
472361,3019,-4764,-15254,-1990,1980,4836,-2393,233,705,188,448,660,606,420,803,445,337,217
473225,3019,-4764,-15254,-1990,1980,4836,-2393,233,705,188,448,660,606,420,803,445,337,217
486772,3138,-4769,-15231,-1972,1734,4347,-2446,177,732,138,448,660,606,420,803,445,337,217
494905,3138,-4769,-15231,-1972,1734,4347,-2446,177,732,138,484,693,640,398,789,393,332,225
495691,3138,-4769,-15231,-1972,1734,4347,-2446,177,732,138,484,693,640,398,789,393,332,225
501834,3209,-4786,-15216,-1930,1693,4322,-2271,236,414,186,484,693,640,398,789,393,332,225
509888,3209,-4786,-15216,-1930,1693,4322,-2271,236,414,186,504,714,645,404,793,354,340,232
