Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2081,13510,5009,7515,2887,6052,238,-1017,1594,-2566,0,0,0,0,0,0,0,0
7530,2332,13209,5337,7746,2807,6057,278,-889,1575,-2523,0,0,0,0,0,0,0,0
15064,2573,12899,5649,7968,2749,6175,314,-888,1576,-2460,0,0,0,0,0,0,0,0
37527,2815,12576,5932,8194,2635,6141,308,-1002,1618,-2369,0,0,0,0,0,0,0,0
52505,3052,12250,6187,8412,2445,6086,365,-1069,1594,-2254,0,0,0,0,0,0,0,0
68157,3052,12250,6187,8412,2445,6086,365,-1069,1594,-2254,130,77,121,241,90,166,53,79
69002,3052,12250,6187,8412,2445,6086,365,-1069,1594,-2254,130,77,121,241,90,166,53,79
75117,3275,11922,6422,8621,2349,6004,428,-1068,1578,-2161,130,77,121,241,90,166,53,79
90626,3275,11922,6422,8621,2349,6004,428,-1068,1578,-2161,133,73,102,99,65,92,55,82
91425,3275,11922,6422,8621,2349,6004,428,-1068,1578,-2161,133,73,102,99,65,92,55,82
97588,3461,11597,6635,8827,2233,5966,514,-978,1622,-1963,133,73,102,99,65,92,55,82
113836,3461,11597,6635,8827,2233,5966,514,-978,1622,-1963,133,73,98,97,76,102,48,80
114677,3461,11597,6635,8827,2233,5966,514,-978,1622,-1963,133,73,98,97,76,102,48,80
115616,3627,11290,6813,9020,1991,5860,386,-982,1548,-1733,133,73,98,97,76,102,48,80
128130,3627,11290,6813,9020,1991,5860,386,-982,1548,-1733,148,78,101,104,81,102,53,80
128911,3627,11290,6813,9020,1991,5860,386,-982,1548,-1733,148,78,101,104,81,102,53,80
135046,3786,11003,6972,9186,1777,5785,373,-945,1390,-1622,148,78,101,104,81,102,53,80
150664,3786,11003,6972,9186,1777,5785,373,-945,1390,-1622,190,81,105,110,84,108,56,84
151478,3786,11003,6972,9186,1777,5785,373,-945,1390,-1622,190,81,105,110,84,108,56,84
157620,3863,10783,7140,9286,1660,5724,476,-592,1240,-1487,190,81,105,110,84,108,56,84
173824,3863,10783,7140,9286,1660,5724,476,-592,1240,-1487,171,71,109,160,84,130,66,75
