Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-6945,12717,7199,2579,2048,2302,-264,-6,5,2,0,0,0,0,0,0,0,0
7474,-6940,12719,7198,2583,2039,2290,-262,-33,10,-9,0,0,0,0,0,0,0,0
22441,-6940,12719,7199,2584,2040,2292,-256,-13,-6,-6,0,0,0,0,0,0,0,0
44962,-6940,12718,7199,2584,2055,2300,-258,2,-1,-1,0,0,0,0,0,0,0,0
68776,-6940,12718,7199,2584,2039,2284,-251,-10,7,-9,0,0,0,0,0,0,0,0
69550,-6940,12718,7199,2584,2039,2284,-251,-10,7,-9,105,41,26,36,118,53,49,95
70344,-6940,12718,7199,2584,2039,2284,-251,-10,7,-9,105,41,26,36,118,53,49,95
82444,-6939,12718,7199,2584,2054,2294,-279,-11,10,-10,105,41,26,36,118,53,49,95
90822,-6939,12718,7199,2584,2054,2294,-279,-11,10,-10,110,38,28,42,118,57,45,97
91426,-6939,12718,7199,2584,2054,2294,-279,-11,10,-10,110,38,28,42,118,57,45,97
104998,-6938,12717,7202,2587,2046,2295,-262,-3,2,-17,110,38,28,42,118,57,45,97
113069,-6938,12717,7202,2587,2046,2295,-262,-3,2,-17,83,40,31,36,100,54,41,89
113859,-6938,12717,7202,2587,2046,2295,-262,-3,2,-17,83,40,31,36,100,54,41,89
128764,-6935,12716,7206,2591,2054,2313,-271,-5,1,-20,83,40,31,36,100,54,41,89
129573,-6935,12716,7206,2591,2054,2313,-271,-5,1,-20,90,39,32,35,85,52,42,94
130368,-6935,12716,7206,2591,2054,2313,-271,-5,1,-20,90,39,32,35,85,52,42,94
142423,-6933,12714,7208,2594,2064,2285,-259,-11,1,-23,90,39,32,35,85,52,42,94
150526,-6933,12714,7208,2594,2064,2285,-259,-11,1,-23,96,40,32,35,88,65,47,98
151345,-6933,12714,7208,2594,2064,2285,-259,-11,1,-23,96,40,32,35,88,65,47,98
164913,-6933,12712,7211,2598,2068,2235,-248,-24,-1,-37,96,40,32,35,88,65,47,98
173023,-6933,12712,7211,2598,2068,2235,-248,-24,-1,-37,117,47,34,39,91,72,65,95
173820,-6933,12712,7211,2598,2068,2235,-248,-24,-1,-37,117,47,34,39,91,72,65,95
188777,-6951,12700,7214,2600,2071,2204,-247,76,49,-53,117,47,34,39,91,72,65,95
189632,-6951,12700,7214,2600,2071,2204,-247,76,49,-53,127,52,38,52,122,84,90,96
190356,-6951,12700,7214,2600,2071,2204,-247,76,49,-53,127,52,38,52,122,84,90,96
202439,-6981,12681,7224,2586,2035,2338,-202,226,-4,-16,127,52,38,52,122,84,90,96
210570,-6981,12681,7224,2586,2035,2338,-202,226,-4,-16,143,69,45,87,227,106,155,115
