Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,8712,3261,-13479,462,4000,4913,-142,136,28,14,0,0,0,0,0,0,0,0
813,8721,3275,-13470,467,4013,4882,-140,101,18,0,0,0,0,0,0,0,0,0
14279,8731,3288,-13460,463,4001,4900,-130,56,12,-12,0,0,0,0,0,0,0,0
36752,8742,3296,-13452,456,3990,4882,-105,22,-1,-7,0,0,0,0,0,0,0,0
51776,8744,3297,-13450,454,3984,4858,-105,6,-16,4,0,0,0,0,0,0,0,0
67407,8744,3297,-13450,454,3984,4858,-105,6,-16,4,35,29,26,22,27,115,85,117
68201,8744,3297,-13450,454,3984,4858,-105,6,-16,4,35,29,26,22,27,115,85,117
74343,8752,3300,-13444,447,3997,4884,-99,9,-20,15,35,29,26,22,27,115,85,117
89890,8752,3300,-13444,447,3997,4884,-99,9,-20,15,79,58,51,29,28,114,84,124
90703,8752,3300,-13444,447,3997,4884,-99,9,-20,15,79,58,51,29,28,114,84,124
96859,8766,3308,-13433,451,4033,4899,-27,77,-7,26,79,58,51,29,28,114,84,124
113102,8766,3308,-13433,451,4033,4899,-27,77,-7,26,90,72,63,32,28,100,94,135
113882,8766,3308,-13433,451,4033,4899,-27,77,-7,26,90,72,63,32,28,100,94,135
114857,8781,3335,-13416,473,4044,4905,0,221,29,-20,90,72,63,32,28,100,94,135
127401,8781,3335,-13416,473,4044,4905,0,221,29,-20,92,79,137,182,49,84,81,104
128202,8781,3335,-13416,473,4044,4905,0,221,29,-20,92,79,137,182,49,84,81,104
134388,8804,3390,-13385,510,4053,4991,-2,381,122,-76,92,79,137,182,49,84,81,104
149902,8804,3390,-13385,510,4053,4991,-2,381,122,-76,103,92,159,212,56,63,76,96
150747,8804,3390,-13385,510,4053,4991,-2,381,122,-76,103,92,159,212,56,63,76,96
156883,8849,3479,-13331,569,4145,5081,95,594,258,-159,103,92,159,212,56,63,76,96
173083,8849,3479,-13331,569,4145,5081,95,594,258,-159,113,116,214,242,76,78,77,104
173860,8849,3479,-13331,569,4145,5081,95,594,258,-159,113,116,214,242,76,78,77,104
174784,8953,3574,-13235,584,4171,5505,337,450,509,-181,113,116,214,242,76,78,77,104
187380,8953,3574,-13235,584,4171,5505,337,450,509,-181,99,149,459,485,144,82,75,101
188221,8953,3574,-13235,584,4171,5505,337,450,509,-181,99,149,459,485,144,82,75,101
194332,9142,3645,-13089,494,4200,5663,409,-183,943,-438,99,149,459,485,144,82,75,101
209882,9142,3645,-13089,494,4200,5663,409,-183,943,-438,113,192,558,549,171,130,85,124
210679,9142,3645,-13089,494,4200,5663,409,-183,943,-438,113,192,558,549,171,130,85,124
216858,9428,3694,-12877,295,4197,5720,542,-873,1487,-814,113,192,558,549,171,130,85,124
233109,9428,3694,-12877,295,4197,5720,542,-873,1487,-814,116,222,711,651,184,170,91,125
233920,9428,3694,-12877,295,4197,5720,542,-873,1487,-814,116,222,711,651,184,170,91,125
234875,9798,3702,-12599,41,4205,5672,529,-1509,2182,-1187,116,222,711,651,184,170,91,125
247359,9798,3702,-12599,41,4205,5672,529,-1509,2182,-1187,107,218,717,662,193,195,151,147
