Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,439,15423,-3870,3922,1962,3902,-2267,-145,387,694,0,0,0,0,0,0,0,0
7429,466,15383,-3987,3958,1956,3911,-2248,-155,325,686,0,0,0,0,0,0,0,0
14983,482,15349,-4100,3975,1942,3900,-2245,-122,220,668,0,0,0,0,0,0,0,0
37524,492,15318,-4211,3977,1960,3900,-2234,-104,117,662,0,0,0,0,0,0,0,0
52509,505,15290,-4316,3970,1963,3923,-2252,-110,76,626,0,0,0,0,0,0,0,0
68165,505,15290,-4316,3970,1963,3923,-2252,-110,76,626,68,86,114,72,32,42,63,95
68952,505,15290,-4316,3970,1963,3923,-2252,-110,76,626,68,86,114,72,32,42,63,95
75078,518,15266,-4412,3956,1966,3878,-2256,-121,23,562,68,86,114,72,32,42,63,95
90613,518,15266,-4412,3956,1966,3878,-2256,-121,23,562,66,93,116,54,34,41,58,84
91508,518,15266,-4412,3956,1966,3878,-2256,-121,23,562,66,93,116,54,34,41,58,84
97596,518,15246,-4498,3933,1933,3869,-2281,-60,-28,517,66,93,116,54,34,41,58,84
113776,518,15246,-4498,3933,1933,3869,-2281,-60,-28,517,64,93,118,46,32,39,60,86
114584,518,15246,-4498,3933,1933,3869,-2281,-60,-28,517,64,93,118,46,32,39,60,86
115510,514,15230,-4580,3902,1919,3896,-2308,-17,-74,509,64,93,118,46,32,39,60,86
128097,514,15230,-4580,3902,1919,3896,-2308,-17,-74,509,76,102,110,40,34,40,66,94
128937,514,15230,-4580,3902,1919,3896,-2308,-17,-74,509,76,102,110,40,34,40,66,94
135078,520,15212,-4665,3872,1923,3920,-2314,-66,-66,519,76,102,110,40,34,40,66,94
150595,520,15212,-4665,3872,1923,3920,-2314,-66,-66,519,90,106,116,41,40,41,71,117
151440,520,15212,-4665,3872,1923,3920,-2314,-66,-66,519,90,106,116,41,40,41,71,117
