Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,2915,2961,-14362,6701,1794,2475,566,35,52,-13,0,0,0,0,0,0,0,0
7418,2988,2973,-14335,6722,1814,2444,577,-10,69,20,0,0,0,0,0,0,0,0
22500,3056,2984,-14307,6746,1816,2406,532,25,71,22,0,0,0,0,0,0,0,0
44988,3124,2998,-14276,6774,1819,2440,541,64,83,5,0,0,0,0,0,0,0,0
68837,3187,3009,-14245,6804,1792,2458,546,85,83,31,0,0,0,0,0,0,0,0
69622,3187,3009,-14245,6804,1792,2458,546,85,83,31,61,49,71,62,139,88,45,97
70431,3187,3009,-14245,6804,1792,2458,546,85,83,31,61,49,71,62,139,88,45,97
82496,3250,3016,-14218,6828,1777,2452,571,41,91,32,61,49,71,62,139,88,45,97
90578,3250,3016,-14218,6828,1777,2452,571,41,91,32,69,51,68,55,161,89,45,97
91387,3250,3016,-14218,6828,1777,2452,571,41,91,32,69,51,68,55,161,89,45,97
104974,3314,3023,-14193,6846,1768,2436,559,-1,101,10,69,51,68,55,161,89,45,97
113079,3314,3023,-14193,6846,1768,2436,559,-1,101,10,67,49,74,54,162,89,42,89
113855,3314,3023,-14193,6846,1768,2436,559,-1,101,10,67,49,74,54,162,89,42,89
128812,3372,3029,-14170,6863,1778,2444,547,14,77,26,67,49,74,54,162,89,42,89
129573,3372,3029,-14170,6863,1778,2444,547,14,77,26,68,45,74,50,179,85,41,103
130437,3372,3029,-14170,6863,1778,2444,547,14,77,26,68,45,74,50,179,85,41,103
142451,3428,3037,-14146,6881,1803,2439,574,17,65,29,68,45,74,50,179,85,41,103
150574,3428,3037,-14146,6881,1803,2439,574,17,65,29,67,45,76,62,177,84,46,107
151347,3428,3037,-14146,6881,1803,2439,574,17,65,29,67,45,76,62,177,84,46,107
164987,3484,3045,-14123,6897,1787,2473,589,10,66,20,67,45,76,62,177,84,46,107
173098,3484,3045,-14123,6897,1787,2473,589,10,66,20,67,46,78,62,191,90,47,105
173995,3484,3045,-14123,6897,1787,2473,589,10,66,20,67,46,78,62,191,90,47,105
188819,3536,3056,-14104,6905,1765,2484,579,-21,46,-1,67,46,78,62,191,90,47,105
189624,3536,3056,-14104,6905,1765,2484,579,-21,46,-1,59,42,78,64,189,103,57,89
190425,3536,3056,-14104,6905,1765,2484,579,-21,46,-1,59,42,78,64,189,103,57,89
202398,3586,3071,-14087,6907,1763,2490,585,-43,20,-21,59,42,78,64,189,103,57,89
210578,3586,3071,-14087,6907,1763,2490,585,-43,20,-21,59,42,71,64,184,97,57,83
211397,3586,3071,-14087,6907,1763,2490,585,-43,20,-21,59,42,71,64,184,97,57,83
224976,3631,3086,-14071,6908,1766,2465,588,-59,-3,-28,59,42,71,64,184,97,57,83
233102,3631,3086,-14071,6908,1766,2465,588,-59,-3,-28,51,35,68,57,158,89,57,53
233877,3631,3086,-14071,6908,1766,2465,588,-59,-3,-28,51,35,68,57,158,89,57,53
248787,3672,3103,-14056,6911,1766,2462,616,-52,-23,-31,51,35,68,57,158,89,57,53
249586,3672,3103,-14056,6911,1766,2462,616,-52,-23,-31,46,41,77,42,174,106,53,55
250409,3672,3103,-14056,6911,1766,2462,616,-52,-23,-31,46,41,77,42,174,106,53,55
262450,3706,3120,-14039,6919,1785,2417,626,-33,-57,-20,46,41,77,42,174,106,53,55
270567,3706,3120,-14039,6919,1785,2417,626,-33,-57,-20,50,42,79,39,140,120,72,128
271334,3706,3120,-14039,6919,1785,2417,626,-33,-57,-20,50,42,79,39,140,120,72,128
284974,3736,3139,-14025,6923,1790,2425,625,-49,-86,-25,50,42,79,39,140,120,72,128
293123,3736,3139,-14025,6923,1790,2425,625,-49,-86,-25,78,54,103,60,161,136,86,281
293973,3736,3139,-14025,6923,1790,2425,625,-49,-86,-25,78,54,103,60,161,136,86,281
308748,3757,3158,-14019,6916,1756,2453,696,-124,-159,-11,78,54,103,60,161,136,86,281
309577,3757,3158,-14019,6916,1756,2453,696,-124,-159,-11,184,78,124,122,179,219,222,556
310373,3757,3158,-14019,6916,1756,2453,696,-124,-159,-11,184,78,124,122,179,219,222,556
331324,3759,3189,-14019,6900,1712,2567,848,-170,-330,-22,184,78,124,122,179,219,222,556
332097,3759,3189,-14019,6900,1712,2567,848,-170,-330,-22,339,132,159,361,226,355,400,829
333001,3759,3189,-14019,6900,1712,2567,848,-170,-330,-22,339,132,159,361,226,355,400,829
344976,3743,3217,-14047,6838,1840,2698,691,-355,-491,92,339,132,159,361,226,355,400,829
353076,3743,3217,-14047,6838,1840,2698,691,-355,-491,92,405,161,184,375,237,497,518,988
353851,3743,3217,-14047,6838,1840,2698,691,-355,-491,92,405,161,184,375,237,497,518,988
368778,3713,3185,-14130,6698,1963,2755,95,-715,-451,434,405,161,184,375,237,497,518,988
369573,3713,3185,-14130,6698,1963,2755,95,-715,-451,434,428,178,224,407,261,505,531,1129
370396,3713,3185,-14130,6698,1963,2755,95,-715,-451,434,428,178,224,407,261,505,531,1129
391303,3730,3005,-14273,6463,1985,2655,-238,-1656,41,749,428,178,224,407,261,505,531,1129
392119,3730,3005,-14273,6463,1985,2655,-238,-1656,41,749,473,201,230,437,265,511,547,1194
392996,3730,3005,-14273,6463,1985,2655,-238,-1656,41,749,473,201,230,437,265,511,547,1194
404974,3809,2794,-14482,6031,1650,2513,319,-2938,105,538,473,201,230,437,265,511,547,1194
413088,3809,2794,-14482,6031,1650,2513,319,-2938,105,538,462,199,222,451,258,509,525,1179
413867,3809,2794,-14482,6031,1650,2513,319,-2938,105,538,462,199,222,451,258,509,525,1179
428779,3859,2614,-14699,5537,1405,2220,276,-3231,-159,326,462,199,222,451,258,509,525,1179
429557,3859,2614,-14699,5537,1405,2220,276,-3231,-159,326,383,177,203,311,233,481,444,1079
430373,3859,2614,-14699,5537,1405,2220,276,-3231,-159,326,383,177,203,311,233,481,444,1079
451318,3862,2418,-14870,5152,1723,1944,306,-2615,-250,598,383,177,203,311,233,481,444,1079
452099,3862,2418,-14870,5152,1723,1944,306,-2615,-250,598,340,165,186,336,723,423,361,1032
452975,3862,2418,-14870,5152,1723,1944,306,-2615,-250,598,340,165,186,336,723,423,361,1032
464894,3883,2286,-14937,5002,1877,1937,120,-1443,-158,415,340,165,186,336,723,423,361,1032
473074,3883,2286,-14937,5002,1877,1937,120,-1443,-158,415,346,153,141,311,1032,434,357,942
473904,3883,2286,-14937,5002,1877,1937,120,-1443,-158,415,346,153,141,311,1032,434,357,942
488775,3890,2228,-14963,4945,1775,2240,-123,-615,-119,202,346,153,141,311,1032,434,357,942
489638,3890,2228,-14963,4945,1775,2240,-123,-615,-119,202,286,125,121,272,1182,425,347,885
490440,3890,2228,-14963,4945,1775,2240,-123,-615,-119,202,286,125,121,272,1182,425,347,885
511279,3895,2165,-15003,4848,1629,2428,-227,-762,-89,202,286,125,121,272,1182,425,347,885
512048,3895,2165,-15003,4848,1629,2428,-227,-762,-89,202,316,126,123,241,1483,406,345,935
512905,3895,2165,-15003,4848,1629,2428,-227,-762,-89,202,316,126,123,241,1483,406,345,935
525014,3911,2083,-15056,4703,1522,2428,-64,-1121,-72,190,316,126,123,241,1483,406,345,935
533097,3911,2083,-15056,4703,1522,2428,-64,-1121,-72,190,356,117,127,246,1600,367,346,1019
533974,3911,2083,-15056,4703,1522,2428,-64,-1121,-72,190,356,117,127,246,1600,367,346,1019
548790,3916,2009,-15098,4596,1648,2267,-120,-958,-139,186,356,117,127,246,1600,367,346,1019
549611,3916,2009,-15098,4596,1648,2267,-120,-958,-139,186,349,103,115,233,1455,280,299,1049
550455,3916,2009,-15098,4596,1648,2267,-120,-958,-139,186,349,103,115,233,1455,280,299,1049
571251,3927,1954,-15115,4553,1721,2211,-226,-573,-65,149,349,103,115,233,1455,280,299,1049
572083,3927,1954,-15115,4553,1721,2211,-226,-573,-65,149,326,93,111,256,1256,255,281,1081
572870,3927,1954,-15115,4553,1721,2211,-226,-573,-65,149,326,93,111,256,1256,255,281,1081
584996,3930,1911,-15127,4529,1583,2323,-248,-390,-47,121,326,93,111,256,1256,255,281,1081
593052,3930,1911,-15127,4529,1583,2323,-248,-390,-47,121,334,90,108,252,1116,275,283,1074
593851,3930,1911,-15127,4529,1583,2323,-248,-390,-47,121,334,90,108,252,1116,275,283,1074
608729,3930,1879,-15141,4495,1550,2401,-227,-409,-84,73,334,90,108,252,1116,275,283,1074
609588,3930,1879,-15141,4495,1550,2401,-227,-409,-84,73,309,104,126,262,666,269,282,1056
610395,3930,1879,-15141,4495,1550,2401,-227,-409,-84,73,309,104,126,262,666,269,282,1056
631291,3931,1853,-15155,4457,1594,2310,-257,-461,-100,12,309,104,126,262,666,269,282,1056
632087,3931,1853,-15155,4457,1594,2310,-257,-461,-100,12,268,108,125,248,290,343,260,979
633000,3931,1853,-15155,4457,1594,2310,-257,-461,-100,12,268,108,125,248,290,343,260,979
645001,3936,1829,-15161,4444,1625,2268,-228,-343,-85,22,268,108,125,248,290,343,260,979
653049,3936,1829,-15161,4444,1625,2268,-228,-343,-85,22,269,111,122,225,223,354,262,907
653854,3936,1829,-15161,4444,1625,2268,-228,-343,-85,22,269,111,122,225,223,354,262,907
668082,3941,1814,-15159,4452,1641,2239,-260,-205,-65,-8,269,111,122,225,223,354,262,907
669013,3941,1814,-15159,4452,1641,2239,-260,-205,-65,-8,283,117,116,180,193,350,276,862
674948,3941,1814,-15159,4452,1641,2239,-260,-205,-65,-8,283,117,116,180,193,350,276,862
691253,3944,1805,-15150,4484,1584,2292,-257,-44,-36,0,283,117,116,180,193,350,276,862
692087,3944,1805,-15150,4484,1584,2292,-257,-44,-36,0,298,125,120,207,167,341,270,921
692876,3944,1805,-15150,4484,1584,2292,-257,-44,-36,0,298,125,120,207,167,341,270,921
704912,3947,1807,-15139,4517,1603,2266,-291,-13,-47,-59,298,125,120,207,167,341,270,921
713074,3947,1807,-15139,4517,1603,2266,-291,-13,-47,-59,269,106,94,187,151,368,248,810
713892,3947,1807,-15139,4517,1603,2266,-291,-13,-47,-59,269,106,94,187,151,368,248,810
728137,3955,1804,-15128,4547,1608,2314,-297,-11,-8,-30,269,106,94,187,151,368,248,810
728973,3955,1804,-15128,4547,1608,2314,-297,-11,-8,-30,247,100,93,186,145,284,222,776
734910,3955,1804,-15128,4547,1608,2314,-297,-11,-8,-30,247,100,93,186,145,284,222,776
742526,3966,1805,-15117,4574,1621,2303,-299,-23,-8,-55,247,100,93,186,145,284,222,776
750585,3966,1805,-15117,4574,1621,2303,-299,-23,-8,-55,228,95,93,175,172,270,210,746
751374,3966,1805,-15117,4574,1621,2303,-299,-23,-8,-55,228,95,93,175,172,270,210,746
764930,3979,1804,-15105,4605,1634,2313,-307,9,15,-36,228,95,93,175,172,270,210,746
773072,3979,1804,-15105,4605,1634,2313,-307,9,15,-36,200,88,102,186,254,295,208,721
