Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-7306,8459,6243,10223,1875,4170,1896,8,45,16,0,0,0,0,0,0,0,0
778,-7299,8457,6257,10221,1876,4176,1895,23,23,11,0,0,0,0,0,0,0,0
14258,-7296,8458,6262,10220,1879,4186,1865,11,13,0,0,0,0,0,0,0,0,0
36789,-7292,8458,6265,10220,1876,4183,1881,10,0,4,0,0,0,0,0,0,0,0
59302,-7289,8459,6269,10219,1876,4174,1872,5,-11,5,0,0,0,0,0,0,0,0
67440,-7289,8459,6269,10219,1876,4174,1872,5,-11,5,151,69,42,75,61,132,102,97
68225,-7289,8459,6269,10219,1876,4174,1872,5,-11,5,151,69,42,75,61,132,102,97
74385,-7280,8463,6288,10211,1898,4166,1863,29,-14,12,151,69,42,75,61,132,102,97
89939,-7280,8463,6288,10211,1898,4166,1863,29,-14,12,150,64,44,69,60,117,88,93
90725,-7280,8463,6288,10211,1898,4166,1863,29,-14,12,150,64,44,69,60,117,88,93
96936,-7269,8469,6306,10203,1916,4175,1849,20,-16,15,150,64,44,69,60,117,88,93
112435,-7269,8469,6306,10203,1916,4175,1849,20,-16,15,166,66,50,71,69,103,85,84
113201,-7269,8469,6306,10203,1916,4175,1849,20,-16,15,166,66,50,71,69,103,85,84
119361,-7258,8475,6322,10195,1936,4161,1862,12,-18,12,166,66,50,71,69,103,85,84
127406,-7258,8475,6322,10195,1936,4161,1862,12,-18,12,189,64,51,77,77,99,83,85
128221,-7258,8475,6322,10195,1936,4161,1862,12,-18,12,189,64,51,77,77,99,83,85
134374,-7251,8481,6340,10184,1928,4169,1866,42,-26,28,189,64,51,77,77,99,83,85
158105,-7251,8481,6340,10184,1928,4169,1866,42,-26,28,200,62,53,77,78,130,89,94
158894,-7251,8481,6340,10184,1928,4169,1866,42,-26,28,200,62,53,77,78,130,89,94
159843,-7246,8484,6359,10174,1936,4186,1875,46,-24,37,200,62,53,77,78,130,89,94
172365,-7246,8484,6359,10174,1936,4186,1875,46,-24,37,200,67,56,73,75,128,90,99
173189,-7246,8484,6359,10174,1936,4186,1875,46,-24,37,200,67,56,73,75,128,90,99
179331,-7234,8488,6378,10167,1938,4207,1854,23,-18,12,200,67,56,73,75,128,90,99
187370,-7234,8488,6378,10167,1938,4207,1854,23,-18,12,200,68,56,78,73,114,94,96
188165,-7234,8488,6378,10167,1938,4207,1854,23,-18,12,200,68,56,78,73,114,94,96
194772,-7226,8488,6397,10161,1930,4191,1881,42,-15,5,200,68,56,78,73,114,94,96
209884,-7226,8488,6397,10161,1930,4191,1881,42,-15,5,194,69,85,106,72,114,92,95
210687,-7226,8488,6397,10161,1930,4191,1881,42,-15,5,194,69,85,106,72,114,92,95
216830,-7209,8491,6426,10151,1883,4179,1804,49,-41,-43,194,69,85,106,72,114,92,95
232381,-7209,8491,6426,10151,1883,4179,1804,49,-41,-43,169,72,87,104,64,111,96,95
233171,-7209,8491,6426,10151,1883,4179,1804,49,-41,-43,169,72,87,104,64,111,96,95
239369,-7181,8502,6455,10144,1916,4204,1844,-4,-111,-67,169,72,87,104,64,111,96,95
247344,-7181,8502,6455,10144,1916,4204,1844,-4,-111,-67,147,91,98,118,70,64,88,94
248170,-7181,8502,6455,10144,1916,4204,1844,-4,-111,-67,147,91,98,118,70,64,88,94
254322,-7158,8491,6477,10156,1990,4196,1906,-3,21,-128,147,91,98,118,70,64,88,94
269846,-7158,8491,6477,10156,1990,4196,1906,-3,21,-128,157,123,107,126,81,59,76,81
270689,-7158,8491,6477,10156,1990,4196,1906,-3,21,-128,157,123,107,126,81,59,76,81
276833,-7129,8443,6494,10204,2028,4261,1938,-31,240,-287,157,123,107,126,81,59,76,81
292395,-7129,8443,6494,10204,2028,4261,1938,-31,240,-287,180,203,128,137,91,59,81,92
293219,-7129,8443,6494,10204,2028,4261,1938,-31,240,-287,180,203,128,137,91,59,81,92
299428,-7068,8371,6492,10307,2020,4281,1871,-253,505,-527,180,203,128,137,91,59,81,92
307380,-7068,8371,6492,10307,2020,4281,1871,-253,505,-527,194,276,129,125,91,95,86,97
308172,-7068,8371,6492,10307,2020,4281,1871,-253,505,-527,194,276,129,125,91,95,86,97
314483,-6968,8291,6470,10453,1950,4153,1821,-508,653,-818,194,276,129,125,91,95,86,97
