Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,3562,15835,-1977,-1041,335,5296,-1047,-404,-659,-404,0,0,0,0,0,0,0,0
784,3597,15826,-1962,-1075,341,5249,-1109,-292,-433,-240,0,0,0,0,0,0,0,0
14252,3588,15828,-1974,-1065,362,5220,-1128,-24,-260,-65,0,0,0,0,0,0,0,0
29256,3547,15836,-2017,-1002,457,5436,-1286,287,-75,126,0,0,0,0,0,0,0,0
51824,3533,15837,-2090,-877,659,5682,-1585,249,154,333,0,0,0,0,0,0,0,0
67362,3533,15837,-2090,-877,659,5682,-1585,249,154,333,108,218,126,263,151,105,343,194
68165,3533,15837,-2090,-877,659,5682,-1585,249,154,333,108,218,126,263,151,105,343,194
74327,3542,15828,-2213,-670,815,5833,-2013,161,515,700,108,218,126,263,151,105,343,194
82379,3542,15828,-2213,-670,815,5833,-2013,161,515,700,126,230,132,354,134,111,327,329
83198,3542,15828,-2213,-670,815,5833,-2013,161,515,700,126,230,132,354,134,111,327,329
89343,3563,15811,-2369,-370,927,5974,-2179,204,1015,1019,126,230,132,354,134,111,327,329
104856,3563,15811,-2369,-370,927,5974,-2179,204,1015,1019,132,232,146,385,126,118,334,508
105652,3563,15811,-2369,-370,927,5974,-2179,204,1015,1019,132,232,146,385,126,118,334,508
111815,3559,15792,-2524,20,925,5972,-1932,370,1833,1292,132,232,146,385,126,118,334,508
127342,3559,15792,-2524,20,925,5972,-1932,370,1833,1292,132,235,139,386,113,111,334,545
128176,3559,15792,-2524,20,925,5972,-1932,370,1833,1292,132,235,139,386,113,111,334,545
134304,3570,15755,-2684,513,672,6090,-1880,375,2457,1492,132,235,139,386,113,111,334,545
142373,3570,15755,-2684,513,672,6090,-1880,375,2457,1492,102,162,130,367,98,80,262,545
143176,3570,15755,-2684,513,672,6090,-1880,375,2457,1492,102,162,130,367,98,80,262,545
149332,3635,15681,-2853,1077,525,6137,-1986,107,2942,1687,102,162,130,367,98,80,262,545
164854,3635,15681,-2853,1077,525,6137,-1986,107,2942,1687,90,127,131,314,137,79,183,564
165651,3635,15681,-2853,1077,525,6137,-1986,107,2942,1687,90,127,131,314,137,79,183,564
171814,3753,15567,-3022,1696,439,5945,-2068,-208,3357,1789,90,127,131,314,137,79,183,564
187425,3753,15567,-3022,1696,439,5945,-2068,-208,3357,1789,64,102,118,199,138,75,163,506
188245,3753,15567,-3022,1696,439,5945,-2068,-208,3357,1789,64,102,118,199,138,75,163,506
203221,3886,15415,-3184,2358,360,5729,-2047,-310,3681,1856,64,102,118,199,138,75,163,506
204028,3886,15415,-3184,2358,360,5729,-2047,-310,3681,1856,49,118,126,132,138,72,109,343
204801,3886,15415,-3184,2358,360,5729,-2047,-310,3681,1856,49,118,126,132,138,72,109,343
209329,4006,15231,-3341,3036,341,5577,-2054,-285,3832,1906,49,118,126,132,138,72,109,343
224826,4006,15231,-3341,3036,341,5577,-2054,-285,3832,1906,44,115,134,134,146,75,77,283
225677,4006,15231,-3341,3036,341,5577,-2054,-285,3832,1906,44,115,134,134,146,75,77,283
231852,4109,15026,-3468,3703,411,5383,-2042,-232,3851,1785,44,115,134,134,146,75,77,283
247438,4109,15026,-3468,3703,411,5383,-2042,-232,3851,1785,37,107,147,141,147,81,78,234
248230,4109,15026,-3468,3703,411,5383,-2042,-232,3851,1785,37,107,147,141,147,81,78,234
254358,4193,14805,-3591,4329,463,5294,-1960,-200,3672,1748,37,107,147,141,147,81,78,234
262326,4193,14805,-3591,4329,463,5294,-1960,-200,3672,1748,42,125,144,126,93,103,74,178
263176,4193,14805,-3591,4329,463,5294,-1960,-200,3672,1748,42,125,144,126,93,103,74,178
269331,4258,14576,-3711,4904,593,5346,-1850,-166,3412,1710,42,125,144,126,93,103,74,178
284896,4258,14576,-3711,4904,593,5346,-1850,-166,3412,1710,39,132,146,116,95,120,75,166
285741,4258,14576,-3711,4904,593,5346,-1850,-166,3412,1710,39,132,146,116,95,120,75,166
299377,4343,14341,-3822,5412,693,5370,-1702,-332,3131,1547,39,132,146,116,95,120,75,166
307337,4343,14341,-3822,5412,693,5370,-1702,-332,3131,1547,42,120,120,115,93,119,82,135
308166,4343,14341,-3822,5412,693,5370,-1702,-332,3131,1547,42,120,120,115,93,119,82,135
314303,4425,14108,-3924,5865,704,5164,-1582,-384,2880,1416,42,120,120,115,93,119,82,135
322378,4425,14108,-3924,5865,704,5164,-1582,-384,2880,1416,51,155,114,112,76,116,86,141
323151,4425,14108,-3924,5865,704,5164,-1582,-384,2880,1416,51,155,114,112,76,116,86,141
329317,4475,13887,-4016,6278,780,5160,-1501,-237,2643,1357,51,155,114,112,76,116,86,141
345327,4475,13887,-4016,6278,780,5160,-1501,-237,2643,1357,50,166,107,100,82,114,96,131
346155,4475,13887,-4016,6278,780,5160,-1501,-237,2643,1357,50,166,107,100,82,114,96,131
351812,4492,13687,-4078,6654,927,5205,-1429,-30,2421,1204,50,166,107,100,82,114,96,131
367320,4492,13687,-4078,6654,927,5205,-1429,-30,2421,1204,49,156,108,101,116,116,115,119
368161,4492,13687,-4078,6654,927,5205,-1429,-30,2421,1204,49,156,108,101,116,116,115,119
374351,4511,13507,-4135,6967,1138,5192,-1432,-85,2092,1055,49,156,108,101,116,116,115,119
382340,4511,13507,-4135,6967,1138,5192,-1432,-85,2092,1055,54,153,128,110,136,105,117,106
383150,4511,13507,-4135,6967,1138,5192,-1432,-85,2092,1055,54,153,128,110,136,105,117,106
389303,4522,13345,-4190,7232,1306,5230,-1425,-77,1822,970,54,153,128,110,136,105,117,106
404825,4522,13345,-4190,7232,1306,5230,-1425,-77,1822,970,59,146,133,117,159,108,115,100
405638,4522,13345,-4190,7232,1306,5230,-1425,-77,1822,970,59,146,133,117,159,108,115,100
411853,4527,13202,-4237,7462,1371,5283,-1409,-44,1625,877,59,146,133,117,159,108,115,100
427453,4527,13202,-4237,7462,1371,5283,-1409,-44,1625,877,52,103,139,118,254,117,113,73
428204,4527,13202,-4237,7462,1371,5283,-1409,-44,1625,877,52,103,139,118,254,117,113,73
434454,4510,13170,-4259,7516,1550,5291,-1444,-3,1435,727,52,103,139,118,254,117,113,73
441676,4510,13170,-4259,7516,1550,5291,-1444,-3,1435,727,55,80,132,147,321,124,112,67
449930,4510,13170,-4259,7516,1550,5291,-1444,-3,1435,727,55,80,132,147,321,124,112,67
450828,4489,13166,-4266,7532,1678,5277,-1462,42,1198,559,55,80,132,147,321,124,112,67
464909,4489,13166,-4266,7532,1678,5277,-1462,42,1198,559,53,78,132,173,368,114,100,77
465731,4489,13166,-4266,7532,1678,5277,-1462,42,1198,559,53,78,132,173,368,114,100,77
471865,4473,13189,-4276,7494,1790,5326,-1526,-18,881,438,53,78,132,173,368,114,100,77
487438,4473,13189,-4276,7494,1790,5326,-1526,-18,881,438,66,114,126,182,369,109,98,76
488178,4473,13189,-4276,7494,1790,5326,-1526,-18,881,438,66,114,126,182,369,109,98,76
494344,4460,13226,-4288,7431,1896,5294,-1543,-59,700,359,66,114,126,182,369,109,98,76
510558,4460,13226,-4288,7431,1896,5294,-1543,-59,700,359,66,121,128,201,372,110,97,75
511330,4460,13226,-4288,7431,1896,5294,-1543,-59,700,359,66,121,128,201,372,110,97,75
512320,4427,13284,-4297,7341,1911,5328,-1590,44,498,329,66,121,128,201,372,110,97,75
524852,4427,13284,-4297,7341,1911,5328,-1590,44,498,329,65,123,119,198,328,102,93,74
525695,4427,13284,-4297,7341,1911,5328,-1590,44,498,329,65,123,119,198,328,102,93,74
531829,4376,13362,-4298,7229,2000,5364,-1611,162,286,277,65,123,119,198,328,102,93,74
547825,4376,13362,-4298,7229,2000,5364,-1611,162,286,277,64,126,115,218,287,98,90,75
548626,4376,13362,-4298,7229,2000,5364,-1611,162,286,277,64,126,115,218,287,98,90,75
554325,4317,13455,-4296,7091,2119,5468,-1588,228,47,251,64,126,115,218,287,98,90,75
570584,4317,13455,-4296,7091,2119,5468,-1588,228,47,251,64,124,110,213,216,84,86,66
571433,4317,13455,-4296,7091,2119,5468,-1588,228,47,251,64,124,110,213,216,84,86,66
572319,4250,13561,-4286,6933,2172,5581,-1625,315,-127,223,64,124,110,213,216,84,86,66
584905,4250,13561,-4286,6933,2172,5581,-1625,315,-127,223,49,103,94,208,210,83,82,72
585759,4250,13561,-4286,6933,2172,5581,-1625,315,-127,223,49,103,94,208,210,83,82,72
591883,4191,13674,-4276,6752,2173,5635,-1702,272,-252,160,49,103,94,208,210,83,82,72
607450,4191,13674,-4276,6752,2173,5635,-1702,272,-252,160,44,104,83,187,188,76,85,81
608164,4191,13674,-4276,6752,2173,5635,-1702,272,-252,160,44,104,83,187,188,76,85,81
614329,4141,13785,-4273,6557,2199,5640,-1761,201,-352,141,44,104,83,187,188,76,85,81
630539,4141,13785,-4273,6557,2199,5640,-1761,201,-352,141,48,101,85,191,181,72,87,92
631340,4141,13785,-4273,6557,2199,5640,-1761,201,-352,141,48,101,85,191,181,72,87,92
632278,4084,13892,-4267,6366,2291,5584,-1785,230,-402,97,48,101,85,191,181,72,87,92
644853,4084,13892,-4267,6366,2291,5584,-1785,230,-402,97,45,94,85,145,141,73,80,100
645662,4084,13892,-4267,6366,2291,5584,-1785,230,-402,97,45,94,85,145,141,73,80,100
651828,4057,13993,-4252,6170,2302,5702,-1760,140,-434,11,45,94,85,145,141,73,80,100
667352,4057,13993,-4252,6170,2302,5702,-1760,140,-434,11,46,90,87,147,139,79,72,103
668151,4057,13993,-4252,6170,2302,5702,-1760,140,-434,11,46,90,87,147,139,79,72,103
674331,4078,14079,-4241,5964,2339,5779,-1788,-117,-441,-60,46,90,87,147,139,79,72,103
690551,4078,14079,-4241,5964,2339,5779,-1788,-117,-441,-60,41,72,85,156,163,79,71,93
691467,4078,14079,-4241,5964,2339,5779,-1788,-117,-441,-60,41,72,85,156,163,79,71,93
692329,4121,14148,-4239,5771,2285,5706,-1838,-288,-333,-85,41,72,85,156,163,79,71,93
704848,4121,14148,-4239,5771,2285,5706,-1838,-288,-333,-85,42,64,83,169,170,76,71,93
705625,4121,14148,-4239,5771,2285,5706,-1838,-288,-333,-85,42,64,83,169,170,76,71,93
711804,4154,14206,-4239,5601,2282,5541,-1862,-297,-250,-95,42,64,83,169,170,76,71,93
727428,4154,14206,-4239,5601,2282,5541,-1862,-297,-250,-95,38,68,89,217,163,92,74,81
728219,4154,14206,-4239,5601,2282,5541,-1862,-297,-250,-95,38,68,89,217,163,92,74,81
734329,4158,14263,-4238,5453,2294,5501,-1903,-153,-215,-57,38,68,89,217,163,92,74,81
750563,4158,14263,-4238,5453,2294,5501,-1903,-153,-215,-57,38,72,94,227,168,95,75,67
751330,4158,14263,-4238,5453,2294,5501,-1903,-153,-215,-57,38,72,94,227,168,95,75,67
752300,4128,14316,-4214,5355,2370,5640,-1902,184,-40,14,38,72,94,227,168,95,75,67
764873,4128,14316,-4214,5355,2370,5640,-1902,184,-40,14,46,118,91,255,170,113,84,65
765673,4128,14316,-4214,5355,2370,5640,-1902,184,-40,14,46,118,91,255,170,113,84,65
771829,4132,14358,-4175,5269,2344,6025,-1922,180,97,45,46,118,91,255,170,113,84,65
787353,4132,14358,-4175,5269,2344,6025,-1922,180,97,45,59,129,88,266,147,128,105,71
788151,4132,14358,-4175,5269,2344,6025,-1922,180,97,45,59,129,88,266,147,128,105,71
794321,4233,14376,-4154,5155,2332,6125,-1938,-398,110,-41,59,129,88,266,147,128,105,71
810584,4233,14376,-4154,5155,2332,6125,-1938,-398,110,-41,62,132,96,292,137,156,112,54
811426,4233,14376,-4154,5155,2332,6125,-1938,-398,110,-41,62,132,96,292,137,156,112,54
812347,4377,14375,-4137,5051,2365,5869,-1924,-760,217,-192,62,132,96,292,137,156,112,54
825451,4377,14375,-4137,5051,2365,5869,-1924,-760,217,-192,62,137,104,262,177,201,160,57
826266,4377,14375,-4137,5051,2365,5869,-1924,-760,217,-192,62,137,104,262,177,201,160,57
831803,4518,14366,-4110,4973,2364,5789,-1928,-773,361,-248,62,137,104,262,177,201,160,57
847354,4518,14366,-4110,4973,2364,5789,-1928,-773,361,-248,66,146,120,266,178,217,332,58
848137,4518,14366,-4110,4973,2364,5789,-1928,-773,361,-248,66,146,120,266,178,217,332,58
854321,4669,14346,-4078,4918,2379,5934,-1879,-782,496,-212,66,146,120,266,178,217,332,58
870528,4669,14346,-4078,4918,2379,5934,-1879,-782,496,-212,59,120,132,247,183,221,413,59
871403,4669,14346,-4078,4918,2379,5934,-1879,-782,496,-212,59,120,132,247,183,221,413,59
872275,4868,14315,-4024,4859,2364,6192,-1868,-967,607,-332,59,120,132,247,183,221,413,59
884813,4868,14315,-4024,4859,2364,6192,-1868,-967,607,-332,56,127,150,280,220,304,464,61
885647,4868,14315,-4024,4859,2364,6192,-1868,-967,607,-332,56,127,150,280,220,304,464,61
891858,5160,14264,-3959,4760,2313,6213,-1820,-1553,600,-614,56,127,150,280,220,304,464,61
907352,5160,14264,-3959,4760,2313,6213,-1820,-1553,600,-614,60,139,188,280,268,338,569,70
908203,5160,14264,-3959,4760,2313,6213,-1820,-1553,600,-614,60,139,188,280,268,338,569,70
914328,5506,14164,-3892,4724,2427,6090,-1751,-1836,684,-780,60,139,188,280,268,338,569,70
930541,5506,14164,-3892,4724,2427,6090,-1751,-1836,684,-780,67,146,246,306,272,598,604,76
931350,5506,14164,-3892,4724,2427,6090,-1751,-1836,684,-780,67,146,246,306,272,598,604,76
932264,5883,14048,-3806,4688,2400,6211,-1734,-2005,796,-899,67,146,246,306,272,598,604,76
944852,5883,14048,-3806,4688,2400,6211,-1734,-2005,796,-899,69,149,323,319,350,657,710,96
945678,5883,14048,-3806,4688,2400,6211,-1734,-2005,796,-899,69,149,323,319,350,657,710,96
951804,6349,13897,-3722,4595,2267,6287,-1723,-2604,704,-1106,69,149,323,319,350,657,710,96
966708,6349,13897,-3722,4595,2267,6287,-1723,-2604,704,-1106,75,158,356,307,449,718,812,93
974826,6349,13897,-3722,4595,2267,6287,-1723,-2604,704,-1106,75,158,356,307,449,718,812,93
975804,6831,13730,-3621,4486,2302,6176,-1560,-2736,706,-1255,75,158,356,307,449,718,812,93
989825,6831,13730,-3621,4486,2302,6176,-1560,-2736,706,-1255,79,177,373,303,551,717,902,100
990635,6831,13730,-3621,4486,2302,6176,-1560,-2736,706,-1255,79,177,373,303,551,717,902,100
996819,7343,13539,-3516,4338,2222,6444,-1396,-2979,608,-1370,79,177,373,303,551,717,902,100
1013039,7343,13539,-3516,4338,2222,6444,-1396,-2979,608,-1370,80,182,387,287,807,710,969,105
1013843,7343,13539,-3516,4338,2222,6444,-1396,-2979,608,-1370,80,182,387,287,807,710,969,105
1014754,7916,13302,-3408,4147,2163,6291,-1297,-3465,561,-1558,80,182,387,287,807,710,969,105
1035529,7916,13302,-3408,4147,2163,6291,-1297,-3465,561,-1558,103,284,384,315,852,515,1093,109
1036290,7916,13302,-3408,4147,2163,6291,-1297,-3465,561,-1558,103,284,384,315,852,515,1093,109
1037236,8502,13033,-3290,3928,2047,6133,-1196,-3669,522,-1685,103,284,384,315,852,515,1093,109
1049827,8502,13033,-3290,3928,2047,6133,-1196,-3669,522,-1685,110,294,338,311,834,453,1105,98
1050691,8502,13033,-3290,3928,2047,6133,-1196,-3669,522,-1685,110,294,338,311,834,453,1105,98
1056802,9068,12745,-3168,3704,1987,5881,-1021,-3655,514,-1697,110,294,338,311,834,453,1105,98
1073038,9068,12745,-3168,3704,1987,5881,-1021,-3655,514,-1697,119,306,340,329,833,362,1085,113
1073850,9068,12745,-3168,3704,1987,5881,-1021,-3655,514,-1697,119,306,340,329,833,362,1085,113
1074843,9576,12463,-3045,3480,1983,5747,-836,-3401,440,-1663,119,306,340,329,833,362,1085,113
1103073,9576,12463,-3045,3480,1983,5747,-836,-3401,440,-1663,122,297,339,339,861,349,1106,116
1103857,9576,12463,-3045,3480,1983,5747,-836,-3401,440,-1663,122,297,339,339,861,349,1106,116
1104785,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,122,297,339,339,861,349,1106,116
1111931,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1112728,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1113524,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1114395,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1119317,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1120120,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1120941,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1121750,10028,12190,-2929,3265,1926,5685,-684,-3134,380,-1561,133,335,312,380,822,351,1047,116
1124321,10392,11955,-2833,3076,1774,5387,-459,-2631,279,-1335,133,335,312,380,822,351,1047,116
1133016,10392,11955,-2833,3076,1774,5387,-459,-2631,279,-1335,122,274,313,344,796,356,967,126
1133848,10392,11955,-2833,3076,1774,5387,-459,-2631,279,-1335,122,274,313,344,796,356,967,126
