Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-232,-13184,-9558,-1798,454,4315,-1535,45,512,-433,0,0,0,0,0,0,0,0
7560,-165,-13131,-9622,-1854,493,4288,-1557,36,549,-426,0,0,0,0,0,0,0,0
14985,-90,-13077,-9685,-1913,519,4281,-1604,64,600,-424,0,0,0,0,0,0,0,0
37509,-16,-13023,-9744,-1975,508,4307,-1692,53,644,-401,0,0,0,0,0,0,0,0
60002,63,-12970,-9802,-2041,507,4345,-1776,79,707,-383,0,0,0,0,0,0,0,0
68165,63,-12970,-9802,-2041,507,4345,-1776,79,707,-383,308,252,84,29,31,36,44,84
68931,63,-12970,-9802,-2041,507,4345,-1776,79,707,-383,308,252,84,29,31,36,44,84
75097,146,-12906,-9865,-2132,589,4388,-1843,34,835,-435,308,252,84,29,31,36,44,84
90698,146,-12906,-9865,-2132,589,4388,-1843,34,835,-435,309,330,84,28,38,51,47,96
91434,146,-12906,-9865,-2132,589,4388,-1843,34,835,-435,309,330,84,28,38,51,47,96
97597,220,-12831,-9933,-2261,678,4524,-2030,-75,987,-493,309,330,84,28,38,51,47,96
113120,220,-12831,-9933,-2261,678,4524,-2030,-75,987,-493,350,352,95,35,40,64,57,97
113913,220,-12831,-9933,-2261,678,4524,-2030,-75,987,-493,350,352,95,35,40,64,57,97
120072,315,-12742,-10007,-2422,803,4435,-2190,-164,1217,-574,350,352,95,35,40,64,57,97
128082,315,-12742,-10007,-2422,803,4435,-2190,-164,1217,-574,395,459,154,45,54,77,66,118
128912,315,-12742,-10007,-2422,803,4435,-2190,-164,1217,-574,395,459,154,45,54,77,66,118
135088,415,-12633,-10086,-2641,913,4447,-2459,-369,1541,-668,395,459,154,45,54,77,66,118
150672,415,-12633,-10086,-2641,913,4447,-2459,-369,1541,-668,495,601,187,75,72,104,72,139
151392,415,-12633,-10086,-2641,913,4447,-2459,-369,1541,-668,495,601,187,75,72,104,72,139
157593,536,-12492,-10166,-2963,1056,4347,-2673,-553,1978,-772,495,601,187,75,72,104,72,139
173076,536,-12492,-10166,-2963,1056,4347,-2673,-553,1978,-772,482,644,307,92,88,115,72,136
173914,536,-12492,-10166,-2963,1056,4347,-2673,-553,1978,-772,482,644,307,92,88,115,72,136
180084,667,-12324,-10241,-3356,1182,4276,-2850,-786,2363,-865,482,644,307,92,88,115,72,136
188136,667,-12324,-10241,-3356,1182,4276,-2850,-786,2363,-865,608,766,368,104,129,121,82,137
188938,667,-12324,-10241,-3356,1182,4276,-2850,-786,2363,-865,608,766,368,104,129,121,82,137
195114,821,-12127,-10305,-3811,1337,4169,-2981,-948,2765,-912,608,766,368,104,129,121,82,137
210600,821,-12127,-10305,-3811,1337,4169,-2981,-948,2765,-912,609,864,405,131,140,118,78,145
211409,821,-12127,-10305,-3811,1337,4169,-2981,-948,2765,-912,609,864,405,131,140,118,78,145
217582,1019,-11902,-10349,-4320,1513,4094,-3114,-852,3088,-864,609,864,405,131,140,118,78,145
233096,1019,-11902,-10349,-4320,1513,4094,-3114,-852,3088,-864,597,889,516,144,140,113,72,130
