Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
0,-2354,6685,11445,9338,1541,5656,1284,165,-31,70,0,0,0,0,0,0,0,0
7525,-2358,6676,11437,9352,1551,5701,1306,76,-35,25,0,0,0,0,0,0,0,0
22498,-2339,6658,11427,9382,1505,5738,1339,-25,-60,-64,0,0,0,0,0,0,0,0
37515,-2308,6643,11407,9424,1474,5654,1346,-148,-77,-100,0,0,0,0,0,0,0,0
59959,-2286,6639,11385,9460,1484,5552,1329,-148,-78,-65,0,0,0,0,0,0,0,0
68175,-2286,6639,11385,9460,1484,5552,1329,-148,-78,-65,46,58,58,81,92,93,61,39
68934,-2286,6639,11385,9460,1484,5552,1329,-148,-78,-65,46,58,58,81,92,93,61,39
82450,-2286,6639,11373,9475,1527,5509,1292,-9,-60,-13,46,58,58,81,92,93,61,39
90618,-2286,6639,11373,9475,1527,5509,1292,-9,-60,-13,46,53,59,79,94,84,64,42
91443,-2286,6639,11373,9475,1527,5509,1292,-9,-60,-13,46,53,59,79,94,84,64,42
97590,-2297,6632,11379,9469,1548,5583,1266,161,-41,-14,46,53,59,79,94,84,64,42
113112,-2297,6632,11379,9469,1548,5583,1266,161,-41,-14,45,52,54,91,101,71,52,45
113896,-2297,6632,11379,9469,1548,5583,1266,161,-41,-14,45,52,54,91,101,71,52,45
120082,-2297,6611,11399,9461,1494,5698,1245,217,-43,-71,45,52,54,91,101,71,52,45
128120,-2297,6611,11399,9461,1494,5698,1245,217,-43,-71,38,49,53,82,94,77,53,37
128929,-2297,6611,11399,9461,1494,5698,1245,217,-43,-71,38,49,53,82,94,77,53,37
142482,-2280,6589,11410,9467,1451,5729,1241,96,-58,-97,38,49,53,82,94,77,53,37
150589,-2280,6589,11410,9467,1451,5729,1241,96,-58,-97,44,50,56,90,100,87,57,43
151420,-2280,6589,11410,9467,1451,5729,1241,96,-58,-97,44,50,56,90,100,87,57,43
157615,-2264,6581,11403,9484,1471,5650,1230,-39,-63,-46,44,50,56,90,100,87,57,43
