,calibrat,FistDown,FistDown,FlatHand,FlatHand,FlatHand,FlatHand,FlickFin,FlickFin,FlickHan,FlickHan,GrabAndR,GrabAndR,HandGun,HandGunA,HangupPh,PickupPh,PressBut,Pull,Push,Shake,SlideLef,SlideRig,SnapFing,TapOnce,TapThric,TapTwice,ThumbUpA,ThumbUpA,ThumbUpA,ThumbUpA,TurnButt,TurnButt,
calibrat,29,10,1,1,2,1,1,1,2,0,0,0,1,24,9,0,0,1,0,0,0,0,0,0,7,2,0,2,2,1,2,0,1
FistDown,0,48,9,2,4,0,0,0,1,0,0,0,1,4,9,0,0,0,0,0,0,0,0,17,1,0,1,2,1,0,0,0,0
FistDown,0,11,67,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,4,1,6,1,1,2,0,0,0
FlatHand,10,5,3,15,7,0,4,2,3,1,1,2,0,6,5,3,0,1,1,2,0,0,0,3,6,0,4,8,4,1,1,0,2
FlatHand,2,12,2,11,20,2,2,1,5,1,0,2,0,5,3,1,2,0,0,1,0,0,0,5,3,2,4,4,7,0,0,3,0
FlatHand,0,1,0,2,5,7,1,5,0,5,0,13,2,1,1,2,1,2,2,3,1,0,0,1,0,1,0,4,2,24,3,8,3
FlatHand,3,1,0,6,8,6,6,0,1,1,1,0,9,3,3,0,0,0,0,0,0,1,2,1,8,1,1,1,4,3,11,6,13
FlickFin,0,2,0,1,2,2,0,15,9,34,4,2,1,0,0,2,2,1,4,1,0,5,1,3,1,0,0,1,3,1,0,3,0
FlickFin,0,3,1,0,1,0,1,6,19,5,37,1,1,2,2,1,0,0,0,0,1,2,8,4,0,0,0,0,1,0,1,0,3
FlickHan,0,1,0,0,0,0,0,40,4,15,9,1,1,0,0,1,2,3,0,0,0,11,3,2,2,0,0,0,0,3,0,2,0
FlickHan,0,0,0,0,0,1,1,7,27,7,21,0,6,0,0,2,2,2,0,1,0,0,12,0,0,0,0,0,4,3,2,1,1
GrabAndR,0,2,4,0,0,9,0,6,2,3,0,17,9,0,0,4,1,3,1,1,1,1,1,3,1,0,1,0,2,7,1,18,2
GrabAndR,0,6,3,0,0,1,6,3,0,1,1,11,16,1,1,4,3,2,4,0,0,1,0,5,0,3,0,0,5,0,7,2,14
HandGun,19,14,0,4,8,1,0,0,1,1,0,1,0,17,12,1,1,3,0,1,0,0,0,3,5,1,2,0,2,1,2,0,0
HandGunA,8,11,11,3,7,0,0,0,0,0,0,1,0,19,6,0,0,2,1,2,0,0,0,3,10,0,6,2,5,1,0,2,0
HangupPh,0,1,0,0,2,2,3,5,0,2,3,5,3,2,1,13,10,7,3,8,0,9,4,4,1,1,1,0,2,2,1,3,2
PickupPh,0,0,3,0,1,2,1,3,4,1,1,3,3,2,0,6,22,5,8,3,0,2,8,4,2,1,1,7,1,1,1,2,2
PressBut,0,3,0,0,1,2,1,5,3,4,6,5,3,1,2,9,3,9,2,8,0,3,0,11,2,3,0,4,6,0,1,0,3
Pull,0,10,3,2,2,1,0,4,1,2,0,7,11,2,4,1,3,4,11,2,0,0,0,11,3,1,5,4,4,1,0,0,1
Push,0,6,3,4,1,1,1,2,1,3,3,3,1,2,1,5,1,10,9,13,0,0,2,10,0,0,3,5,2,2,2,1,3
Shake,0,0,0,0,0,0,1,2,4,0,6,2,2,0,1,0,0,0,0,0,67,0,0,6,0,0,0,1,1,1,2,0,4
SlideLef,0,0,0,0,0,2,1,5,0,17,0,5,0,0,1,3,2,5,0,2,0,36,7,0,4,1,2,1,0,1,2,2,1
SlideRig,0,0,0,0,0,1,2,3,10,7,12,1,4,2,0,5,8,0,2,1,0,2,30,1,0,0,1,1,3,1,0,1,2
SnapFing,0,23,2,0,3,0,1,1,4,1,1,3,2,0,0,1,0,2,2,0,0,0,0,33,6,1,1,0,5,5,0,1,2
TapOnce,1,8,7,5,6,0,0,4,4,3,1,0,4,4,2,3,3,2,0,1,0,0,1,16,5,2,5,2,5,1,3,1,1
TapThric,1,7,6,1,2,0,2,0,0,0,0,5,4,3,3,0,3,2,2,2,0,0,2,3,3,17,24,0,6,1,1,0,0
TapTwice,0,7,15,5,2,2,2,0,0,0,1,1,2,2,4,1,0,0,1,3,0,0,1,4,14,7,15,4,4,1,0,2,0
ThumbUpA,2,2,7,11,5,3,1,2,4,1,0,2,3,0,5,1,2,4,0,2,0,6,4,3,2,2,5,9,5,4,2,1,0
ThumbUpA,1,10,1,13,12,3,4,2,1,3,1,2,1,4,3,1,1,4,4,3,0,0,0,5,3,0,1,0,9,3,2,1,2
ThumbUpA,1,2,3,1,4,8,2,2,0,0,1,9,0,4,4,0,2,1,2,1,0,2,0,9,3,0,3,4,7,9,2,12,2
ThumbUpA,2,4,3,2,2,0,10,0,2,1,3,2,15,6,3,2,0,0,1,2,1,0,3,1,1,0,0,2,10,2,9,4,7
TurnButt,0,1,1,1,2,15,6,4,1,2,4,20,2,1,0,1,1,0,2,1,0,0,0,2,2,0,1,1,2,18,1,4,4
TurnButt,2,3,0,1,1,1,14,2,3,1,4,2,20,2,0,1,1,0,0,4,0,2,1,1,3,0,1,1,3,4,7,6,9
,0.29,0.48,0.67,0.15,0.2,0.07,0.06,0.15,0.19,0.15,0.21,0.17,0.16,0.17,0.06,0.13,0.22,0.09,0.11,0.13,0.67,0.36,0.3,0.33,0.05,0.17,0.15,0.09,0.09,0.09,0.09,0.04,0.09
