Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
32031168, -2483, 15867, 153, 3235, 1405, -1071, -3231, 3, -5, -6, 0, 0, 0, 0, 0, 0, 0, 0
32031833, -2486, 15867, 155, 3231, 1405, -1073, -3233, 12, -18, -7, 0, 0, 0, 0, 0, 0, 0, 0
32045303, -2485, 15868, 156, 3228, 1409, -1076, -3219, -9, -18, -6, 0, 0, 0, 0, 0, 0, 0, 0
32067821, -2484, 15869, 158, 3225, 1414, -1082, -3208, -14, -23, -14, 0, 0, 0, 0, 0, 0, 0, 0
32099228, -2484, 15869, 158, 3226, 1425, -1088, -3215, 1, -11, -11, 0, 0, 0, 0, 0, 0, 0, 0
32100002, -2484, 15869, 158, 3226, 1425, -1088, -3215, 1, -11, -11, 57, 32, 35, 28, 42, 38, 37, 93
32100819, -2484, 15869, 158, 3226, 1425, -1088, -3215, 1, -11, -11, 57, 32, 35, 28, 42, 38, 37, 93
32105427, -2485, 15869, 158, 3226, 1423, -1089, -3224, 2, -11, -16, 57, 32, 35, 28, 42, 38, 37, 93
32120959, -2485, 15869, 158, 3226, 1423, -1089, -3224, 2, -11, -16, 63, 39, 29, 31, 40, 41, 35, 82
32121737, -2485, 15869, 158, 3226, 1423, -1089, -3224, 2, -11, -16, 63, 39, 29, 31, 40, 41, 35, 82
32127896, -2485, 15869, 162, 3225, 1413, -1084, -3218, -4, -11, -27, 63, 39, 29, 31, 40, 41, 35, 82
32143449, -2485, 15869, 162, 3225, 1413, -1084, -3218, -4, -11, -27, 67, 38, 31, 31, 38, 43, 36, 70
32144215, -2485, 15869, 162, 3225, 1413, -1084, -3218, -4, -11, -27, 67, 38, 31, 31, 38, 43, 36, 70
32150428, -2485, 15869, 162, 3225, 1444, -1080, -3225, 10, -13, -15, 67, 38, 31, 31, 38, 43, 36, 70
32158440, -2485, 15869, 162, 3225, 1444, -1080, -3225, 10, -13, -15, 64, 39, 29, 31, 37, 41, 37, 78
32159238, -2485, 15869, 162, 3225, 1444, -1080, -3225, 10, -13, -15, 64, 39, 29, 31, 37, 41, 37, 78
32165403, -2486, 15869, 162, 3226, 1417, -1082, -3226, 3, -3, -11, 64, 39, 29, 31, 37, 41, 37, 78
32180922, -2486, 15869, 162, 3226, 1417, -1082, -3226, 3, -3, -11, 74, 37, 28, 31, 38, 45, 34, 88
32181716, -2486, 15869, 162, 3226, 1417, -1082, -3226, 3, -3, -11, 74, 37, 28, 31, 38, 45, 34, 88
32187879, -2486, 15869, 162, 3225, 1409, -1074, -3226, 0, -3, -11, 74, 37, 28, 31, 38, 45, 34, 88
32203406, -2486, 15869, 162, 3225, 1409, -1074, -3226, 0, -3, -11, 80, 38, 29, 33, 44, 46, 37, 91
32204250, -2486, 15869, 162, 3225, 1409, -1074, -3226, 0, -3, -11, 80, 38, 29, 33, 44, 46, 37, 91
32210440, -2485, 15868, 165, 3226, 1428, -1076, -3229, -7, -3, -17, 80, 38, 29, 33, 44, 46, 37, 91
32218420, -2485, 15868, 165, 3226, 1428, -1076, -3229, -7, -3, -17, 84, 36, 31, 35, 45, 42, 39, 89
32219239, -2485, 15868, 165, 3226, 1428, -1076, -3229, -7, -3, -17, 84, 36, 31, 35, 45, 42, 39, 89
32225363, -2485, 15868, 167, 3228, 1427, -1096, -3226, -13, 2, -17, 84, 36, 31, 35, 45, 42, 39, 89
32240905, -2485, 15868, 167, 3228, 1427, -1096, -3226, -13, 2, -17, 81, 39, 29, 34, 46, 41, 38, 90
32241720, -2485, 15868, 167, 3228, 1427, -1096, -3226, -13, 2, -17, 81, 39, 29, 34, 46, 41, 38, 90
32247866, -2485, 15868, 167, 3228, 1415, -1081, -3232, 12, 0, -4, 81, 39, 29, 34, 46, 41, 38, 90
32263438, -2485, 15868, 167, 3228, 1415, -1081, -3232, 12, 0, -4, 92, 39, 31, 35, 47, 47, 37, 93
32264260, -2485, 15868, 167, 3228, 1415, -1081, -3232, 12, 0, -4, 92, 39, 31, 35, 47, 47, 37, 93
32270424, -2485, 15868, 167, 3228, 1413, -1066, -3223, 9, 4, -7, 92, 39, 31, 35, 47, 47, 37, 93
32278394, -2485, 15868, 167, 3228, 1413, -1066, -3223, 9, 4, -7, 84, 41, 33, 35, 47, 43, 40, 83
32279212, -2485, 15868, 167, 3228, 1413, -1066, -3223, 9, 4, -7, 84, 41, 33, 35, 47, 43, 40, 83
32285370, -2482, 15868, 166, 3228, 1412, -1077, -3230, -21, 3, -4, 84, 41, 33, 35, 47, 43, 40, 83
32301279, -2482, 15868, 166, 3228, 1412, -1077, -3230, -21, 3, -4, 91, 40, 32, 36, 51, 43, 40, 80
32301803, -2482, 15868, 166, 3228, 1412, -1077, -3230, -21, 3, -4, 91, 40, 32, 36, 51, 43, 40, 80
32307933, -2479, 15869, 165, 3228, 1416, -1080, -3233, -24, 0, -1, 91, 40, 32, 36, 51, 43, 40, 80
32323473, -2479, 15869, 165, 3228, 1416, -1080, -3233, -24, 0, -1, 86, 37, 31, 32, 53, 44, 38, 79
32324263, -2479, 15869, 165, 3228, 1416, -1080, -3233, -24, 0, -1, 86, 37, 31, 32, 53, 44, 38, 79
32330419, -2480, 15869, 165, 3228, 1423, -1078, -3229, -1, 0, -1, 86, 37, 31, 32, 53, 44, 38, 79
32338452, -2480, 15869, 165, 3228, 1423, -1078, -3229, -1, 0, -1, 92, 34, 34, 33, 53, 44, 39, 74
32339270, -2480, 15869, 165, 3228, 1423, -1078, -3229, -1, 0, -1, 92, 34, 34, 33, 53, 44, 39, 74
32345418, -2480, 15869, 165, 3229, 1430, -1064, -3216, -2, 7, -7, 92, 34, 34, 33, 53, 44, 39, 74
32360947, -2480, 15869, 165, 3229, 1430, -1064, -3216, -2, 7, -7, 90, 33, 33, 33, 56, 40, 39, 70
