Timestamp, Orientation x, Orientation y, Orientation z, Orientation w, Acceleration x, Acceleration y, Acceleration z, Rotation x, Rotation y, Rotation z, EMG 0, EMG 1, EMG 2, EMG 3, EMG 4, EMG 5, EMG 6, EMG 7
49260621, -8401, 3817, 13397, 1948, 3981, -212, -1962, -36, -15, 8, 0, 0, 0, 0, 0, 0, 0, 0
49261420, -8397, 3823, 13398, 1950, 3977, -215, -1996, -39, -14, 10, 0, 0, 0, 0, 0, 0, 0, 0
49274913, -8394, 3829, 13398, 1951, 3976, -219, -2007, -29, -9, 11, 0, 0, 0, 0, 0, 0, 0, 0
49289869, -8394, 3829, 13398, 1951, 4005, -216, -2008, -4, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0
49312385, -8394, 3829, 13398, 1951, 4020, -209, -2006, 9, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0
49327995, -8394, 3829, 13398, 1951, 4020, -209, -2006, 9, 8, 3, 25, 27, 71, 128, 84, 34, 30, 24
49328780, -8394, 3829, 13398, 1951, 4020, -209, -2006, 9, 8, 3, 25, 27, 71, 128, 84, 34, 30, 24
49335066, -8394, 3829, 13398, 1951, 4007, -186, -1997, 0, 12, 1, 25, 27, 71, 128, 84, 34, 30, 24
49351230, -8394, 3829, 13398, 1951, 4007, -186, -1997, 0, 12, 1, 25, 28, 80, 147, 87, 34, 30, 25
49352008, -8394, 3829, 13398, 1951, 4007, -186, -1997, 0, 12, 1, 25, 28, 80, 147, 87, 34, 30, 25
49352981, -8395, 3830, 13397, 1955, 3991, -192, -1992, -19, 8, -3, 25, 28, 80, 147, 87, 34, 30, 25
49373757, -8395, 3830, 13397, 1955, 3991, -192, -1992, -19, 8, -3, 25, 28, 81, 162, 91, 39, 31, 24
49374552, -8395, 3830, 13397, 1955, 3991, -192, -1992, -19, 8, -3, 25, 28, 81, 162, 91, 39, 31, 24
49375471, -8395, 3830, 13397, 1955, 3980, -203, -1986, -14, -1, -4, 25, 28, 81, 162, 91, 39, 31, 24
49387982, -8395, 3830, 13397, 1955, 3980, -203, -1986, -14, -1, -4, 49, 47, 100, 181, 92, 46, 39, 32
49388807, -8395, 3830, 13397, 1955, 3980, -203, -1986, -14, -1, -4, 49, 47, 100, 181, 92, 46, 39, 32
49394982, -8395, 3830, 13397, 1955, 3972, -214, -1994, 13, -12, -11, 49, 47, 100, 181, 92, 46, 39, 32
49411198, -8395, 3830, 13397, 1955, 3972, -214, -1994, 13, -12, -11, 92, 88, 142, 240, 124, 66, 58, 56
49412010, -8395, 3830, 13397, 1955, 3972, -214, -1994, 13, -12, -11, 92, 88, 142, 240, 124, 66, 58, 56
49412982, -8397, 3820, 13398, 1953, 4001, -206, -2018, 36, 18, -49, 92, 88, 142, 240, 124, 66, 58, 56
49433670, -8397, 3820, 13398, 1953, 4001, -206, -2018, 36, 18, -49, 324, 243, 330, 287, 141, 98, 91, 120
49434485, -8397, 3820, 13398, 1953, 4001, -206, -2018, 36, 18, -49, 324, 243, 330, 287, 141, 98, 91, 120
49435410, -8409, 3794, 13400, 1934, 3954, -243, -2046, 171, 83, -77, 324, 243, 330, 287, 141, 98, 91, 120
49448022, -8409, 3794, 13400, 1934, 3954, -243, -2046, 171, 83, -77, 465, 403, 526, 335, 212, 194, 175, 190
49448839, -8409, 3794, 13400, 1934, 3954, -243, -2046, 171, 83, -77, 465, 403, 526, 335, 212, 194, 175, 190
49455026, -8445, 3734, 13401, 1895, 4015, -133, -2007, 414, 163, -104, 465, 403, 526, 335, 212, 194, 175, 190
49471232, -8445, 3734, 13401, 1895, 4015, -133, -2007, 414, 163, -104, 675, 569, 777, 436, 364, 277, 209, 234
49472012, -8445, 3734, 13401, 1895, 4015, -133, -2007, 414, 163, -104, 675, 569, 777, 436, 364, 277, 209, 234
49472992, -8478, 3593, 13431, 1803, 4075, 113, -2110, 975, 88, -234, 675, 569, 777, 436, 364, 277, 209, 234
49493703, -8478, 3593, 13431, 1803, 4075, 113, -2110, 975, 88, -234, 919, 756, 861, 545, 520, 391, 313, 283
49494485, -8478, 3593, 13431, 1803, 4075, 113, -2110, 975, 88, -234, 919, 756, 861, 545, 520, 391, 313, 283
49495435, -8481, 3420, 13481, 1750, 4054, 368, -2169, 918, -6, -419, 919, 756, 861, 545, 520, 391, 313, 283
49508029, -8481, 3420, 13481, 1750, 4054, 368, -2169, 918, -6, -419, 1035, 812, 936, 574, 608, 403, 341, 326
49508824, -8481, 3420, 13481, 1750, 4054, 368, -2169, 918, -6, -419, 1035, 812, 936, 574, 608, 403, 341, 326
49515047, -8552, 3320, 13468, 1692, 4006, -411, -1672, 573, 228, -350, 1035, 812, 936, 574, 608, 403, 341, 326
49531584, -8552, 3320, 13468, 1692, 4006, -411, -1672, 573, 228, -350, 1030, 848, 1004, 719, 734, 482, 408, 404
49532021, -8552, 3320, 13468, 1692, 4006, -411, -1672, 573, 228, -350, 1030, 848, 1004, 719, 734, 482, 408, 404
49532988, -8665, 3309, 13413, 1576, 4080, -1028, -1320, 455, 259, 20, 1030, 848, 1004, 719, 734, 482, 408, 404
49553720, -8665, 3309, 13413, 1576, 4080, -1028, -1320, 455, 259, 20, 1039, 857, 1157, 812, 840, 547, 426, 402
49554507, -8665, 3309, 13413, 1576, 4080, -1028, -1320, 455, 259, 20, 1039, 857, 1157, 812, 840, 547, 426, 402
49555428, -8638, 3355, 13431, 1476, 3806, -301, -1986, 302, -225, 460, 1039, 857, 1157, 812, 840, 547, 426, 402
49568021, -8638, 3355, 13431, 1476, 3806, -301, -1986, 302, -225, 460, 1080, 850, 1226, 877, 807, 542, 493, 543
49568834, -8638, 3355, 13431, 1476, 3806, -301, -1986, 302, -225, 460, 1080, 850, 1226, 877, 807, 542, 493, 543
49574985, -8594, 3336, 13455, 1554, 4037, -146, -1984, -311, -150, -310, 1080, 850, 1226, 877, 807, 542, 493, 543
49591164, -8594, 3336, 13455, 1554, 4037, -146, -1984, -311, -150, -310, 1088, 791, 1278, 914, 802, 530, 495, 672
49591979, -8594, 3336, 13455, 1554, 4037, -146, -1984, -311, -150, -310, 1088, 791, 1278, 914, 802, 530, 495, 672
49592982, -8637, 3298, 13448, 1455, 4115, -490, -2000, 572, 148, 53, 1088, 791, 1278, 914, 802, 530, 495, 672
49613669, -8637, 3298, 13448, 1455, 4115, -490, -2000, 572, 148, 53, 1029, 799, 1333, 999, 896, 552, 540, 813
49614484, -8637, 3298, 13448, 1455, 4115, -490, -2000, 572, 148, 53, 1029, 799, 1333, 999, 896, 552, 540, 813
49615410, -8640, 3253, 13453, 1487, 4090, 523, -2103, 190, 137, 101, 1029, 799, 1333, 999, 896, 552, 540, 813
49627986, -8640, 3253, 13453, 1487, 4090, 523, -2103, 190, 137, 101, 1009, 839, 1278, 910, 823, 500, 498, 833
49628812, -8640, 3253, 13453, 1487, 4090, 523, -2103, 190, 137, 101, 1009, 839, 1278, 910, 823, 500, 498, 833
49634988, -8622, 3350, 13424, 1638, 3930, 80, -1905, -942, 151, 178, 1009, 839, 1278, 910, 823, 500, 498, 833
49651188, -8622, 3350, 13424, 1638, 3930, 80, -1905, -942, 151, 178, 949, 803, 1111, 886, 735, 413, 463, 848
49652005, -8622, 3350, 13424, 1638, 3930, 80, -1905, -942, 151, 178, 949, 803, 1111, 886, 735, 413, 463, 848
49652983, -8629, 3441, 13390, 1684, 3932, -790, -1769, -629, 91, 39, 949, 803, 1111, 886, 735, 413, 463, 848
49673662, -8629, 3441, 13390, 1684, 3932, -790, -1769, -629, 91, 39, 764, 730, 895, 789, 719, 373, 378, 773
49674479, -8629, 3441, 13390, 1684, 3932, -790, -1769, -629, 91, 39, 764, 730, 895, 789, 719, 373, 378, 773
49675404, -8657, 3396, 13390, 1633, 3993, -396, -1754, 361, 41, -114, 764, 730, 895, 789, 719, 373, 378, 773
49687997, -8657, 3396, 13390, 1633, 3993, -396, -1754, 361, 41, -114, 431, 634, 735, 671, 629, 281, 296, 663
49688807, -8657, 3396, 13390, 1633, 3993, -396, -1754, 361, 41, -114, 431, 634, 735, 671, 629, 281, 296, 663
49694985, -8654, 3338, 13409, 1614, 3995, 135, -1808, 352, -93, -44, 431, 634, 735, 671, 629, 281, 296, 663
49711187, -8654, 3338, 13409, 1614, 3995, 135, -1808, 352, -93, -44, 306, 556, 515, 491, 382, 219, 159, 484
49711993, -8654, 3338, 13409, 1614, 3995, 135, -1808, 352, -93, -44, 306, 556, 515, 491, 382, 219, 159, 484
49712907, -8618, 3370, 13419, 1650, 4018, 28, -1895, -236, -173, 140, 306, 556, 515, 491, 382, 219, 159, 484
49733739, -8618, 3370, 13419, 1650, 4018, 28, -1895, -236, -173, 140, 230, 373, 437, 467, 372, 175, 122, 388
49734489, -8618, 3370, 13419, 1650, 4018, 28, -1895, -236, -173, 140, 230, 373, 437, 467, 372, 175, 122, 388
49735438, -8567, 3471, 13418, 1717, 3977, -300, -1963, -678, -179, 197, 230, 373, 437, 467, 372, 175, 122, 388
49748020, -8567, 3471, 13418, 1717, 3977, -300, -1963, -678, -179, 197, 203, 293, 306, 316, 489, 170, 122, 330
49748808, -8567, 3471, 13418, 1717, 3977, -300, -1963, -678, -179, 197, 203, 293, 306, 316, 489, 170, 122, 330
49754984, -8522, 3548, 13419, 1775, 4001, -290, -2024, -561, -144, 116, 203, 293, 306, 316, 489, 170, 122, 330
49771171, -8522, 3548, 13419, 1775, 4001, -290, -2024, -561, -144, 116, 179, 230, 201, 284, 509, 181, 123, 285
49771980, -8522, 3548, 13419, 1775, 4001, -290, -2024, -561, -144, 116, 179, 230, 201, 284, 509, 181, 123, 285
49772978, -8507, 3594, 13412, 1802, 3925, -240, -1978, -287, -12, 118, 179, 230, 201, 284, 509, 181, 123, 285
49793815, -8507, 3594, 13412, 1802, 3925, -240, -1978, -287, -12, 118, 154, 177, 172, 266, 512, 171, 117, 242
49794516, -8507, 3594, 13412, 1802, 3925, -240, -1978, -287, -12, 118, 154, 177, 172, 266, 512, 171, 117, 242
49795430, -8484, 3639, 13408, 1850, 3947, 22, -2049, -324, 0, 167, 154, 177, 172, 266, 512, 171, 117, 242
49807993, -8484, 3639, 13408, 1850, 3947, 22, -2049, -324, 0, 167, 97, 147, 137, 263, 531, 161, 104, 168
49808762, -8484, 3639, 13408, 1850, 3947, 22, -2049, -324, 0, 167, 97, 147, 137, 263, 531, 161, 104, 168
